变量名,openLevel,sceneCount,showLevel,backGround,roundLimit,gateType,deployType,limitType,sceneLevel3,sceneLevel2,sceneLevel,showLevel3,showLevel2,backMusic,roundLimit3,roundLimit2,sceneType,icon3,icon,gateDesc3,lowestFightingPoint,sceneCount3,sceneCount2,gateDesc2,gateDesc1,languages,monsters1,boss1,monsters2,boss2,monsters3,boss3,bg_boss_pos,limitArg,firstAward,firstAwardShow,skillLevel2,skillLevel,skillLevel3,sceneName
200034,,,467,battle/scene/bg_tower.jpg,,,,5,1295,1295,1295,467,467,,,,26,,config/portrait/jinglingtouxiang1/img_611_fyl@.png,,,,,,,<cn>,<{level=467;advance=34;unitId=511903};{level=467;advance=34;unitId=520162};{level=467;advance=34;unitId=513673};{level=467;advance=34;unitId=533592};{level=467;advance=34;unitId=541423}>,<{level=467;advance=34;unitId=533002}>,<{level=467;advance=34;unitId=514181};{level=467;advance=34;unitId=523171};{level=467;advance=34;unitId=510602};{level=467;advance=34;unitId=532041};{level=467;advance=34;unitId=542033}>,<{level=467;advance=34;unitId=532722}>,,,,<<9;0;22%>;<10;0;22%>;<24;0;22%>>,{451=50;452=20;gold=420000},<<gold;420000;1>;<451;50;1>;<452;20;1>>,130,130,130,第34关
200035,,,469,battle/scene/bg_grass.jpg,,,,5,1325,1325,1325,469,469,,,,26,,config/portrait/jinglingtouxiang1/img_460_sgcjbxw@.png,,,,,怪物攻击时对敌人触发【净化I】,"精灵全体被添加【冻血Ⅱ】,击杀光环怪解除",<cn>,<{level=469;advance=34;unitId=510382};{level=469;advance=34;unitId=521921};{level=469;advance=34;unitId=514661};{level=469;advance=34;unitId=530144};{level=469;advance=34;unitId=540144}>,<{level=469;advance=34;unitId=560070}>,<{level=469;advance=34;unitId=514203};{level=469;advance=34;unitId=523771};{level=469;advance=34;unitId=513683};{level=469;advance=34;unitId=530024};{level=469;advance=34;unitId=540024}>,<{level=469;advance=34;unitId=570070}>,,,,<<9;1;28%>;<10;0;28%>;<7;0;28%>>,{519=1;451=50;gold=420000},<<gold;420000;1>;<451;50;1>;<519;1;1>>,130,130,130,第35关
200036,,,471,battle/scene/bg_night.jpg,,,,3,1355,1355,1355,471,471,,,,26,,config/portrait/jinglingtouxiang1/img_202_grw@.png,,,,,,,<cn>,<{level=471;advance=34;unitId=514561};{level=471;advance=34;unitId=521903};{level=471;advance=34;unitId=511931};{level=471;advance=34;unitId=530492};{level=471;advance=34;unitId=542821}>,<{level=471;advance=34;unitId=530992}>,<{level=471;advance=34;unitId=514041};{level=471;advance=34;unitId=523832};{level=471;advance=34;unitId=511931};{level=471;advance=34;unitId=531251};{level=471;advance=34;unitId=542232}>,<{level=471;advance=34;unitId=531422}>,,,,<<13;1;31%>>,{451=50;452=20;gold=440000},<<gold;440000;1>;<451;50;1>;<452;20;1>>,130,130,130,第36关
200037,,,473,battle/scene/bg_sd.jpg,,,,4,1385,1385,1385,473,473,,,,26,,config/portrait/jinglingtouxiang1/img_82_shycg@.png,,,,,,,<cn>,<{level=473;advance=34;unitId=514061};{level=473;advance=34;unitId=524851};{level=473;advance=34;unitId=514852};{level=473;advance=34;unitId=533191};{level=473;advance=34;unitId=541252}>,<{level=473;advance=34;unitId=530332}>,<{level=473;advance=34;unitId=514641};{level=473;advance=34;unitId=521653};{level=473;advance=34;unitId=511803};{level=473;advance=34;unitId=533003};{level=473;advance=34;unitId=542492}>,<{level=473;advance=34;unitId=530972}>,,,,<<13;0;22%>;<24;0;22%>>,{502=1;451=50;gold=440000},<<gold;440000;1>;<451;50;1>;<502;1;1>>,130,130,130,第37关
200038,,,475,battle/scene/bg_tower.jpg,,,,5,1415,1415,1415,475,475,,,,26,,config/portrait/jinglingtouxiang1/img_25_xzpkq@.png,,,,,,,<cn>,<{level=475;advance=34;unitId=514131};{level=475;advance=34;unitId=522401};{level=475;advance=34;unitId=512244};{level=475;advance=34;unitId=532041};{level=475;advance=34;unitId=541391}>,<{level=475;advance=34;unitId=537001}>,<{level=475;advance=34;unitId=514081};{level=475;advance=34;unitId=520591};{level=475;advance=34;unitId=510861};{level=475;advance=34;unitId=534193};{level=475;advance=34;unitId=542041}>,<{level=475;advance=34;unitId=532992}>,,,,<<9;0;22%>;<10;0;22%>>,{rmb=100;451=50;gold=440000},<<gold;440000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第38关
200039,,,477,battle/scene/bg_grass.jpg,,,,5,1445,1445,1445,477,477,,,,26,,config/portrait/jinglingtouxiang1/img_802_mxd@.png,,,,,,,<cn>,<{level=477;advance=34;unitId=511313};{level=477;advance=34;unitId=521921};{level=477;advance=34;unitId=510254};{level=477;advance=34;unitId=530501};{level=477;advance=34;unitId=540602}>,<{level=477;advance=34;unitId=534121}>,<{level=477;advance=34;unitId=511903};{level=477;advance=34;unitId=523662};{level=477;advance=34;unitId=513672};{level=477;advance=34;unitId=533201};{level=477;advance=34;unitId=542232}>,<{level=477;advance=34;unitId=537131}>,,,,<<9;0;22%>;<10;0;22%>;<24;0;22%>>,{451=50;452=20;gold=440000},<<gold;440000;1>;<451;50;1>;<452;20;1>>,130,130,130,第39关
200040,,,479,battle/scene/bg_night.jpg,,,,5,1475,1475,1475,479,479,,,,26,,config/portrait/jinglingtouxiang1/img_257_jmcjhyj@.png,,,,,钢系怪物被攻击时有几率触发普攻【反击】;不足4名钢系时消除该效果,假面超级火焰鸡击杀精灵时获得额外回合且满怒,<cn>,<{level=479;advance=34;unitId=512461};{level=479;advance=34;unitId=521972};{level=479;advance=34;unitId=512461};{level=479;advance=34;unitId=531173};{level=479;advance=34;unitId=541173}>,<{level=479;advance=34;unitId=560080}>,<{level=479;advance=34;unitId=514171};{level=479;advance=34;unitId=520401};{level=479;advance=34;unitId=514023};{level=479;advance=34;unitId=537081};{level=479;advance=34;unitId=542351}>,<{level=479;advance=34;unitId=570080}>,,,,<<9;1;32%>;<10;0;32%>;<8;0;32%>>,{rmb=300;451=50;gold=440000},<<gold;440000;1>;<451;50;1>;<rmb;300;1>>,130,130,130,第40关
200041,,,481,battle/scene/bg_grass.jpg,,,,3,1510,1510,1510,481,481,,,,26,,config/portrait/jinglingtouxiang1/img_130_cjbll@.png,,,,,,,<cn>,<{level=481;advance=35;unitId=510053};{level=481;advance=35;unitId=520262};{level=481;advance=35;unitId=511903};{level=481;advance=35;unitId=532271};{level=481;advance=35;unitId=540272}>,<{level=481;advance=35;unitId=530634}>,<{level=481;advance=35;unitId=511902};{level=481;advance=35;unitId=524671};{level=481;advance=35;unitId=510281};{level=481;advance=35;unitId=530634};{level=481;advance=35;unitId=542071}>,<{level=481;advance=35;unitId=531772}>,,,,<<1;1;23%>>,{451=50;452=20;gold=460000},<<gold;460000;1>;<451;50;1>;<452;20;1>>,130,130,130,第41关
200042,,,483,battle/scene/bg_night.jpg,,,,4,1545,1545,1545,483,483,,,,26,,config/portrait/jinglingtouxiang1/img_374_tyl@.png,,,,,,,<cn>,<{level=483;advance=35;unitId=514431};{level=483;advance=35;unitId=520253};{level=483;advance=35;unitId=510254};{level=483;advance=35;unitId=530403};{level=483;advance=35;unitId=540323}>,<{level=483;advance=35;unitId=531901}>,<{level=483;advance=35;unitId=510882};{level=483;advance=35;unitId=522331};{level=483;advance=35;unitId=513831};{level=483;advance=35;unitId=531442};{level=483;advance=35;unitId=540301}>,<{level=483;advance=35;unitId=532032}>,,,,<<1;0;22%>;<28;0;22%>>,{502=1;451=50;gold=460000},<<gold;460000;1>;<451;50;1>;<502;1;1>>,130,130,130,第42关
200043,,,485,battle/scene/bg_sd.jpg,,,,5,1580,1580,1580,485,485,,,,26,,config/portrait/jinglingtouxiang1/img_462_zbcg@.png,,,,,,,<cn>,<{level=485;advance=35;unitId=514151};{level=485;advance=35;unitId=522371};{level=485;advance=35;unitId=514623};{level=485;advance=35;unitId=531503};{level=485;advance=35;unitId=542471}>,<{level=485;advance=35;unitId=530333}>,<{level=485;advance=35;unitId=511501};{level=485;advance=35;unitId=521893};{level=485;advance=35;unitId=510382};{level=485;advance=35;unitId=531672};{level=485;advance=35;unitId=541081}>,<{level=485;advance=35;unitId=532021}>,,,,<<27;0;22%>;<24;0;22%>>,{rmb=100;451=50;gold=460000},<<gold;460000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第43关
200044,,,487,battle/scene/bg_tower.jpg,,,,5,1615,1615,1615,487,487,,,,26,,config/portrait/jinglingtouxiang1/img_447_lol@.png,,,,,,,<cn>,<{level=487;advance=35;unitId=514651};{level=487;advance=35;unitId=520264};{level=487;advance=35;unitId=514011};{level=487;advance=35;unitId=530771};{level=487;advance=35;unitId=540712}>,<{level=487;advance=35;unitId=532241}>,<{level=487;advance=35;unitId=511772};{level=487;advance=35;unitId=524131};{level=487;advance=35;unitId=511291};{level=487;advance=35;unitId=530574};{level=487;advance=35;unitId=544011}>,<{level=487;advance=35;unitId=530015}>,,,,<<1;0;22%>;<24;0;22%>>,{451=50;452=20;gold=460000},<<gold;460000;1>;<451;50;1>;<452;20;1>>,130,130,130,第44关
200045,,,489,battle/scene/bg_grass.jpg,,,,5,1650,1650,1650,489,489,,,,26,,config/portrait/jinglingtouxiang1/img_248_sgcjbjls@.png,,,,,每个大回合拉帝兄妹释放1次合体技，击杀光环怪解除,闪光超级班基拉斯攻击时给友方2-3名单位添加【岩壁】，击杀光环怪解除,<cn>,<{level=489;advance=35;unitId=514141};{level=489;advance=35;unitId=520701};{level=489;advance=35;unitId=514141};{level=489;advance=35;unitId=530401};{level=489;advance=35;unitId=540401}>,<{level=489;advance=35;unitId=560090}>,<{level=489;advance=35;unitId=514682};{level=489;advance=35;unitId=527041};{level=489;advance=35;unitId=514012};{level=489;advance=35;unitId=570090};{level=489;advance=35;unitId=570091}>,<{level=489;advance=35;unitId=530762}>,,,,<<27;0;28%>;<24;0;28%>>,{519=1;451=50;gold=460000},<<gold;460000;1>;<451;50;1>;<519;1;1>>,130,130,130,第45关
200046,,,491,battle/scene/bg_night.jpg,,,,3,1685,1685,1685,491,491,,,,26,,config/portrait/jinglingtouxiang1/img_633_dsl@.png,,,,,,,<cn>,<{level=491;advance=35;unitId=510753};{level=491;advance=35;unitId=523201};{level=491;advance=35;unitId=510731};{level=491;advance=35;unitId=533661};{level=491;advance=35;unitId=543142}>,<{level=491;advance=35;unitId=533141}>,<{level=491;advance=35;unitId=513591};{level=491;advance=35;unitId=520753};{level=491;advance=35;unitId=510403};{level=491;advance=35;unitId=531911};{level=491;advance=35;unitId=544192}>,<{level=491;advance=35;unitId=530712}>,,,,<<7;1;23%>;<8;1;23%>>,{451=50;452=20;gold=480000},<<gold;480000;1>;<451;50;1>;<452;20;1>>,130,130,130,第46关
200047,,,493,battle/scene/bg_sd.jpg,,,,4,1720,1720,1720,493,493,,,,26,,config/portrait/jinglingtouxiang1/img_551_hye@.png,,,,,,,<cn>,<{level=493;advance=35;unitId=513152};{level=493;advance=35;unitId=520432};{level=493;advance=35;unitId=510601};{level=493;advance=35;unitId=533681};{level=493;advance=35;unitId=540753}>,<{level=493;advance=35;unitId=532721}>,<{level=493;advance=35;unitId=514621};{level=493;advance=35;unitId=521893};{level=493;advance=35;unitId=511253};{level=493;advance=35;unitId=531501};{level=493;advance=35;unitId=541173}>,<{level=493;advance=35;unitId=530632}>,,,,<<7;0;22%>;<8;0;22%>;<14;0;22%>>,{502=1;451=50;gold=480000},<<gold;480000;1>;<451;50;1>;<502;1;1>>,130,130,130,第47关
200048,,,495,battle/scene/bg_tower.jpg,,,,5,1755,1755,1755,495,495,,,,26,,config/portrait/jinglingtouxiang1/img_607_zgl@.png,,,,,,,<cn>,<{level=495;advance=35;unitId=511931};{level=495;advance=35;unitId=520253};{level=495;advance=35;unitId=511291};{level=495;advance=35;unitId=532491};{level=495;advance=35;unitId=544622}>,<{level=495;advance=35;unitId=532991}>,<{level=495;advance=35;unitId=511031};{level=495;advance=35;unitId=524202};{level=495;advance=35;unitId=510331};{level=495;advance=35;unitId=531231};{level=495;advance=35;unitId=540881}>,<{level=495;advance=35;unitId=530753}>,,,,<<27;0;22%>;<24;0;22%>>,{rmb=100;451=50;gold=480000},<<gold;480000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第48关
200049,,,497,battle/scene/bg_grass.jpg,,,,5,1790,1790,1790,497,497,,,,26,,config/portrait/jinglingtouxiang1/img_257_jmcjhyj@.png,,,,,,,<cn>,<{level=497;advance=35;unitId=514183};{level=497;advance=35;unitId=520991};{level=497;advance=35;unitId=512242};{level=497;advance=35;unitId=530863};{level=497;advance=35;unitId=540992}>,<{level=497;advance=35;unitId=537101}>,<{level=497;advance=35;unitId=510711};{level=497;advance=35;unitId=523142};{level=497;advance=35;unitId=513021};{level=497;advance=35;unitId=533201};{level=497;advance=35;unitId=543171}>,<{level=497;advance=35;unitId=533642}>,,,,<<1;0;22%>;<24;0;22%>>,{451=50;452=20;gold=480000},<<gold;480000;1>;<451;50;1>;<452;20;1>>,130,130,130,第49关
200050,,,499,battle/scene/bg_night.jpg,,,,5,1825,1825,1825,499,499,,,,26,,config/portrait/jinglingtouxiang1/img_890_wjtn@.png,,,,,每隔3个大回合回复100点怒气，电系怪物额外增加50点怒气,毒/龙系怪物攻击时无极汰那获得1层【无极烈毒】且可额外叠加，毒/龙系怪物不足4人时解除该效果,<cn>,<{level=499;advance=35;unitId=517151};{level=499;advance=35;unitId=527141};{level=499;advance=35;unitId=510397};{level=499;advance=35;unitId=532391};{level=499;advance=35;unitId=541982}>,<{level=499;advance=35;unitId=560100}>,<{level=499;advance=35;unitId=517001};{level=499;advance=35;unitId=520731};{level=499;advance=35;unitId=511221};{level=499;advance=35;unitId=534061};{level=499;advance=35;unitId=540884}>,<{level=499;advance=35;unitId=570100}>,,,,<<27;0;32%>;<24;0;32%>>,{502=3;451=50;gold=480000},<<gold;480000;1>;<451;50;1>;<502;3;1>>,130,130,130,第50关
200051,,,501,battle/scene/bg_grass.jpg,,,,3,1860,1860,1860,501,501,,,,26,,config/portrait/jinglingtouxiang1/img_553_lme@.png,,,,,,,<cn>,<{level=501;advance=36;unitId=513171};{level=501;advance=36;unitId=520281};{level=501;advance=36;unitId=512683};{level=501;advance=36;unitId=530593};{level=501;advance=36;unitId=540051}>,<{level=501;advance=36;unitId=532723}>,<{level=501;advance=36;unitId=510551};{level=501;advance=36;unitId=520552};{level=501;advance=36;unitId=510593};{level=501;advance=36;unitId=531853};{level=501;advance=36;unitId=540002}>,<{level=501;advance=36;unitId=530394}>,,,,<<9;1;23%>;<10;1;23%>>,{451=50;452=20;gold=500000},<<gold;500000;1>;<451;50;1>;<452;20;1>>,130,130,130,第51关
200052,,,503,battle/scene/bg_night.jpg,,,,4,1895,1895,1895,503,503,,,,26,,config/portrait/jinglingtouxiang1/img_705_nme@.png,,,,,,,<cn>,<{level=503;advance=36;unitId=513832};{level=503;advance=36;unitId=522993};{level=503;advance=36;unitId=514151};{level=503;advance=36;unitId=530481};{level=503;advance=36;unitId=541772}>,<{level=503;advance=36;unitId=533542}>,<{level=503;advance=36;unitId=512873};{level=503;advance=36;unitId=520701};{level=503;advance=36;unitId=513843};{level=503;advance=36;unitId=534013};{level=503;advance=36;unitId=540153}>,<{level=503;advance=36;unitId=530431}>,,,,<<9;0;22%>;<10;0;22%>;<17;0;22%>>,{502=1;451=50;gold=500000},<<gold;500000;1>;<451;50;1>;<502;1;1>>,130,130,130,第52关
200053,,,505,battle/scene/bg_sd.jpg,,,,5,1930,1930,1930,505,505,,,,26,,config/portrait/jinglingtouxiang1/img_101_wpld@.png,,,,,,,<cn>,<{level=505;advance=36;unitId=514853};{level=505;advance=36;unitId=522131};{level=505;advance=36;unitId=511221};{level=505;advance=36;unitId=530323};{level=505;advance=36;unitId=544852}>,<{level=505;advance=36;unitId=530432}>,<{level=505;advance=36;unitId=514192};{level=505;advance=36;unitId=523191};{level=505;advance=36;unitId=514061};{level=505;advance=36;unitId=534061};{level=505;advance=36;unitId=540731}>,<{level=505;advance=36;unitId=534621}>,,,,<<1;0;22%>;<24;0;22%>>,{rmb=100;451=50;gold=500000},<<gold;500000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第53关
200054,,,507,battle/scene/bg_tower.jpg,,,,5,1965,1965,1965,507,507,,,,26,,config/portrait/jinglingtouxiang1/img_396_mke@.png,,,,,,,<cn>,<{level=507;advance=36;unitId=514141};{level=507;advance=36;unitId=520024};{level=507;advance=36;unitId=510862};{level=507;advance=36;unitId=531421};{level=507;advance=36;unitId=543052}>,<{level=507;advance=36;unitId=532041}>,<{level=507;advance=36;unitId=514622};{level=507;advance=36;unitId=523841};{level=507;advance=36;unitId=512992};{level=507;advance=36;unitId=533351};{level=507;advance=36;unitId=540882}>,<{level=507;advance=36;unitId=531221}>,,,,<<27;0;22%>;<24;0;22%>>,{451=50;452=20;gold=500000},<<gold;500000;1>;<451;50;1>;<452;20;1>>,130,130,130,第54关
200055,,,509,battle/scene/bg_grass.jpg,,,,5,2000,2000,2000,509,509,,,,26,,config/portrait/jinglingtouxiang1/img_802_mxd@.png,,,,,非飞行系精灵行动有概率【吹飞】1回合，击杀光环怪解除,全体精灵怒气回复速度大幅降低，击杀光环怪解除,<cn>,<{level=509;advance=36;unitId=513161};{level=509;advance=36;unitId=523171};{level=509;advance=36;unitId=513181};{level=509;advance=36;unitId=533411};{level=509;advance=36;unitId=544024}>,<{level=509;advance=36;unitId=560110}>,<{level=509;advance=36;unitId=514071};{level=509;advance=36;unitId=520863};{level=509;advance=36;unitId=510721};{level=509;advance=36;unitId=530731};{level=509;advance=36;unitId=540741}>,<{level=509;advance=36;unitId=570110}>,,,,<<1;1;28%>;<24;0;28%>>,{519=1;451=50;gold=500000},<<gold;500000;1>;<451;50;1>;<519;1;1>>,130,130,130,第55关
200056,,,511,battle/scene/bg_night.jpg,,,,3,2035,2035,2035,511,511,,,,26,,config/portrait/jinglingtouxiang1/img_761_tzz@.png,,,,,,,<cn>,<{level=511;advance=36;unitId=513841};{level=511;advance=36;unitId=522721};{level=511;advance=36;unitId=514621};{level=511;advance=36;unitId=530602};{level=511;advance=36;unitId=543841}>,<{level=511;advance=36;unitId=533841}>,<{level=511;advance=36;unitId=510394};{level=511;advance=36;unitId=522043};{level=511;advance=36;unitId=510332};{level=511;advance=36;unitId=532821};{level=511;advance=36;unitId=540441}>,<{level=511;advance=36;unitId=530264}>,,,,<<13;1;23%>>,{451=50;452=20;gold=520000},<<gold;520000;1>;<451;50;1>;<452;20;1>>,130,130,130,第56关
200057,,,513,battle/scene/bg_sd.jpg,,,,4,2070,2070,2070,513,513,,,,26,,config/portrait/jinglingtouxiang1/img_645_tdy@.png,,,,,,,<cn>,<{level=513;advance=36;unitId=514651};{level=513;advance=36;unitId=521394};{level=513;advance=36;unitId=513662};{level=513;advance=36;unitId=533353};{level=513;advance=36;unitId=540771}>,<{level=513;advance=36;unitId=533231}>,<{level=513;advance=36;unitId=510393};{level=513;advance=36;unitId=523543};{level=513;advance=36;unitId=514661};{level=513;advance=36;unitId=532473};{level=513;advance=36;unitId=541951}>,<{level=513;advance=36;unitId=532303}>,,,,<<13;0;22%>;<24;0;22%>>,{502=1;451=50;gold=520000},<<gold;520000;1>;<451;50;1>;<502;1;1>>,130,130,130,第57关
200058,,,515,battle/scene/bg_tower.jpg,,,,5,2105,2105,2105,515,515,,,,26,,config/portrait/jinglingtouxiang1/img_805_lls@.png,,,,,,,<cn>,<{level=515;advance=36;unitId=510571};{level=515;advance=36;unitId=522991};{level=515;advance=36;unitId=511901};{level=515;advance=36;unitId=532233};{level=515;advance=36;unitId=544013}>,<{level=515;advance=36;unitId=534141}>,<{level=515;advance=36;unitId=510254};{level=515;advance=36;unitId=522822};{level=515;advance=36;unitId=513662};{level=515;advance=36;unitId=533021};{level=515;advance=36;unitId=544141}>,<{level=515;advance=36;unitId=530901}>,,,,<<1;0;22%>;<24;0;22%>>,{rmb=100;451=50;gold=520000},<<gold;520000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第58关
200059,,,517,battle/scene/bg_grass.jpg,,,,5,2140,2140,2140,517,517,,,,26,,config/portrait/jinglingtouxiang1/img_802_mxd@.png,,,,,,,<cn>,<{level=517;advance=36;unitId=512991};{level=517;advance=36;unitId=520883};{level=517;advance=36;unitId=513673};{level=517;advance=36;unitId=534012};{level=517;advance=36;unitId=544041}>,<{level=517;advance=36;unitId=534121}>,<{level=517;advance=36;unitId=514192};{level=517;advance=36;unitId=523251};{level=517;advance=36;unitId=510323};{level=517;advance=36;unitId=533941};{level=517;advance=36;unitId=541314}>,<{level=517;advance=36;unitId=537071}>,,,,<<27;0;22%>;<24;0;22%>>,{451=50;452=20;gold=520000},<<gold;520000;1>;<451;50;1>;<452;20;1>>,130,130,130,第59关
200060,,,519,battle/scene/bg_night.jpg,,,,5,2175,2175,2175,519,519,,,,26,,config/portrait/jinglingtouxiang1/img_800_nklzm@.png,,,,,【海洋之灵】行动后会回复水系怪物5%的血量，击杀光环怪消除该效果,超能系怪物行动后，奈克洛兹玛触发1次【光子喷涌】，超系系怪物不足4人时解除该效果,<cn>,<{level=519;advance=36;unitId=513641};{level=519;advance=36;unitId=521261};{level=519;advance=36;unitId=517041};{level=519;advance=36;unitId=533631};{level=519;advance=36;unitId=547061}>,<{level=519;advance=36;unitId=560120}>,<{level=519;advance=36;unitId=517071};{level=519;advance=36;unitId=522421};{level=519;advance=36;unitId=514601};{level=519;advance=36;unitId=537111};{level=519;advance=36;unitId=540762}>,<{level=519;advance=36;unitId=570120}>,,,,<<1;1;32%>;<24;0;32%>>,{501=1;451=50;gold=520000},<<gold;520000;1>;<451;50;1>;<501;1;1>>,130,130,130,第60关
200061,,,521,battle/scene/bg_grass.jpg,,,,3,2215,2215,2215,521,521,,,,26,,config/portrait/jinglingtouxiang1/img_440_xfd@.png,,,,,,,<cn>,<{level=521;advance=37;unitId=512232};{level=521;advance=37;unitId=520282};{level=521;advance=37;unitId=511502};{level=521;advance=37;unitId=533772};{level=521;advance=37;unitId=540593}>,<{level=521;advance=37;unitId=530501}>,<{level=521;advance=37;unitId=510992};{level=521;advance=37;unitId=522022};{level=521;advance=37;unitId=510393};{level=521;advance=37;unitId=533143};{level=521;advance=37;unitId=540372}>,<{level=521;advance=37;unitId=530261}>,,,,<<1;1;32%>>,{451=50;452=20;gold=540000},<<gold;540000;1>;<451;50;1>;<452;20;1>>,130,130,130,第61关
200062,,,523,battle/scene/bg_night.jpg,,,,4,2255,2255,2255,523,523,,,,26,,config/portrait/jinglingtouxiang1/img_372_jkl@.png,,,,,,,<cn>,<{level=523;advance=37;unitId=514391};{level=523;advance=37;unitId=520462};{level=523;advance=37;unitId=510273};{level=523;advance=37;unitId=530261};{level=523;advance=37;unitId=540432}>,<{level=523;advance=37;unitId=531892}>,<{level=523;advance=37;unitId=510601};{level=523;advance=37;unitId=523143};{level=523;advance=37;unitId=510793};{level=523;advance=37;unitId=530372};{level=523;advance=37;unitId=543152}>,<{level=523;advance=37;unitId=531398}>,,,,<<1;0;23%>;<28;0;23%>>,{502=1;451=50;gold=540000},<<gold;540000;1>;<451;50;1>;<502;1;1>>,130,130,130,第62关
200063,,,525,battle/scene/bg_sd.jpg,,,,5,2295,2295,2295,525,525,,,,26,,config/portrait/jinglingtouxiang1/img_419_fqy@.png,,,,,,,<cn>,<{level=525;advance=37;unitId=513171};{level=525;advance=37;unitId=521902};{level=525;advance=37;unitId=511072};{level=525;advance=37;unitId=531671};{level=525;advance=37;unitId=543543}>,<{level=525;advance=37;unitId=532132}>,<{level=525;advance=37;unitId=512023};{level=525;advance=37;unitId=521892};{level=525;advance=37;unitId=510321};{level=525;advance=37;unitId=530024};{level=525;advance=37;unitId=542721}>,<{level=525;advance=37;unitId=531671}>,,,,<<9;0;22%>;<10;0;22%>;<24;0;22%>>,{rmb=100;451=50;gold=540000},<<gold;540000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第63关
200064,,,527,battle/scene/bg_tower.jpg,,,,5,2335,2335,2335,527,527,,,,26,,config/portrait/jinglingtouxiang1/img_636_rsc@.png,,,,,,,<cn>,<{level=527;advance=37;unitId=514131};{level=527;advance=37;unitId=520991};{level=527;advance=37;unitId=512241};{level=527;advance=37;unitId=533181};{level=527;advance=37;unitId=540403}>,<{level=527;advance=37;unitId=533151}>,<{level=527;advance=37;unitId=510901};{level=527;advance=37;unitId=521893};{level=527;advance=37;unitId=510161};{level=527;advance=37;unitId=531903};{level=527;advance=37;unitId=541396}>,<{level=527;advance=37;unitId=532023}>,,,,<<9;0;22%>;<10;0;22%>>,{451=50;452=20;gold=540000},<<gold;540000;1>;<451;50;1>;<452;20;1>>,130,130,130,第64关
200065,,,529,battle/scene/bg_grass.jpg,,,,5,2375,2375,2375,529,529,,,,26,,config/portrait/jinglingtouxiang1/img_282_sgcjsnd@.png,,,,,基拉祈每个大回合为钢/妖系怪物许愿，分别添加【反击之愿】【协战之愿】【追击之愿】中的其中2到3种,随机1只精灵被永久【魅惑】，击杀沙奈朵和艾路雷多解除该效果,<cn>,<{level=529;advance=37;unitId=510251};{level=529;advance=37;unitId=523353};{level=529;advance=37;unitId=512232};{level=529;advance=37;unitId=531393};{level=529;advance=37;unitId=541394}>,<{level=529;advance=37;unitId=560130}>,<{level=529;advance=37;unitId=513412};{level=529;advance=37;unitId=521903};{level=529;advance=37;unitId=513412};{level=529;advance=37;unitId=534111};{level=529;advance=37;unitId=544031}>,<{level=529;advance=37;unitId=570130}>,,,,<<9;1;28%>;<10;0;28%>;<24;0;28%>>,{519=1;451=50;gold=540000},<<gold;540000;1>;<451;50;1>;<519;1;1>>,130,130,130,第65关
200066,,,531,battle/scene/bg_night.jpg,,,,3,2415,2415,2415,531,531,,,,26,,config/portrait/jinglingtouxiang1/img_379_ljsql@.png,,,,,,,<cn>,<{level=531;advance=37;unitId=512244};{level=531;advance=37;unitId=520163};{level=531;advance=37;unitId=514852};{level=531;advance=37;unitId=531423};{level=531;advance=37;unitId=540701}>,<{level=531;advance=37;unitId=531931}>,<{level=531;advance=37;unitId=510883};{level=531;advance=37;unitId=520753};{level=531;advance=37;unitId=513843};{level=531;advance=37;unitId=530382};{level=531;advance=37;unitId=540492}>,<{level=531;advance=37;unitId=533541}>,,,,<<7;1;32%>;<8;1;32%>>,{451=50;452=20;gold=560000},<<gold;560000;1>;<451;50;1>;<452;20;1>>,130,130,130,第66关
200067,,,533,battle/scene/bg_sd.jpg,,,,4,2455,2455,2455,533,533,,,,26,,config/portrait/jinglingtouxiang1/img_126_yzhs@.png,,,,,,,<cn>,<{level=533;advance=37;unitId=511653};{level=533;advance=37;unitId=523021};{level=533;advance=37;unitId=513413};{level=533;advance=37;unitId=530252};{level=533;advance=37;unitId=541072}>,<{level=533;advance=37;unitId=530602}>,<{level=533;advance=37;unitId=513842};{level=533;advance=37;unitId=521803};{level=533;advance=37;unitId=512411};{level=533;advance=37;unitId=530741};{level=533;advance=37;unitId=542033}>,<{level=533;advance=37;unitId=533302}>,,,,<<7;0;23%>;<8;0;23%>;<14;0;23%>>,{502=1;451=50;gold=560000},<<gold;560000;1>;<451;50;1>;<502;1;1>>,130,130,130,第67关
