变量名,_beizhu,huodongID,taskType,taskParam,taskSpecialParam,desc,award,vip,activeDays,jumpTo
3012,日常活动-困难副本挑战,3002,30,10,,困难副本挑战10次,{100=2;gold=30000;13=5},,,
3013,日常活动-困难副本挑战,3002,30,15,,困难副本挑战15次,{100=3;gold=40000;13=5},,,
3014,日常活动-困难副本挑战,3002,30,20,,困难副本挑战20次,{100=3;gold=50000;13=5},,,
3015,日常活动-困难副本挑战,3002,30,30,,困难副本挑战30次,{100=5;gold=60000;13=5},,,
3016,日常活动-困难副本挑战,3002,30,40,,困难副本挑战40次,{950=10;gold=80000;14=12},,,
3017,日常活动-困难副本挑战,3002,30,50,,困难副本挑战50次,{950=10;gold=80000;14=12},,,
,,,,,,,,,,
3021,日常活动-以太乐园积分,3003,62,3000,,以太乐园积分达到3000,{coin2=100;4000=10},,,
3022,日常活动-以太乐园积分,3003,62,6000,,以太乐园积分达到6000,{coin2=100;4000=10},,,
3023,日常活动-以太乐园积分,3003,62,10000,,以太乐园积分达到10000,{coin2=100;4000=10},,,
3024,日常活动-以太乐园积分,3003,62,12000,,以太乐园积分达到12000,{coin2=100;4000=10},,,
3025,日常活动-以太乐园积分,3003,62,14000,,以太乐园积分达到14000,{coin2=200;4000=10},,,
3026,日常活动-以太乐园积分,3003,62,16000,,以太乐园积分达到16000,{coin2=200;4000=10},,,
3027,日常活动-以太乐园积分,3003,62,18000,,以太乐园积分达到18000,{coin2=200;4000=10},,,
3028,日常活动-以太乐园积分,3003,62,20000,,以太乐园积分达到20000,{coin2=300;4000=10},,,
,,,,,,,,,,
3031,日常活动-点金次数,3004,18,1,,点金1次,{13=2;gold=50000},,,
3032,日常活动-点金次数,3004,18,3,,点金3次,{13=4;gold=80000},,,
3033,日常活动-点金次数,3004,18,5,,点金5次,{13=6;gold=100000},,,
3034,日常活动-点金次数,3004,18,8,,点金8次,{13=8;gold=120000},,,
3035,日常活动-点金次数,3004,18,12,,点金12次,{13=10;gold=150000},,,
3036,日常活动-点金次数,3004,18,16,,点金16次,{13=15;gold=200000},,,
3037,日常活动-点金次数,3004,18,20,,点金20次,{13=20;gold=300000},,,
,,,,,,,,,,
3041,日常活动-金币消耗,3005,20,300000,,消耗300000金币,{850=20;13=10;gold=45000},,,
3042,日常活动-金币消耗,3005,20,600000,,消耗600000金币,{850=20;13=10;gold=90000},,,
3043,日常活动-金币消耗,3005,20,1000000,,消耗1000000金币,{850=40;13=10;gold=120000},,,
3044,日常活动-金币消耗,3005,20,2000000,,消耗2000000金币,{850=40;13=20;gold=180000},,,
3045,日常活动-金币消耗,3005,20,4000000,,消耗4000000金币,{503=1;13=20;gold=250000},,,
3046,日常活动-金币消耗,3005,20,6000000,,消耗6000000金币,{850=60;13=30;gold=400000},,,
3047,日常活动-金币消耗,3005,20,8000000,,消耗8000000金币,{850=60;13=30;gold=640000},,,
3048,日常活动-金币消耗,3005,20,10000000,,消耗10000000金币,{850=60;13=50;gold=800000},,,
3049,日常活动-金币消耗,3005,20,12000000,,消耗12000000金币,{501=1;13=50;gold=960000},,,
,,,,,,,,,,
3051,日常活动-购买体力,3006,26,1,,购买体力1次,{516=1;13=10;930=5;gold=30000},,,
3052,日常活动-购买体力,3006,26,3,,购买体力3次,{516=3;13=20;930=10;gold=50000},,,
3053,日常活动-购买体力,3006,26,5,,购买体力5次,{516=5;13=30;930=10;gold=80000},,,
3054,日常活动-购买体力,3006,26,7,,购买体力7次,{516=6;14=15;930=20;gold=120000},,,
3055,日常活动-购买体力,3006,26,9,,购买体力9次,{516=7;14=25;930=25;gold=150000},,,
3056,日常活动-购买体力,3006,26,12,,购买体力12次,{516=8;14=35;930=30;gold=200000},,,
,,,,,,,,,,
3061,日常活动-竞技积分,3007,43,4,,竞技场积分达到4,{coin1=100;gold=20000},,,
3062,日常活动-竞技积分,3007,43,6,,竞技场积分达到6,{coin1=100;gold=20000},,,
3063,日常活动-竞技积分,3007,43,8,,竞技场积分达到8,{coin1=100;gold=20000},,,
3064,日常活动-竞技积分,3007,43,10,,竞技场积分达到10,{coin1=200;502=1},,,
3065,日常活动-竞技积分,3007,43,12,,竞技场积分达到12,{coin1=200;gold=30000},,,
3066,日常活动-竞技积分,3007,43,16,,竞技场积分达到16,{coin1=200;gold=30000},,,
3067,日常活动-竞技积分,3007,43,20,,竞技场积分达到20,{coin1=300;502=2},,,
,,,,,,,,,,
3071,元素净化-万能碎片,3008,66,1,,元素挑战完成1次,{rmb=10;gold=50000;2103=1},,,
3072,元素净化-万能碎片,3008,66,2,,元素挑战完成2次.,{rmb=30;gold=80000;2103=2},,,
3073,元素净化-万能碎片,3008,66,3,,元素挑战完成3次.,{502=3;gold=100000;2103=3},,,
,,,,,,,,,,
3501,日常登录-送饰品升星道具-戴鲁比,3051,17,1,,累计登录1天,{21171=5;gold=20000;12=15},,,
3502,日常登录-送饰品升星道具-戴鲁比,3051,17,2,,累计登录2天,{2103=5;gold=20000;12=15},,,
3503,日常登录-送饰品升星道具-戴鲁比,3051,17,3,,累计登录3天,{21171=8;gold=30000;12=20},,,
3504,日常登录-送饰品升星道具-戴鲁比,3051,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3505,日常登录-送饰品升星道具-戴鲁比,3051,17,5,,累计登录5天,{501=1;gold=50000;12=30},,,
,,,,,,,,,,
3511,日常登录-送探险券-鸭嘴宝宝,3052,17,1,,累计登录1天,{20601=5;gold=20000;12=15},,,
3512,日常登录-送探险券-鸭嘴宝宝,3052,17,2,,累计登录2天,{520=1;gold=20000;12=15},,,
3513,日常登录-送探险券-鸭嘴宝宝,3052,17,3,,累计登录3天,{20601=8;gold=30000;12=20},,,
3514,日常登录-送探险券-鸭嘴宝宝,3052,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3515,日常登录-送探险券-鸭嘴宝宝,3052,17,5,,累计登录5天,{520=2;gold=50000;12=30},,,
,,,,,,,,,,
3521,日常登录-送万能碎片-大岩蛇,3053,17,1,,累计登录1天,{20401=5;gold=20000;12=15},,,
3522,日常登录-送万能碎片-大岩蛇,3053,17,2,,累计登录2天,{502=1;gold=20000;12=15},,,
3523,日常登录-送万能碎片-大岩蛇,3053,17,3,,累计登录3天,{20401=8;gold=30000;12=20},,,
3524,日常登录-送万能碎片-大岩蛇,3053,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3525,日常登录-送万能碎片-大岩蛇,3053,17,5,,累计登录5天,{502=3;gold=50000;12=30},,,
,,,,,,,,,,
3531,日常登录-送饰品升星道具,3054,17,1,,累计登录1天,{20491=5;gold=20000;12=15},,,
3532,日常登录-送饰品升星道具,3054,17,2,,累计登录2天,{2103=5;gold=20000;12=15},,,
3533,日常登录-送饰品升星道具,3054,17,3,,累计登录3天,{20491=8;gold=30000;12=20},,,
3534,日常登录-送饰品升星道具,3054,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3535,日常登录-送饰品升星道具,3054,17,5,,累计登录5天,{501=1;gold=50000;12=30},,,
,,,,,,,,,,
3541,日常登录-送万能碎片,3055,17,1,,累计登录1天,{20571=5;gold=20000;12=15},,,
3542,日常登录-送万能碎片,3055,17,2,,累计登录2天,{502=1;gold=20000;12=15},,,
3543,日常登录-送万能碎片,3055,17,3,,累计登录3天,{20571=8;gold=30000;12=20},,,
3544,日常登录-送万能碎片,3055,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3545,日常登录-送万能碎片,3055,17,5,,累计登录5天,{502=3;gold=50000;12=30},,,
,,,,,,,,,,
3551,日常登录-送探险券-暴鲤龙,3056,17,1,,累计登录1天,{20631=5;gold=20000;12=15},,,
3552,日常登录-送探险券-暴鲤龙,3056,17,2,,累计登录2天,{520=1;gold=20000;12=15},,,
3553,日常登录-送探险券-暴鲤龙,3056,17,3,,累计登录3天,{20631=8;gold=30000;12=20},,,
3554,日常登录-送探险券-暴鲤龙,3056,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3555,日常登录-送探险券-暴鲤龙,3056,17,5,,累计登录5天,{520=2;gold=50000;12=30},,,
,,,,,,,,,,
3561,日常登录-送饰品升星道具-花蓓蓓碎片,3057,17,1,,累计登录1天,{23351=5;gold=20000;12=15},,,
3562,日常登录-送饰品升星道具-花蓓蓓碎片,3057,17,2,,累计登录2天,{2103=5;gold=20000;12=15},,,
3563,日常登录-送饰品升星道具-花蓓蓓碎片,3057,17,3,,累计登录3天,{23351=8;gold=30000;12=20},,,
3564,日常登录-送饰品升星道具-花蓓蓓碎片,3057,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3565,日常登录-送饰品升星道具-花蓓蓓碎片,3057,17,5,,累计登录5天,{501=1;gold=50000;12=30},,,
,,,,,,,,,,
3571,日常登录-送万能碎片-急冻鸟碎片,3058,17,1,,累计登录1天,{23021=5;gold=20000;12=15},,,
3572,日常登录-送万能碎片-急冻鸟碎片,3058,17,2,,累计登录2天,{502=1;gold=20000;12=15},,,
3573,日常登录-送万能碎片-急冻鸟碎片,3058,17,3,,累计登录3天,{23021=8;gold=30000;12=20},,,
3574,日常登录-送万能碎片-急冻鸟碎片,3058,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3575,日常登录-送万能碎片-急冻鸟碎片,3058,17,5,,累计登录5天,{502=3;gold=50000;12=30},,,
,,,,,,,,,,
3581,日常登录-送探险券-凯西碎片,3059,17,1,,累计登录1天,{20261=5;gold=20000;12=15},,,
3582,日常登录-送探险券-凯西碎片,3059,17,2,,累计登录2天,{520=1;gold=20000;12=15},,,
3583,日常登录-送探险券-凯西碎片,3059,17,3,,累计登录3天,{20261=8;gold=30000;12=20},,,
3584,日常登录-送探险券-凯西碎片,3059,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3585,日常登录-送探险券-凯西碎片,3059,17,5,,累计登录5天,{520=2;gold=50000;12=30},,,
,,,,,,,,,,
3591,日常登录-送饰品升星道具-可可多拉碎片,3060,17,1,,累计登录1天,{21501=5;gold=20000;12=15},,,
3592,日常登录-送饰品升星道具-可可多拉碎片,3060,17,2,,累计登录2天,{2103=5;gold=20000;12=15},,,
3593,日常登录-送饰品升星道具-可可多拉碎片,3060,17,3,,累计登录3天,{21501=8;gold=30000;12=20},,,
3594,日常登录-送饰品升星道具-可可多拉碎片,3060,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3595,日常登录-送饰品升星道具-可可多拉碎片,3060,17,5,,累计登录5天,{501=1;gold=50000;12=30},,,
,,,,,,,,,,
3601,日常登录-送万能碎片-木守宫碎片,3061,17,1,,累计登录1天,{21291=5;gold=20000;12=15},,,
3602,日常登录-送万能碎片-木守宫碎片,3061,17,2,,累计登录2天,{502=1;gold=20000;12=15},,,
3603,日常登录-送万能碎片-木守宫碎片,3061,17,3,,累计登录3天,{21291=8;gold=30000;12=20},,,
3604,日常登录-送万能碎片-木守宫碎片,3061,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3605,日常登录-送万能碎片-木守宫碎片,3061,17,5,,累计登录5天,{502=3;gold=50000;12=30},,,
,,,,,,,,,,
3611,日常登录-送探险券-小磁怪碎片,3062,17,1,,累计登录1天,{20331=5;gold=20000;12=15},,,
3612,日常登录-送探险券-小磁怪碎片,3062,17,2,,累计登录2天,{520=1;gold=20000;12=15},,,
3613,日常登录-送探险券-小磁怪碎片,3062,17,3,,累计登录3天,{20331=8;gold=30000;12=20},,,
3614,日常登录-送探险券-小磁怪碎片,3062,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3615,日常登录-送探险券-小磁怪碎片,3062,17,5,,累计登录5天,{520=2;gold=50000;12=30},,,
,,,,,,,,,,
3621,日常登录-送饰品升星道具-卡比兽碎片,3063,17,1,,累计登录1天,{20711=5;gold=20000;12=15},,,
3622,日常登录-送饰品升星道具-卡比兽碎片,3063,17,2,,累计登录2天,{2103=5;gold=20000;12=15},,,
3623,日常登录-送饰品升星道具-卡比兽碎片,3063,17,3,,累计登录3天,{20711=8;gold=30000;12=20},,,
3624,日常登录-送饰品升星道具-卡比兽碎片,3063,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3625,日常登录-送饰品升星道具-卡比兽碎片,3063,17,5,,累计登录5天,{501=1;gold=50000;12=30},,,
,,,,,,,,,,
3630,日常登录-送万能碎片-懒人赖碎片,3064,17,1,,累计登录1天,{21421=5;gold=20000;12=15},,,
3631,日常登录-送万能碎片-懒人赖碎片,3064,17,2,,累计登录2天,{502=1;gold=20000;12=15},,,
3632,日常登录-送万能碎片-懒人赖碎片,3064,17,3,,累计登录3天,{21421=8;gold=30000;12=20},,,
3633,日常登录-送万能碎片-懒人赖碎片,3064,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3634,日常登录-送万能碎片-懒人赖碎片,3064,17,5,,累计登录5天,{502=3;gold=50000;12=30},,,
,,,,,,,,,,
3640,日常登录-送探险券-拉鲁拉丝碎片,3065,17,1,,累计登录1天,{21421=5;gold=20000;12=15},,,
3641,日常登录-送探险券-拉鲁拉丝碎片,3065,17,2,,累计登录2天,{502=1;gold=20000;12=15},,,
3642,日常登录-送探险券-拉鲁拉丝碎片,3065,17,3,,累计登录3天,{21421=8;gold=30000;12=20},,,
3643,日常登录-送探险券-拉鲁拉丝碎片,3065,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3644,日常登录-送探险券-拉鲁拉丝碎片,3065,17,5,,累计登录5天,{502=3;gold=50000;12=30},,,
,,,,,,,,,,
3650,日常登录-送饰品升星道具-夜巡灵碎片,3066,17,1,,累计登录1天,{21811=5;gold=20000;12=15},,,
3651,日常登录-送饰品升星道具-夜巡灵碎片,3066,17,2,,累计登录2天,{2103=5;gold=20000;12=15},,,
3652,日常登录-送饰品升星道具-夜巡灵碎片,3066,17,3,,累计登录3天,{21811=8;gold=30000;12=20},,,
3653,日常登录-送饰品升星道具-夜巡灵碎片,3066,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3654,日常登录-送饰品升星道具-夜巡灵碎片,3066,17,5,,累计登录5天,{501=1;gold=50000;12=30},,,
,,,,,,,,,,
3660,日常登录-送万能碎片-风速狗碎片,3067,17,1,,累计登录1天,{20241=5;gold=20000;12=15},,,
3661,日常登录-送万能碎片-风速狗碎片,3067,17,2,,累计登录2天,{502=1;gold=20000;12=15},,,
3662,日常登录-送万能碎片-风速狗碎片,3067,17,3,,累计登录3天,{20241=8;gold=30000;12=20},,,
3663,日常登录-送万能碎片-风速狗碎片,3067,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3664,日常登录-送万能碎片-风速狗碎片,3067,17,5,,累计登录5天,{502=3;gold=50000;12=30},,,
,,,,,,,,,,
3670,日常登录-送探险券-黏黏宝碎片,3068,17,1,,累计登录1天,{23541=5;gold=20000;12=15},,,
3671,日常登录-送探险券-黏黏宝碎片,3068,17,2,,累计登录2天,{520=1;gold=20000;12=15},,,
3672,日常登录-送探险券-黏黏宝碎片,3068,17,3,,累计登录3天,{23541=8;gold=30000;12=20},,,
3673,日常登录-送探险券-黏黏宝碎片,3068,17,4,,累计登录4天,{rmb=168;gold=30000;12=20},,,
3674,日常登录-送探险券-黏黏宝碎片,3068,17,5,,累计登录5天,{520=2;gold=50000;12=30},,,
,,,,,,,,,,
8002,活跃夺宝任务,8001,20,1000000,,累计消耗100万金币,{gold=2000},,,
8003,活跃夺宝任务,8001,41,10,,竞技场战斗10次,{gold=2000},,,
8004,测试任务,8001,22,300,,今日充值300钻石,{gold=2000},,,
8005,测试任务,8001,21,300,,今日消费300钻石,{gold=2000},,,
8006,测试任务,8001,29,50,,挑战普通关卡50次,{gold=2000},,,
8012,活跃夺宝任务,8002,20,1000000,,累计消耗100万金币,{gold=2000},,,
8013,活跃夺宝任务,8002,41,10,,竞技场战斗10次,{gold=2000},,,
8014,测试任务,8002,22,300,,今日充值300钻石,{gold=2000},,,
8015,测试任务,8002,21,300,,今日消费300钻石,{gold=2000},,,
8016,测试任务,8002,29,50,,挑战普通关卡50次,{gold=2000},,,
8022,活跃夺宝任务,8003,20,1000000,,累计消耗100万金币,{gold=2000},,,
8023,活跃夺宝任务,8003,41,10,,竞技场战斗10次,{gold=2000},,,
8024,测试任务,8003,22,300,,今日充值300钻石,{gold=2000},,,
8025,测试任务,8003,21,300,,今日消费300钻石,{gold=2000},,,
8026,测试任务,8003,29,50,,挑战普通关卡50次,{gold=2000},,,
8032,活跃夺宝任务,8004,20,1000000,,累计消耗100万金币,{gold=2000},,,
8033,活跃夺宝任务,8004,41,10,,竞技场战斗10次,{gold=2000},,,
8034,测试任务,8004,22,300,,今日充值300钻石,{gold=2000},,,
8035,测试任务,8004,21,300,,今日消费300钻石,{gold=2000},,,
8036,测试任务,8004,29,50,,挑战普通关卡50次,{gold=2000},,,
8042,活跃夺宝任务,8005,20,1000000,,累计消耗100万金币,{gold=2000},,,
8043,活跃夺宝任务,8005,41,10,,竞技场战斗10次,{gold=2000},,,
8044,测试任务,8005,22,300,,今日充值300钻石,{gold=2000},,,
8045,测试任务,8005,21,300,,今日消费300钻石,{gold=2000},,,
8046,测试任务,8005,29,50,,挑战普通关卡50次,{gold=2000},,,
8052,活跃夺宝任务,8006,20,1000000,,累计消耗100万金币,{gold=2000},,,
8053,活跃夺宝任务,8006,41,10,,竞技场战斗10次,{gold=2000},,,
8054,测试任务,8006,22,300,,今日充值300钻石,{gold=2000},,,
8055,测试任务,8006,21,300,,今日消费300钻石,{gold=2000},,,
8056,测试任务,8006,29,50,,挑战普通关卡50次,{gold=2000},,,
8062,活跃夺宝任务,8007,20,1000000,,累计消耗100万金币,{gold=2000},,,
8063,活跃夺宝任务,8007,41,10,,竞技场战斗10次,{gold=2000},,,
8064,测试任务,8007,22,300,,今日充值300钻石,{gold=2000},,,
8065,测试任务,8007,21,300,,今日消费300钻石,{gold=2000},,,
8066,测试任务,8007,29,50,,挑战普通关卡50次,{gold=2000},,,
8072,活跃夺宝任务,8008,20,1000000,,累计消耗100万金币,{gold=2000},,,
8073,活跃夺宝任务,8008,41,10,,竞技场战斗10次,{gold=2000},,,
8074,测试任务,8008,22,300,,今日充值300钻石,{gold=2000},,,
8075,测试任务,8008,21,300,,今日消费300钻石,{gold=2000},,,
8076,测试任务,8008,29,50,,挑战普通关卡50次,{gold=2000},,,
8082,活跃夺宝任务,8009,20,1000000,,累计消耗100万金币,{gold=2000},,,
8083,活跃夺宝任务,8009,41,10,,竞技场战斗10次,{gold=2000},,,
8084,测试任务,8009,22,300,,今日充值300钻石,{gold=2000},,,
8085,测试任务,8009,21,300,,今日消费300钻石,{gold=2000},,,
8086,测试任务,8009,29,50,,挑战普通关卡50次,{gold=2000},,,
8092,活跃夺宝任务,8010,20,1000000,,累计消耗100万金币,{gold=2000},,,
8093,活跃夺宝任务,8010,41,10,,竞技场战斗10次,{gold=2000},,,
8094,测试任务,8010,22,300,,今日充值300钻石,{gold=2000},,,
8095,测试任务,8010,21,300,,今日消费300钻石,{gold=2000},,,
8096,测试任务,8010,29,50,,挑战普通关卡50次,{gold=2000},,,
8102,活跃夺宝任务,8011,20,1000000,,累计消耗100万金币,{gold=2000},,,
8103,活跃夺宝任务,8011,41,10,,竞技场战斗10次,{gold=2000},,,
8104,测试任务,8011,22,300,,今日充值300钻石,{gold=2000},,,
8105,测试任务,8011,21,300,,今日消费300钻石,{gold=2000},,,
8106,测试任务,8011,29,50,,挑战普通关卡50次,{gold=2000},,,
,,,,,,,,,,
10001,兑换活动-充值送资源购物券,10001,22,60,,充值60钻石,{gold=60000;850=100;rmb=60;14=10},,,
10002,兑换活动-充值送资源购物券,10001,22,300,,充值300钻石,{gold=60000;6302=10;5000=30;14=10},,,
10003,兑换活动-充值送资源购物券,10001,22,600,,充值600钻石,{gold=60000;851=50;930=30;14=10},,,
10004,兑换活动-充值送资源购物券,10001,22,980,,充值980钻石,{gold=80000;902=10;2102=5;14=15},,,
10005,兑换活动-充值送资源购物券,10001,22,1980,,充值1980钻石,{gold=80000;6302=20;2102=5;14=15},,,
10006,兑换活动-充值送资源购物券,10001,22,3280,,充值3280钻石,{gold=100000;902=20;2102=5;14=15},,,
10007,兑换活动-充值送资源购物券,10001,22,6480,,充值6480钻石,{gold=100000;502=15;6053=1;14=20},,,
10008,兑换活动-充值送资源购物券,10001,22,9680,,充值9680钻石,{gold=120000;6302=40;6052=1;14=20},,,
10009,兑换活动-充值送资源购物券,10001,22,12000,,充值12000钻石,{gold=120000;902=30;6054=1;14=30},,,
10010,兑换活动-充值送资源购物券,10001,22,15000,,充值15000钻石,{gold=180000;502=30;6051=1;14=30},,,
10011,兑换活动-充值送资源购物券,10001,22,20000,,充值20000钻石,{gold=200000;6302=60;942=1;14=50},,,
10012,兑换活动-充值送资源购物券,10001,22,25000,,充值25000钻石,{gold=300000;502=50;902=50;14=50},,,
,,,,,,,,,,
10021,兑换活动-消耗送资源购物券,10002,21,300,,累计消耗300钻石,{gold=60000;6302=1;930=5},,,
10022,兑换活动-消耗送资源购物券,10002,21,1000,,累计消耗1000钻石,{gold=80000;6302=3;930=10},,,
10023,兑换活动-消耗送资源购物券,10002,21,2000,,累计消耗2000钻石,{gold=80000;6302=3;501=2},,,
10024,兑换活动-消耗送资源购物券,10002,21,4000,,累计消耗4000钻石,{gold=100000;6302=5;930=10},,,
10025,兑换活动-消耗送资源购物券,10002,21,7000,,累计消耗7000钻石,{gold=120000;6302=10;930=15},,,
10026,兑换活动-消耗送资源购物券,10002,21,10000,,累计消耗10000钻石,{gold=120000;6302=10;930=15},,,
10027,兑换活动-消耗送资源购物券,10002,21,14000,,累计消耗14000钻石,{gold=140000;6302=10;6050=1},,,
10028,兑换活动-消耗送资源购物券,10002,21,18000,,累计消耗18000钻石,{gold=160000;6302=15;930=20},,,
10029,兑换活动-消耗送资源购物券,10002,21,22000,,累计消耗22000钻石,{gold=180000;6302=15;930=30},,,
10030,兑换活动-消耗送资源购物券,10002,21,25000,,累计消耗25000钻石,{gold=200000;6302=20;501=8},,,
,,,,,,,,,,
10041,兑换活动-完成任务送购物券,10003,17,1,,每日登录,{gold=50000;6302=1;14=20},,,
10042,兑换活动-完成任务送购物券,10003,22,300,,充值300钻石,{gold=200000;6302=1;14=20},,,
10043,兑换活动-完成任务送购物券,10003,20,1000000,,消耗1000000金币,{gold=100000;6302=1;14=20},,,
10044,兑换活动-完成任务送购物券,10003,37,1,,精灵升星1次,{gold=100000;6302=1;14=20},,,
10045,兑换活动-完成任务送购物券,10003,29,80,,普通副本挑战80次,{gold=100000;6302=1;14=20},,,
10046,兑换活动-完成任务送购物券,10003,30,40,,困难副本挑战40次,{gold=100000;6302=1;14=20},,,
10047,兑换活动-完成任务送购物券,10003,64,6,,以太乐园通过6层,{gold=100000;6302=1;14=20},,,
10048,兑换活动-完成任务送购物券,10003,41,10,,竞技场战斗10次,{gold=50000;6302=1;14=20},,,
10049,兑换活动-完成任务送购物券,10003,89,20,,努力值培养20次,{gold=50000;6302=1;14=20},,,
10050,兑换活动-完成任务送购物券,10003,26,5,,购买体力5次,{gold=50000;6302=1;14=20},,,
10051,兑换活动-完成任务送购物券,10003,66,3,,元素挑战战斗3次,{gold=50000;6302=1;14=20},,,
10052,兑换活动-完成任务送购物券,10003,35,3,,精灵突破3次,{gold=50000;6302=1;14=20},,,
10053,兑换活动-完成任务送购物券,10003,21,600,,累计消耗600钻石,{gold=50000;6302=1;14=20},,,
,,,,,,,,,,
10061,限时神兽-充值送资源,10004,22,60,,充值60钻石,{gold=60000;850=100;rmb=60;14=10},,,
10062,限时神兽-充值送资源,10004,22,300,,充值300钻石,{gold=60000;850=200;5000=30;14=10},,,
10063,限时神兽-充值送资源,10004,22,600,,充值600钻石,{gold=60000;851=50;930=30;14=10},,,
10064,限时神兽-充值送资源,10004,22,980,,充值980钻石,{gold=80000;902=10;2102=5;14=15},,,
10065,限时神兽-充值送资源,10004,22,1980,,充值1980钻石,{gold=80000;502=10;2102=5;14=15},,,
10066,限时神兽-充值送资源,10004,22,3280,,充值3280钻石,{gold=100000;902=20;2102=5;14=15},,,
10067,限时神兽-充值送资源,10004,22,6480,,充值6480钻石,{gold=100000;502=15;6053=1;14=20},,,
10068,限时神兽-充值送资源,10004,22,9680,,充值9680钻石,{gold=120000;501=5;6052=1;14=20},,,
10069,限时神兽-充值送资源,10004,22,12000,,充值12000钻石,{gold=120000;902=30;6054=1;14=30},,,
10070,限时神兽-充值送资源,10004,22,15000,,充值15000钻石,{gold=180000;502=30;6051=1;14=30},,,
10071,限时神兽-充值送资源,10004,22,20000,,充值20000钻石,{gold=200000;902=50;942=1;14=50},,,
10072,限时神兽-充值送资源,10004,22,25000,,充值25000钻石,{gold=300000;502=50;902=50;14=50},,,
,,,,,,,,,,
10081,充值送橙色携带道具,10005,22,60,,充值60钻石,{gold=60000;2102=10;rmb=60;14=10},,,
10082,充值送橙色携带道具,10005,22,300,,充值300钻石,{gold=60000;2102=10;5000=30;14=10},,,
10083,充值送橙色携带道具,10005,22,600,,充值600钻石,{gold=60000;2102=10;930=30;14=10},,,
10084,充值送橙色携带道具,10005,22,980,,充值980钻石,{gold=80000;902=10;2103=5;14=15},,,
10085,充值送橙色携带道具,10005,22,1980,,充值1980钻石,{gold=80000;502=10;2103=7;14=15},,,
10086,充值送橙色携带道具,10005,22,3280,,充值3280钻石,{gold=100000;902=20;2103=10;14=15},,,
10087,充值送橙色携带道具,10005,22,6480,,充值6480钻石,{gold=100000;942=1;6053=1;14=20},,,
10088,充值送橙色携带道具,10005,22,9680,,充值9680钻石,{gold=120000;502=15;6052=1;14=20},,,
10089,充值送橙色携带道具,10005,22,12000,,充值12000钻石,{gold=120000;942=1;6054=1;14=30},,,
10090,充值送橙色携带道具,10005,22,15000,,充值15000钻石,{gold=180000;502=30;6051=1;14=30},,,
10091,充值送橙色携带道具,10005,22,20000,,充值20000钻石,{gold=200000;902=50;30403=1;14=50},,,
10092,充值送橙色携带道具,10005,22,25000,,充值25000钻石,{gold=300000;502=50;902=50;14=50},,,
,,,,,,,,,,
10101,消耗送雷公碎片,10006,21,300,,累计消耗300钻石,{gold=60000;5000=10;930=10},,,
10102,消耗送雷公碎片,10006,21,1000,,累计消耗1000钻石,{gold=80000;5000=15;21221=10},,,
10103,消耗送雷公碎片,10006,21,2000,,累计消耗2000钻石,{gold=80000;5000=10;452=20},,,
10104,消耗送雷公碎片,10006,21,4000,,累计消耗4000钻石,{gold=100000;5000=15;21221=20},,,
10105,消耗送雷公碎片,10006,21,7000,,累计消耗7000钻石,{gold=120000;5000=15;452=30},,,
10106,消耗送雷公碎片,10006,21,10000,,累计消耗10000钻石,{gold=120000;5000=15;21221=30},,,
10107,消耗送雷公碎片,10006,21,14000,,累计消耗14000钻石,{gold=140000;5000=20;452=40},,,
10108,消耗送雷公碎片,10006,21,18000,,累计消耗18000钻石,{gold=160000;5000=20;21221=40},,,
10109,消耗送雷公碎片,10006,21,22000,,累计消耗22000钻石,{gold=180000;5000=25;452=50},,,
10110,消耗送雷公碎片,10006,21,25000,,累计消耗25000钻石,{gold=200000;5000=30;21221=50},,,
,,,,,,,,,,
,,,,,,,,,,
10111,抽探险器,10007,94,5,,探险寻宝5次,{gold=20000;4000=50;961=1},,,
10112,抽探险器,10007,94,10,,探险寻宝10次,{gold=30000;4000=50},,,
10113,抽探险器,10007,94,30,,探险寻宝30次,{gold=40000;4000=100;962=1},,,
10114,抽探险器,10007,94,50,,探险寻宝50次,{gold=50000;4000=100},,,
10115,抽探险器,10007,94,70,,探险寻宝70次,{gold=60000;4000=100;962=1},,,
10116,抽探险器,10007,94,100,,探险寻宝100次,{gold=80000;4000=200},,,
10117,抽探险器,10007,94,150,,探险寻宝150次,{gold=100000;4000=200;963=1},,,
