变量名,_yyId,_beizhu,card1,res1,resScale1,resPos1,titleRes1,posRes1,card2,res2,resScale2,resPos2,titleRes2,posRes2
104,,起源梦幻/索尔迦雷欧,7041,config/big_hero/normal/img_151_qymh@.png,2,,common/txt/txt_qymh.png,common/txt/txt_dw_qymh.png,4023,config/big_hero/normal/img_791_sejlo@.png,2,,common/txt/txt_sejlo.png,common/txt/txt_dw_sejlo.png
105,,伊裴尔塔尔/时拉比,3611,config/big_hero/normal/img_717_ypete@.png,2,,common/txt/txt_ypete.png,common/txt/txt_dw_ypete.png,1281,config/big_hero/normal/img_251_slb@.png,2,,common/txt/txt_slb.png,common/txt/txt_dw_slb.png
106,,美洛耶塔·歌声/比克提尼,3261,config/big_hero/normal/img_648_mlyt@.png,2,,common/txt/txt_mlyt.png,common/txt/txt_dw_mlyt.png,2461,config/big_hero/normal/img_494_bktn@.png,2,,common/txt/txt_bktn.png,common/txt/txt_dw_bktn.png
107,,谢米/盖诺赛克特,2441,config/big_hero/normal/img_492_xm@.png,2,,common/txt/txt_xm.png,common/txt/txt_dw_xm.png,3271,config/big_hero/normal/img_649_gnskt@.png,2,,common/txt/txt_gnskt.png,common/txt/txt_dw_gnskt.png
108,,基拉祈/基格尔德·100%,1991,config/big_hero/normal/img_385_jlq@.png,2,,common/txt/txt_jlq.png,common/txt/txt_dw_jlq.png,3623,config/big_hero/normal/img_718_jged100@.png,2,,common/txt/txt_jged.png,common/txt/txt_dw_jged.png
109,,苍响/闪光超级艾路雷朵,4591,config/big_hero/normal/img_888_cx@.png,2,,common/txt/txt_cx.png,common/txt/txt_dw_cx.png,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png
110,,时拉比/雷吉奇卡斯,1281,config/big_hero/normal/img_251_slb@.png,2,,common/txt/txt_slb.png,common/txt/txt_dw_slb.png,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,,common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png
111,,闪光超级艾路雷朵/萨戮德,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png,4631,config/big_hero/normal/img_893_sld@.png,2,,common/txt/txt_sld.png,common/txt/txt_dw_sld.png
112,,美录坦/惩戒胡帕,4171,config/big_hero/normal/img_809_mlmt@.png,2,,common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png,3641,config/big_hero/normal/img_720_cjhp@.png,2,,common/txt/txt_cjhp.png,common/txt/txt_dw_hp.png
113,,捷克罗姆/比克提尼,3221,config/big_hero/normal/img_644_jklm@.png,2,,common/txt/txt_jklm.png,common/txt/txt_dw_jklm.png,2461,config/big_hero/normal/img_494_bktn@.png,2,,common/txt/txt_bktn.png,common/txt/txt_dw_bktn.png
114,,凯路迪欧·觉悟/大吾超级巨金怪,7071,config/big_hero/normal/img_647_kldojwxt@.png,2,,common/txt/txt_kldojw.png,common/txt/txt_dw_kldojw.png,7081,config/big_hero/normal/img_376_sgcjjjg@.png,2,,common/txt/txt_djcjkls.png,common/txt/txt_dw_djcjkls.png
115,,苍响/蕾冠王·黑马,4591,config/big_hero/normal/img_888_cx@.png,2,,common/txt/txt_cx.png,common/txt/txt_dw_cx.png,4683,config/big_hero/normal/img_898_lgwhm@.png,2,,common/txt/txt_lgwhm.png,common/txt/txt_dw_lgwhm.png
116,,基格尔德·100%/雷吉奇卡斯,3623,config/big_hero/normal/img_718_jged100@.png,2,,common/txt/txt_jged.png,common/txt/txt_dw_jged.png,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,,common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png
117,,基拉祈/玛机雅娜,1991,config/big_hero/normal/img_385_jlq@.png,2,,common/txt/txt_jlq.png,common/txt/txt_dw_jlq.png,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png
118,,盖诺赛克特/闪光超级艾路雷朵,3271,config/big_hero/normal/img_649_gnskt@.png,2,,common/txt/txt_gnskt.png,common/txt/txt_dw_gnskt.png,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png
119,,巨钳螳螂/萨戮德,572,config/big_hero/normal/img_212_jqtl@.png,2,,common/txt/txt_sgcjjjg.png,common/txt/txt_dw_sgcjjjg.png,4631,config/big_hero/normal/img_893_sld@.png,2,,common/txt/txt_sld.png,common/txt/txt_dw_sld.png
120,,百变怪·红色,9003,config/big_hero/normal/img_132_bbg_r@.png,2,,common/txt/txt_bbl.png,common/txt/txt_dw_bbl.png,,,,,,
121,,闪光超级路卡利欧/大吾超级巨金怪,7111,config/big_hero/normal/img_448_sgcjlklo@.png,2,,common/txt/txt_sgcjlklo.png,common/txt/txt_dw_sgcjlklo.png,7081,config/big_hero/normal/img_376_sgcjjjg@.png,2,,common/txt/txt_djcjkls.png,common/txt/txt_dw_djcjkls.png
122,,酋雷姆/莱希拉姆,3241,config/big_hero/normal/img_646_qlm@.png,2,,common/txt/txt_qlm.png,common/txt/txt_dw_qlm.png,3211,config/big_hero/normal/img_643_lxlm@.png,2,,common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png
123,,闪光超级艾路雷朵/起源梦幻,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png,7041,config/big_hero/normal/img_151_qymh@.png,2,,common/txt/txt_qymh.png,common/txt/txt_dw_qymh.png
124,,蕾冠王·白马/蕾冠王·黑马,4682,config/big_hero/normal/img_898_lgwbm@.png,2,,common/txt/txt_lgwbm.png,common/txt/txt_dw_lgwbm.png,4683,config/big_hero/normal/img_898_lgwhm@.png,2,,common/txt/txt_lgwhm.png,common/txt/txt_dw_lgwhm.png
125,,哲尔尼亚斯/基拉祈,3601,config/big_hero/normal/img_716_zenys@.png,2,,common/txt/txt_zenys.png,common/txt/txt_dw_zenys.png,1991,config/big_hero/normal/img_385_jlq@.png,2,,common/txt/txt_jlq.png,common/txt/txt_dw_jlq.png
126,,哲尔尼亚斯/时拉比,3601,config/big_hero/normal/img_716_zenys@.png,2,,common/txt/txt_zenys.png,common/txt/txt_dw_zenys.png,1281,config/big_hero/normal/img_251_slb@.png,2,,common/txt/txt_slb.png,common/txt/txt_dw_slb.png
127,,波尔凯尼恩/基格尔德·100%,3651,config/big_hero/normal/img_721_bekne@.png,2,,common/txt/txt_bekne.png,common/txt/txt_dw_bekne.png,3623,config/big_hero/normal/img_718_jged100@.png,2,,common/txt/txt_jged.png,common/txt/txt_dw_jged.png
128,,巨钳螳螂/闪光超级暴雪王,572,config/big_hero/normal/img_212_jqtl@.png,2,,common/txt/txt_sgcjjjg.png,common/txt/txt_dw_sgcjjjg.png,7131,config/big_hero/normal/img_460_sgcjbxw@.png,2,,common/txt/txt_sgcjbxw.png,common/txt/txt_dw_sgcjbxw.png
129,,美录坦/萨戮德,4171,config/big_hero/normal/img_809_mlmt@.png,2,,common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png,4631,config/big_hero/normal/img_893_sld@.png,2,,common/txt/txt_sld.png,common/txt/txt_dw_sld.png
130,,凯路迪欧·觉悟/萨戮德,7071,config/big_hero/normal/img_647_kldojwxt@.png,2,,common/txt/txt_kldojw.png,common/txt/txt_dw_kldojw.png,4631,config/big_hero/normal/img_893_sld@.png,2,,common/txt/txt_sld.png,common/txt/txt_dw_sld.png
131,,闪光超级路卡利欧/闪光超级暴雪王,7111,config/big_hero/normal/img_448_sgcjlklo@.png,2,,common/txt/txt_sgcjlklo.png,common/txt/txt_dw_sgcjlklo.png,7131,config/big_hero/normal/img_460_sgcjbxw@.png,2,,common/txt/txt_sgcjbxw.png,common/txt/txt_dw_sgcjbxw.png
132,,闪光超级艾路雷朵/凯路迪欧·觉悟,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png,7071,config/big_hero/normal/img_647_kldojwxt@.png,2,,common/txt/txt_kldojw.png,common/txt/txt_dw_kldojw.png
133,,奈克洛兹玛/大吾超级巨金怪,4101,config/big_hero/normal/img_800_nklzm@.png,2,,common/txt/txt_nklzm.png,common/txt/txt_dw_nklzm.png,7081,config/big_hero/normal/img_376_sgcjjjg@.png,2,,common/txt/txt_djcjkls.png,common/txt/txt_dw_djcjkls.png
134,,百变怪·红色,9003,config/big_hero/normal/img_132_bbg_r@.png,2,,common/txt/txt_bbl.png,common/txt/txt_dw_bbl.png,,,,,,
135,,闪光超级班基拉斯/闪光超级耿鬼,7031,config/big_hero/normal/img_248_sgcjbjls@.png,2,,common/txt/txt_sgcjbjls.png,common/txt/txt_dw_sgcjbjls.png,397,config/big_hero/normal/img_94_yscjgg@.png,2,,common/txt/txt_sgcjgg.png,common/txt/txt_dw_sgcjgg.png
136,,露奈雅拉/惩戒胡帕,4024,config/big_hero/normal/img_792_lnyl@.png,2,,common/txt/txt_lnyl.png,common/txt/txt_dw_lnyl.png,3641,config/big_hero/normal/img_720_cjhp@.png,2,,common/txt/txt_cjhp.png,common/txt/txt_dw_hp.png
137,,索尔迦雷欧/闪光超级班基拉斯,4023,config/big_hero/normal/img_791_sejlo@.png,2,,common/txt/txt_sejlo.png,common/txt/txt_dw_sejlo.png,7031,config/big_hero/normal/img_248_sgcjbjls@.png,2,,common/txt/txt_sgcjbjls.png,common/txt/txt_dw_sgcjbjls.png
138,,捷拉奥拉/基格尔德·100%,4161,config/big_hero/normal/img_807_jlal@.png,2,,common/txt/txt_jlal.png,common/txt/txt_dw_jlal.png,3623,config/big_hero/normal/img_718_jged100@.png,2,,common/txt/txt_jged.png,common/txt/txt_dw_jged.png
139,,蕾冠王·白马/无极汰那,4682,config/big_hero/normal/img_898_lgwbm@.png,2,,common/txt/txt_lgwbm.png,common/txt/txt_dw_lgwbm.png,4611,config/big_hero/normal/img_890_wjtn@.png,2,,common/txt/txt_wjtn.png,common/txt/txt_dw_wjtn.png
140,,玛机雅娜/伊裴尔塔尔,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png,3611,config/big_hero/normal/img_717_ypete@.png,2,,common/txt/txt_ypete.png,common/txt/txt_dw_ypete.png
141,,苍响/藏玛然特,4591,config/big_hero/normal/img_888_cx@.png,2,,common/txt/txt_cx.png,common/txt/txt_dw_cx.png,4601,config/big_hero/normal/img_889_zmrt@.png,2,,common/txt/txt_zmrt.png,common/txt/txt_dw_zmrt.png
142,,闪光超级艾路雷朵/闪光超级班基拉斯,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png,7031,config/big_hero/normal/img_248_sgcjbjls@.png,2,,common/txt/txt_sgcjbjls.png,common/txt/txt_dw_sgcjbjls.png
143,,奈克洛兹玛/玛机雅娜,4101,config/big_hero/normal/img_800_nklzm@.png,2,,common/txt/txt_nklzm.png,common/txt/txt_dw_nklzm.png,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png
144,,萨戮德/闪光超级艾路雷朵,4631,config/big_hero/normal/img_893_sld@.png,2,,common/txt/txt_sld.png,common/txt/txt_dw_sld.png,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png
145,,闪光超级蜥蜴王/艾岚超级喷火龙X,7141,config/big_hero/normal/img_254_sgcjxyw@.png,2,,common/txt/txt_sgcjxyw.png,common/txt/txt_dw_sgcjxyw.png,7121,config/big_hero/normal/img_6_alcjphlx@.png,2,,common/txt/txt_alcjphlx.png,common/txt/txt_dw_alcjphlx.png
146,,美录坦/莱希拉姆,4171,config/big_hero/normal/img_809_mlmt@.png,2,,common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png,3211,config/big_hero/normal/img_643_lxlm@.png,2,,common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png
147,,酋雷姆/捷克罗姆,3241,config/big_hero/normal/img_646_qlm@.png,2,,common/txt/txt_qlm.png,common/txt/txt_dw_qlm.png,3221,config/big_hero/normal/img_644_jklm@.png,2,,common/txt/txt_jklm.png,common/txt/txt_dw_jklm.png
148,,露奈雅拉/捷拉奥拉,4024,config/big_hero/normal/img_792_lnyl@.png,2,,common/txt/txt_lnyl.png,common/txt/txt_dw_lnyl.png,4161,config/big_hero/normal/img_807_jlal@.png,2,,common/txt/txt_jlal.png,common/txt/txt_dw_jlal.png
149,,露奈雅拉/起源梦幻,4024,config/big_hero/normal/img_792_lnyl@.png,2,,common/txt/txt_lnyl.png,common/txt/txt_dw_lnyl.png,7041,config/big_hero/normal/img_151_qymh@.png,2,,common/txt/txt_qymh.png,common/txt/txt_dw_qymh.png
150,,闪光超级妙蛙花/闪光超级暴雪王,7151,config/big_hero/normal/img_3_sgcjmwh@.png,2,,common/txt/txt_sgcjmwh.png,common/txt/txt_dw_sgcjmwh.png,7131,config/big_hero/normal/img_460_sgcjbxw@.png,2,,common/txt/txt_sgcjbxw.png,common/txt/txt_dw_sgcjbxw.png
151,,闪光超级艾路雷朵/比克提尼,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png,2461,config/big_hero/normal/img_494_bktn@.png,2,,common/txt/txt_bktn.png,common/txt/txt_dw_bktn.png
152,,密勒顿/无极汰那,5391,config/big_hero/normal/img_1008_mld@.png,2,,common/txt/txt_mld.png,common/txt/txt_dw_mld.png,4611,config/big_hero/normal/img_890_wjtn@.png,2,,common/txt/txt_wjtn.png,common/txt/txt_dw_wjtn.png
153,,比克提尼/基格尔德·100%,2461,config/big_hero/normal/img_494_bktn@.png,2,,common/txt/txt_bktn.png,common/txt/txt_dw_bktn.png,3623,config/big_hero/normal/img_718_jged100@.png,2,,common/txt/txt_jged.png,common/txt/txt_dw_jged.png
154,,起源梦幻/盖诺赛克特,7041,config/big_hero/normal/img_151_qymh@.png,2,,common/txt/txt_qymh.png,common/txt/txt_dw_qymh.png,3271,config/big_hero/normal/img_649_gnskt@.png,2,,common/txt/txt_gnskt.png,common/txt/txt_dw_gnskt.png
155,,捷拉奥拉/盖诺赛克特,4161,config/big_hero/normal/img_807_jlal@.png,2,,common/txt/txt_jlal.png,common/txt/txt_dw_jlal.png,3271,config/big_hero/normal/img_649_gnskt@.png,2,,common/txt/txt_gnskt.png,common/txt/txt_dw_gnskt.png
156,,闪光超级蜥蜴王/冠军皮卡丘,7141,config/big_hero/normal/img_254_sgcjxyw@.png,2,,common/txt/txt_sgcjxyw.png,common/txt/txt_dw_sgcjxyw.png,7161,config/big_hero/normal/img_25_gjpkq@.png,2,,common/txt/txt_gjpkq.png,common/txt/txt_dw_gjpkq.png
157,,萨戮德/凯路迪欧·觉悟,4631,config/big_hero/normal/img_893_sld@.png,2,,common/txt/txt_sld.png,common/txt/txt_dw_sld.png,7071,config/big_hero/normal/img_647_kldojwxt@.png,2,,common/txt/txt_kldojw.png,common/txt/txt_dw_kldojw.png
158,,闪光超级艾路雷朵/凯路迪欧·觉悟,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png,7071,config/big_hero/normal/img_647_kldojwxt@.png,2,,common/txt/txt_kldojw.png,common/txt/txt_dw_kldojw.png
159,,闪光超级耿鬼/基格尔德·100%,397,config/big_hero/normal/img_94_yscjgg@.png,2,,common/txt/txt_sgcjgg.png,common/txt/txt_dw_sgcjgg.png,3623,config/big_hero/normal/img_718_jged100@.png,2,,common/txt/txt_jged.png,common/txt/txt_dw_jged.png
160,,闪光超级耿鬼/露奈雅拉,397,config/big_hero/normal/img_94_yscjgg@.png,2,,common/txt/txt_sgcjgg.png,common/txt/txt_dw_sgcjgg.png,4024,config/big_hero/normal/img_792_lnyl@.png,2,,common/txt/txt_lnyl.png,common/txt/txt_dw_lnyl.png
161,,闪光超级艾路雷朵/捷拉奥拉,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png,4161,config/big_hero/normal/img_807_jlal@.png,2,,common/txt/txt_jlal.png,common/txt/txt_dw_jlal.png
162,,伊裴尔塔尔/莱希拉姆,3611,config/big_hero/normal/img_717_ypete@.png,2,,common/txt/txt_ypete.png,common/txt/txt_dw_ypete.png,3211,config/big_hero/normal/img_643_lxlm@.png,2,,common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png
163,,闪光超级妙蛙花/小刚超级大钢蛇,7151,config/big_hero/normal/img_3_sgcjmwh@.png,2,,common/txt/txt_sgcjmwh.png,common/txt/txt_dw_sgcjmwh.png,7171,config/big_hero/normal/img_208_xgcjdgs@.png,2,,common/txt/txt_xgcjdgs.png,common/txt/txt_dw_xgcjdgs.png
164,,帕路奇亚/洛奇亚,2361,config/big_hero/normal/img_484_plqy@.png,2.33,,common/txt/txt_plqy.png,common/txt/txt_dw_plqy.png,1261,config/big_hero/normal/img_249_lqy@.png,2.618,,common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png
165,,大吾超级巨金怪/闪光超级艾路雷朵,7081,config/big_hero/normal/img_376_sgcjjjg@.png,2,,common/txt/txt_djcjkls.png,common/txt/txt_dw_djcjkls.png,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png
