变量名,describes,quality,describeStage,triggerTimes,triggerCondition,keyWords,aidID
4039,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#380%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为随机2名敌方添加【助·致盲Ⅱ】2回合，额外为2名敌人添加【助·失衡】1回合,9,额外为2名敌人添加【助·失衡】1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/地面系必杀技时触发,<【助·致盲Ⅱ】>,403
6111,#L10#助战技能效果：#L0#对敌方前排造成#C0xE69900#80%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，40%概率对随机1个敌人添加【助·激怒】2回合,,对敌方前排造成80%物攻加成的物理伤害，40%概率对随机1个敌人添加【助·激怒】2回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#虫系必杀技时触发,<【助·激怒】>,611
6112,#L10#助战技能效果：#L0#对敌方前排造成#C0xE69900#120%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，40%概率对随机1个敌人添加【助·激怒】2回合,2,伤害系数提升至120%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#虫系必杀技时触发,<【助·激怒】>,611
6113,#L10#助战技能效果：#L0#对敌方前排造成#C0xE69900#120%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，40%概率对随机1个敌人添加【助·激怒】2回合，【助·激怒】期间禁疗,3,【助·激怒】期间禁疗,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#虫系必杀技时触发,<【助·激怒】>,611
6114,#L10#助战技能效果：#L0#对敌方前排造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，40%概率对随机1个敌人添加【助·激怒】2回合，【助·激怒】期间禁疗,4,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#虫系必杀技时触发,<【助·激怒】>,611
6115,#L10#助战技能效果：#L0#对敌方前排造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，50%概率对随机1个敌人添加【助·激怒】2回合，【助·激怒】期间禁疗,5,50%概率对随机1个敌人添加【助·激怒】2回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#虫系必杀技时触发,<【助·激怒】>,611
6116,#L10#助战技能效果：#L0#对敌方前排造成#C0xE69900#200%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，50%概率对随机1个敌人添加【助·激怒】2回合，【助·激怒】期间禁疗,6,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#虫系必杀技时触发,<【助·激怒】>,611
6117,#L10#助战技能效果：#L0#对敌方前排造成#C0xE69900#200%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，60%概率对随机1个敌人添加【助·激怒】2回合，【助·激怒】期间禁疗,7,60%概率对随机1个敌人添加【助·激怒】2回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#虫系必杀技时触发,<【助·激怒】>,611
6118,#L10#助战技能效果：#L0#对敌方前排造成#C0xE69900#240%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，60%概率对随机1个敌人添加【助·激怒】2回合，【助·激怒】期间禁疗,8,伤害系数提升至240%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#虫系必杀技时触发,<【助·激怒】>,611
6119,#L10#助战技能效果：#L0#对敌方前排造成#C0xE69900#240%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，60%概率对随机1个敌人添加【助·激怒】2回合，【助·激怒】期间禁疗，【助·激怒】的效果变为提升20%伤害加成和20%速度,9,【助·激怒】的效果变为提升20%伤害加成和20%速度,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#虫系必杀技时触发,<【助·激怒】>,611
8611,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#40%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为随机1位队友添加【助·幸运】2回合,,对敌方全体造成40%特攻加成的特殊伤害，为随机1位队友添加【助·幸运】2回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#妖精系必杀技时触发,<【助·幸运】>,861
8612,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为随机1位队友添加【助·幸运】2回合,2,伤害系数提升至80%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#妖精系必杀技时触发,<【助·幸运】>,861
8613,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为随机1位队友添加【助·幸运】2回合，【助·幸运】变为提升目标40%负面抗性，受到攻击有30%概率消耗【助·幸运】以抵挡40%本次伤害,3,【助·幸运】变为提升目标40%负面抗性，受到攻击有30%概率消耗【助·幸运】以抵挡40%本次伤害,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#妖精系必杀技时触发,<【助·幸运】>,861
8614,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为随机1位队友添加【助·幸运】2回合，【助·幸运】变为提升目标40%负面抗性，受到攻击有30%概率消耗【助·幸运】以抵挡40%本次伤害,4,伤害系数提升至120%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#妖精系必杀技时触发,<【助·幸运】>,861
8615,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为随机1位队友添加【助·幸运】2回合，【助·幸运】变为提升目标40%负面抗性，受到攻击有30%概率消耗【助·幸运】以抵挡40%本次伤害；添加【助·幸运】时会驱散目标身上随机两个1/2级负面,5,添加【助·幸运】时会驱散目标身上随机两个1/2级负面,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#妖精系必杀技时触发,<【助·幸运】>,861
8616,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为随机1位队友添加【助·幸运】2回合，【助·幸运】变为提升目标40%负面抗性，受到攻击有30%概率消耗【助·幸运】以抵挡40%本次伤害；添加【助·幸运】时会驱散目标身上随机两个1/2级负面,6,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#妖精系必杀技时触发,<【助·幸运】>,861
8617,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为随机1位队友添加【助·幸运】2回合，【助·幸运】变为提升目标40%负面抗性，受到攻击有30%概率消耗【助·幸运】以抵挡40%本次伤害；添加【助·幸运】时会驱散目标身上随机两个1/2级负面并为目标恢复自身60%特攻的生命值,7,添加【助·幸运】时会为目标恢复自身60%特攻的生命值,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#妖精系必杀技时触发,<【助·幸运】>,861
8618,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为随机1位队友添加【助·幸运】2回合，【助·幸运】变为提升目标40%负面抗性，受到攻击有30%概率消耗【助·幸运】以抵挡40%本次伤害；添加【助·幸运】时会驱散目标身上随机两个1/2级负面并为目标恢复自身60%特攻的生命值,8,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#妖精系必杀技时触发,<【助·幸运】>,861
8619,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为随机1位队友添加【助·幸运】2回合，【助·幸运】变为提升目标40%负面抗性，受到攻击有60%概率消耗【助·幸运】以抵挡40%本次伤害；添加【助·幸运】时会驱散目标身上随机两个1/2级负面并为目标恢复自身60%特攻的生命值,9,【助·幸运】变为提升目标40%负面抗性，受到攻击有60%概率消耗【助·幸运】以抵挡50%本次伤害,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#妖精系必杀技时触发,<【助·幸运】>,861
8711,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#40%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对每个目标有5%概率【眩晕】1回合,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【眩晕】>,711
8712,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#80%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对每个目标有5%概率【眩晕】1回合,2,伤害系数提升至80%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【眩晕】>,711
8713,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#80%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对每个目标有10%概率【眩晕】1回合,3,对每个目标有10%概率【眩晕】1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【眩晕】>,711
8714,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#120%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对每个目标有10%概率【眩晕】1回合,4,伤害系数提升至120%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【眩晕】>,711
8715,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#120%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对每个目标有10%概率【眩晕】1回合；每少1个目标，【眩晕】概率提高5%,5,每少1个目标，【眩晕】概率提高5%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【眩晕】>,711
8716,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对每个目标有10%概率【眩晕】1回合；每少1个目标，【眩晕】概率提高5%,6,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【眩晕】>,711
8717,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对每个目标有10%概率【眩晕】1回合；每少1个目标，【眩晕】概率提高5%；【眩晕】成功时额外令目标降低5%物防1回合,7,【眩晕】成功时额外令目标降低5%物防1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【眩晕】>,711
8718,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#200%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对每个目标有10%概率【眩晕】1回合；每少1个目标，【眩晕】概率提高5%；【眩晕】成功时额外令目标降低5%物防1回合,8,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【眩晕】>,711
8719,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#200%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对每个目标有10%概率【眩晕】1回合；每少1个目标，【眩晕】概率提高5%；【眩晕】成功时额外令目标降低10%物防1回合,9,【眩晕】成功时额外令目标降低10%物防1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【眩晕】>,711
8831,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机1个目标添加2回合【感电Ⅰ】,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】>,881
8832,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机1个目标添加2回合【感电Ⅰ】,2,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】>,881
8833,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】,3,对列排随机2个目标添加2回合【感电Ⅰ】,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】>,881
8834,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】,4,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】>,881
8835,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】,5,如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,881
8836,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#240%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】,6,伤害系数提升至240%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,881
8837,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#240%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】；同时降低目标8%特防1回合,7,同时降低目标8%特防1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,881
8838,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#280%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】；同时降低目标8%特防1回合,8,伤害系数提升至280%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,881
8839,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#280%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】；同时降低目标16%特防1回合,9,同时降低目标16%特防1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,881
8841,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】>,884
8842,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】,2,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】>,884
8843,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】,3,如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,884
8844,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】,4,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,884
8845,"#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】,对额外1名【感电】目标造成50%助战技威力的特攻伤害",5,对额外1名【感电】目标造成50%助战技威力的特攻伤害,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,884
8846,"#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#240%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】,对额外1名【感电】目标造成50%助战技威力的特攻伤害",6,伤害系数提升至240%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,884
8847,"#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#240%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】,对额外1名【感电】目标造成50%助战技威力的特攻伤害；同时降低目标8%特防1回合",7,同时降低目标8%特防1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,884
8848,"#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#280%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】,对额外1名【感电】目标造成50%助战技威力的特攻伤害；同时降低目标8%特防1回合",8,伤害系数提升至280%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,884
8849,"#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#280%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对列排随机2个目标添加2回合【感电Ⅰ】，如目标已有【感电Ⅰ】时，会将其进阶为【感电Ⅱ】,对额外1名【感电】目标造成50%助战技威力的特攻伤害；同时降低目标16%特防1回合",9,同时降低目标16%特防1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#电系必杀技时触发,<【感电Ⅰ】;【感电Ⅱ】>,884
10311,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#220%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为随机1位敌人添加【助·蝎毒】2回合,,对敌方单体造成220%物攻加成的特殊伤害，为随机1位敌人添加【助·蝎毒】2回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#地面/飞行系必杀技时触发,<【助·蝎毒】>,1031
10312,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为随机1位敌人添加【助·蝎毒】2回合,2,伤害系数提升至260%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#地面/飞行系必杀技时触发,<【助·蝎毒】>,1031
10313,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为随机1位敌人添加【助·蝎毒】2回合,3,【助·蝎毒】效果变为目标每次行动后受到释放者70%物防的毒元素伤害，可叠加两次,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#地面/飞行系必杀技时触发,<【助·蝎毒】>,1031
10314,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#300%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为随机1位敌人添加【助·蝎毒】2回合,4,伤害系数提升至300%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#地面/飞行系必杀技时触发,<【助·蝎毒】>,1031
10315,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#300%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，【助·蝎毒】效果变为目标每次行动后受到释放者90%物防的毒元素伤害，可叠加两次，为随机1位敌人添加【助·蝎毒】2回合,5,【助·蝎毒】效果变为目标每次行动后受到释放者90%物防的毒元素伤害，可叠加两次,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#地面/飞行系必杀技时触发,<【助·蝎毒】>,1031
10316,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#340%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，【助·蝎毒】效果变为目标每次行动后受到释放者90%物防的毒元素伤害，可叠加两次，为随机1位敌人添加【助·蝎毒】2回合,6,伤害系数提升至340%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#地面/飞行系必杀技时触发,<【助·蝎毒】>,1031
10317,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#340%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，【助·蝎毒】效果变为目标每次行动后受到释放者90%物防的毒元素伤害，可叠加两次为，随机1位敌人添加【助·蝎毒】3回合,7,【助·蝎毒】回合数提升至3回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#地面/飞行系必杀技时触发,<【助·蝎毒】>,1031
10318,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#380%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，【助·蝎毒】效果变为目标每次行动后受到释放者90%物防的毒元素伤害，可叠加两次，为随机1位敌人添加【助·蝎毒】3回合,8,伤害系数提升至380%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#地面/飞行系必杀技时触发,<【助·蝎毒】>,1031
10319,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#380%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，【助·蝎毒】效果变为目标每次行动后受到释放者90%物防的毒元素伤害，可叠加两次，为随机1位敌人添加【助·蝎毒】3回合，【助·蝎毒】持续期间会降低目标40%治疗率,9,【助·蝎毒】持续期间会降低目标40%治疗率,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#地面/飞行系必杀技时触发,<【助·蝎毒】>,1031
12611,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#240%特攻#C0x5B545B#+$(skillLevel*4*60*3)$的#C0xF13B54#特殊伤害#C0x5B545B#，对1名友方添加【神速】1回合（优先飞行系）（触发后冷却3回合）,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【神速】>,1261
12612,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#280%特攻#C0x5B545B#+$(skillLevel*4*60*3)$的#C0xF13B54#特殊伤害#C0x5B545B#，对1名友方添加【神速】1回合（优先飞行系）（触发后冷却3回合）,2,系数提升至280%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【神速】>,1261
12613,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#280%特攻#C0x5B545B#+$(skillLevel*4*60*3)$的#C0xF13B54#特殊伤害#C0x5B545B#，对3名友方添加【神速】1回合（优先飞行系）（触发后冷却3回合）,3,改为对3名友方添加【神速】1回合（优先飞行系）,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【神速】>,1261
12614,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#320%特攻#C0x5B545B#+$(skillLevel*4*60*3)$的#C0xF13B54#特殊伤害#C0x5B545B#，对3名友方添加【神速】1回合（优先飞行系）（触发后冷却3回合）,4,系数提升至320%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【神速】>,1261
12615,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#320%特攻#C0x5B545B#+$(skillLevel*4*60*3)$的#C0xF13B54#特殊伤害#C0x5B545B#，对3名友方添加【神速】2回合（优先飞行系）（触发后冷却3回合）,5,【神速】持续回合+1,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【神速】>,1261
12616,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#320%特攻#C0x5B545B#+$(skillLevel*4*60*3)$的#C0xF13B54#特殊伤害#C0x5B545B#，对3名友方添加【神速】2回合（优先飞行系）（触发后冷却3回合）,6,助战次数上限+1,#L10#助战触发次数：#L0#2次,#L10#助战触发条件：#L0#大回合开始时触发,<【神速】>,1261
12617,#L10#助战技能效果：#L0#对敌方列排造成#C0x3D8A99#320%特攻#C0x5B545B#+$(skillLevel*4*60*3)$的#C0xF13B54#特殊伤害#C0x5B545B#，对3名友方添加【神速】2回合（优先飞行系）（触发后冷却3回合）;【神速】额外提升10%闪避,7,【神速】额外提升10%闪避,#L10#助战触发次数：#L0#2次,#L10#助战触发条件：#L0#大回合开始时触发,<【神速】>,1261
