变量名,room,_roomType,_beizhu,icon,weight,group,name,monsterType,type,desc,monster,fightC,pointC,drops,buff,event,boxType,gold,coin,randomLibs,randomLibs2
168,28,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
169,28,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
170,29,混合,补给大,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
171,29,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
172,29,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
173,29,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
174,29,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
175,29,混合,随机事件中,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
176,30,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,极为艰难的力量在前方,4,0.8,0.8,,,,,,,,
177,30,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,最为艰难的力量在前方,4,,,,,,,,,,
178,31,大宝箱,大宝箱,city/adventure/random_tower/icon_hhbx.png,,,豪华宝箱,,3,跨越巨大挑战后才会配拥有此回报,,,,,,,2,60000,250,{libs=<502;504;>},{libs=<506;505;>}
179,32,换层,,,,,,,,,,,,,,,,,,,
180,33,3选1被动,从属被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<200;150>;<1000;90>>,,,,,,
181,33,3选1被动,从属被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<200;150>;<1000;90>>,,,,,,
182,33,3选1被动,从属被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<2221;40>;<2222;40>;<2223;100>;<2224;100>>,,,,,,
10182,33,3选1被动,混合被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<2228;10>;<2231;10>;<2223;100>;<2224;100>>,,,,,,
183,34,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
184,34,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
185,34,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
186,34,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
187,34,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
188,34,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
189,35,混固箱,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
190,35,混固箱,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
191,35,混固箱,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
192,35,混固箱,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
193,35,混固箱,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
194,35,混固箱,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
195,35,混固箱,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,16000,30,{libs=<504;504;>},
196,35,混固箱,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
197,35,混固箱,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
198,35,混固箱,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
199,36,混固怪,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
10199,36,混固怪,属性加成小,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>>,,,,,,
200,36,混固怪,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
201,36,混固怪,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
10201,36,混固怪,属性加成中,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
202,36,混固怪,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
203,36,混固怪,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
204,36,混固怪,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
205,36,混固怪,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,16000,30,{libs=<504;504;>},
206,36,混固怪,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
207,36,混固怪,普通,city/adventure/random_tower/icon/img_ptdr@.png,-1,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
208,36,混固怪,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
209,37,混固补,属性加成小,city/adventure/random_tower/icon/icon_wz.png,-1,,属性加成,,2,,,,,,<<1;100>>,,,,,,
10209,37,混固补,属性加成小,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>>,,,,,,
210,37,混固补,补给,city/adventure/random_tower/icon/icon_wz.png,-1,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
211,37,混固补,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
212,37,混固补,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
213,37,混固补,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
214,37,混固补,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
215,37,混固补,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,16000,30,{libs=<504;504;>},
216,37,混固补,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
217,37,混固补,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
218,37,混固补,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
219,38,混固事,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
220,38,混固事,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
221,38,混固事,属性加成中,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
222,38,混固事,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;40>>,,,,,,
223,38,混固事,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,-1,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
224,38,混固事,随机事件中,city/adventure/random_tower/icon/icon_sj.png,-1,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
225,38,混固事,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,16000,30,{libs=<504;504;>},
226,38,混固事,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
227,38,混固事,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
228,38,混固事,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
229,39,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
230,39,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
231,39,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
232,39,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
233,39,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
234,39,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
235,40,混合,补给大,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
236,40,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
237,40,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
238,40,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
239,40,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
240,40,混合,随机事件中,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
241,41,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,极为艰难的力量在前方,4,0.8,0.8,,,,,,,,
242,41,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,最为艰难的力量在前方,4,,,,,,,,,,
243,42,大宝箱,大宝箱,city/adventure/random_tower/icon_hhbx.png,,,豪华宝箱,,3,跨越巨大挑战后才会配拥有此回报,,,,,,,2,70000,300,{libs=<503;504;>},{libs=<506;505;>}
244,43,换层,,,,,,,,,,,,,,,,,,,
245,44,3选1被动,从属被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<200;150>;<1000;90>>,,,,,,
246,44,3选1被动,从属被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<200;150>;<1000;90>>,,,,,,
247,44,3选1被动,从属被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<2223;100>;<2224;100>;<200;150>;<1000;90>>,,,,,,
10247,44,3选1被动,混合被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<2223;100>;<2224;100>;<200;150>;<1000;90>>,,,,,,
248,45,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
249,45,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
250,45,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
251,45,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
252,45,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
253,45,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
254,46,混固箱,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
255,46,混固箱,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
256,46,混固箱,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
257,46,混固箱,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
258,46,混固箱,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
259,46,混固箱,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
260,46,混固箱,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,18000,30,{libs=<504;504;>},
261,46,混固箱,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
262,46,混固箱,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
263,46,混固箱,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
264,47,混固怪,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
265,47,混固怪,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
266,47,混固怪,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
267,47,混固怪,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
268,47,混固怪,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
269,47,混固怪,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
270,47,混固怪,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,18000,30,{libs=<504;504;>},
271,47,混固怪,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
272,47,混固怪,普通,city/adventure/random_tower/icon/img_ptdr@.png,-1,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
273,47,混固怪,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
274,48,混固补,属性加成小,city/adventure/random_tower/icon/icon_wz.png,-1,,属性加成,,2,,,,,,<<1;100>>,,,,,,
275,48,混固补,补给,city/adventure/random_tower/icon/icon_wz.png,-1,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
276,48,混固补,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;50>>,,,,,,
277,48,混固补,属性加成大,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
278,48,混固补,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
279,48,混固补,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
280,48,混固补,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,18000,30,{libs=<504;504;>},
281,48,混固补,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
282,48,混固补,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
283,48,混固补,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
284,49,混固事,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
285,49,混固事,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
286,49,混固事,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
287,49,混固事,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
288,49,混固事,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,-1,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
289,49,混固事,随机事件中,city/adventure/random_tower/icon/icon_sj.png,-1,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
290,49,混固事,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,18000,30,{libs=<504;504;>},
291,49,混固事,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
292,49,混固事,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
293,49,混固事,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
294,50,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
295,50,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
296,50,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
297,50,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
298,50,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
299,50,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
300,51,混合,补给大,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
301,51,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
302,51,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
303,51,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
304,51,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
305,51,混合,随机事件中,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
306,52,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,极为艰难的力量在前方,4,0.8,0.8,,,,,,,,
307,52,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,最为艰难的力量在前方,4,,,,,,,,,,
308,53,大宝箱,大宝箱,city/adventure/random_tower/icon_hhbx.png,,,豪华宝箱,,3,跨越巨大挑战后才会配拥有此回报,,,,,,,2,80000,350,{libs=<501;504;>},{libs=<506;505;>}
309,54,换层,,,,,,,,,,,,,,,,,,,
310,55,战混,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
311,55,战混,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
312,55,战混,混合被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<101;20>;<102;20>;<103;20>;<200;300>;<1000;90>>,,,,,,
313,55,战混,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<4;100>>,,,,,,
314,55,战混,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
10314,55,战混,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
315,56,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
316,56,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
317,56,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
318,56,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
319,56,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
320,56,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
321,57,混固箱,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
322,57,混固箱,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
323,57,混固箱,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
324,57,混固箱,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
10324,57,3选1被动,混合被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<200;20>;<1000;20>;<2223;20>;<2224;20>;<2228;5>;<2231;20>>,,,,,,
325,57,混固箱,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
326,57,混固箱,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
327,57,混固箱,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,20000,30,{libs=<504;504;>},
328,57,混固箱,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
329,57,混固箱,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
330,57,混固箱,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
331,58,混固怪,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
332,58,混固怪,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
333,58,混固怪,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;50>>,,,,,,
334,58,混固怪,属性加成大,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
335,58,混固怪,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
336,58,混固怪,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
337,58,混固怪,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,20000,30,{libs=<504;504;>},
338,58,混固怪,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
339,58,混固怪,普通,city/adventure/random_tower/icon/img_ptdr@.png,-1,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
340,58,混固怪,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
341,59,混固补,属性加成小,city/adventure/random_tower/icon/icon_wz.png,-1,,属性加成,,2,,,,,,<<1;100>>,,,,,,
342,59,混固补,补给,city/adventure/random_tower/icon/icon_wz.png,-1,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
343,59,混固补,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
344,59,混固补,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
345,59,混固补,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
346,59,混固补,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
