变量名,group,desc,weight,icon,iconBg,buffColor,buffType,attrNatureType1,attrType1,attrNum1,attrType2,attrNum2,attrNatureType3,attrType3,attrNum3,supplyType,supplyTarget,supplyNum,pointType,pointValue,passiveSkill,effectTimes,skillgroup,onlyOne,limit,changeLib,belongLib,condition
1054,200,进入战斗时，所有精灵额外获得当前属性种类（只计第一属性）*50的怒气值,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80054,,,TRUE,,,1,
1055,200,若阵容中有4只以上精灵第一属性相同，则战斗开始时，该属性精灵初始怒气值+500,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80055,,,TRUE,,,2,
1056,200,当生命值低于40%时，怒气回复效果加倍,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80056,,,TRUE,,,5,
1057,999,下一次开始战斗时，我方精灵获得1000初始怒气值,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80057,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,200,我方精灵战斗开始时获得自身损失生命值的护盾值，持续2回合,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,4,,,,,,,,,,,,,,80058,,,TRUE,,,5,
1101,200,我方精灵每损失10%生命值，获得8%的伤害减免，该效果只在第一回合生效,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,4,,,,,,,,,,,,,,80059,,,TRUE,,,5,
1102,9999,战斗第二回合时清空敌方全体所有怒气值,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,4,,,,,,,,,,,,,,80060,,,TRUE,1,,,
1103,1000,我方任意精灵阵亡时，其他存活精灵回复20%最大生命值和500怒气值,,city/adventure/random_tower/icon/icon_qhzl.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80061,,,TRUE,,,,
1104,1000,我方精灵回合结束时回复自身已损失生命值的15%,,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,4,,,,,,,,,,,,,,80062,,,TRUE,,,,
1105,1000,我方精灵使用必杀技时有10%概率立即回复100%怒气值,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80063,,,TRUE,,,,
1106,1000,每回合开始标记随机一名敌方精灵，使其受到的伤害额外提升50%,,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80064,,,TRUE,,,,
1107,1000,我方精灵使用大招后提升20%速度值和和200点怒气,,city/adventure/random_tower/icon/icon_yybm.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80065,,,TRUE,,,,
1108,1000,我方精灵属性克制效果提升，对克制属性的精灵额外造成20%的伤害,,city/adventure/random_tower/icon/icon_cxsh.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80066,,,TRUE,,,,
1109,1000,我方精灵击败敌方精灵时，回复自身10%生命值和200点怒气值,,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,4,,,,,,,,,,,,,,80067,,,TRUE,,,,
1110,9999,每大回合结束时生命低于10%的敌方精灵将被死神伊裴尔塔尔收割，直接退场,,city/adventure/random_tower/icon/icon_js.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80068,,,TRUE,1,,,
1111,1000,战斗首回合提升我方全队20%速度,,city/adventure/random_tower/icon/icon_yybm.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80069,,,TRUE,,,,
1112,200,提升我方精灵属性种类*4%的速度（只计算第一属性）,,city/adventure/random_tower/icon/icon_yybm.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80070,,,TRUE,,,1,
1113,200,我方前排精灵有50%概率免疫控制效果,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,4,,,,,,,,,,,,,,80071,,,TRUE,,,7,
1114,9999,敌方精灵永久减少10%生命上限,,city/adventure/random_tower/icon/icon_js.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80072,,,TRUE,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,1000,我方精灵被击败时，同时给击杀者造成等值伤害,,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80073,,,TRUE,,,,
1116,9999,击败敌人时，对其周围精灵造成该伤害值40%的伤害,,city/adventure/random_tower/icon/icon_fs.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80074,,,TRUE,,,,
1117,1000,我方精灵攻击时有20%概率偷取目标50点怒气值,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80075,,,TRUE,,,,
1118,1000,我方精灵的治疗率提升30%,,city/adventure/random_tower/icon/icon_qhzl.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80076,,,TRUE,,,,
1119,9999,我方精灵使用必杀技时清除目标的所有增益效果,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80077,,,TRUE,,,,
1120,1000,我方精灵奇数回合内增加30%必杀伤害，偶数回合降低15%必杀伤害,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80078,,,TRUE,,,,
1121,9999,每大回合结束时对所有敌方精灵造成我方攻击最高精灵20%攻击的真实伤害,,city/adventure/random_tower/icon/icon_fs.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80079,,,TRUE,,,,
1122,9999,进入战斗时获得一个全体护盾，该护盾可以吸收所有我方精灵受到的伤害，其吸收值与我方精灵中最高生命值相同,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,4,,,,,,,,,,,,,,80080,,,TRUE,,,,
1123,200,我方精灵造成的持续性伤害提升一倍,,city/adventure/random_tower/icon/icon_cxsh.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80081,,,TRUE,,,6,
1124,1000,战斗首回合满怒，但必杀伤害降低20%1回合,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80082,,,TRUE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,101,我方精灵物攻和特攻+10%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,10%,7,10%,,,,,,,,,,,,,,,,
2002,102,我方精灵物攻和特攻+10%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,10%,7,10%,,,,,,,,,,,,,,,,
2003,103,我方精灵物攻和特攻+10%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,10%,7,10%,,,,,,,,,,,,,,,,
2004,104,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2005,105,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2006,106,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2007,107,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2008,108,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2009,109,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2010,110,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2011,200,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2012,1111,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2013,1000,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2014,9999,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2015,999,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2221,12221,【火之力】：每次对敌人造成伤害，降低其8%双攻，不超过自身10%（【恶之力】将提升额外效果）,,city/adventure/random_tower/icon/icon_cxsh.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80083,,,,,,,
2222,2221,【水之力】：每次对敌人造成伤害，降低其8%双防，不超过自身10%（【恶之力】将提升额外效果）,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80084,,,,,,,
2223,2221,【恶之力】：【火之力、水之力】效果强化：攻击时降低目标双攻和双防时将等量属性转化给攻击者，同时拥有【恶之力、火之力、水之力】，我方全体额外获得10%吸血,,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_red.png,effect_huang,4,,,,,,,,,,,,,,80085,,,,,,,
2224,12222,【日之石】：行动回合开始前回复200点怒气值（同时拥有【日月之石】，怒气回复速度提升30%）,,city/adventure/random_tower/icon/icon_qhzl.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80086,,,,,,,
2225,2222,【月之石】：大回合结束后回复自身已损失血量10%的生命值（同时拥有【日月之石】，怒气回复速度提升30%）,,city/adventure/random_tower/icon/icon_qhzl.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80087,,,,,,,
2226,12223,【怒火】：战斗开始时，友方全体获得100怒气值（其他【迁怒、怒击、汲怒、激怒、暴怒】效果每一个效果提升100点怒气值）,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80088,,,,,,,
2227,2223,【迁怒】：受到伤害时，获得100怒气值（可提高【怒火】的怒气值）,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect,4,,,,,,,,,,,,,,80089,,,TRUE,,,,
2228,2223,【怒击】：我方精灵击败敌方精灵时，回复自身10%生命值和200点怒气值（可提高【怒火】的怒气值）,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect,4,,,,,,,,,,,,,,80090,,,TRUE,,,,
2229,2223,【汲怒】：我方精灵攻击时有30%概率偷取目标100点怒气值（可提高【怒火】的怒气值）,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80091,,,TRUE,,,,
2230,2223,【激怒】：使用小技能或者普攻时额外获得100点怒气（可提高【怒火】的怒气值）,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80092,,,TRUE,,,,
2231,2223,【暴怒】：使用非必杀技时每1%怒气值将提供1%伤害加成造成伤害（可提高【怒火】的怒气值）,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80093,,,TRUE,,,,
2232,12224,【盾生】：战斗开始时，为全体友方单位生成一个吸收自身生命值10%伤害的护盾（其他【盾甲、盾免、盾愈、盾击、盾破、盾守】效果每存在一个会提升盾生4%的护盾量）,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_huang,4,,,,,,,,,,,,,,80094,,,,,,,
2233,2224,【盾甲】：护盾存在期间，为其提供其20%的双防（可提高【盾生】的护盾量）,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect,4,,,,,,,,,,,,,,80095,,,TRUE,,,,
2234,2224,【盾免】：护盾存在期间，免疫控制与负面效果（可提高【盾生】的护盾量）,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect,4,,,,,,,,,,,,,,80096,,,TRUE,,,,
2235,2224,【盾击】：每次攻击附带自身20%当前护盾值的真实伤害（可提高【盾生】的护盾量）,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_huang,4,,,,,,,,,,,,,,80097,,,TRUE,,,,
2236,2224,【盾守】：受到暴击时，友方全体单位获得一个10%的自身最大生命值的护盾（可提高【盾生】的护盾量）,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_huang,4,,,,,,,,,,,,,,80098,,,TRUE,,,,
2237,2224,【盾破】：护盾爆破时，对敌方全体造成6%生命上限的血量（可提高【盾生】的护盾量）,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_huang,4,,,,,,,,,,,,,,80099,,,TRUE,,,,
2238,2224,【盾愈】：护盾爆破时，回复自身5%生命上限的生命值（可提高【盾生】的护盾量）,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_huang,4,,,,,,,,,,,,,,80100,,,TRUE,,,,
,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2241,2227,【势如破竹】：对生命值高于70%的单位额外造成30%伤害（同时拥有【势如破竹】与【秋风扫落叶】效果，额外提升20%暴击率）,,city/adventure/random_tower/icon/icon_js.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80102,,,TRUE,,,,
2242,2227,【秋风扫落叶】：对生命值低于30%的单位额外造成40%伤害（同时拥有【势如破竹】与【秋风扫落叶】效果，额外提升20%暴击率）,,city/adventure/random_tower/icon/icon_fs.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80103,,,TRUE,,,,
2243,2228,【血袭】：精灵自身每1%吸血提升5%的伤害加成（同时拥有【血袭】与【蝠翼】效果，精灵自身每1%吸血偷取目标1%的双防）,,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_red.png,effect_huang,4,,,,,,,,,,,,,,80104,,,TRUE,,,,
2244,2228,【蝠翼】：精灵自身每1%吸血提升5%的速度（同时拥有【血袭】与【蝠翼】效果，精灵自身每1%吸血偷取目标1%的双防）,,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_red.png,effect_huang,4,,,,,,,,,,,,,,80105,,,TRUE,,,,
2245,2231,【毒蚀】：攻击时50概率附带中毒效果（可叠加5层，同时拥有【毒蚀】、【染血】、【引火】，友方造成的持续伤害提升100%）,,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect_huang,4,,,,,,,,,,,,,,80106,,,TRUE,,,,
2246,2231,【染血】：攻击时50概率附带流血效果（可叠加5层，同时拥有【毒蚀】、【染血】、【引火】，友方造成的持续伤害提升100%）,,city/adventure/random_tower/icon/icon_js.png,city/adventure/random_tower/icon/box_red.png,effect_huang,4,,,,,,,,,,,,,,80107,,,TRUE,,,,
2247,2231,【引火】：攻击时50概率附带灼烧效果（可叠加5层，同时拥有【毒蚀】、【染血】、【引火】，友方造成的持续伤害提升100%）,,city/adventure/random_tower/icon/icon_cxsh.png,city/adventure/random_tower/icon/box_red.png,effect_huang,4,,,,,,,,,,,,,,80108,,,TRUE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,2221,我方精灵物攻和特攻+10%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,10%,7,10%,,,,,,,,,,,,,,,,
2250,2222,我方精灵物攻和特攻+10%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,10%,7,10%,,,,,,,,,,,,,,,,
2251,2223,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2252,2224,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
2253,2227,我方精灵物攻和特攻+10%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,10%,7,10%,,,,,,,,,,,,,,,,
2254,2228,我方精灵物攻和特攻+10%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,10%,7,10%,,,,,,,,,,,,,,,,
2255,2231,我方精灵物攻和特攻+10%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,10%,7,10%,,,,,,,,,,,,,,,,
