变量名,contestEndTime,type,contestDate,rightTeam,leftTeam,betEndTime,contestName,betID,weatherDetail,weatherSkillIDs,weatherID,__version
70,1901,,3,12,11,1900,Group Stage C2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
71,1401,,4,14,13,1400,Group Stage D1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
72,1501,,4,16,15,1500,Group Stage D2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
73,1601,,4,3,1,1600,Group Stage A3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
74,1701,,4,4,2,1700,Group Stage A4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
75,1801,,4,7,5,,Group Stage B3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
76,1901,,4,8,6,1900,Group Stage B4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
77,1401,,5,11,9,1400,Group Stage C3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
78,1501,,5,12,10,1500,Group Stage C4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
79,1601,,5,15,13,1600,Group Stage D3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
80,1701,,5,16,14,1700,Group Stage D4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
81,1801,,5,4,1,,Group Stage A5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
82,1901,,5,3,2,1900,Group Stage A6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
83,1401,,6,8,5,1400,Group Stage B5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
84,1501,,6,7,6,1500,Group Stage B6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
85,1601,,6,12,9,1600,Group Stage C5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
86,1701,,6,11,10,1700,Group Stage C6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
87,1801,,6,16,13,,Group Stage D5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
88,1901,,6,15,14,1900,Group Stage D6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
89,1601,2,7,6,1,1600,Top 4 Match 1,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
90,1701,2,7,3,8,1700,Top 4 Match 2,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
91,1801,2,7,4,5,,Top 4 Match 3,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
92,1901,2,7,7,2,1900,Top 4 Match 4,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
93,1601,3,8,,,1600,Semifinal 1,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
94,1801,3,8,,,,Semifinal 2,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
95,1601,4,9,,,1600,Third-Place Match,104,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
96,1801,5,9,,,,Championship Match,203,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
97,1401,,3,2,1,1400,Group Stage A1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
98,1501,,3,4,3,1500,Group Stage A2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
99,1601,,3,6,5,1600,Group Stage B1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
100,1701,,3,8,7,1700,Group Stage B2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
101,1801,,3,10,9,,Group Stage C1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
102,1901,,3,12,11,1900,Group Stage C2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
103,1401,,4,14,13,1400,Group Stage D1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
104,1501,,4,16,15,1500,Group Stage D2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
105,1601,,4,3,1,1600,Group Stage A3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
106,1701,,4,4,2,1700,Group Stage A4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
107,1801,,4,7,5,,Group Stage B3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
108,1901,,4,8,6,1900,Group Stage B4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
109,1401,,5,11,9,1400,Group Stage C3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
110,1501,,5,12,10,1500,Group Stage C4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
111,1601,,5,15,13,1600,Group Stage D3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
112,1701,,5,16,14,1700,Group Stage D4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
113,1801,,5,4,1,,Group Stage A5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
114,1901,,5,3,2,1900,Group Stage A6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
115,1401,,6,8,5,1400,Group Stage B5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
116,1501,,6,7,6,1500,Group Stage B6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
117,1601,,6,12,9,1600,Group Stage C5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
118,1701,,6,11,10,1700,Group Stage C6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
119,1801,,6,16,13,,Group Stage D5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
120,1901,,6,15,14,1900,Group Stage D6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
121,1601,2,7,6,1,1600,Top 4 Match 1,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
122,1701,2,7,3,8,1700,Top 4 Match 2,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
123,1801,2,7,4,5,,Top 4 Match 3,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
124,1901,2,7,7,2,1900,Top 4 Match 4,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
125,1601,3,8,,,1600,Semifinal 1,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
126,1801,3,8,,,,Semifinal 2,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
127,1601,4,9,,,1600,Third-Place Match,104,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
128,1801,5,9,,,,Championship Match,203,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
129,1401,,3,2,1,1400,Group Stage A1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
130,1501,,3,4,3,1500,Group Stage A2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
131,1601,,3,6,5,1600,Group Stage B1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
132,1701,,3,8,7,1700,Group Stage B2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
133,1801,,3,10,9,,Group Stage C1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
134,1901,,3,12,11,1900,Group Stage C2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
135,1401,,4,14,13,1400,Group Stage D1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
136,1501,,4,16,15,1500,Group Stage D2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
137,1601,,4,3,1,1600,Group Stage A3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
138,1701,,4,4,2,1700,Group Stage A4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
139,1801,,4,7,5,,Group Stage B3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
140,1901,,4,8,6,1900,Group Stage B4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
141,1401,,5,11,9,1400,Group Stage C3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
142,1501,,5,12,10,1500,Group Stage C4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
143,1601,,5,15,13,1600,Group Stage D3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
144,1701,,5,16,14,1700,Group Stage D4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
145,1801,,5,4,1,,Group Stage A5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
146,1901,,5,3,2,1900,Group Stage A6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
147,1401,,6,8,5,1400,Group Stage B5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
148,1501,,6,7,6,1500,Group Stage B6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
149,1601,,6,12,9,1600,Group Stage C5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
150,1701,,6,11,10,1700,Group Stage C6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
151,1801,,6,16,13,,Group Stage D5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
152,1901,,6,15,14,1900,Group Stage D6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
153,1601,2,7,6,1,1600,Top 4 Match 1,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
154,1701,2,7,3,8,1700,Top 4 Match 2,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
155,1801,2,7,4,5,,Top 4 Match 3,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
156,1901,2,7,7,2,1900,Top 4 Match 4,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
157,1601,3,8,,,1600,Semifinal 1,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
158,1801,3,8,,,,Semifinal 2,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
159,1601,4,9,,,1600,Third-Place Match,104,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
160,1801,5,9,,,,Championship Match,203,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
161,1401,,3,2,1,1400,Group Stage A1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
162,1501,,3,4,3,1500,Group Stage A2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
163,1601,,3,6,5,1600,Group Stage B1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
164,1701,,3,8,7,1700,Group Stage B2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
165,1801,,3,10,9,,Group Stage C1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
166,1901,,3,12,11,1900,Group Stage C2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
167,1401,,4,14,13,1400,Group Stage D1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
