变量名,name,desc,quality,weight,duration,levelRange,award,extraAward,fightinPoints,cardNums,cardNatures,cardNatureRate,condition1,condition1Arg,rate1
默认值,"""""","""""",1,1,1,<1;100>,{},{},<1.0;1.5>,5,<>,50,0,{1=2},50
序号,任务名字,任务描述,品质,权值,时长(分钟),等级范围(左闭右闭),基础奖励,额外奖励,战力范围修正,上阵卡牌数量,卡牌元素类型,卡牌元素类型成功率,额外条件1 (1-星级;2-阶数;3-资质),额外条件1参数 ({星级/阶数/资质=数量}),成功率加成几率1
303,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<30;34>,{gold=5000;2101=1},{2101=1;451=3},<0.4;0.6>,3,<8;4;15>,70,3,{2=1},30
304,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<30;34>,{gold=6250;2101=2},{2101=2;900=3},<0.5;0.7>,3,<8;9;1>,70,1,{2=1},30
305,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<30;34>,{gold=6250;2101=2},{2101=2;5000=3},<0.5;0.7>,3,<4;9;1>,70,2,{2=1},30
306,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<30;34>,{gold=6250;2101=2},{2101=2;451=6},<0.5;0.7>,3,<4;15;7>,70,3,{2=1},30
307,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<30;34>,{gold=7500;2102=1},{2102=1;900=3},<0.6;0.8>,3,<9;2;7>,70,1,{2=1},30
308,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<30;34>,{gold=7500;2102=1},{2102=1;5000=3},<0.6;0.8>,3,<3;7;17>,70,2,{2=2},30
309,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<30;34>,{gold=7500;2102=1},{2102=1;451=9},<0.6;0.8>,3,<4;7;15>,70,3,{3=2},30
310,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<30;34>,{gold=10000;2102=2},{2102=2;901=2},<0.9;1.1>,4,<9;1;10>,70,1,{2=2},30
311,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<30;34>,{gold=10000;2102=2},{2102=2;5000=5},<0.9;1.1>,4,<2;15;7>,70,2,{2=2},30
312,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<30;34>,{gold=10000;2102=2},{2102=2;940=1},<0.9;1.1>,4,<6;11;13>,70,3,{3=2},30
313,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<30;34>,{gold=12500;2103=1},{2103=1;901=3},<1.1;1.3>,4,<1;10;13>,70,1,{2=2},30
314,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<30;34>,{gold=12500;2103=1},{2103=1;5000=5},<1.1;1.3>,4,<1;8;15>,70,2,{2=2},30
315,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<30;34>,{gold=12500;2103=1},{2103=1;941=1},<1.1;1.3>,4,<2;1;10>,70,3,{3=2},30
316,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<35;39>,{gold=7000;2101=1},{2101=1;900=1},<0.4;0.6>,3,<15;1;13>,70,1,{2=1},30
317,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<35;39>,{gold=7000;2101=1},{2101=1;5000=2},<0.4;0.6>,3,<15;7;17>,70,2,{3=1},30
318,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<35;39>,{gold=7000;2101=1},{2101=1;451=3},<0.4;0.6>,3,<4;12;18>,70,3,{2=1},30
319,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<35;39>,{gold=8750;2101=2},{2101=2;900=3},<0.5;0.7>,3,<6;12;18>,70,1,{2=1},30
320,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<35;39>,{gold=8750;2101=2},{2101=2;5000=3},<0.5;0.7>,3,<4;9;14>,70,2,{3=1},30
321,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<35;39>,{gold=8750;2101=2},{2101=2;451=6},<0.5;0.7>,3,<1;10;13>,70,3,{2=1},30
322,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<35;39>,{gold=10500;2102=1},{2102=1;900=3},<0.6;0.8>,3,<1;17;5>,70,1,{2=1},30
323,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<35;39>,{gold=10500;2102=1},{2102=1;5000=3},<0.6;0.8>,3,<7;10;17>,70,2,{3=2},30
324,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<35;39>,{gold=10500;2102=1},{2102=1;451=9},<0.6;0.8>,3,<7;13;5>,70,3,{3=2},30
325,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<35;39>,{gold=14000;2102=2},{2102=2;901=2},<0.9;1.1>,4,<1;11;15>,70,1,{2=2},30
326,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<35;39>,{gold=14000;2102=2},{2102=2;5000=5},<0.9;1.1>,4,<5;7;17>,70,2,{3=2},30
327,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<35;39>,{gold=14000;2102=2},{2102=2;940=1},<0.9;1.1>,4,<3;8;18>,70,3,{3=2},30
328,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<35;39>,{gold=17500;2103=1},{2103=1;901=3},<1.1;1.3>,4,<10;13;17>,70,1,{2=2},30
329,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<35;39>,{gold=17500;2103=1},{2103=1;5000=5},<1.1;1.3>,4,<10;17;5>,70,2,{3=2},30
330,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<35;39>,{gold=17500;2103=1},{2103=1;941=1},<1.1;1.3>,4,<13;17;5>,70,3,{3=2},30
331,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<40;44>,{gold=9000;2101=1},{2101=1;900=1},<0.4;0.6>,3,<2;8;16>,70,1,{3=1},30
332,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<40;44>,{gold=9000;2101=1},{2101=1;5000=2},<0.4;0.6>,3,<2;11;17>,70,2,{3=1},30
333,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<40;44>,{gold=9000;2101=1},{2101=1;451=3},<0.4;0.6>,3,<4;10;15>,70,3,{2=1},30
334,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<40;44>,{gold=11250;2101=2},{2101=2;900=3},<0.5;0.7>,3,<13;5;11>,70,1,{3=1},30
335,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<40;44>,{gold=11250;2101=2},{2101=2;5000=3},<0.5;0.7>,3,<17;5;14>,70,2,{3=1},30
336,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<40;44>,{gold=11250;2101=2},{2101=2;451=6},<0.5;0.7>,3,<17;11;6>,70,3,{2=1},30
337,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<40;44>,{gold=13500;2102=1},{2102=1;900=3},<0.6;0.8>,3,<1;11;17>,70,1,{3=1},30
338,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<40;44>,{gold=13500;2102=1},{2102=1;5000=3},<0.6;0.8>,3,<6;11;16>,70,2,{3=2},30
339,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<40;44>,{gold=13500;2102=1},{2102=1;451=9},<0.6;0.8>,3,<5;11;14>,70,3,{3=2},30
340,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<40;44>,{gold=18000;2102=2},{2102=2;901=2},<0.9;1.1>,4,<5;14;12>,70,1,{3=2},30
341,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<40;44>,{gold=18000;2102=2},{2102=2;5000=5},<0.9;1.1>,4,<11;6;12>,70,2,{3=2},30
342,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<40;44>,{gold=18000;2102=2},{2102=2;940=1},<0.9;1.1>,4,<5;7;13>,70,3,{3=2},30
343,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<40;44>,{gold=22500;2103=1},{2103=1;901=3},<1.1;1.3>,4,<2;8;13>,70,1,{3=2},30
344,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<40;44>,{gold=22500;2103=1},{2103=1;5000=5},<1.1;1.3>,4,<11;12;16>,70,2,{3=2},30
345,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<40;44>,{gold=22500;2103=1},{2103=1;941=1},<1.1;1.3>,4,<14;12;18>,70,3,{3=2},30
346,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<45;49>,{gold=11000;2101=1},{2101=1;900=1},<0.4;0.6>,3,<14;16;18>,60,1,{3=1},40
347,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<45;49>,{gold=11000;2101=1},{2101=1;5000=2},<0.4;0.6>,3,<2;8;15>,60,2,{4=1},40
348,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<45;49>,{gold=11000;2101=1},{2101=1;451=3},<0.4;0.6>,3,<6;12;16>,60,3,{2=1},40
349,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<45;49>,{gold=13750;2101=2},{2101=2;900=3},<0.5;0.7>,3,<6;16;18>,60,1,{3=1},40
350,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<45;49>,{gold=13750;2101=2},{2101=2;5000=3},<0.5;0.7>,3,<12;16;18>,60,2,{4=1},40
351,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<45;49>,{gold=13750;2101=2},{2101=2;451=6},<0.5;0.7>,3,<3;11;16>,60,3,{2=1},40
352,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<45;49>,{gold=16500;2102=1},{2102=1;900=3},<0.6;0.8>,3,<7;13;5>,60,1,{3=1},40
353,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<45;49>,{gold=16500;2102=1},{2102=1;5000=3},<0.6;0.8>,3,<1;11;15>,60,2,{4=2},40
354,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<45;49>,{gold=16500;2102=1},{2102=1;451=9},<0.6;0.8>,3,<5;7;17>,60,3,{3=2},40
355,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<45;49>,{gold=22000;2102=2},{2102=2;901=2},<0.9;1.1>,4,<3;8;18>,60,1,{3=2},40
356,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<45;49>,{gold=22000;2102=2},{2102=2;5000=5},<0.9;1.1>,4,<10;13;17>,60,2,{4=2},40
357,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<45;49>,{gold=22000;2102=2},{2102=2;940=1},<0.9;1.1>,4,<10;17;5>,60,3,{3=2},40
358,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<45;49>,{gold=27500;2103=1},{2103=1;901=3},<1.1;1.3>,4,<13;17;5>,60,1,{3=2},40
359,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<45;49>,{gold=27500;2103=1},{2103=1;5000=5},<1.1;1.3>,4,<2;8;16>,60,2,{4=2},40
360,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<45;49>,{gold=27500;2103=1},{2103=1;941=1},<1.1;1.3>,4,<2;11;17>,60,3,{3=2},40
361,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<50;54>,{gold=13000;2101=2},{2101=1;900=1},<0.4;0.6>,3,<4;10;15>,60,1,{4=1},40
362,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<50;54>,{gold=13000;2101=2},{2101=1;5000=2},<0.4;0.6>,3,<13;5;11>,60,2,{4=1},40
363,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<50;54>,{gold=13000;2101=2},{2101=1;451=3},<0.4;0.6>,3,<17;5;14>,60,3,{2=1},40
364,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<50;54>,{gold=16250;2101=4},{2101=2;900=3},<0.5;0.7>,3,<17;11;6>,60,1,{4=1},40
365,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<50;54>,{gold=16250;2101=4},{2101=2;5000=3},<0.5;0.7>,3,<1;11;17>,60,2,{4=1},40
366,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<50;54>,{gold=16250;2101=4},{2101=2;451=6},<0.5;0.7>,3,<6;11;16>,60,3,{2=1},40
367,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<50;54>,{gold=19500;2102=2},{2102=1;900=3},<0.6;0.8>,3,<5;11;14>,60,1,{4=1},40
368,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<50;54>,{gold=19500;2102=2},{2102=1;5000=3},<0.6;0.8>,3,<5;14;12>,60,2,{4=2},40
369,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<50;54>,{gold=19500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<11;6;12>,60,3,{3=2},40
370,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<50;54>,{gold=26000;2102=4},{2102=2;901=2},<0.9;1.1>,4,<5;7;13>,60,1,{4=2},40
371,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<50;54>,{gold=26000;2102=4},{2102=2;5000=5},<0.9;1.1>,4,<2;8;13>,60,2,{4=2},40
372,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<50;54>,{gold=26000;2102=4},{2102=2;940=1},<0.9;1.1>,4,<11;12;16>,60,3,{3=2},40
373,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<50;54>,{gold=32500;2103=2},{2103=1;901=3},<1.1;1.3>,4,<14;12;18>,60,1,{4=2},40
374,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<50;54>,{gold=32500;2103=2},{2103=1;5000=5},<1.1;1.3>,4,<14;16;18>,60,2,{4=2},40
375,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<50;54>,{gold=32500;2103=2},{2103=1;941=1},<1.1;1.3>,4,<2;8;15>,60,3,{3=2},40
376,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<55;59>,{gold=15000;2101=2},{2101=1;900=1},<0.4;0.6>,3,<6;12;16>,60,1,{4=1},40
377,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<55;59>,{gold=15000;2101=2},{2101=1;5000=2},<0.4;0.6>,3,<6;16;18>,60,2,{5=1},40
378,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<55;59>,{gold=15000;2101=2},{2101=1;451=3},<0.4;0.6>,3,<12;16;18>,60,3,{2=1},40
379,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<55;59>,{gold=18750;2101=4},{2101=2;900=3},<0.5;0.7>,3,<3;11;16>,60,1,{4=1},40
380,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<55;59>,{gold=18750;2101=4},{2101=2;5000=3},<0.5;0.7>,3,<7;13;5>,60,2,{5=1},40
381,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<55;59>,{gold=18750;2101=4},{2101=2;451=6},<0.5;0.7>,3,<1;11;15>,60,3,{2=1},40
382,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<55;59>,{gold=22500;2102=2},{2102=1;900=3},<0.6;0.8>,3,<5;7;17>,60,1,{4=1},40
383,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<55;59>,{gold=22500;2102=2},{2102=1;5000=3},<0.6;0.8>,3,<3;8;18>,60,2,{5=2},40
384,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<55;59>,{gold=22500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<10;13;17>,60,3,{3=2},40
385,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<55;59>,{gold=30000;2102=4},{2102=2;901=2},<0.9;1.1>,4,<10;17;5>,60,1,{4=2},40
386,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<55;59>,{gold=30000;2102=4},{2102=2;5000=5},<0.9;1.1>,4,<13;17;5>,60,2,{5=2},40
387,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<55;59>,{gold=30000;2102=4},{2102=2;940=1},<0.9;1.1>,4,<2;8;16>,60,3,{3=2},40
388,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<55;59>,{gold=37500;2103=2},{2103=1;901=3},<1.1;1.3>,4,<2;11;17>,60,1,{4=2},40
389,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<55;59>,{gold=37500;2103=2},{2103=1;5000=5},<1.1;1.3>,4,<4;10;15>,60,2,{5=2},40
390,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<55;59>,{gold=37500;2103=2},{2103=1;941=1},<1.1;1.3>,4,<13;5;11>,60,3,{3=2},40
391,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<60;64>,{gold=17000;2101=2},{2101=1;900=1},<0.4;0.6>,3,<17;5;14>,50,1,{5=1},50
392,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<60;64>,{gold=17000;2101=2},{2101=1;5000=2},<0.4;0.6>,3,<17;11;6>,50,2,{6=1},50
393,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<60;64>,{gold=17000;2101=2},{2101=1;451=3},<0.4;0.6>,3,<1;11;17>,50,3,{2=1},50
394,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<60;64>,{gold=21250;2101=4},{2101=2;900=3},<0.5;0.7>,3,<6;11;16>,50,1,{5=1},50
395,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<60;64>,{gold=21250;2101=4},{2101=2;5000=3},<0.5;0.7>,3,<5;11;14>,50,2,{6=1},50
396,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<60;64>,{gold=21250;2101=4},{2101=2;451=6},<0.5;0.7>,3,<5;14;12>,50,3,{2=1},50
397,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<60;64>,{gold=25500;2102=2},{2102=1;900=3},<0.6;0.8>,3,<11;6;12>,50,1,{5=1},50
398,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<60;64>,{gold=25500;2102=2},{2102=1;5000=3},<0.6;0.8>,3,<5;7;13>,50,2,{6=2},50
399,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<60;64>,{gold=25500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<2;8;13>,50,3,{3=2},50
400,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<60;64>,{gold=34000;2102=4},{2102=2;901=2},<0.9;1.1>,4,<11;12;16>,50,1,{5=2},50
401,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<60;64>,{gold=34000;2102=4},{2102=2;5000=5},<0.9;1.1>,4,<14;12;18>,50,2,{6=2},50
402,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<60;64>,{gold=34000;2102=4},{2102=2;940=1},<0.9;1.1>,4,<14;16;18>,50,3,{3=2},50
403,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<60;64>,{gold=42500;2103=2},{2103=1;901=3},<1.1;1.3>,4,<2;8;15>,50,1,{5=2},50
404,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<60;64>,{gold=42500;2103=2},{2103=1;5000=5},<1.1;1.3>,4,<6;12;16>,50,2,{6=2},50
405,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<60;64>,{gold=42500;2103=2},{2103=1;941=1},<1.1;1.3>,4,<6;16;18>,50,3,{3=2},50
406,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<65;69>,{gold=19000;2101=2},{2101=1;900=1},<0.4;0.6>,3,<12;16;18>,50,1,{5=1},50
407,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<65;69>,{gold=19000;2101=2},{2101=1;5000=2},<0.4;0.6>,3,<3;11;16>,50,2,{8=1},50
408,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<65;69>,{gold=19000;2101=2},{2101=1;451=3},<0.4;0.6>,3,<7;13;5>,50,3,{2=1},50
409,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<65;69>,{gold=23750;2101=4},{2101=2;900=3},<0.5;0.7>,3,<1;11;15>,50,1,{5=1},50
410,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<65;69>,{gold=23750;2101=4},{2101=2;5000=3},<0.5;0.7>,3,<5;7;17>,50,2,{8=1},50
411,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<65;69>,{gold=23750;2101=4},{2101=2;451=6},<0.5;0.7>,3,<3;8;18>,50,3,{2=1},50
412,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<65;69>,{gold=28500;2102=2},{2102=1;900=3},<0.6;0.8>,3,<10;13;17>,50,1,{5=1},50
413,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<65;69>,{gold=28500;2102=2},{2102=1;5000=3},<0.6;0.8>,3,<10;17;5>,50,2,{8=2},50
414,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<65;69>,{gold=28500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<13;17;5>,50,3,{3=2},50
415,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<65;69>,{gold=38000;2102=4},{2102=2;901=2},<0.9;1.1>,4,<2;8;16>,50,1,{5=2},50
416,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<65;69>,{gold=38000;2102=4},{2102=2;5000=5},<0.9;1.1>,4,<2;11;17>,50,2,{8=2},50
417,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<65;69>,{gold=38000;2102=4},{2102=2;940=1},<0.9;1.1>,4,<4;10;15>,50,3,{3=2},50
418,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<65;69>,{gold=47500;2103=2},{2103=1;901=3},<1.1;1.3>,4,<13;5;11>,50,1,{5=2},50
419,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<65;69>,{gold=47500;2103=2},{2103=1;5000=5},<1.1;1.3>,4,<17;5;14>,50,2,{8=2},50
420,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<65;69>,{gold=47500;2103=2},{2103=1;941=1},<1.1;1.3>,4,<17;11;6>,50,3,{3=2},50
421,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<70;74>,{gold=21000;2101=2},{2101=1;900=1},<0.4;0.6>,3,<1;11;17>,50,1,{6=1},50
422,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<70;74>,{gold=21000;2101=2},{2101=1;5000=2},<0.4;0.6>,3,<6;11;16>,50,2,{9=1},50
423,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<70;74>,{gold=21000;2101=2},{2101=1;451=3},<0.4;0.6>,3,<5;11;14>,50,3,{2=1},50
424,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<70;74>,{gold=26250;2101=4},{2101=2;900=3},<0.5;0.7>,3,<5;14;12>,50,1,{6=1},50
425,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<70;74>,{gold=26250;2101=4},{2101=2;5000=3},<0.5;0.7>,3,<11;6;12>,50,2,{9=1},50
426,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<70;74>,{gold=26250;2101=4},{2101=2;451=6},<0.5;0.7>,3,<5;7;13>,50,3,{2=1},50
427,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<70;74>,{gold=31500;2102=2},{2102=1;900=3},<0.6;0.8>,3,<2;8;13>,50,1,{6=2},50
428,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<70;74>,{gold=31500;2102=2},{2102=1;5000=3},<0.6;0.8>,3,<11;12;16>,50,2,{9=2},50
429,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<70;74>,{gold=31500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<14;12;18>,50,3,{3=2},50
430,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<70;74>,{gold=42000;2102=4},{2102=2;901=2},<0.9;1.1>,4,<14;16;18>,50,1,{6=2},50
431,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<70;74>,{gold=42000;2102=4},{2102=2;5000=5},<0.9;1.1>,4,<2;8;15>,50,2,{9=2},50
432,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<70;74>,{gold=42000;2102=4},{2102=2;940=1},<0.9;1.1>,4,<6;12;16>,50,3,{3=2},50
433,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<70;74>,{gold=52500;2103=2},{2103=1;901=3},<1.1;1.3>,4,<6;16;18>,50,1,{6=3},50
434,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<70;74>,{gold=52500;2103=2},{2103=1;5000=5},<1.1;1.3>,4,<12;16;18>,50,2,{9=3},50
