变量名,name,type,desc,isHidden,clientTaskType,targetType,point,targetArg,languages,targetArg2,clientTaskArg
50200,Lugia Ally,5,Clear 5 runs with Valerie deploying Lugia.,,,,20,5,<cn>,,{trainerID=200004;unitIDR=<1;99999;<11001>>}
50210,Hoopa Unbound Ally,5,Clear 5 runs with Valerie deploying Hoopa Unbound.,,,,20,5,<cn>,,{trainerID=200004;unitIDR=<1;99999;<11002>>}
50220,Mewtwo Ally,5,Clear 5 runs with Valerie deploying Mewtwo.,,,,20,5,<cn>,,{trainerID=200004;unitIDR=<1;99999;<11004>>}
50230,Flower of Life,5,Clear a run using Valerie with Xerneas and Flabébé on the field.,TRUE,,,20,1,<cn>,,{trainerID=200004;unitIDR=<1;99999;<18001>>;unitIDR_1=<1;99999;<18007>>}
50240,Phantom Pas de Deux,5,Clear a run using Valerie with Shiny Mega Gardevoir and Primarina on the field.,TRUE,,,20,1,<cn>,,{trainerID=200004;unitIDR=<1;99999;<18002>>;unitIDR_1=<1;99999;<18009>>}
50250,Mindscape Spiral,5,Clear a run using Valerie with Hoopa Unbound and Mewtwo.,TRUE,,,20,1,<cn>,,{trainerID=200004;unitIDR=<1;99999;<11002>>;unitIDR_1=<1;99999;<11004>>}
50260,Prismatic Lens Duo,5,Clear a run using Valerie with Necrozma and Starmie.,TRUE,,,20,1,<cn>,,{trainerID=200004;unitIDR=<1;99999;<11014>>;unitIDR_1=<1;99999;<11011>>}
50270,Double Mindlink,5,Clear a run using Valerie with Mew and Abra on the field.,TRUE,,,20,1,<cn>,,{trainerID=200004;unitIDR=<1;99999;<11005>>;unitIDR_1=<1;99999;<11006>>}
50280,Guardian Duo,5,Clear a run using Valerie with Gardevoir and Gallade on the field.,TRUE,,,20,1,<cn>,,{trainerID=200004;unitIDR=<1;99999;<18004>>;unitIDR_1=<1;99999;<11013>>}
50290,Valerie • Laverre Overlord+,5,Reach mastery level 20 with Valerie.,,,1,30,1,<cn>,<20;200004>,
50300,Precious Peeps Trio,5,"Clear a run using Valerie with Cleffa, Gothita, and Exeggcute.",TRUE,,,30,1,<cn>,,{trainerID=200004;unitIDR=<1;99999;<18013>>;unitIDR_1=<1;99999;<11009>>;unitIDR_2=<1;99999;<11015>>}
50310,Sugarheart Trio,5,"Clear a run using Valerie with Swirlix, Slurpuff, and Wigglytuff.",TRUE,,,30,1,<cn>,,{trainerID=200004;unitIDR=<1;99999;<18012>>;unitIDR_1=<1;99999;<18011>>;unitIDR_2=<1;99999;<18008>>}
60010,Snowpoint Chapter,6,Clear 5 full runs while using Trainer Candice.,,,,10,5,<cn>,,{trainerID=200005}
60020,Candice • First Steps,6,Reach mastery level 5 with Candice.,,,1,10,1,<cn>,<5;200005>,
60030,Frost Waltz,6,Clear a run while using Candice’s Frost Waltz skill.,,,,10,1,<cn>,,{skillID=10000501;trainerID=200005}
60040,Breaker Shot,6,Clear a run while using Candice’s Ice Crash skill.,,,,10,1,<cn>,,{skillID=10000502;trainerID=200005}
60050,Blizzard Line,6,Clear a run while using Candice’s Snow Gust skill.,,,,10,1,<cn>,,{skillID=10000503;trainerID=200005}
60060,Candice Legacy I,6,"When the season settles, rank in the Candice leaderboard top 50.",TRUE,,3,10,1,<cn>,<50;200005>,
60070,Candice Legacy II,6,"When the season settles, rank in the Candice leaderboard top 10.",TRUE,,3,20,1,<cn>,<10;200005>,
60080,Candice Legacy III,6,"When the season settles, place #1 on the Candice leaderboard.",TRUE,,3,30,1,<cn>,<1;200005>,
60090,Candice • True Grip,6,Reach mastery level 10 with Candice.,,,1,20,1,<cn>,<10;200005>,
60100,Candice • Snowpoint Overlord,6,Reach mastery level 15 with Candice.,,,1,20,1,<cn>,<15;200005>,
60110,Spring Thaw,6,Clear a run while using Candice’s Snowmelt skill.,,,,20,1,<cn>,,{skillID=10000504;trainerID=200005}
60120,Rivulet Flow,6,Clear a run while using Candice’s Babbling Brooks skill.,,,,20,1,<cn>,,{skillID=10000505;trainerID=200005}
60130,Whirlpool Grip,6,Clear a run while using Candice’s Vortex skill.,,,,20,1,<cn>,,{skillID=10000506;trainerID=200005}
60140,Crystal Purity,6,Clear a run while using Candice’s Unblemished skill.,,,,20,1,<cn>,,{skillID=10000507;trainerID=200005}
60150,Avalanche Break,6,Clear a run while using Candice’s Crash Snow skill.,,,,20,1,<cn>,,{skillID=10000508;trainerID=200005}
60160,Converging Tide,6,Clear a run while using Candice’s Converging Tide skill.,,,,20,1,<cn>,,{skillID=10000509;trainerID=200005}
60170,Tidal Surge,6,Clear a run while using Candice’s Tidal Surge skill.,,,,20,1,<cn>,,{skillID=10000510;trainerID=200005}
60180,Kyogre Ally,6,Clear 5 runs with Candice deploying Kyogre.,,,,20,5,<cn>,,{trainerID=200005;unitIDR=<1;99999;<3002>>}
60190,Manaphy Ally,6,Clear 5 runs with Candice deploying Manaphy.,,,,20,5,<cn>,,{trainerID=200005;unitIDR=<1;99999;<3003>>}
60200,Palkia Ally,6,Clear 5 runs with Candice deploying Palkia.,,,,20,5,<cn>,,{trainerID=200005;unitIDR=<1;99999;<3008>>}
60210,Polar Mega Abomasnow Ally,6,Clear 5 runs with Candice deploying Shiny Mega Abomasnow.,,,,20,5,<cn>,,{trainerID=200005;unitIDR=<1;99999;<6001>>}
60220,Ice Rider Ally,6,Clear 5 runs with Candice deploying Ice Rider Calyrex.,,,,20,5,<cn>,,{trainerID=200005;unitIDR=<1;99999;<6002>>}
60230,Kyurem Ally,6,Clear 5 runs with Candice deploying Kyurem.,,,,20,5,<cn>,,{trainerID=200005;unitIDR=<1;99999;<6003>>}
60240,Frost Family Duel,6,Clear a run using Candice with Shiny Mega Abomasnow and Snover.,TRUE,,,20,1,<cn>,,{trainerID=200005;unitIDR=<1;99999;<6001>>;unitIDR_1=<1;99999;<6010>>}
60250,Absolute Freeze Faceoff,6,Clear a run using Candice with Kyurem and Articuno.,TRUE,,,20,1,<cn>,,{trainerID=200005;unitIDR=<1;99999;<6003>>;unitIDR_1=<1;99999;<6005>>}
60260,Icicle Steeds Duel,6,Clear a run using Candice with Ice Rider Calyrex and Glastrier.,TRUE,,,20,1,<cn>,,{trainerID=200005;unitIDR=<1;99999;<6002>>;unitIDR_1=<1;99999;<6009>>}
60270,Azure Harmony,6,Clear a run using Candice with Kyogre and Piplup.,TRUE,,,20,1,<cn>,,{trainerID=200005;unitIDR=<1;99999;<3002>>;unitIDR_1=<1;99999;<3016>>}
60280,Ocean Heir Duel,6,Clear a run using Candice with Manaphy and Froakie.,TRUE,,,20,1,<cn>,,{trainerID=200005;unitIDR=<1;99999;<3003>>;unitIDR_1=<1;99999;<3012>>}
60290,Hydro Lancer Burst,6,Clear a run using Candice with Palkia and Clauncher.,TRUE,,,20,1,<cn>,,{trainerID=200005;unitIDR=<1;99999;<3008>>;unitIDR_1=<1;99999;<3019>>}
60300,Candice • Snowpoint Overlord+,6,Reach mastery level 20 with Candice.,,,1,30,1,<cn>,<20;200005>,
60310,Aquatic Nobility Trio,6,"Clear a run using Candice with Suicune, male Frillish, and female Frillish.",TRUE,,,30,1,<cn>,,{trainerID=200005;unitIDR=<1;99999;<3011>>;unitIDR_1=<1;99999;<3017>>;unitIDR_2=<1;99999;<3018>>}
60320,Biting Blizzard Trio,6,"Clear a run using Candice with Shiny Mega Abomasnow, Cloyster, and Amaura.",TRUE,,,30,1,<cn>,,{trainerID=200005;unitIDR=<1;99999;<6001>>;unitIDR_1=<1;99999;<6008>>;unitIDR_2=<1;99999;<6015>>}
90010,Adventure Road I,999,"During this season, start 3 Adventures.",,2,4,10,3,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
90020,Adventure Road II,999,"During this season, start 5 Adventures.",,2,4,10,5,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
90030,Adventure Road III,999,"During this season, start 10 Adventures.",,2,4,20,10,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
90040,Adventure Road IV,999,"During this season, start 20 Adventures.",,2,4,20,20,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
90050,Adventure Road V,999,"During this season, start 30 Adventures.",,2,4,20,30,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
90060,Adventure Road VI,999,"During this season, start 40 Adventures.",,2,4,30,40,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
90070,Adventure Master I,999,"During this season, clear an Adventure once.",,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
90080,Adventure Master II,999,"During this season, clear Adventures 3 times.",,,,10,3,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
90090,Adventure Master III,999,"During this season, clear Adventures 5 times.",,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
90100,Adventure Master IV,999,"During this season, clear Adventures 10 times.",,,,20,10,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
90110,Adventure Master V,999,"During this season, clear Adventures 15 times.",,,,30,15,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
90120,Fire Specialty,999,Clear an Adventure while four or more Pokémon on the board are Fire-type.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{natureR=<4;99999;<2>>}
90130,Fighting Specialty,999,Clear an Adventure while four or more Pokémon on the board are Fighting-type.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{natureR=<4;99999;<7>>}
90140,Grass Specialty,999,Clear an Adventure while four or more Pokémon on the board are Grass-type.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{natureR=<4;99999;<4>>}
90150,Normal Specialty,999,Clear an Adventure while four or more Pokémon on the board are Normal-type.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{natureR=<4;99999;<1>>}
90160,Steel Specialty,999,Clear an Adventure while four or more Pokémon on the board are Steel-type.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{natureR=<4;99999;<17>>}
90170,Ghost Specialty,999,Clear an Adventure while four or more Pokémon on the board are Ghost-type.,,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{natureR=<4;99999;<14>>}
90180,Dark Specialty,999,Clear an Adventure while four or more Pokémon on the board are Dark-type.,,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{natureR=<4;99999;<16>>}
90190,Psychic Specialty,999,Clear an Adventure while four or more Pokémon on the board are Psychic-type.,,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{natureR=<4;99999;<11>>}
90200,Training Expertise,999,Clear an Adventure while two or more Pokémon on the board are 4★.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{starR=<2;99999;<4>>}
90210,Powered Promotions,999,"During this season, raise Pokémon to 4★ ten times via Promote Strengthening.",,2,,10,10,<cn;tw;en;en_us;en_eu;kr>,,{shopRiseN=<<4>>;sum=TRUE}
90220,Fairy Specialty,999,Clear an Adventure while four or more Pokémon on the board are Fairy-type.,,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{natureR=<4;99999;<18>>}
