变量名,name,weight,price,resScale,findDesc,filterTarget,showInHandBook,pvpShowInHandBook,defence,cardEffect,hp,attack,nature1,rarity,logo,res,starUnlock,specialTarget,desc,actionTimes,equipSlots,resPos,buffid,keyWords,findBuff,nature2
6006,几何雪花,40,5,1.8,,,TRUE,,,受到攻击时，【冰冻】$(1*star)$个敌人,12*self:star(),3*self:star(),6,4,config/portrait/speedranktouxiang/img_615_jhxh@.png,config/big_hero/normal/img_615_jhxh@.png,,,,,,,<600600;100010;100020;100030>,<【冰冻】>,,
6007,雷吉艾斯,60,4,,,,TRUE,,1*self:star(),【坚甲】\n失去生命时，获得N点护甲（N为$(1*star)$倍失去的生命值）,8*self:star(),4*self:star(),6,3,config/portrait/speedranktouxiang/img_378_ljas@.png,config/big_hero/normal/img_378_ljas@.png,,,,,,{x=-140;y=0},<600700;100010;100020;100030>,<【坚甲】>,,
6008,刺甲贝,60,4,2.2,,,TRUE,,6*self:star(),受到攻击后，自身+$(3*star)$护甲并对攻击者造成N点伤害（N为自身护甲值）,1*self:star(),1*self:star(),3,3,config/portrait/speedranktouxiang/img_91_cjb@.png,config/big_hero/normal/img_91_cjb@.png,,,,,,{x=-90;y=120},<600800;100010;100020;100030>,,,6
6009,雪暴马,60,4,1.8,,,TRUE,,8*self:star(),【先机】：将己方精灵的护甲值额外提升$(1*star)$倍,1*self:star(),4*self:star(),6,3,config/portrait/speedranktouxiang/img_896_xbm@.png,config/big_hero/normal/img_896_xbm@.png,,,,,,{x=-20;y=-40},<600900;100010;100020;100030>,<【先机】>,,
6010,雪笠怪,60,4,,,,TRUE,,,失去生命时，除雪笠怪外的所有友方+$(1*star)$护甲,10*self:star(),1*self:star(),4,3,config/portrait/speedranktouxiang/img_459_xzg@.png,config/big_hero/normal/img_459_xzg@.png,,,,,,{x=0;y=50},<601000;100010;100020;100030>,,,6
6011,海豹球,80,3,,,,TRUE,,,【盾反】\n获得护甲时，增加N点攻击（N为本次获得护甲值的$(0.5*star)$倍）,8*self:star(),3*self:star(),6,2,config/portrait/speedranktouxiang/img_363_hbq@.png,config/big_hero/normal/img_363_hbq@.png,,,,,,{x=180;y=50},<601100;100010;100020;100030>,<【盾反】>,,3
6012,雪童子,80,3,1.8,,,TRUE,,5*self:star(),失去所有护甲时，【消灭】自身,5*self:star(),5*self:star(),6,2,config/portrait/speedranktouxiang/img_361_xtz@.png,config/big_hero/normal/img_361_xtz@.png,,,,,,,<601200;100010;100020;100030>,<【消灭】>,,
6013,雪妖女,80,3,,,,TRUE,,,【隐匿】\n失去【隐匿】时，【冰冻】$(1*star)$个敌人,6*self:star(),3*self:star(),6,2,config/portrait/speedranktouxiang/img_478_xyn@.png,config/big_hero/normal/img_478_xyn@.png,,,,,,{x=0;y=-30},<601300;100010;100020;100030>,<【隐匿】;【冰冻】>,,14
6014,喷嚏熊,100,2,1.8,,,TRUE,,5*self:star(),【守卫】\n失去所有护甲时，【冰冻】$(1*star)$个敌人,5*self:star(),1*self:star(),6,,config/portrait/speedranktouxiang/img_613_ptx@.png,config/big_hero/normal/img_613_ptx@.png,,,,,,,<601400;100010;100020;100030>,<【守卫】;【冰冻】>,,
6015,冰雪龙,100,2,1.8,,,TRUE,,3*self:star(),【先机】：己方精灵+$(3*star)$护甲,3*self:star(),2*self:star(),13,,config/portrait/speedranktouxiang/img_698_bxl@.png,config/big_hero/normal/img_698_bxl@.png,,,,,,,<601500;100010;100020;100030>,<【先机】>,,6
6016,迷你冰,100,2,,,,TRUE,,3*self:star(),攻击【冰冻】目标时，本次攻击获得【穿甲】,1*self:star(),3*self:star(),6,,config/portrait/speedranktouxiang/img_582_mnb@.png,config/big_hero/normal/img_582_mnb@.png,,,,,,{x=40;y=0},<601600;100010;100020;100030>,<【冰冻】;【穿甲】>,,
7001,玛夏多,20,6,1.8,,,TRUE,,,攻击【破甲】单位前自身获得【暴击】\n【破敌】：使己方随机$(1*star)$个精灵的【濒死】效果立刻触发$(1*star)$次,5*self:star(),10*self:star(),7,5,config/portrait/speedranktouxiang/img_802_mxd@.png,config/big_hero/normal/img_802_mxd2@.png,,,,,,,<700100;100010;100020;100030>,<【破甲】;【暴击】;【破敌】;【濒死】>,,14
7002,利欧路,40,5,1.8,,,TRUE,,,行动次数+$(1*star)$\n攻击【破甲】单位时自身不受反击伤害,6*self:star(),7*self:star(),7,4,config/portrait/speedranktouxiang/img_447_lol@.png,config/big_hero/normal/img_447_lol@.png,,,,,,,<700200;100010;100020;100030>,<【破甲】>,,17
7003,腕力,60,4,1.6,,,TRUE,,,将破甲最高的敌方视为【宿敌】\n攻击前自身+N攻击，+N生命（N为目标破甲值的$(0.5*star)$倍）,5*self:star(),6*self:star(),7,3,config/portrait/speedranktouxiang/img_66_wl@.png,config/big_hero/normal/img_66_wl@.png,,,,,,,<700300;100010;100020;100030>,<【宿敌】>,,
7004,飞腿郎,80,3,1.8,,,TRUE,,,攻击前对目标造成$(3*star)$点【破甲】并使其【晕眩】,4*self:star(),5*self:star(),7,2,config/portrait/speedranktouxiang/img_106_ftl@.png,config/big_hero/normal/img_106_ftl@.png,,,,,,{x=-80;y=0},<700400;100010;100020;100030>,<【破甲】;【晕眩】>,,
7005,战舞郎,80,3,1.6,,,TRUE,,,【光环】：己方斗系精灵攻击【破甲】单位前，使其永久+$(1*star)$攻击，永久+$(1*star)$生命,4*self:star(),5*self:star(),7,2,config/portrait/speedranktouxiang/img_237_zwl@.png,config/big_hero/normal/img_237_zwl@.png,,,,,,,<700500;100010;100020;100030>,<【破甲】>,,
7006,快拳郎,80,3,1.8,,,TRUE,,,攻击【破甲】单位后，自身获得1次行动,4*self:star(),5*self:star(),7,2,config/portrait/speedranktouxiang/img_107_kql@.png,config/big_hero/normal/img_107_kql@.png,,,,,,{x=40;y=-30},<700600;100010;100020;100030>,<【破甲】>,,
7007,搬运小匠,100,2,1.8,,,TRUE,,,自身受到生命损失时，获得等量【破甲】。\n自身行动前，将自身【破甲】值的$(star)$倍转移给随机1个敌方精灵,10*self:star(),1*self:star(),7,,config/portrait/speedranktouxiang/img_532_byxj@.png,config/big_hero/normal/img_532_byxj@.png,,,,,,,<700700;100010;100020;100030>,<【破甲】>,,
7008,摔角鹰人,80,3,1.7,,,TRUE,,,攻击前自身+$(4*star)$攻击并对目标造成与自身攻击等量的【破甲】,3*self:star(),6*self:star(),7,2,config/portrait/speedranktouxiang/img_701_sjyr@.png,config/big_hero/normal/img_701_sjyr@.png,,,,,,{x=70;y=-60},<700800;100010;100020;100030>,<【破甲】>,,10
7009,猴怪,100,2,,,,TRUE,,,【濒死】：对敌方全体造成$(3*star)$点【破甲】,2*self:star(),4*self:star(),7,,config/portrait/speedranktouxiang/img_56_hg@.png,config/big_hero/normal/img_56_hg@.png,,,,,,{x=120;y=0},<700900;100010;100020;100030>,<【濒死】;【破甲】>,,
7010,葱游兵,40,5,,,,TRUE,,,行动前对随机$(1*star)$个敌方造成$(5*star)$点【破甲】,7*self:star(),8*self:star(),7,4,config/portrait/speedranktouxiang/img_865_cyb@.png,config/big_hero/normal/img_865_cyb@.png,,,,,,,<701000;100010;100020;100030>,<【破甲】>,,
7011,藏玛然特,20,6,,,,TRUE,,,【守卫】\n受到攻击后令己方随机$(1*star)$个斗系精灵+$(3*star)$攻击并获得【护盾】,8*self:star(),3*self:star(),7,5,config/portrait/speedranktouxiang/img_889_zmrt@.png,config/big_hero/normal/img_889_zmrt@.png,,,,,,,<701100;100010;100020;100030>,<【守卫】;【护盾】>,,
7012,童偶熊,40,5,,,,TRUE,,,【光环】：己方斗系精灵获得：攻击【破甲】单位时不受反击且在攻击前治疗自身N点生命（N为目标$(star)$倍破甲值）,3*self:star(),2*self:star(),,4,config/portrait/speedranktouxiang/img_759_tox@.png,config/big_hero/normal/img_759_tox@.png,,,,,,,<701200;100010;100020;100030>,<【光环】;【破甲】;【治疗】>,,7
11001,洛奇亚,20,6,,,,TRUE,,,【光环】：己方精灵进场时，使其永久+$(5*star)$攻击，+$(5*star)$生命\n【胜利】：令随机1个精灵返回手牌,8*self:star(),6*self:star(),11,5,config/portrait/speedranktouxiang/img_249_lqy@.png,config/big_hero/normal/img_249_lqy@.png,,,,,,,<1100100;100010;100020;100030>,<【光环】>,,10
11002,解放胡帕,20,6,1.7,,,TRUE,,,行动前将1个敌方变为【幻影】，将$(star)$个己方【幻影】变为实体,5*self:star(),6*self:star(),11,5,config/portrait/speedranktouxiang/img_720_jfhp@.png,config/big_hero/normal/img_720_jfhp@.png,,,,,,{x=10;y=30},<1100200;100010;100020;100030>,<【幻影】>,,16
11003,基拉祈,20,6,,,,TRUE,,4*self:star(),【坚甲】\n【光环】：己方精灵/【幻影】阵亡时，给己方全体+$(7*star)$/+$(14*star)$护甲,7*self:star(),3*self:star(),17,5,config/portrait/speedranktouxiang/img_385_jlq@.png,config/big_hero/normal/img_385_jlq@.png,,,,,,,<1100300;100010;100020;100030>,<【坚甲】;【幻影】;【光环】>,,11
11004,超梦,20,6,,,,TRUE,,,行动前【消灭】1个场上【幻影】\n场上精灵阵亡时，自身获得其$(star*0.5)$倍攻击，若阵亡的是【幻影】，额外获得其$(star*0.5)$倍生命,5*self:star(),7*self:star(),11,5,config/portrait/speedranktouxiang/img_150_cm@.png,config/big_hero/normal/img_150_cm@.png,,,,,,,<1100400;100010;100020;100030>,<【消灭】;【幻影】>,,
11005,梦幻,40,5,,,,TRUE,,,行动前【召唤】$(star)$个场上随机精灵的【幻影】，星级为$(1*star)$,4*self:star(),4*self:star(),11,4,config/portrait/speedranktouxiang/img_151_mh@.png,config/big_hero/normal/img_151_mh@.png,,,,,,,<1100500;100010;100020;100030>,<【召唤】;【幻影】>,,
11006,凯西,40,5,1.7,,,TRUE,,,受到攻击前【召唤】1个自身的具有【守卫】的【幻影】，星级为$(1*star)$,7*self:star(),2*self:star(),11,4,config/portrait/speedranktouxiang/img_63_kx@.png,config/big_hero/normal/img_63_kx@.png,,,,,,,<1100600;100010;100020;100030>,<【召唤】;【幻影】;【守卫】>,,
11007,小果然,40,5,,,,TRUE,,,【陷阱】：对攻击者造成N点技能伤害（N为攻击者$(0.5*star)$倍攻击力）,5*self:star(),3*self:star(),11,4,config/portrait/speedranktouxiang/img_360_xgr@.png,config/big_hero/normal/img_360_xgr@.png,,,,,,,<1100700;100010;100020;100030>,<【陷阱】>,,
11008,克雷色利亚,60,4,1.8,,,TRUE,,,【光环】：己方精灵/【幻影】阵亡时，为己方精灵【治疗】$(3*star)$/$(6*star)$点生命,6*self:star(),4*self:star(),11,3,config/portrait/speedranktouxiang/img_488_klsly@.png,config/big_hero/normal/img_488_klsly@.png,,,,,,,<1100800;100010;100020;100030>,<【光环】;【幻影】;【治疗】>,,
11009,哥德宝宝,80,3,1.7,,,TRUE,,,【幻影】\n己方其他精灵阵亡后，自身变为实体,5*self:star(),5*self:star(),11,2,config/portrait/speedranktouxiang/img_574_gdbb@.png,config/big_hero/normal/img_574_gdbb@.png,,,,,,,<1100900;100010;100020;100030>,<【幻影】>,,
11011,宝石海星,100,2,1.7,,,TRUE,,,【濒死】：令击杀者变为【幻影】，之后对随机$(1*star)$个敌人造成1点技能伤害,1*self:star(),1*self:star(),3,,config/portrait/speedranktouxiang/img_121_bshx@.png,config/big_hero/normal/img_121_bshx@.png,,,,,,{x=-50;y=50},<1101100;100010;100020;100030>,<【濒死】;【幻影】>,,11
11013,艾路雷朵,40,5,,,,TRUE,,,攻击前对目标相邻单位造成等于自身攻击的【破甲】\n攻击【幻影】时不受反击且永久+N攻击（N为目标$(0.5*star)$倍攻击）,3*self:star(),5*self:star(),11,4,config/portrait/speedranktouxiang/img_475_alld@.png,config/big_hero/normal/img_475_alld@.png,,,,,,,<1101300;100010;100020;100030>,<【破甲】;【幻影】>,,7
11014,奈克洛兹玛,20,6,,,,TRUE,,,【贯穿】\n优先攻击【幻影】单位，攻击【幻影】前额外增加其$(0.5*star)$倍生命的攻击和其$(0.5*star)$倍攻击的生命,5*self:star(),5*self:star(),11,5,config/portrait/speedranktouxiang/img_800_nklzm@.png,config/big_hero/normal/img_800_nklzm@.png,,,,,,,<1101400;100010;100020;100030>,<【贯穿】;【幻影】>,,
11015,蛋蛋,100,2,,,,TRUE,,,【濒死】：【召唤】一个星级为$(1*star)$的随机【幻影】,1*self:star(),2*self:star(),4,,config/portrait/speedranktouxiang/img_102_dd@.png,config/big_hero/normal/img_102_dd@.png,,,,,,,<1101500;100010;100020;100030>,<【幻影】;【濒死】;【召唤】>,,11
11016,呆呆兽,80,3,1.7,,,TRUE,,,受到伤害时若自身没有【破甲】，将伤害转为等量【破甲】\n行动前清除自身【破甲】,10*self:star(),1*self:star(),3,2,config/portrait/speedranktouxiang/img_79_dds@.png,config/big_hero/normal/img_79_dds@.png,,,,,,,<1101600;100010;100020;100030>,<【破甲】>,,11
14001,惩戒胡帕,20,6,,,,TRUE,,,【光环】：己方精灵行动前，在敌方空位【召唤】1个星级为$(1*star)$的[恶作剧之影],9*self:star(),5*self:star(),11,5,config/portrait/speedranktouxiang/img_720_cjhp@.png,config/big_hero/normal/img_720_cjhp@.png,,,,,,{x=-30;y=30},<1400100;100010;100020;100030>,<【光环】;【召唤】>,,14
14002,恶作剧之影,,6,1.8,,,,,,【幻影】\n【濒死】：对己方所有精灵造成$(7*star)$点技能伤害,1*self:star(),1,11,5,config/portrait/speedranktouxiang/img_720_cjhp@.png,config/big_hero/normal/autochess_hp.png,,,,,,{x=20;y=0},<1400200;100010;100020;100030>,<【幻影】;【濒死】>,,14
14003,露奈雅拉,20,6,,,,TRUE,,,【先机】/受到攻击时：使己方随机$(1*star)$个除露奈雅拉外的鬼系精灵+$(3*star)$攻击并获得【隐匿】。【濒死】：若己方存在【隐匿】单位，【召唤】自身的复制,15*self:star(),3*self:star(),11,5,config/portrait/speedranktouxiang/img_792_lnyl@.png,config/big_hero/normal/img_792_lnyl@.png,,,,,,,<1400300;100010;100020;100030>,<【先机】;【隐匿】;【濒死】;【召唤】>,,14
14004,梦妖,40,5,,,,TRUE,,,【光环】：敌方有精灵阵亡时，其相邻单位获得【晕眩】,6*self:star(),7*self:star(),14,4,config/portrait/speedranktouxiang/img_200_my@.png,config/big_hero/normal/img_200_my@.png,,,,,,,<1400400;100010;100020;100030>,<【光环】;【晕眩】>,,
14005,夜巡灵,40,5,,,,TRUE,,,【濒死】：【消灭】$(1*star)$个攻击小于$(5*star)$#HIDE#（当前$(1+self:getBuffOverlayCount(1400503))*5*star$）#HIDE#（敌方每次阵亡，额外+$(5*star)$）的敌人,3*self:star(),10*self:star(),14,4,config/portrait/speedranktouxiang/img_355_yxl@.png,config/big_hero/normal/img_355_yxl@.png,,,,,,{x=-30;y=120},<1400500;100010;100020;100030>,<【濒死】;【消灭】>,,
14006,烛光灵,40,5,1.8,,,TRUE,,,【濒死】：使敌方全体降低$(4*star)$点攻击和$(4*star)$点生命,1*self:star(),12*self:star(),14,4,config/portrait/speedranktouxiang/img_607_zgl@.png,config/big_hero/normal/img_607_zgl@.png,,,,,,{x=20;y=30},<1400600;100010;100020;100030>,<【濒死】>,,2
14007,鬼斯,60,4,,,,TRUE,,,【光环】：己方【隐匿】单位攻击前，偷取目标$(3*star)$点攻击和$(3*star)$点生命,5*self:star(),5*self:star(),14,3,config/portrait/speedranktouxiang/img_92_gs@.png,config/big_hero/normal/img_92_gs@.png,,,,,,,<1400700;100010;100020;100030>,<【光环】;【隐匿】>,,8
14008,谜拟Q,80,3,,,,TRUE,,,战斗开始时进入【隐匿】\n进入【隐匿】时，获得【护盾】,7*self:star(),3*self:star(),14,3,config/portrait/speedranktouxiang/img_778_mnq@.png,config/big_hero/normal/img_778_mnq@.png,,,,,,{x=80;y=-100},<1400800;100010;100020;100030>,<【隐匿】;【护盾】>,,18
14009,怨影娃娃,80,3,1.8,,,TRUE,,,【隐匿】\n失去【隐匿】时，降低随机$(1*star)$个敌人5点攻击并将其【晕眩】,6*self:star(),4*self:star(),14,2,config/portrait/speedranktouxiang/img_353_yyww@.png,config/big_hero/normal/img_353_yyww@.png,,,,,,{x=-10;y=20},<1400900;100010;100020;100030>,<【隐匿】;【晕眩】>,,
14010,勾魂眼,100,2,,,,TRUE,,,【隐匿】\n攻击前偷取攻击目标$(2*star)$点攻击，【隐匿】状态下偷取量翻倍,3*self:star(),1*self:star(),16,,config/portrait/speedranktouxiang/img_302_ghy@.png,config/big_hero/normal/img_302_ghy@.png,,,,,,{x=30;y=20},<1401000;100010;100020;100030>,<【隐匿】>,,14
14011,小木灵,100,2,,,,TRUE,,,【濒死】：使己方$(1*star)$个其他精灵进入【隐匿】,1*self:star(),4*self:star(),14,,config/portrait/speedranktouxiang/img_708_xml@.png,config/big_hero/normal/img_708_xml@.png,,,,,,,<1401100;100010;100020;100030>,<【濒死】>,,4
14012,骑拉帝纳,20,6,1.6,,,TRUE,,,【光环】：己方精灵失去【隐匿】时，自身和对应精灵永久+$(2*star)$攻击，永久+$(2*star)$生命,8*self:star(),5*self:star(),14,5,config/portrait/speedranktouxiang/img_487_qldn@.png,config/big_hero/normal/img_487_qldnsxt@.png,,,,,,,<1401200;100010;100020;100030>,<【光环】;【隐匿】>,,15
16001,伊裴尔塔尔,20,6,,,,TRUE,,,任意其他精灵行动前，偷取其$(2*star)$#HIDE#（当前$(1+self:getBuffOverlayCount(1600107))*2*star$）#HIDE#点生命（每次精灵阵亡，额外+$(2*star)$）\n自身攻击与生命相同,5*self:star(),0,16,5,config/portrait/speedranktouxiang/img_717_ypete@.png,config/big_hero/normal/img_717_ypete@.png,,,,,,{x=30;y=0},<1600100;100010;100020;100030>,,,10
16003,达克莱伊,20,6,,,,TRUE,,,【光环】：敌方被添加【晕眩】时，降低其$(6*star)$点攻击，若其攻击为0，直接将其【消灭】\n行动后【晕眩】所有敌人,6*self:star(),7*self:star(),16,5,config/portrait/speedranktouxiang/img_491_dkly@.png,config/big_hero/normal/img_491_dkly@.png,,,,,,,<1600300;100010;100020;100030>,<【光环】;【晕眩】;【消灭】>,,
16004,阿勃梭鲁,40,5,,,,TRUE,,,【光环】：敌方精灵生命降低时，降低其$(3*star)$点攻击,6*self:star(),4*self:star(),16,4,config/portrait/speedranktouxiang/img_359_absl@.png,config/big_hero/normal/img_359_absl@.png,,,,,,{x=30;y=-30},<1600400;100010;100020;100030>,<【光环】>,,
16005,索罗亚,40,5,1.8,,,TRUE,,,【先机】：【变形】为距离最近的敌方的初始复制，星级为$(star)$，并偷取其一半的攻击和生命,8*self:star(),3*self:star(),16,4,config/portrait/speedranktouxiang/img_570_sly@.png,config/big_hero/normal/img_570_sly@.png,,,,,,,<1600500;100010;100020;100030>,<【先机】;【变形】>,,
16006,甲贺忍蛙,60,4,,,,TRUE,,,攻击前，偷取其$(3*star)$点攻击和$(3*star)$点生命，若目标被【晕眩】，则永久偷取,4*self:star(),6*self:star(),3,3,config/portrait/speedranktouxiang/img_658_jhrw@.png,config/big_hero/normal/img_658_jhrw@.png,,,,,,{x=30;y=-120},<1600600;100010;100020;100030>,<【晕眩】>,,16
16007,单首龙,60,4,1.8,,,TRUE,,,受到攻击后，【晕眩】随机$(1*star)$个敌人,8*self:star(),3*self:star(),16,3,config/portrait/speedranktouxiang/img_633_dsl@.png,config/big_hero/normal/img_633_dsl@.png,,,,,,,<1600700;100010;100020;100030>,<【晕眩】>,,15
16008,戴鲁比,80,3,,,,TRUE,,,【濒死】：对所有敌人造成$(4*star)$点技能伤害（对【晕眩】目标造成$(1+star)$倍伤害）,1*self:star(),5*self:star(),16,2,config/portrait/speedranktouxiang/img_228_dlb@.png,config/big_hero/normal/img_228_dlb@.png,,,,,,{x=0;y=-120},<1600800;100010;100020;100030>,<【濒死】;【晕眩】>,,2
16009,流氓鳄,80,3,1.6,,,TRUE,,,【陷阱】：偷取攻击者一半攻击并使其【晕眩】,5*self:star(),1*self:star(),9,2,config/portrait/speedranktouxiang/img_553_lme@.png,config/big_hero/normal/img_553_lme@.png,,,,,,,<1600900;100010;100020;100030>,<【陷阱】;【晕眩】>,,16
16010,狃拉,100,2,,,,TRUE,,,攻击后【晕眩】目标,3*self:star(),4*self:star(),16,,config/portrait/speedranktouxiang/img_215_nl@.png,config/big_hero/normal/img_215_nl@.png,,,,,,,<1601000;100010;100020;100030>,<【晕眩】>,,6
16011,混混鳄,100,2,1.6,,,TRUE,,,【陷阱】：偷取攻击者$(4*star)$点攻击和$(4*star)$点生命,3*self:star(),1*self:star(),9,,config/portrait/speedranktouxiang/img_552_hhe@.png,config/big_hero/normal/img_552_hhe@.png,,,,,,{x=30;y=-50},<1601100;100010;100020;100030>,<【陷阱】>,,16
17001,美录坦,20,6,,,,TRUE,,20*self:star(),自身失去护甲时，获得$(0.5*star)$倍攻击力\n己方其他钢系精灵行动时，自身+$(2*star)$护甲,4*self:star(),2*self:star(),17,5,config/portrait/speedranktouxiang/img_808_mlt@.png,config/big_hero/normal/img_808_mlt@.png,,,,,,,<1700100;100010;100020;100030>,,,
17002,玛机雅娜,20,6,1.5,,,TRUE,,1*self:star(),【光环】：己方钢系精灵获得【坚甲】，己方钢系精灵受到攻击后+$(3*star)$攻击,7*self:star(),6*self:star(),17,5,config/portrait/speedranktouxiang/img_801_mjyn@.png,config/big_hero/normal/img_801_mjyn@.png,,,,,,{x=0;y=10},<1700200;100010;100020;100030>,<【光环】;【坚甲】>,,18
17003,大钢蛇,40,5,1.8,,,TRUE,,,己方其他钢系精灵受到攻击后，自身+$(2*star)$护甲并立刻行动,5*self:star(),5*self:star(),17,4,config/portrait/speedranktouxiang/img_208_dgs@.png,config/big_hero/normal/img_208_dgs@.png,,,,,,{x=15;y=0},<1700300;100010;100020;100030>,,,9
17004,可可多拉,40,5,1.6,,,TRUE,,,自身行动后，己方钢系精灵+$(4*star)$护甲,7*self:star(),5*self:star(),17,4,config/portrait/speedranktouxiang/img_304_kkdl@.png,config/big_hero/normal/img_304_kkdl@.png,,,,,,,<1700400;100010;100020;100030>,,,13
17005,铁哑铃,60,4,1.6,,,TRUE,,4*self:star(),【守卫】\n【坚甲】,4*self:star(),4*self:star(),17,3,config/portrait/speedranktouxiang/img_374_tyl@.png,config/big_hero/normal/img_374_tyl@.png,,,,,,{x=40;y=-20},<1700500;100010;100020;100030>,<【守卫】;【坚甲】>,,11
17006,勾帕路翁,60,4,1.8,,,TRUE,,,准备阶段结束时，己方随机2个精灵永久+$(2*star)$护甲,2*self:star(),1*self:star(),17,3,config/portrait/speedranktouxiang/img_638_gplw@.png,config/big_hero/normal/img_638_gplw@.png,,,,,,{x=10;y=-40},<1700600;100010;100020;100030>,,,7
17007,坚盾剑怪·盾牌,80,3,1.6,,,TRUE,,6*self:star(),【守卫】\n自身受到攻击后，为己方随机$(1*star)$个精灵+$(2*star)$护甲,5*self:star(),2*self:star(),17,2,config/portrait/speedranktouxiang/img_681_jdjg@.png,config/big_hero/normal/img_681_jdjg@.png,,,,,,,<1700700;100010;100020;100030>,<【守卫】>,,14
17008,齿轮儿,100,2,1.5,,,TRUE,,3*self:star(),己方其他精灵行动前，自身+$(1*star)$护甲，若行动者为钢系，则为其也+$(1*star)$护甲,2*self:star(),2*self:star(),17,,config/portrait/speedranktouxiang/img_599_cle@.png,config/big_hero/normal/img_599_cle@.png,,,,,,,<1700800;100010;100020;100030>,,,
17009,龙头地鼠,80,3,1.5,,,TRUE,,,战斗阶段，己方钢系精灵获得护甲时，自身+$(2*star)$攻击,5*self:star(),2*self:star(),9,2,config/portrait/speedranktouxiang/img_530_ltds@.png,config/big_hero/normal/img_530_ltds@.png,,,,,,{x=30;y=0},<1700900;100010;100020;100030>,,,17
17010,雷吉斯奇鲁,60,4,1.6,,,TRUE,,,己方钢系精灵行动后，自身对敌方生命最高精灵造成$(5*star)$点技能伤害,3*self:star(),6*self:star(),17,3,config/portrait/speedranktouxiang/img_379_ljsql@.png,config/big_hero/normal/img_379_ljsql@.png,,,,,,{x=0;y=20},<1701000;100010;100020;100030>,,,
17011,索尔迦雷欧,20,6,,,,TRUE,,3*self:star(),战斗阶段，己方钢系精灵获得护甲时，自身对敌方生命最高精灵造成$(4*star)$#HIDE#（当前$(star+math.floor(self:getBuffOverlayCount(1701104)/(12-star*2)))*4$）#HIDE#点技能伤害（每累计触发$(12-star*2)$次后额外+8）,6*self:star(),4*self:star(),11,5,config/portrait/speedranktouxiang/img_791_sejlo@.png,config/big_hero/normal/img_791_sejlo@.png,,,,,,,<1701100;100010;100020;100030>,,,17
17012,垒磊石,60,4,,,,TRUE,,3*self:star(),【守卫】\n战斗阶段，自身获得护甲时，+$(3*star)$攻击并获得【护盾】,3*self:star(),4*self:star(),13,3,config/portrait/speedranktouxiang/img_805_lls@.png,config/big_hero/normal/img_805_lls@.png,,,,,,,<1701200;100010;100020;100030>,<【守卫】;【护盾】>,,17
18001,哲尔尼亚斯,20,6,,,,TRUE,,,行动后，为己方全体【治疗】$(3*star)$点生命，然后额外重复$(star-1)$次,6*self:star(),4*self:star(),18,5,config/portrait/speedranktouxiang/img_716_zenys@.png,config/big_hero/normal/img_716_zenys@.png,,,,,,,<1800100;100010;100020;100030>,<【治疗】>,,
18002,闪光超级沙奈朵,20,6,,,,TRUE,,,【先机】：【魅惑】随机$(star)$个敌人\n【光环】：双方被【魅惑】精灵阵亡时，自身获得其$(0.5*star)$倍攻击和生命,5*self:star(),6*self:star(),11,5,config/portrait/speedranktouxiang/img_282_sgcjsnd@.png,config/big_hero/normal/img_282_sgcjsnd@.png,,,,,,,<1800200;100010;100020;100030>,<【先机】;【光环】;【魅惑】>,,18
18003,苍响,20,6,,,,TRUE,,,受到【治疗】时，对随机$(star)$个敌方造成N点技能伤害（N为$(star)$倍治疗量）,8*self:star(),4*self:star(),18,5,config/portrait/speedranktouxiang/img_888_cx@.png,config/big_hero/normal/img_888_cx@.png,,,,,,,<1800300;100010;100020;100030>,<【治疗】>,,
18004,沙奈朵,40,5,,,,TRUE,,,行动后【魅惑】1个随机敌人，累计行动$(6-star)$次后，【操控】1个受【魅惑】的敌人,7*self:star(),2*self:star(),11,4,config/portrait/speedranktouxiang/img_282_snd@.png,config/big_hero/normal/img_282_snd@.png,,,,,,{x=0;y=-40},<1800400;100010;100020;100030>,<【魅惑】;【操控】>,,18
18005,奇鲁莉安,60,4,,,,TRUE,,,行动后，在敌方空位【召唤】1个随机敌方的【幻影】，然后使其获得【魅惑】并+$(6*star)$攻击，+$(6*star)$生命,6*self:star(),3*self:star(),11,3,config/portrait/speedranktouxiang/img_281_qlla@.png,config/big_hero/normal/img_281_qlla@.png,,,,,,,<1800500;100010;100020;100030>,<【光环】;【魅惑】;【幻影】>,,18
18006,波克比,40,5,,,,TRUE,,,【光环】：己方波克比之外的精灵受到【治疗】时，使其+N攻击，+N生命（N为$(0.5*star)$倍本次受到的治疗量）,6*self:star(),3*self:star(),18,4,config/portrait/speedranktouxiang/img_175_bkb@.png,config/big_hero/normal/img_175_bkb@.png,,,,,,,<1800600;100010;100020;100030>,<【光环】;【治疗】>,,
18007,花蓓蓓,60,4,,,,TRUE,,,【光环】：己方精灵受到【治疗】时，使本次治疗量额外提升$(0.5*star)$倍,7*self:star(),2*self:star(),18,3,config/portrait/speedranktouxiang/img_669_hbb@.png,config/big_hero/normal/img_669_hbb@.png,,,,,,,<1800700;100010;100020;100030>,<【光环】;【治疗】>,,
18008,胖可丁,60,4,,,,TRUE,,3*self:star(),【光环】：己方精灵受到【治疗】时，使其+$(3*star)$护甲,1*self:star(),3*self:star(),,3,config/portrait/speedranktouxiang/img_40_pkd@.png,config/big_hero/normal/img_40_pkd@.png,,,,,,,<1800800;100010;100020;100030>,<【光环】;【治疗】>,,18
