变量名,name,easyEffectFunc,time,immuneType,overlayLimit,overlayType,combineArgs,groupPower,skillTimePos,equipBond,isShow,group,immuneBuff,dispelBuff,dispelType,specialVal,triggerBehaviors,specialEffect,specialTarget,triggerPriority
520107,Growth7,,,,1,1,,,,,,<141>,,,,,{1={funcArgs=<<{caster=2;value=4+(target2:hasBuff(400102) and target2:getBuffOverlayCount(400102) or 0)*2;holder=1;cfgId=520001}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
520108,Growth8,,,,1,1,,,,,,<141>,,,,,{1={funcArgs=<<{caster=2;value=4+(target2:hasBuff(400102) and target2:getBuffOverlayCount(400102) or 0)*2;holder=1;cfgId=520002}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
520109,Growth9,,,,1,1,,,,,,<141>,,,,,{1={funcArgs=<<{caster=2;value=4+(target2:hasBuff(400102) and target2:getBuffOverlayCount(400102) or 0)*2;holder=1;cfgId=520001}>;<{caster=2;value=4+(target2:hasBuff(400102) and target2:getBuffOverlayCount(400102) or 0)*2;holder=1;cfgId=520002}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
600100,Shiny Mega Abomasnow,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=600101}>>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<{caster=2;value=self:star()*5;holder={process=field;input=all|nodead};cfgId=600103}>>;onSomeFlag=<target:inField()>;triggerPoint=205;effectFuncs=<castBuff>}},,,
600101,Shiny Mega Abomasnow,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=600102;value=0;holder=18;prob=1}>>;onSomeFlag=<target:inField()>;triggerPoint=99;effectFuncs=<castBuff>}},,,
600102,Shiny Mega Abomasnow,,99,,99,2,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=600104}>>;onSomeFlag=<target:inField() and target:shield()==0>;triggerPoint=10;effectFuncs=<castBuff>}},,,
600103,Shiny Mega Abomasnow,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
600104,Shiny Mega Abomasnow,destroy,,,1,1,TRUE,,,,,<135>,,,,,{0={triggerPoint=1};1={funcArgs=<<{caster=2;value=<2>;holder=2;cfgId=100040}>;<{caster=2;value=<3>;holder=1;cfgId=100040}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
600200,Calyrex·Ice Rider,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=600201}>;<{caster=2;value=0;holder=1;cfgId=600202}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>};2={funcArgs=<<{caster=2;value=self:star()*5;holder=1;cfgId=600203}>>;onSomeFlag=<target:inField() and trigger.target:hasBuffGroup(151)>;triggerPoint=31;effectFuncs=<castBuff>}},,,
600201,Calyrex·Ice Rider,ignoreShield,99,,1,1,TRUE,,,,,<128;34;36>,,,,,,,,
600202,Calyrex·Ice Rider,quickStrike,99,,1,1,TRUE,,,,,<129;34;36>,,,,<beAttacked:hasBuffGroup(151)>,,,,
600203,Calyrex·Ice Rider,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
600300,Kyurem,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<{caster=2;value=0;holder={process=field|near|random(1);input=enemyForce|nodead};cfgId=600301}>;<{caster=2;value=0;holder=1;cfgId=600302}>;<{caster=2;value=0;holder={process=field|excludeID(list(csvSelf:id()))|buffDifferExclude('id',{600301});input=all|nodead};cfgId=100064}>>;onSomeFlag=<target:inField()>;triggerPoint=205;effectFuncs=<castBuff;castBuff;castBuff>};2={funcArgs=<<{caster=2;value=self:star()*5;holder=1;cfgId=600303}>;<{caster=2;value=self:star()*5;holder=1;cfgId=600304}>>;onSomeFlag=<trigger.target:hasBuff(600301)>;triggerPoint=6;effectFuncs=<castBuff;castBuff>}}",,,
600301,Kyurem,,,,1,1,,,,,,,,,,,,,,
600302,Kyurem,changeAttackTarget,99,,1,1,TRUE,,,,,<122>,,,,<30>,,,"{process=field|buffDiffer('id',{600301})|random(1);input=enemyForce|nodead}",
600303,Kyurem,attack,99,,99,2,TRUE,,,,,<10;11;34;36>,,,,,,,,
600304,Kyurem,hpMax,99,,99,2,TRUE,,,,,<10;13;34;36>,,,,,,,,
600400,Lapras,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<{cfgId=600401;prob=moreE(self:star(),1) and 1 or 0;value=0;holder={process=field|near;input=selfForce|nodead};caster=2}>;<{cfgId=600401;prob=moreE(self:star(),2) and 1 or 0;value=0;holder={process=field|near;input=selfForce|nodead};caster=2}>;<{cfgId=600401;prob=moreE(self:star(),4) and 1 or 0;value=0;holder={process=field|near;input=selfForce|nodead};caster=2}>;<{cfgId=600401;prob=moreE(self:star(),4) and 1 or 0;value=0;holder={process=field|near;input=selfForce|nodead};caster=2}>>;onSomeFlag=<target:inField()>;triggerPoint=18;effectFuncs=<castBuff;castBuff;castBuff;castBuff>}}",,,
600401,Lapras,,,,1,1,,,,,,,,<14;15;16;17;24;25;26;27;119;142;144;148;151>,<2;1>,,,,,
600500,Articuno,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=600501}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
600501,Articuno,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,"{1={funcArgs=<<{bond=1;caster=2;cfgId=600502;value=0;holder=18;prob=moreE(target:star(),1) and (target2:team()~=self:team()) and 1 or 0}>;<{bond=1;caster=2;cfgId=600502;value=0;holder=18;prob=moreE(target:star(),2) and (target2:team()~=self:team()) and 1 or 0}>;<{bond=1;caster=2;cfgId=600502;value=0;holder=18;prob=moreE(target:star(),4) and (target2:team()~=self:team()) and 1 or 0}>;<{bond=1;caster=2;cfgId=600502;value=0;holder=18;prob=moreE(target:star(),4) and (target2:team()~=self:team()) and 1 or 0}>>;onSomeFlag=<target:inField()>;triggerPoint=99;effectFuncs=<castBuff;castBuff;castBuff;castBuff>}}",,,
600502,Articuno,,,,99,2,,,,,,,,,,,,,,
600600,Cryogonal,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=600601}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
600601,Cryogonal,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<2>;<{caster=2;value=0;holder={process=field|random(csvSelectObj:star());input=enemyForce|nodead};cfgId=100064}>>;onSomeFlag=<target:inField()>;triggerPoint=13;effectFuncs=<playEffect;castBuff>}},,,
600700,Regice,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=600701}>>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<2>;<{caster=2;value=trigger.lostHp:get(3)*self:star();holder=1;cfgId=600702}>>;onSomeFlag=<target:inField()>;triggerPoint=14;effectFuncs=<playEffect;castBuff>}},,,
600701,Regice,shieldEX,99,,1,1,TRUE,,,,TRUE,<132;34;36>,,,,,,{0=1016},,
600702,Regice,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
600800,Cloyster,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=600801}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
600801,Cloyster,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<2>;<{caster=2;value=self:star()*3;holder=1;cfgId=600802}>;<{caster=2;value=target:shield();holder=8;cfgId=600803}>>;onSomeFlag=<target:inField()>;triggerPoint=13;effectFuncs=<playEffect;castBuff;castBuff>}},,,
600802,Cloyster,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
600803,Cloyster,buffDamage,,,1,1,,,,,,<30>,,,,<{processId=4}>,,,,
600900,Glastrier,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=self:star()*target2:shield();holder={process=field;input=selfForce|nodead};cfgId=600901}>>;onSomeFlag=<target:inField()>;triggerPoint=205;effectFuncs=<castBuff>}},,,
600901,Glastrier,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
601000,Snover,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<2>;<{caster=2;value=self:star();holder={process=field|buffDifferExclude('id',{601000});input=selfForce|nodead};cfgId=601001}>>;onSomeFlag=<target:inField()>;triggerPoint=14;effectFuncs=<playEffect;castBuff>}}",,,
601001,Snover,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
601100,Spheal,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=601101}>>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<2>;<{caster=2;value=math.floor(0.5*self:star()*trigger.gainShield:get(3));holder=1;cfgId=601102}>>;onSomeFlag=<target:inField()>;triggerPoint=27;effectFuncs=<playEffect;castBuff>}},,,
601101,Spheal,thorn,99,,1,1,TRUE,,,,TRUE,<133;34;36>,,,,,,{0=1022},,
601102,Spheal,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
601200,Snorunt,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=601201}>>;onSomeFlag=<target:inField() and target:shield()==0>;triggerPoint=26;effectFuncs=<castBuff>}},,,
601201,Snorunt,destroy,,,1,1,TRUE,,,,,<135>,,,,,{0={triggerPoint=1};1={funcArgs=<<{caster=2;value=<2>;holder=2;cfgId=100040}>;<{caster=2;value=<3>;holder=1;cfgId=100040}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
601300,Froslass,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<{prob=1;cfgId=601301;value=0;holder=1;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<{prob=1;cfgId=601301;value=0;holder=1;caster=2}>>;onSomeFlag=<target:inField()>;triggerPoint=33;effectFuncs=<castBuff>};3={funcArgs=<<2>;<{caster=2;value=0;holder={process=field|random(csvSelf:star());input=enemyForce|nodead};cfgId=100064}>>;onSomeFlag=<trigger.name==""stealth"" and target:inField() and (trigger.overType==2 or trigger.overType==0)>;triggerPoint=34;effectFuncs=<playEffect;castBuff>}}",,,
601301,Froslass,stealth,,,1,,TRUE,,,,TRUE,<124;34;36>,,,,,,{0=1004},,
601400,Cubchoo,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=601401;value=0;holder=1;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<2>;<{caster=2;value=0;holder={process=field|random(csvSelf:star());input=enemyForce|nodead};cfgId=100064}>>;onSomeFlag=<target:inField() and target:shield()==0>;triggerPoint=26;effectFuncs=<playEffect;castBuff>}},,,
601401,Cubchoo,protector,99,,1,1,TRUE,,,,TRUE,<123;34;36>,,,,,,{0=1002},,
601500,Amaura,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=self:star()*3;holder={process=field;input=selfForce|nodead};cfgId=601501}>>;onSomeFlag=<target:inField()>;triggerPoint=205;effectFuncs=<castBuff>}},,,
601501,Amaura,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
601600,Vanillite,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=601601}>>;onSomeFlag=<target:inField() and trigger.target:hasBuffGroup(151)>;triggerPoint=31;effectFuncs=<castBuff>}},,,
601601,Vanillite,ignoreShield,99,,1,1,TRUE,,,,,<128;34;36>,,,,,{0={triggerPoint=1};1={triggerPoint=32;delSelfWhenTriggered=1}},,,
700100,Marshadow,,99,,1,,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=700101}>;<{caster=2;value=0;holder=1;cfgId=700103}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
700101,Marshadow,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<2>;<{caster=1;value=0;holder=1;cfgId=700102}>>;onSomeFlag=<target:inField() and more(trigger.target:broken(),0)>;triggerPoint=31;effectFuncs=<playEffect;castBuff>}}",,,
700102,Marshadow,strike,,,1,1,TRUE,,,,TRUE,<115;34;36>,,,,,,{0=1001},,
700103,Marshadow,,99,,1,1,,,,,,<120>,,,,,"{1={funcArgs=<<2>;<{caster=1;value=<list(204);target:star()>;holder={process=field|buffDiffer('group',{114})|random(csvSelectObj:star());input=selfForce|nodead};cfgId=700104}>>;onSomeFlag=<target:inField()>;triggerPoint=6;effectFuncs=<playEffect;castBuff>}}",,,
700104,Marshadow,forceTrigger,,,1,1,,,,,,,,,,,,,,
700200,Riolu,,99,,1,,,,,,,,,,,,{1={funcArgs=<<{cfgId=700201;prob=1;value=<self:star()>;holder=1;caster=2}>;<{prob=1;cfgId=700202;value=0;holder=1;caster=2}>>;triggerPoint=5;effectFuncs=<castBuff;castBuff>}},,,
700201,Riolu,actionTimes,99,,1,1,TRUE,,,,,<137>,,,,,,,,
700202,Riolu,quickStrike,99,,1,1,TRUE,,,,,<129;34;36>,,,,"<more(beAttacked:broken(),0)>",,,,
700300,Machamp,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=700301}>;<{caster=2;value=0;holder=1;cfgId=700302}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
700301,Machamp,changeAttackTarget,99,,1,1,TRUE,,,,,<122>,,,,<30>,,,"{process=field|attr(""broken"",""max"",1);input=enemyForce|nodead}",
700302,Machamp,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<2>;<{caster=1;value=math.floor(trigger.target:broken()*0.5*target:star());holder=1;cfgId=700303}>;<{caster=1;value=math.floor(trigger.target:broken()*0.5*target:star());holder=1;cfgId=700304}>>;onSomeFlag=<target:inField() and more(trigger.target:broken(),0)>;triggerPoint=31;effectFuncs=<playEffect;castBuff;castBuff>}}",,,
700303,Machamp,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
700304,Machamp,hpMax,,,99,2,TRUE,,,,,<20;23;34;36>,,,,,,,,
700400,Hitmonlee,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=700401}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
700401,Hitmonlee,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<2>;<{caster=1;value=<2;1>;holder=9;cfgId=700402}>;<{caster=1;value=self:star()*3;holder=9;cfgId=700403}>>;onSomeFlag=<target:inField()>;triggerPoint=31;effectFuncs=<playEffect;castBuff;castBuff>}},,,
700402,Hitmonlee,stun,,,1,1,TRUE,,,,TRUE,<119;34;35>,,,,,,{0=1003},,
700403,Hitmonlee,broken,,,1,1,TRUE,,,,,<121>,,,,,,,,
700500,Hitmontop,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=2;cfgId=700501}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
700501,Hitmontop,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=700502;value=0;holder=18;prob=(target2:team()==self:team()) and target2:hasNature(7) and 1 or 0}>>;onSomeFlag=<target:inField()>;triggerPoint=99;effectFuncs=<castBuff>}},,,
700502,Hitmontop,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<2>;<{ignoreAura=1;cfgId=700503;value=self:star();holder=1;caster=2}>;<{ignoreAura=1;cfgId=700504;value=self:star();holder=1;caster=2}>>;onSomeFlag=<target:inField() and more(trigger.target:broken(),0)>;triggerPoint=31;effectFuncs=<playEffect;castBuff;castBuff>}}",,,
700503,Hitmontop,attack,99,,99,2,TRUE,,,,,<10;11;34;36>,,,,,,,,
700504,Hitmontop,hpMax,99,,99,2,TRUE,,,,,<10;13;34;36>,,,,,,,,
700600,Hitmonchan,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=700601}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
700601,Hitmonchan,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<2>;<{caster=2;value=0;holder=1;cfgId=700602}>>;onSomeFlag=<target:inField() and more(trigger.target:broken(),0)>;triggerPoint=32;effectFuncs=<playEffect;castBuff>}}",,,
700602,Hitmonchan,newAction,,,1,1,TRUE,,,,,,,,,,,,,
700700,Timburr,,99,,1,,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=700701}>;<{caster=2;value=0;holder=1;cfgId=700702}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
700701,Timburr,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<2>;<{caster=2;value=trigger.lostHp:get(3);holder=1;cfgId=700705}>>;onSomeFlag=<target:inField()>;triggerPoint=14;effectFuncs=<playEffect;castBuff>}},,,
700702,Timburr,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<2>;<{caster=2;value=target:broken()*target:star();holder={process=field|random(1);input=enemyForce|nodead};cfgId=700704}>;<{caster=2;value=0;holder=1;cfgId=700703}>>;onSomeFlag=<target:inField() and more(target:broken(),0)>;triggerPoint=10;effectFuncs=<playEffect;castBuff;castBuff>}}",,,9
700703,Timburr,removeBroken,,,1,1,,,,,,,,,,,,,,
700704,Timburr,broken,,,99,2,TRUE,,,,,<121>,,,,,,,,
700705,Timburr,broken,,,99,2,TRUE,,,,,<121>,,,,,,,,
700800,Hawlucha,,99,,1,,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=700801}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
700801,Hawlucha,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<2>;<{caster=1;value=target:star()*4;holder=1;cfgId=700802}>;<{caster=1;value=target:attack();holder=9;cfgId=700803}>>;onSomeFlag=<target:inField()>;triggerPoint=31;effectFuncs=<playEffect;castBuff;castBuff>}},,,
700802,Hawlucha,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
700803,Hawlucha,broken,,,99,2,TRUE,,,,,<121>,,,,,,,,
700900,Primeape,,99,,1,,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=700901}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
700901,Primeape,,99,,1,1,,,,,,<114>,,,,,{1={funcArgs=<<2>;<{caster=1;value=target:star()*3;holder=6;cfgId=700902}>>;onSomeFlag=<target:inField()>;triggerPoint=204;effectFuncs=<playEffect;castBuff>}},,,
700902,Primeape,broken,,,99,2,TRUE,,,,,<121>,,,,,,,,
701000,Sirfetch'd,,99,,1,,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=701001}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
701001,Sirfetch'd,,99,,1,1,,,,,,<120>,,,,,{1={funcArgs=<<2>;<{caster=1;value=target:star()*5;holder={process=field|random(csvSelectObj:star());input=enemyForce|nodead};cfgId=701002}>>;onSomeFlag=<target:inField()>;triggerPoint=10;effectFuncs=<playEffect;castBuff>}},,,
701002,Sirfetch'd,broken,,,99,2,TRUE,,,,,<121>,,,,,,,,
701100,Zamazenta,,99,,1,,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=701101}>;<{caster=1;value=0;holder=1;cfgId=701104}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
701101,Zamazenta,,99,,1,1,,,,,,<120>,,,,,"{1={funcArgs=<<2>;<{caster=1;value=0;holder={process=field|attrDiffer(""natureType"", {7})|random(csvSelectObj:star());input=selfForce|nodead};cfgId=701102}>>;onSomeFlag=<target:inField()>;triggerPoint=13;effectFuncs=<playEffect;castBuff>}}",,,
701102,Zamazenta,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=701103}>;<{caster=2;value=self:star()*3;holder=1;cfgId=701105}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
701103,Zamazenta,divineShield,,,1,,TRUE,,,,TRUE,<126;34;36>,,,,,,{0=1005},,
701104,Zamazenta,protector,99,,1,1,TRUE,,,,TRUE,<123;34;36>,,,,,,{0=1002},,
701105,Zamazenta,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
701200,Stufful,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=701201}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
701201,Stufful,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=701202;value=0;holder=18;prob=(target2:team()==self:team()) and target2:hasNature(7) and 1 or 0}>;<{bond=1;caster=2;cfgId=701203;value=0;holder=18;prob=(target2:team()==self:team()) and target2:hasNature(7) and 1 or 0}>>;onSomeFlag=<target:inField()>;triggerPoint=99;effectFuncs=<castBuff;castBuff>}},,,
701202,Stufful,quickStrike,99,,1,1,TRUE,,,,,<129;34;36>,,,,"<more(beAttacked:broken(),0)>",,,,
701203,Stufful,,99,,99,2,,,,,,<120>,,,,,"{1={funcArgs=<<2>;<{caster=2;value=trigger.target:broken()*self:star();holder=1;cfgId=701204}>>;onSomeFlag=<target:inField() and more(trigger.target:broken(),0)>;triggerPoint=31;effectFuncs=<playEffect;castBuff>}}",,,
701204,Stufful,heal,,,1,1,,,,,TRUE,<127>,,,,,,{0=1006},,
1000001,Test1,,,,1,,,,,,,,,,,,{1={funcArgs=<<{cfgId=1000002;prob=target2:hasNature(17) and 1 or 0;value=20;holder={process=field;input=selfForce|nodead};caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
1000002,Test1,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
1000101,Test2,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{cfgId=1000102;prob=1;value=<1001;1004;1005;1006;1007;1008;1009;1010;1011;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;17001;17002;17003;17004;17005;17006;17007;17008;17009;17010>;holder=1;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
1000102,Test2,find,,,1,1,,,,,,<131>,,,,,,,,
1000111,Heal,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=1000112;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
1000112,Heal,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=1000113;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
1000113,Heal,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=5;holder={process=field;input=selfForce|nodead};cfgId=1000114}>>;onSomeFlag=<target:inField()>;triggerPoint=18;effectFuncs=<castBuff>}},,,
1000114,Heal,heal,,,1,1,,,,,TRUE,<127>,,,,,,{0=1006},,
1000201,Test3,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=1000202;value=-1;holder=3;caster=2}>;<{prob=1;cfgId=1000203;value=1;holder=1;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
1000202,Test3,changeTrainerHp,,,1,1,,,,,,,,,,,,,,
1000203,Test3,attack,99,,99,2,TRUE,,,,,<10;11;34;36>,,,,,,,,
1000211,Rage,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=1000212;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
1000212,Rage,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=1000213;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
1000213,Rage,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=3;holder=1;cfgId=1000214}>>;onSomeFlag=<target:inField()>;triggerPoint=14;effectFuncs=<castBuff>}},,,
1000214,Rage,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
1000301,Test4,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{cfgId=1000302;prob=1;value=<3;<-1;0;0>>;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
1000302,Test4,shopFix,99,,1,1,,,,,,,,,,,,,,
1000311,Berserk,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=1000312;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
1000312,Berserk,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=1000313;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
1000313,Berserk,strike,,,1,1,TRUE,,,,TRUE,<115;34;36>,,,,,,{0=1001},,
1000401,Test5,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=1000402;value=1;holder=3;caster=2}>;<{prob=1;cfgId=1000403;value=1;holder=3;caster=2}>>;triggerPoint=7;effectFuncs=<castBuff;castBuff>}},,,
1000402,Test5,changeTrainerHp,,,1,1,,,,,,,,,,,,,,
1000403,Test5,gainGold,,,1,1,,,,,,,,,,,,,,
1000411,BlessingⅠ,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{cfgId=1000412;prob=1;value=5;holder={process=field;input=selfForce|nodead};caster=2}>;<{cfgId=1000413;prob=1;value=10;holder={process=field;input=selfForce|nodead};caster=2}>>;triggerPoint=5;effectFuncs=<castBuff;castBuff>}},,,
1000412,BlessingⅠ,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
1000413,BlessingⅠ,hpMax,,,99,2,TRUE,,,,,<20;23;34;36>,,,,,,,,
1000511,Nether Flame,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=1000512;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
1000512,Nether Flame,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=1000513;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
1000513,Nether Flame,,,,1,1,,,,,,<114>,,,,,{1={funcArgs=<<{caster=1;value=10;holder={process=field|random(1);input=enemyForce|nodead};cfgId=1000514}>>;onSomeFlag=<target:inField()>;triggerPoint=204;effectFuncs=<castBuff>}},,,
1000514,Nether Flame,buffDamage,,,1,1,,,,,,<30>,,,,<{processId=4}>,,,,
1000611,Condense,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=1000612;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
1000612,Condense,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=1000613;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
1000613,Condense,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{cfgId=1000614;prob=1;value=3;holder={process=field|random(1);input=selfForce|nodead};caster=2}>>;onSomeFlag=<target:inField()>;triggerPoint=17;effectFuncs=<castBuff>}},,,
1000614,Condense,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
