变量名,layer,x,z1,flipX,z,y,anchorY,anchorX,scale,res,scene
110371,panelOuter,690,,,,-2111,,,0.7,img_sg.png,1
110372,panelOuter,1300,,,,-1805,,,0.8,img_shu02.png,1
110373,panelOuter,1387,,,,-1708,,,0.9,img_shu01.png,1
110374,panelOuter,1365,,,,-1961,,,,img_shu02.png,1
110375,panelOuter,1445,,,,-1804,,,0.9,img_shu02.png,1
110376,panelOuter,1540,,,,-1674,,,1.2,img_shu02.png,1
110377,panelOuter,1447,,,,-1449,,,0.9,img_shu01.png,1
110378,panelOuter,2352,,,,-1023,,,0.8,img_shu01.png,1
110379,panelOuter,1998,,,,-1334,,,1.2,img_shu01.png,1
110380,panelOuter,1674,,,,-1762,,,1.2,img_shu01.png,1
110381,panelOuter,1547,,,,-1867,,,0.9,img_shu02.png,1
110382,panelOuter,1468,,,,-1938,,,0.9,img_shu02.png,1
110383,panelOuter,1574,,,,-1982,,,1.2,img_shu01.png,1
110384,panelOuter,1745,,,,-1903,,,0.6,img_st04.png,1
110385,panelOuter,1932,,,,-1669,,,0.9,img_shu02.png,1
110386,panelOuter,1818,,,,-1708,,,0.8,img_shu01.png,1
110387,panelOuter,1825,,,,-1817,,,0.7,img_shu01.png,1
110388,panelOuter,1916,,,,-1848,,,0.9,img_shu02.png,1
110389,panelOuter,2075,,,,-1867,,,1.1,img_shu02.png,1
110390,panelOuter,1935,,,,-2093,,,0.7,img_shu01.png,1
110391,panelOuter,1819,,,,-2170,,,1.1,img_shu01.png,1
110392,panelOuter,2007,,,,-2190,,,,img_shu02.png,1
110393,panelOuter,1892,,,,-2319,,,0.9,img_shu01.png,1
110394,panelOuter,1595,,,,-2306,,,1.1,img_shu01.png,1
110395,panelOuter,1989,,,,-2458,,,1.2,img_shu02.png,1
110396,panelOuter,2026,,,,-1534,,,,img_mt.png,1
110397,panelOuter,2155,,,,-1641,,,,img_mt.png,1
110398,panelOuter,2289,,,,-1642,,,,img_mt.png,1
110399,panelOuter,2024,,,,-1638,,,,img_mt.png,1
110400,panelOuter,2157,,,,-1735,,,,img_mt.png,1
110401,panelOuter,2288,,,,-1747,,,,img_mt.png,1
110402,panelOuter,2312,,,,-1421,,,,img_dashu.png,1
110403,panelOuter,2768,,,,-1040,,,0.7,img_shu02.png,1
110404,panelOuter,2879,,,,-1092,,,,img_shu01.png,1
110405,panelOuter,2946,,,,-1212,,,0.8,img_cc02.png,1
110406,panelOuter,3005,,,,-1197,,,0.6,img_cc02.png,1
110407,panelOuter,2632,,,,-1227,,,,img_mt.png,1
110408,panelOuter,2632,,,,-1332,,,,img_mt.png,1
110409,panelOuter,2502,,,,-1334,,,,img_mt.png,1
110410,panelOuter,2529,,,,-1416,,,0.8,img_shu01.png,1
110411,panelOuter,2751,,,,-1465,,,0.8,img_shu01.png,1
110412,panelOuter,2631,,,,-1530,,,1.1,img_shu02.png,1
110413,panelOuter,2845,,,,-1566,,,0.9,img_shu02.png,1
110414,panelOuter,2750,,,,-1662,,,0.9,img_shu02.png,1
110415,panelOuter,2631,,,,-1728,,,,img_shu01.png,1
110416,panelOuter,2510,,,,-1782,,,0.8,img_shu02.png,1
110417,panelOuter,2362,,,,-1822,,,1.2,img_shu02.png,1
110418,panelOuter,2495,,,,-1961,,,1.3,img_shu02.png,1
110419,panelOuter,2682,,,,-1897,,,1.1,img_shu01.png,1
110420,panelOuter,2591,,,,-2045,,,1.3,img_shu01.png,1
110421,panelOuter,3044,1,,,-1452,,,,img_shu01.png,1
110422,panelOuter,2468,,,,-2197,,,,img_shu02.png,1
110423,panelOuter,2332,,,,-2141,,,0.8,img_shu01.png,1
110424,panelOuter,3012,,,,-1593,,,0.9,img_shu02.png,1
110425,panelOuter,2918,,,,-1648,,,0.7,img_shu02.png,1
110426,panelOuter,2981,,,,-1775,,,1.1,img_shu01.png,1
110427,panelOuter,2812,,,,-1801,,,0.7,img_shu02.png,1
110428,panelOuter,2910,,,,-1910,,,0.9,img_shu02.png,1
110429,panelOuter,2805,,,,-2044,,,1.5,img_shu01.png,1
110430,panelOuter,3067,,,,-1997,,,0.9,img_shu02.png,1
110431,panelOuter,3160,,,,-2043,,,1.1,img_shu02.png,1
110432,panelOuter,3186,,,,-1627,,,0.8,img_shu02.png,1
110433,panelOuter,2960,,,,-2157,,,,img_st02.png,1
110434,panelOuter,2791,,,,-2239,,,,img_ks.png,1
110435,panelOuter,3216,,,,-2245,,,0.8,img_dashu.png,1
110436,panelOuter,3071,,,,-2310,,,0.9,img_shu02.png,1
110437,panelOuter,2972,,,,-2412,,,1.1,img_shu02.png,1
110438,panelOuter,3140,,,,-2494,,,1.5,img_shu01.png,1
110439,panelOuter,3356,0,,,-2509,,,1.2,img_shu01.png,1
110440,panelOuter,2637,1,,,-2480,,,1.1,img_shu02.png,1
110441,panelOuter,3228,,,,-1922,,,,img_mt.png,1
110442,panelOuter,3327,,,,-2021,,,,img_mt.png,1
110443,panelOuter,3329,0,,,-2116,,,,img_mt.png,1
110444,panelOuter,3456,,,,-2020,,,,img_mt.png,1
110445,panelOuter,3581,,,,-2022,,,,img_mt.png,1
110446,panelOuter,3569,0,,,-1918,,,,img_mt.png,1
110447,panelOuter,3702,,,,-1918,,,,img_mt.png,1
110448,panelOuter,4108,,,,-1872,,,1.2,img_shu01.png,1
110449,panelOuter,3454,,,,-2121,,,,img_sg.png,1
110450,panelOuter,3645,,,,-2162,,,1.1,img_shu01.png,1
110451,panelOuter,3709,,,,-2067,,,0.9,img_shu02.png,1
110452,panelOuter,3413,,,,-1654,,,,img_shu01.png,1
110453,panelOuter,3323,,,,-1756,,,0.8,img_shu02.png,1
110454,panelOuter,3420,,,,-1843,,,0.9,img_shu02.png,1
110455,panelOuter,3493,,,,-1811,,,0.9,img_cc02.png,1
110456,panelOuter,3688,,,,-1661,,,1.2,img_shu01.png,1
110457,panelOuter,3831,,,,-1744,,,0.9,img_shu01.png,1
110458,panelOuter,3854,,,,-1869,,,0.9,img_shu02.png,1
110459,panelOuter,3638,,,,-1505,,,,img_dashu.png,1
110460,panelOuter,3899,0,,,-1456,,,,img_sg.png,1
110461,panelOuter,2413,,,,-1565,,,,img_st01.png,1
110462,panelOuter,4078,0,,,-565,,,,img_st01.png,1
110463,panelOuter,3461,1,,,-263,,,0.9,img_shu01.png,1
110464,panelOuter,3665,1,,,-309,,,0.9,img_shu01.png,1
110465,panelOuter,3551,,,,-357,,,1.1,img_shu02.png,1
110466,panelOuter,3396,,,,-468,,,1.3,img_shu02.png,1
110467,panelOuter,3700,1,,,-470,,,,img_shu02.png,1
110468,panelOuter,3566,,,,-565,,,1.2,img_shu01.png,1
110469,panelOuter,3720,,,,-1332,,,1.1,img_shu02.png,1
110470,panelOuter,3910,,,,-180,,,0.9,img_shu01.png,1
110471,panelOuter,3980,,,,-409,,,0.9,img_shu01.png,1
110472,panelOuter,3838,,,,-426,,,0.9,img_shu02.png,1
110473,panelOuter,3414,,,,-1310,,,0.9,img_cc02.png,1
110474,panelOuter,3925,,,,-526,,,,img_cc01.png,1
110475,panelOuter,3682,,,,22,,,1.1,img_shu02.png,1
110476,panelOuter,3548,,,,104,,,0.9,img_shu02.png,1
110477,panelOuter,3274,,,,149,,,0.9,img_shu01.png,1
110478,panelOuter,3517,,,,-61,,,,img_shu01.png,1
110479,panelOuter,3224,,,,-407,,,1.1,img_shu02.png,1
110480,panelOuter,3830,,,,172,,,,img_mt.png,1
110481,panelOuter,3830,1,,,61,,,,img_mt.png,1
110482,panelOuter,3697,1,,,70,,,,img_mt.png,1
110483,panelOuter,3958,1,,,-22,,,,img_mt.png,1
110484,panelOuter,3838,1,,,-17,,,0.9,img_sg.png,1
110485,panelOuter,3779,1,,,382,,,,img_st02.png,1
110486,panelOuter,446,,,,2505,,,1.2,img_shu01.png,1
110487,panelOuter,580,,,,2404,,,1.1,img_shu02.png,1
110488,panelOuter,1253,,,,2509,,,0.9,img_shu02.png,1
110489,panelOuter,1086,,,,2525,,,0.9,img_shu02.png,1
110490,panelOuter,981,0,,,2465,,,,img_shu01.png,1
110491,panelOuter,1111,,,,2423,,,0.8,img_cc02.png,1
110492,panelOuter,-381,,,,2375,,,,img_shu01.png,1
110493,panelOuter,-357,,,,2245,,,0.9,img_cc01.png,1
110494,panelOuter,86,1,,,2360,,,1.1,img_shu02.png,1
110495,panelOuter,652,1,,,2130,,,1.1,img_shu02.png,1
110496,panelOuter,761,1,,,2009,,,,img_shu01.png,1
110497,panelOuter,371,1,,,2009,,,,img_shu01.png,1
110498,panelOuter,910,1,,,1995,,,,img_mt.png,1
110499,panelOuter,1020,,,,2209,,,,img_mt.png,1
110500,panelOuter,1151,,,,2208,,,,img_mt.png,1
110501,panelOuter,1018,,,,2102,,,,img_mt.png,1
110502,panelOuter,1152,,,,2106,,,,img_mt.png,1
110503,panelOuter,1517,1,,,2157,,,,img_st02.png,1
110504,panelOuter,1378,1,,,2280,,,1.2,img_shu01.png,1
110505,panelOuter,1613,1,,,2300,,,0.9,img_shu01.png,1
110506,panelOuter,1709,,,,2264,,,0.9,img_shu02.png,1
110507,panelOuter,1324,1,,,2053,,,,img_shu02.png,1
110508,panelOuter,1752,,,,2058,,,0.8,img_dashu.png,1
110509,panelOuter,1605,2,,,1997,,,,img_ks.png,1
110510,panelOuter,1387,,,,1984,,,0.8,img_shu01.png,1
110511,panelOuter,1472,,,,1941,,,1.1,img_shu02.png,1
110512,panelOuter,2479,1,,,2500,,,,img_shu02.png,1
110513,panelOuter,2042,,,,2288,,,0.9,img_shu02.png,1
110514,panelOuter,2069,,,,2138,,,0.7,img_shu01.png,1
110515,panelOuter,2183,,,,2119,,,,img_shu02.png,1
110516,panelOuter,2447,,,,2170,,,,img_dashu.png,1
110517,panelOuter,2708,,,,2139,,,1.1,img_shu01.png,1
110518,panelOuter,2440,,,,2000,,,0.8,img_shu01.png,1
110519,panelOuter,2850,,,,2032,,,,img_ks.png,1
110520,panelOuter,3114,,,,2062,,,,img_shu02.png,1
110521,panelOuter,3685,,,,2527,,,,img_shu01.png,1
110522,panelOuter,3441,,,,2217,,,,img_shu01.png,1
110523,panelOuter,3371,,,,2128,,,0.8,img_shu01.png,1
110524,panelOuter,3313,,,,2035,,,,img_shu02.png,1
110525,panelOuter,3751,,,,2161,,,0.8,img_shu01.png,1
110526,panelOuter,3677,,,,2069,,,0.9,img_shu01.png,1
110527,panelOuter,3849,,,,2039,,,,img_shu02.png,1
110528,panelOuter,3552,,,,1919,,,0.8,img_shu01.png,1
110529,panelOuter,3456,,,,2008,,,,img_shu02.png,1
110530,panelOuter,3358,,,,1833,,,,img_shu02.png,1
110531,panelOuter,3526,,,,1773,,,,img_shu01.png,1
110532,panelOuter,3636,,,,1667,,,,img_shu01.png,1
110533,panelOuter,3245,,,,1709,,,,img_shu02.png,1
110534,panelOuter,3136,,,,1701,,,,img_shu01.png,1
110535,panelOuter,3344,,,,1597,,,,img_shu01.png,1
110536,panelOuter,3002,,,,1671,,,,img_shu02.png,1
110537,panelOuter,3019,,,,1505,,,1.1,img_shu02.png,1
110538,panelOuter,3213,,,,1492,,,1.2,img_shu02.png,1
110539,panelOuter,3382,,,,1449,,,,img_shu02.png,1
110540,panelOuter,3266,,,,1309,,,1.2,img_shu02.png,1
110541,panelOuter,3647,,,,1516,,,,img_cc02.png,1
110542,panelOuter,2545,,,,1893,,,0.9,img_shu02.png,1
110543,panelOuter,2678,1,,,1790,,,1.2,img_shu01.png,1
110544,panelOuter,2172,1,,,1882,,,0.8,img_shu02.png,1
110545,panelOuter,2084,1,,,1811,,,0.7,img_shu01.png,1
110546,panelOuter,2225,1,,,1729,,,1.2,img_shu01.png,1
110547,panelOuter,2406,1,,,1723,,,,img_shu02.png,1
110548,panelOuter,2560,,,,1671,,,,img_shu02.png,1
110549,panelOuter,2345,,,,1537,,,1.1,img_shu02.png,1
110550,panelOuter,2586,,,,1512,,,0.8,img_shu01.png,1
110551,panelOuter,2487,,,,1379,,,1.1,img_shu02.png,1
110552,panelOuter,1801,1,,,1801,,,,img_dashu.png,1
110553,panelOuter,1946,,,,1692,,,1.3,img_shu01.png,1
110554,panelOuter,2004,,,,1709,,,0.7,img_shu01.png,1
110555,panelOuter,2087,,,,1625,,,1.1,img_shu02.png,1
110556,panelOuter,1951,,,,1531,,,,img_st02.png,1
110557,panelOuter,2727,,,,1640,,,0.9,img_sg.png,1
110558,panelOuter,2735,,,,1483,,,1.1,img_shu02.png,1
110559,panelOuter,2721,,,,1322,,,,img_shu01.png,1
110560,panelOuter,2949,,,,601,,,0.9,img_shu01.png,1
110561,panelOuter,3233,,,,304,,,,img_shu01.png,1
110562,panelOuter,2078,,,,1413,,,0.9,img_shu02.png,1
110563,panelOuter,2942,,,,505,,,0.8,img_shu02.png,1
110564,panelOuter,3074,,,,565,,,,img_shu02.png,1
110565,panelOuter,3062,,,,405,,,,img_shu02.png,1
110566,panelOuter,3242,,,,475,,,1.2,img_shu02.png,1
110567,panelOuter,3441,,,,467,,,,img_shu02.png,1
110568,panelOuter,3627,,,,532,,,1.2,img_shu01.png,1
110569,panelOuter,2864,,,,1360,,,0.9,img_st04.png,1
110570,panelOuter,3166,,,,1190,,,0.9,img_shu01.png,1
110571,panelOuter,3565,,,,296,,,1.3,img_shu02.png,1
110572,panelOuter,3366,,,,332,,,,img_shu01.png,1
110573,panelOuter,3881,,,,550,,,0.8,img_shu01.png,1
110574,panelOuter,3977,,,,476,,,1.2,img_shu02.png,1
110575,panelOuter,4022,,,,291,,,0.8,img_dashu.png,1
110576,panelOuter,4071,,,,158,,,1.2,img_shu02.png,1
110577,panelOuter,3207,,,,1886,,,,img_mt.png,1
110578,panelOuter,3200,,,,1784,,,,img_mt.png,1
110579,panelOuter,3068,,,,1785,,,,img_mt.png,1
110580,panelOuter,2943,,,,1786,,,,img_mt.png,1
110581,panelOuter,2891,,,,1707,,,0.8,img_cc02.png,1
110582,panelOuter,-1749,,,,-1653,,,,img_gsp.png,1
110583,panelOuter,-2097,,,,-1550,,,,img_mt.png,1
110584,panelOuter,-1661,,,,-1847,,,,img_mt.png,1
110585,panelOuter,-1524,,,,-1944,,,,img_mt.png,1
110586,panelOuter,-1657,,,,-1944,,,,img_mt.png,1
110587,panelOuter,-1784,,,,-1843,,,,img_mt.png,1
110588,panelOuter,-1886,,,,-1398,,,0.8,img_shu01.png,1
110589,panelOuter,-1692,,,,-1439,,,0.8,img_shu01.png,1
110590,panelOuter,-1783,,,,-1380,,,1.2,img_shu02.png,1
110591,panelOuter,-2038,,,,-1611,,,0.8,img_shu01.png,1
110592,panelOuter,-3356,,,,-1452,,,,img_cc02.png,1
110593,panelOuter,-2622,,,,-2250,,,,img_cc01.png,1
110594,panelOuter,-3970,,,,455,,,,img_st01.png,1
110595,panelOuter,-2637,,,,1954,,,1.1,img_shu01.png,1
110596,panelOuter,-2608,,,,1751,,,0.8,img_shu02.png,1
110597,panelOuter,-2548,,,,1679,,,0.7,img_shu01.png,1
110598,panelOuter,-2447,,,,1466,,,,img_cc01.png,1
110599,panelOuter,1054,,,,2043,,,0.9,img_shu01.png,1
110600,panelOuter,-3484,,,,2000,,,,img_ks.png,1
110601,panelOuter,-1771,,,,-2323,,,,img_st03.png,1
110602,panelOuter,-2594,,,,-1587,,,,img_cc02.png,1
110603,panelOuter,-1549,,,,1974,,,0.9,img_shu01.png,1
110604,panelOuter,-2139,,,,1536,,,0.7,img_shu01.png,1
110605,panelOuter,-2239,,,,1382,,,,img_mt.png,1
110606,panelOuter,-2106,,,,1381,,,,img_mt.png,1
110607,panelOuter,-3946,,,,593,,,0.7,img_shu02.png,1
110608,panelOuter,-1817,,,,1457,,,,img_shu02.png,1
110609,panelOuter,-1863,,,,1733,,,,img_sg.png,1
110610,panelOuter,-2000,,,,1659,,,0.8,img_cc02.png,1
110611,panelOuter,-1123,,,,1611,,,,img_lth.png,1
110612,panelOuter,-311,,,,1988,,,0.7,img_shu01.png,1
110613,panelOuter,-418,,,,2010,,,0.9,img_shu02.png,1
110614,panelOuter,-1892,,,,1607,,,,img_ltl.png,1
110615,panelOuter,-3694,,,,2285,,,0.9,img_shu01.png,1
110616,panelOuter,-3861,,,,2278,,,,img_sg.png,1
110617,panelOuter,-845,,,,2491,,,,img_shu02.png,1
110618,panelOuter,898,,1,,1747,,,0,img_ssq01.png,1
110619,panelOuter,748,,1,0,1920,,,,img_ssq01.png,1
110620,panelOuter,2270,,,,1863,,,0.8,img_shu02.png,1
110621,panelOuter,1171,,,,1792,,,0.8,img_shu02.png,1
110622,panelOuter,1101,,,,1924,,,,img_shu02.png,1
110623,panelOuter,2748,,,,1895,,,1.1,img_shu02.png,1
110624,panelOuter,2694,,,,561,,,,img_ltl.png,1
110625,panelOuter,1744,,,,1452,,,,img_qz.png,1
110626,panelOuter,970,,,1,1651,,,,img_ltl.png,1
110627,panelOuter,1793,,,,1467,,,0.8,img_shu01.png,1
110628,panelOuter,1070,,,,1607,,,,img_lth.png,1
110629,panelOuter,489,,,,-1864,,,,img_lth.png,1
110630,panelOuter,2455,,,,-796,,,,img_lth.png,1
110631,panelOuter,-1878,,,,-1222,,,,img_lth.png,1
110632,panelOuter,4072,,,,1864,,,1.2,img_shu01.png,1
110633,panelOuter,-1218,,,,-2096,,,0.7,img_cc02.png,1
110634,panelOuter,-1665,,,,-2045,,,,img_cc01.png,1
110635,panelOuter,2210,,,,-1527,,,,img_cc01.png,1
110636,panelOuter,1435,,,,-2088,,,0.9,img_cc01.png,1
110637,panelOuter,2842,,,,-1735,,,0.8,img_shu01.png,1
110638,panelOuter,1145,,,,-2339,,,0.9,img_cc02.png,1
110639,panelOuter,2689,,,,-940,,,0.9,img_shu01.png,1
110640,panelOuter,2331,,,,-2262,,,0.8,img_cc02.png,1
110641,panelOuter,-3436,,,,998,,,0.8,img_shu02.png,1
110642,panelOuter,-3008,,,,355,,,0.8,img_shu02.png,1
110643,panelOuter,-3733,,,,-360,,,0.8,img_shu02.png,1
110644,panelOuter,-3634,,,,-275,,,0.8,img_shu02.png,1
110645,panelOuter,-1923,,,,1507,,,0.8,img_shu01.png,1
110646,panelOuter,-2995,,,,692,,,0.8,img_shu02.png,1
110647,panelOuter,-450,,,1,1933,,,0.8,img_shu01.png,1
110648,panelOuter,-1540,,,,2203,,,0.8,img_shu02.png,1
110649,panelOuter,-936,,,1,1714,,,0.8,img_shu02.png,1
110650,panelOuter,-987,,,,1772,,,0.7,img_cc01.png,1
110651,panelOuter,-2538,,,,2088,,,0.7,img_cc01.png,1
110652,panelOuter,-2549,,,,1528,,,0.8,img_shu02.png,1
110653,panelOuter,-2629,,,,1633,,,0.8,img_shu01.png,1
110654,panelOuter,-2922,,,,-422,,,0.8,img_shu01.png,1
110655,panelOuter,-3732,,,,-633,,,,img_shu02.png,1
110656,panelOuter,-3280,,,,-1671,,,0.8,img_shu01.png,1
110657,panelOuter,-2346,,,,-1787,,,0.8,img_shu02.png,1
110658,panelOuter,-2172,,,,-1577,,,0.9,img_shu02.png,1
110659,panelOuter,-1016,,,,-2215,,,0.9,img_shu02.png,1
110660,panelOuter,1748,,,,-1973,,,0.9,img_shu02.png,1
110661,panelOuter,1761,,,,-2299,,,0.9,img_shu02.png,1
110662,panelOuter,2151,,,,-1362,,,1.1,img_shu02.png,1
110663,panelOuter,2589,,,,-1862,,,0.9,img_shu02.png,1
110664,panelOuter,2748,,,,-1764,,,0.7,img_shu02.png,1
110665,panelOuter,3347,,,,581,,,0.8,img_shu01.png,1
110666,panelOuter,3212,,,,1045,,,0.8,img_shu01.png,1
110667,panelOuter,3813,,,,708,,,1.1,img_shu02.png,1
110668,panelOuter,3114,,,,1585,,,0.8,img_shu01.png,1
110669,panelOuter,3461,,,,1872,,,0.9,img_shu02.png,1
110670,panelOuter,2907,,,,1454,,,0.8,img_shu01.png,1
110671,panelOuter,2853,,,,1273,,,0.8,img_shu01.png,1
110672,panelOuter,2846,,,,384,,,0.8,img_shu02.png,1
110673,panelOuter,2466,,,,1577,,,0.8,img_shu01.png,1
110674,panelOuter,2501,,,,1786,,,0.8,img_shu02.png,1
110675,panelOuter,2162,,,,1567,,,,img_shu01.png,1
110676,panelOuter,1689,,,,1959,,,0.8,img_shu01.png,1
110677,panelOuter,1929,,,,2019,,,0.8,img_shu01.png,1
110678,panelOuter,1838,,,,1978,,,0.8,img_shu02.png,1
110679,panelOuter,1503,,,,2378,,,0.9,img_shu02.png,1
110680,panelOuter,1873,,,,2518,,,0.9,img_shu01.png,1
110681,panelOuter,1211,,,,2019,,,0.8,img_shu02.png,1
110682,panelOuter,1278,,,,2170,,,0.8,img_shu01.png,1
110683,panelOuter,500,,,1,1923,,,0.8,img_shu02.png,1
110684,panelOuter,486,,,,2057,,,0.9,img_shu01.png,1
110685,panelOuter,948,,,,1932,,,0.9,img_shu01.png,1
110686,panelOuter,1016,,,,1811,,,0.7,img_shu02.png,1
110687,panelOuter,-1027,,,,1873,,,0.8,img_shu01.png,1
110688,panelOuter,442,,,,2167,,,0.8,img_shu02.png,1
110689,panelOuter,-2511,,,,-838,,,0.9,img_shu01.png,1
110690,panelOuter,2925,,,,-916,,,0.8,img_shu02.png,1
110691,panelOuter,2836,,,,-958,,,0.7,img_shu01.png,1
110692,panelOuter,-2726,,,,956,,,,img_sktl.png,1
110693,panelOuter,-1517,,,,1706,,,,img_sktl.png,1
110694,panelOuter,2726,,,,956,,,,img_skth.png,1
110695,panelOuter,1529,,,,1703,,,,img_skth.png,1
110696,panelOuter,-2495,,,,-1398,,,0.8,img_shu02.png,1
110697,panelOuter,-2542,,,,-1589,,,0.7,img_shu01.png,1
110698,panelOuter,-2515,,,,-1484,,,0.6,img_shu02.png,1
110699,panelOuter,-2276,,,,-1521,,,0.8,img_shu02.png,1
110700,panelOuter,-1450,,,,-2000,,,0.8,img_shu02.png,1
110701,panelOuter,-1399,,,,-1902,,,0.8,img_shu02.png,1
110702,panelOuter,-1127,,,,-2006,,,0.9,img_shu01.png,1
110703,panelOuter,-963,,,,-2078,,,0.9,img_shu01.png,1
110704,panelOuter,-3832,,,,2575,,,1.3,img_shu01.png,1
110705,panelOuter,-3442,,,,1146,,,1.2,img_shu01.png,1
110706,panelOuter,-3302,,,,1056,,,,img_shu01.png,1
110707,panelOuter,-3243,,,,1202,,,0.9,img_dashu.png,1
110708,panelOuter,-3120,,,,1252,,,,img_shu02.png,1
110709,panelOuter,-3019,,,,1319,,,1.1,img_shu01.png,1
110710,panelOuter,-3009,,,,1165,,,1.2,img_shu01.png,1
110711,panelOuter,-3112,,,,1102,,,1.2,img_shu02.png,1
110712,panelOuter,-3229,,,,931,,,1.3,img_shu02.png,1
110713,panelOuter,-3074,,,,944,,,0.8,img_cc02.png,1
110714,panelOuter,-2280,,,,1326,,,1.1,img_shu01.png,1
110715,panelOuter,-2650,,,,982,,,0.8,img_shu02.png,1
110716,panelOuter,-2521,,,,1214,,,1.1,img_shu02.png,1
110717,panelOuter,-2743,,,,1173,,,1.1,img_shu01.png,1
110718,panelOuter,-3961,,,,1003,,,0.9,img_dashu.png,1
110719,panelOuter,-2633,,,,1300,,,,img_ks.png,1
110720,panelOuter,-3306,,,,536,,,,img_mt.png,1
110721,panelOuter,-2860,,,,1407,,,0.8,img_sg.png,1
110722,panelOuter,-2813,,,,572,,,,img_shu01.png,1
110723,panelOuter,-4061,,,,869,,,,img_st03.png,1
110724,panelOuter,-3764,,,,901,,,0.9,img_shu02.png,1
110725,panelOuter,-3549,,,,541,,,,img_shu02.png,1
110726,panelOuter,-3456,,,,709,,,,img_shu02.png,1
110727,panelOuter,-3429,,,,858,,,,img_shu01.png,1
110728,panelOuter,-3601,,,,782,,,,img_shu01.png,1
110729,panelOuter,-3338,,,,738,,,,img_cc01.png,1
110730,panelOuter,-3660,,,,953,,,,img_shu01.png,1
110731,panelOuter,-3735,,,,1276,,,,img_shu02.png,1
110732,panelOuter,-3507,,,,61,,,0.8,img_sg.png,1
110733,panelOuter,-3331,,,,-964,,,0.9,img_st04.png,1
110734,panelOuter,-2889,,,,-761,,,,img_mt.png,1
110735,panelOuter,-3018,,,,-866,,,,img_mt.png,1
110736,panelOuter,-3015,,,,-378,,,0.9,img_shu02.png,1
110737,panelOuter,-3866,,,,-1063,,,,img_dashu.png,1
110738,panelOuter,-3805,,,,-1211,,,,img_ks.png,1
110739,panelOuter,-4111,,,,-1781,,,,img_shu01.png,1
110740,panelOuter,-2711,,,,-842,,,,img_shu02.png,1
110741,panelOuter,-3048,,,,-732,,,,img_cc02.png,1
110742,panelOuter,-2744,,,,-1231,,,,img_shu02.png,1
110743,panelOuter,-2633,,,,-1155,,,,img_shu01.png,1
110744,panelOuter,-2317,,,,-1155,,,,img_shu01.png,1
110745,panelOuter,-2542,,,,-1005,,,1.1,img_shu02.png,1
110746,panelOuter,-2621,,,,-896,,,0.8,img_shu01.png,1
110747,panelOuter,-2304,,,,-987,,,1.1,img_shu02.png,1
110748,panelOuter,-3475,,,,-1275,,,,img_shu01.png,1
110749,panelOuter,-3557,,,,-1162,,,,img_shu02.png,1
110750,panelOuter,-3729,,,,-1337,,,,img_shu01.png,1
110751,panelOuter,-3256,,,,-1264,,,,img_shu01.png,1
110752,panelOuter,-3660,,,,-1040,,,1.3,img_shu01.png,1
110753,panelOuter,-4132,,,,-925,,,,img_shu02.png,1
110754,panelOuter,-3367,,,,-1323,,,,img_shu02.png,1
110755,panelOuter,-2972,,,,-1151,,,,img_shu02.png,1
110756,panelOuter,-3273,,,,-1517,,,,img_shu02.png,1
110757,panelOuter,-2590,,,,-691,,,,img_shu02.png,1
110758,panelOuter,-3164,,,,-1603,,,0.9,img_shu01.png,1
110759,panelOuter,-3165,,,,-1438,,,0.9,img_shu02.png,1
110760,panelOuter,-2817,,,,-1071,,,0.8,img_sg.png,1
110761,panelOuter,-3323,,,,-1059,,,,img_cc01.png,1
110762,panelOuter,-2001,,,,-1339,,,0.7,img_sg.png,1
110763,panelOuter,1820,,,,-1229,,,,img_ltl.png,1
110764,panelOuter,1747,,,,-1262,,,,img_lth.png,1
110765,panelOuter,1685,,,,-1433,,,,img_shu01.png,1
110766,panelOuter,2367,,,,-1209,,,,img_shu01.png,1
110767,panelOuter,3021,,,,-875,,,0.9,img_st04.png,1
110768,panelOuter,3784,,,,-1181,,,,img_shu01.png,1
110769,panelOuter,3653,,,,-1099,,,1.1,img_shu02.png,1
110770,panelOuter,3916,,,,-1146,,,0.8,img_shu01.png,1
110771,panelOuter,4023,,,,-1051,,,1.1,img_shu02.png,1
110772,panelOuter,3885,,,,-979,,,,img_shu01.png,1
110773,panelOuter,4031,,,,-1182,,,,img_cc01.png,1
110774,panelOuter,4110,,,,-1235,,,1.1,img_shu01.png,1
110775,panelOuter,3563,,,,-1250,,,1.2,img_shu01.png,1
110776,panelOuter,3535,,,,-1004,,,,img_shu01.png,1
110777,panelOuter,3661,,,,-906,,,,img_shu01.png,1
110778,panelOuter,3864,,,,-819,,,,img_dashu.png,1
110779,panelOuter,3429,,,,-1105,,,1.1,img_shu02.png,1
110780,panelOuter,3204,,,,-949,,,1.3,img_shu02.png,1
110781,panelOuter,3064,,,,-747,,,,img_shu01.png,1
110782,panelOuter,2930,,,,-666,,,1.1,img_shu02.png,1
110783,panelOuter,2845,,,,-779,,,0.9,img_shu02.png,1
110784,panelOuter,2763,,,,-641,,,1.1,img_shu01.png,1
110785,panelOuter,2840,,,,-483,,,1.2,img_shu01.png,1
110786,panelOuter,3336,,,,-801,,,1.1,img_shu01.png,1
110787,panelOuter,2819,,,,-1359,,,,img_shu02.png,1
110788,panelOuter,3329,,,,-1212,,,,img_shu01.png,1
110789,panelOuter,3216,,,,-1328,,,,img_sg.png,1
110790,panelOuter,3158,,,,686,,,0.9,img_shu01.png,1
