变量名,theme,offSetY,scale,offSetX,spine,awardIndex,points,sceneType,floor,teamGroup,buffs
2030,102,-80,1.8,,guaiwu3_hong_loop,220,750,3,10,<21;22>,<11;12;13;14;15;16>
2031,102,-20,1.5,,guaiwu1_lan_loop,21,100,1,11,<21>,
2032,102,-40,1.5,,guaiwu5_zi_loop,121,300,2,11,<21>,
2033,102,-80,1.8,,guaiwu2_hong_loop,221,500,3,11,<21>,
2034,102,-20,1.5,,guaiwu5_lan_loop,22,100,1,12,<21>,
2035,102,-40,1.5,,guaiwu2_zi_loop,122,300,2,12,<21>,
2036,102,-80,1.8,,guaiwu6_hong_loop,222,500,3,12,<21>,
2037,102,-20,1.5,,guaiwu6_lan_loop,23,100,1,13,<21>,<11;12;13;14;15;16>
2038,102,-40,1.5,,guaiwu1_zi_loop,123,300,2,13,<21>,<11;12;13;14;15;16>
2039,102,-80,1.8,,guaiwu3_hong_loop,223,500,3,13,<21>,<11;12;13;14;15;16>
2040,102,-20,1.5,,guaiwu1_lan_loop,24,100,1,14,<21>,
2041,102,-40,1.5,,guaiwu5_zi_loop,124,300,2,14,<21>,
2042,102,-80,1.8,,guaiwu3_hong_loop,224,500,3,14,<21>,
2043,102,-20,1.5,,guaiwu5_lan_loop,25,100,1,15,<22>,
2044,102,-40,1.5,,guaiwu2_zi_loop,125,300,2,15,<22>,
2045,102,-80,1.8,,guaiwu1_hong_loop,225,500,3,15,<22>,
2046,102,-20,1.5,,guaiwu5_lan_loop,26,100,1,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
2047,102,-40,1.5,,guaiwu1_zi_loop,126,300,2,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
2048,102,-80,1.8,,guaiwu6_hong_loop,226,500,3,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
2049,102,-20,1.5,,guaiwu2_lan_loop,27,100,1,17,<22>,
2050,102,-40,1.5,,guaiwu3_zi_loop,127,300,2,17,<22>,
2051,102,-80,1.8,,guaiwu1_hong_loop,227,500,3,17,<22>,
2052,102,-20,1.5,,guaiwu5_lan_loop,28,100,1,18,<23>,
2053,102,-40,1.5,,guaiwu1_zi_loop,128,300,2,18,<23>,
2054,102,-80,1.8,,guaiwu6_hong_loop,228,500,3,18,<23>,
2055,102,-20,1.5,,guaiwu2_lan_loop,29,100,1,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
2056,102,-40,1.5,,guaiwu4_zi_loop,129,300,2,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
2057,102,-80,1.8,,guaiwu3_hong_loop,229,500,3,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
2058,102,-20,1.5,,guaiwu1_lan_loop,30,150,1,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
2059,102,-40,1.5,,guaiwu2_zi_loop,130,450,2,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
2060,102,-80,1.8,,guaiwu3_hong_loop,230,750,3,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
2061,102,-20,1.5,,guaiwu1_lan_loop,31,100,1,21,<23>,
2062,102,-40,1.5,,guaiwu5_zi_loop,131,300,2,21,<23>,
2063,102,-80,1.8,,guaiwu4_hong_loop,231,500,3,21,<23>,
2064,102,-20,1.5,,guaiwu2_lan_loop,32,100,1,22,<23>,
2065,102,-40,1.5,,guaiwu3_zi_loop,132,300,2,22,<23>,
2066,102,-80,1.8,,guaiwu5_hong_loop,232,500,3,22,<23>,
2067,102,-20,1.5,,guaiwu5_lan_loop,33,100,1,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
2068,102,-40,1.5,,guaiwu2_zi_loop,133,300,2,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
2069,102,-80,1.8,,guaiwu3_hong_loop,233,500,3,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
2070,102,-20,1.5,,guaiwu3_lan_loop,34,100,1,24,<23>,
2071,102,-40,1.5,,guaiwu4_zi_loop,134,300,2,24,<23>,
2072,102,-80,1.8,,guaiwu6_hong_loop,234,500,3,24,<23>,
2073,102,-20,1.5,,guaiwu3_lan_loop,35,100,1,25,<24;26>,
2074,102,-40,1.5,,guaiwu2_zi_loop,135,300,2,25,<24;26>,
2075,102,-80,1.8,,guaiwu5_hong_loop,235,500,3,25,<24;26>,
2076,102,-20,1.5,,guaiwu3_lan_loop,36,100,1,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
2077,102,-40,1.5,,guaiwu2_zi_loop,136,300,2,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
2078,102,-80,1.8,,guaiwu1_hong_loop,236,500,3,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
2079,102,-20,1.5,,guaiwu6_lan_loop,37,100,1,27,<24;26>,
2080,102,-40,1.5,,guaiwu5_zi_loop,137,300,2,27,<24;26>,
2081,102,-80,1.8,,guaiwu5_hong_loop,237,500,3,27,<24;26>,
2082,102,-20,1.5,,guaiwu2_lan_loop,38,100,1,28,<24;26>,
2083,102,-40,1.5,,guaiwu2_zi_loop,138,300,2,28,<24;26>,
2084,102,-80,1.8,,guaiwu4_hong_loop,238,500,3,28,<24;26>,
2085,102,-20,1.5,,guaiwu6_lan_loop,39,100,1,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
2086,102,-40,1.5,,guaiwu3_zi_loop,139,300,2,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
2087,102,-80,1.8,,guaiwu2_hong_loop,239,500,3,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
2088,102,-20,1.5,,guaiwu3_lan_loop,40,200,1,30,<26>,
2089,102,-40,1.5,,guaiwu1_zi_loop,140,600,2,30,<26>,
2090,102,-80,1.8,,guaiwu3_hong_loop,240,1000,3,30,<26>,
3001,103,-20,1.5,,guaiwu2_lan_loop,11,100,1,1,<1>,
3002,103,-40,1.5,,guaiwu3_zi_loop,111,300,2,1,<1>,
3003,103,-80,1.8,,guaiwu4_hong_loop,211,500,3,1,<1>,
3004,103,-20,1.5,,guaiwu3_lan_loop,12,100,1,2,<1>,
3005,103,-40,1.5,,guaiwu6_zi_loop,112,300,2,2,<1>,
3006,103,-80,1.8,,guaiwu2_hong_loop,212,500,3,2,<1>,
3007,103,-20,1.5,,guaiwu3_lan_loop,13,100,1,3,<1>,<11;12;13;14;15;16>
3008,103,-40,1.5,,guaiwu2_zi_loop,113,300,2,3,<1>,<11;12;13;14;15;16>
3009,103,-80,1.8,,guaiwu4_hong_loop,213,500,3,3,<1>,<11;12;13;14;15;16>
3010,103,-20,1.5,,guaiwu5_lan_loop,14,100,1,4,<1>,
3011,103,-40,1.5,,guaiwu4_zi_loop,114,300,2,4,<1>,
3012,103,-80,1.8,,guaiwu3_hong_loop,214,500,3,4,<1>,
3013,103,-20,1.5,,guaiwu2_lan_loop,15,100,1,5,<1>,
3014,103,-40,1.5,,guaiwu4_zi_loop,115,300,2,5,<1>,
3015,103,-80,1.8,,guaiwu1_hong_loop,215,500,3,5,<1>,
3016,103,-20,1.5,,guaiwu4_lan_loop,16,100,1,6,<11>,<11;12;13;14;15;16>
3017,103,-40,1.5,,guaiwu5_zi_loop,116,300,2,6,<11>,<11;12;13;14;15;16>
3018,103,-80,1.8,,guaiwu1_hong_loop,216,500,3,6,<11>,<11;12;13;14;15;16>
3019,103,-20,1.5,,guaiwu4_lan_loop,17,100,1,7,<11>,
3020,103,-40,1.5,,guaiwu3_zi_loop,117,300,2,7,<11>,
3021,103,-80,1.8,,guaiwu6_hong_loop,217,500,3,7,<11>,
3022,103,-20,1.5,,guaiwu5_lan_loop,18,100,1,8,<11>,
3023,103,-40,1.5,,guaiwu6_zi_loop,118,300,2,8,<11>,
3024,103,-80,1.8,,guaiwu1_hong_loop,218,500,3,8,<11>,
3025,103,-20,1.5,,guaiwu2_lan_loop,19,100,1,9,<11>,<11;12;13;14;15;16>
3026,103,-40,1.5,,guaiwu3_zi_loop,119,300,2,9,<11>,<11;12;13;14;15;16>
3027,103,-80,1.8,,guaiwu6_hong_loop,219,500,3,9,<11>,<11;12;13;14;15;16>
3028,103,-20,1.5,,guaiwu4_lan_loop,20,150,1,10,<21;22>,<11;12;13;14;15;16>
3029,103,-40,1.5,,guaiwu5_zi_loop,120,450,2,10,<21;22>,<11;12;13;14;15;16>
3030,103,-80,1.8,,guaiwu3_hong_loop,220,750,3,10,<21;22>,<11;12;13;14;15;16>
3031,103,-20,1.5,,guaiwu1_lan_loop,21,100,1,11,<21>,
3032,103,-40,1.5,,guaiwu5_zi_loop,121,300,2,11,<21>,
3033,103,-80,1.8,,guaiwu2_hong_loop,221,500,3,11,<21>,
3034,103,-20,1.5,,guaiwu5_lan_loop,22,100,1,12,<21>,
3035,103,-40,1.5,,guaiwu2_zi_loop,122,300,2,12,<21>,
3036,103,-80,1.8,,guaiwu6_hong_loop,222,500,3,12,<21>,
3037,103,-20,1.5,,guaiwu6_lan_loop,23,100,1,13,<21>,<11;12;13;14;15;16>
3038,103,-40,1.5,,guaiwu1_zi_loop,123,300,2,13,<21>,<11;12;13;14;15;16>
3039,103,-80,1.8,,guaiwu3_hong_loop,223,500,3,13,<21>,<11;12;13;14;15;16>
3040,103,-20,1.5,,guaiwu1_lan_loop,24,100,1,14,<21>,
3041,103,-40,1.5,,guaiwu5_zi_loop,124,300,2,14,<21>,
3042,103,-80,1.8,,guaiwu3_hong_loop,224,500,3,14,<21>,
3043,103,-20,1.5,,guaiwu5_lan_loop,25,100,1,15,<22>,
3044,103,-40,1.5,,guaiwu2_zi_loop,125,300,2,15,<22>,
3045,103,-80,1.8,,guaiwu1_hong_loop,225,500,3,15,<22>,
3046,103,-20,1.5,,guaiwu5_lan_loop,26,100,1,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
3047,103,-40,1.5,,guaiwu1_zi_loop,126,300,2,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
3048,103,-80,1.8,,guaiwu6_hong_loop,226,500,3,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
3049,103,-20,1.5,,guaiwu2_lan_loop,27,100,1,17,<22>,
3050,103,-40,1.5,,guaiwu3_zi_loop,127,300,2,17,<22>,
3051,103,-80,1.8,,guaiwu1_hong_loop,227,500,3,17,<22>,
3052,103,-20,1.5,,guaiwu5_lan_loop,28,100,1,18,<23>,
3053,103,-40,1.5,,guaiwu1_zi_loop,128,300,2,18,<23>,
3054,103,-80,1.8,,guaiwu6_hong_loop,228,500,3,18,<23>,
3055,103,-20,1.5,,guaiwu2_lan_loop,29,100,1,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
3056,103,-40,1.5,,guaiwu4_zi_loop,129,300,2,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
3057,103,-80,1.8,,guaiwu3_hong_loop,229,500,3,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
3058,103,-20,1.5,,guaiwu1_lan_loop,30,150,1,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
3059,103,-40,1.5,,guaiwu2_zi_loop,130,450,2,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
3060,103,-80,1.8,,guaiwu3_hong_loop,230,750,3,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
3061,103,-20,1.5,,guaiwu1_lan_loop,31,100,1,21,<23>,
3062,103,-40,1.5,,guaiwu5_zi_loop,131,300,2,21,<23>,
3063,103,-80,1.8,,guaiwu4_hong_loop,231,500,3,21,<23>,
3064,103,-20,1.5,,guaiwu2_lan_loop,32,100,1,22,<23>,
3065,103,-40,1.5,,guaiwu3_zi_loop,132,300,2,22,<23>,
3066,103,-80,1.8,,guaiwu5_hong_loop,232,500,3,22,<23>,
3067,103,-20,1.5,,guaiwu5_lan_loop,33,100,1,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
3068,103,-40,1.5,,guaiwu2_zi_loop,133,300,2,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
3069,103,-80,1.8,,guaiwu3_hong_loop,233,500,3,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
3070,103,-20,1.5,,guaiwu3_lan_loop,34,100,1,24,<23>,
3071,103,-40,1.5,,guaiwu4_zi_loop,134,300,2,24,<23>,
3072,103,-80,1.8,,guaiwu6_hong_loop,234,500,3,24,<23>,
3073,103,-20,1.5,,guaiwu3_lan_loop,35,100,1,25,<24;26>,
3074,103,-40,1.5,,guaiwu2_zi_loop,135,300,2,25,<24;26>,
3075,103,-80,1.8,,guaiwu5_hong_loop,235,500,3,25,<24;26>,
3076,103,-20,1.5,,guaiwu3_lan_loop,36,100,1,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
3077,103,-40,1.5,,guaiwu2_zi_loop,136,300,2,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
3078,103,-80,1.8,,guaiwu1_hong_loop,236,500,3,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
3079,103,-20,1.5,,guaiwu6_lan_loop,37,100,1,27,<24;26>,
3080,103,-40,1.5,,guaiwu5_zi_loop,137,300,2,27,<24;26>,
3081,103,-80,1.8,,guaiwu5_hong_loop,237,500,3,27,<24;26>,
3082,103,-20,1.5,,guaiwu2_lan_loop,38,100,1,28,<24;26>,
3083,103,-40,1.5,,guaiwu2_zi_loop,138,300,2,28,<24;26>,
3084,103,-80,1.8,,guaiwu4_hong_loop,238,500,3,28,<24;26>,
3085,103,-20,1.5,,guaiwu6_lan_loop,39,100,1,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
3086,103,-40,1.5,,guaiwu3_zi_loop,139,300,2,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
3087,103,-80,1.8,,guaiwu2_hong_loop,239,500,3,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
3088,103,-20,1.5,,guaiwu3_lan_loop,40,200,1,30,<26>,
3089,103,-40,1.5,,guaiwu1_zi_loop,140,600,2,30,<26>,
3090,103,-80,1.8,,guaiwu3_hong_loop,240,1000,3,30,<26>,
4001,104,-20,1.5,,guaiwu2_lan_loop,11,100,1,1,<1>,
4002,104,-40,1.5,,guaiwu3_zi_loop,111,300,2,1,<1>,
4003,104,-80,1.8,,guaiwu4_hong_loop,211,500,3,1,<1>,
4004,104,-20,1.5,,guaiwu3_lan_loop,12,100,1,2,<1>,
4005,104,-40,1.5,,guaiwu6_zi_loop,112,300,2,2,<1>,
4006,104,-80,1.8,,guaiwu2_hong_loop,212,500,3,2,<1>,
4007,104,-20,1.5,,guaiwu3_lan_loop,13,100,1,3,<1>,<11;12;13;14;15;16>
4008,104,-40,1.5,,guaiwu2_zi_loop,113,300,2,3,<1>,<11;12;13;14;15;16>
4009,104,-80,1.8,,guaiwu4_hong_loop,213,500,3,3,<1>,<11;12;13;14;15;16>
4010,104,-20,1.5,,guaiwu5_lan_loop,14,100,1,4,<1>,
4011,104,-40,1.5,,guaiwu4_zi_loop,114,300,2,4,<1>,
4012,104,-80,1.8,,guaiwu3_hong_loop,214,500,3,4,<1>,
4013,104,-20,1.5,,guaiwu2_lan_loop,15,100,1,5,<1>,
4014,104,-40,1.5,,guaiwu4_zi_loop,115,300,2,5,<1>,
4015,104,-80,1.8,,guaiwu1_hong_loop,215,500,3,5,<1>,
4016,104,-20,1.5,,guaiwu4_lan_loop,16,100,1,6,<11>,<11;12;13;14;15;16>
4017,104,-40,1.5,,guaiwu5_zi_loop,116,300,2,6,<11>,<11;12;13;14;15;16>
4018,104,-80,1.8,,guaiwu1_hong_loop,216,500,3,6,<11>,<11;12;13;14;15;16>
4019,104,-20,1.5,,guaiwu4_lan_loop,17,100,1,7,<11>,
4020,104,-40,1.5,,guaiwu3_zi_loop,117,300,2,7,<11>,
4021,104,-80,1.8,,guaiwu6_hong_loop,217,500,3,7,<11>,
4022,104,-20,1.5,,guaiwu5_lan_loop,18,100,1,8,<11>,
4023,104,-40,1.5,,guaiwu6_zi_loop,118,300,2,8,<11>,
4024,104,-80,1.8,,guaiwu1_hong_loop,218,500,3,8,<11>,
4025,104,-20,1.5,,guaiwu2_lan_loop,19,100,1,9,<11>,<11;12;13;14;15;16>
4026,104,-40,1.5,,guaiwu3_zi_loop,119,300,2,9,<11>,<11;12;13;14;15;16>
4027,104,-80,1.8,,guaiwu6_hong_loop,219,500,3,9,<11>,<11;12;13;14;15;16>
4028,104,-20,1.5,,guaiwu4_lan_loop,20,150,1,10,<21;22>,<11;12;13;14;15;16>
4029,104,-40,1.5,,guaiwu5_zi_loop,120,450,2,10,<21;22>,<11;12;13;14;15;16>
4030,104,-80,1.8,,guaiwu3_hong_loop,220,750,3,10,<21;22>,<11;12;13;14;15;16>
4031,104,-20,1.5,,guaiwu1_lan_loop,21,100,1,11,<21>,
4032,104,-40,1.5,,guaiwu5_zi_loop,121,300,2,11,<21>,
4033,104,-80,1.8,,guaiwu2_hong_loop,221,500,3,11,<21>,
4034,104,-20,1.5,,guaiwu5_lan_loop,22,100,1,12,<21>,
4035,104,-40,1.5,,guaiwu2_zi_loop,122,300,2,12,<21>,
4036,104,-80,1.8,,guaiwu6_hong_loop,222,500,3,12,<21>,
4037,104,-20,1.5,,guaiwu6_lan_loop,23,100,1,13,<21>,<11;12;13;14;15;16>
4038,104,-40,1.5,,guaiwu1_zi_loop,123,300,2,13,<21>,<11;12;13;14;15;16>
4039,104,-80,1.8,,guaiwu3_hong_loop,223,500,3,13,<21>,<11;12;13;14;15;16>
4040,104,-20,1.5,,guaiwu1_lan_loop,24,100,1,14,<21>,
4041,104,-40,1.5,,guaiwu5_zi_loop,124,300,2,14,<21>,
4042,104,-80,1.8,,guaiwu3_hong_loop,224,500,3,14,<21>,
4043,104,-20,1.5,,guaiwu5_lan_loop,25,100,1,15,<22>,
4044,104,-40,1.5,,guaiwu2_zi_loop,125,300,2,15,<22>,
4045,104,-80,1.8,,guaiwu1_hong_loop,225,500,3,15,<22>,
4046,104,-20,1.5,,guaiwu5_lan_loop,26,100,1,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
4047,104,-40,1.5,,guaiwu1_zi_loop,126,300,2,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
4048,104,-80,1.8,,guaiwu6_hong_loop,226,500,3,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
4049,104,-20,1.5,,guaiwu2_lan_loop,27,100,1,17,<22>,
4050,104,-40,1.5,,guaiwu3_zi_loop,127,300,2,17,<22>,
4051,104,-80,1.8,,guaiwu1_hong_loop,227,500,3,17,<22>,
4052,104,-20,1.5,,guaiwu5_lan_loop,28,100,1,18,<23>,
4053,104,-40,1.5,,guaiwu1_zi_loop,128,300,2,18,<23>,
4054,104,-80,1.8,,guaiwu6_hong_loop,228,500,3,18,<23>,
4055,104,-20,1.5,,guaiwu2_lan_loop,29,100,1,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
4056,104,-40,1.5,,guaiwu4_zi_loop,129,300,2,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
4057,104,-80,1.8,,guaiwu3_hong_loop,229,500,3,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
4058,104,-20,1.5,,guaiwu1_lan_loop,30,150,1,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
4059,104,-40,1.5,,guaiwu2_zi_loop,130,450,2,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
4060,104,-80,1.8,,guaiwu3_hong_loop,230,750,3,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
4061,104,-20,1.5,,guaiwu1_lan_loop,31,100,1,21,<23>,
4062,104,-40,1.5,,guaiwu5_zi_loop,131,300,2,21,<23>,
4063,104,-80,1.8,,guaiwu4_hong_loop,231,500,3,21,<23>,
4064,104,-20,1.5,,guaiwu2_lan_loop,32,100,1,22,<23>,
4065,104,-40,1.5,,guaiwu3_zi_loop,132,300,2,22,<23>,
4066,104,-80,1.8,,guaiwu5_hong_loop,232,500,3,22,<23>,
4067,104,-20,1.5,,guaiwu5_lan_loop,33,100,1,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
4068,104,-40,1.5,,guaiwu2_zi_loop,133,300,2,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
4069,104,-80,1.8,,guaiwu3_hong_loop,233,500,3,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
4070,104,-20,1.5,,guaiwu3_lan_loop,34,100,1,24,<23>,
4071,104,-40,1.5,,guaiwu4_zi_loop,134,300,2,24,<23>,
4072,104,-80,1.8,,guaiwu6_hong_loop,234,500,3,24,<23>,
4073,104,-20,1.5,,guaiwu3_lan_loop,35,100,1,25,<24;26>,
4074,104,-40,1.5,,guaiwu2_zi_loop,135,300,2,25,<24;26>,
4075,104,-80,1.8,,guaiwu5_hong_loop,235,500,3,25,<24;26>,
4076,104,-20,1.5,,guaiwu3_lan_loop,36,100,1,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
4077,104,-40,1.5,,guaiwu2_zi_loop,136,300,2,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
4078,104,-80,1.8,,guaiwu1_hong_loop,236,500,3,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
4079,104,-20,1.5,,guaiwu6_lan_loop,37,100,1,27,<24;26>,
4080,104,-40,1.5,,guaiwu5_zi_loop,137,300,2,27,<24;26>,
4081,104,-80,1.8,,guaiwu5_hong_loop,237,500,3,27,<24;26>,
4082,104,-20,1.5,,guaiwu2_lan_loop,38,100,1,28,<24;26>,
4083,104,-40,1.5,,guaiwu2_zi_loop,138,300,2,28,<24;26>,
4084,104,-80,1.8,,guaiwu4_hong_loop,238,500,3,28,<24;26>,
4085,104,-20,1.5,,guaiwu6_lan_loop,39,100,1,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
4086,104,-40,1.5,,guaiwu3_zi_loop,139,300,2,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
4087,104,-80,1.8,,guaiwu2_hong_loop,239,500,3,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
4088,104,-20,1.5,,guaiwu3_lan_loop,40,200,1,30,<26>,
4089,104,-40,1.5,,guaiwu1_zi_loop,140,600,2,30,<26>,
4090,104,-80,1.8,,guaiwu3_hong_loop,240,1000,3,30,<26>,
