变量名,skillLevel,sceneLevel,showLevel,sceneType,star,speedC,specialDefenceC,defenceC,specialDamageC,damageC,hpC,floor,theme,zawake,extraSkill
1054,133,100,100,2,11,2.92,2.265,2.265,2.718,2.718,3.02,24,101,<8;8;8;8;8;8;8;8>,<86981>
1055,134,100,100,2,12,3,2.325,2.325,2.79,2.79,3.1,25,101,<8;8;8;8;8;8;8;8>,<86981>
1056,135,100,100,2,12,3.04,2.355,2.355,2.826,2.826,3.14,26,101,<8;8;8;8;8;8;8;8>,<86981>
1057,136,100,100,2,12,3.08,2.385,2.385,2.862,2.862,3.18,27,101,<8;8;8;8;8;8;8;8>,<86981>
1058,137,100,100,2,12,3.12,2.415,2.415,2.898,2.898,3.22,28,101,<8;8;8;8;8;8;8;8>,<86981>
1059,138,100,100,2,12,3.16,2.445,2.445,2.934,2.934,3.26,29,101,<8;8;8;8;8;8;8;8>,<86981>
1060,139,100,100,2,12,3.2,2.475,2.475,2.97,2.97,3.3,30,101,<8;8;8;8;8;8;8;8>,<86981>
1061,110,100,100,3,6,1.2,1.3,1.3,1.17,1.17,1.3,1,101,<8;8;0;0;0;0;0;0>,<86981>
1062,112,100,100,3,6,1.3,1.4,1.4,1.26,1.26,1.4,2,101,<8;8;0;0;0;0;0;0>,<86981>
1063,114,100,100,3,6,1.4,1.5,1.5,1.35,1.35,1.5,3,101,<8;8;0;0;0;0;0;0>,<86981>
1064,116,100,100,3,6,1.5,1.6,1.6,1.44,1.44,1.6,4,101,<8;8;0;0;0;0;0;0>,<86981>
1065,118,100,100,3,7,1.6,1.7,1.7,1.53,1.53,1.7,5,101,<8;8;0;0;0;0;0;0>,<86981>
1066,120,100,100,3,7,1.7,1.8,1.8,1.62,1.62,1.8,6,101,<8;8;0;0;0;0;0;0>,<86981>
1067,122,100,100,3,7,1.8,1.9,1.9,1.71,1.71,1.9,7,101,<8;8;0;0;0;0;0;0>,<86981>
1068,124,100,100,3,8,1.9,2,2,1.8,1.8,2,8,101,<8;8;0;0;0;0;0;0>,<86981>
1069,126,100,100,3,8,2,2.1,2.1,1.89,1.89,2.1,9,101,<8;8;0;0;0;0;0;0>,<86981>
1070,128,100,100,3,8,2.1,2.2,2.2,1.98,1.98,2.2,10,101,<8;8;0;0;0;0;0;0>,<86981>
1071,130,100,100,3,9,2.2,2.3,2.3,2.07,2.07,2.3,11,101,<8;8;0;0;0;0;0;0>,<86981>
1072,132,100,100,3,9,2.3,2.4,2.4,2.16,2.16,2.4,12,101,<8;8;0;0;0;0;0;0>,<86981>
1073,134,100,100,3,10,2.4,2.5,2.5,2.25,2.25,2.5,13,101,<8;8;0;0;0;0;0;0>,<86981>
1074,136,100,100,3,10,2.5,2.6,2.6,2.34,2.34,2.6,14,101,<8;8;0;0;0;0;0;0>,<86981>
1075,138,100,100,3,10,2.6,2.7,2.7,2.43,2.43,2.7,15,101,<8;8;0;0;0;0;0;0>,<86981>
1076,140,100,100,3,10,2.72,2.82,2.82,2.538,2.538,2.82,16,101,<8;8;8;0;0;0;0;0>,<86981>
1077,142,100,100,3,11,2.84,2.94,2.94,2.646,2.646,2.94,17,101,<8;8;8;0;0;0;0;0>,<86981>
1078,144,100,100,3,11,2.96,3.06,3.06,2.754,2.754,3.06,18,101,<8;8;8;0;0;0;0;0>,<86981>
1079,146,100,100,3,11,3.08,3.18,3.18,2.862,2.862,3.18,19,101,<8;8;8;8;0;0;0;0>,<86981>
1080,148,100,100,3,11,3.2,3.465,3.465,3.036,3.036,3.63,20,101,<8;8;8;8;0;0;0;0>,<86981>
1081,151,100,100,3,11,3.38,3.549,3.549,3.1096,3.1096,3.718,21,101,<8;8;8;8;0;0;0;0>,<86981>
1082,154,100,100,3,11,3.46,3.633,3.633,3.1832,3.1832,3.806,22,101,<8;8;8;8;8;8;0;0>,<86981>
1083,157,100,100,3,11,3.54,3.717,3.717,3.2568,3.2568,3.894,23,101,<8;8;8;8;8;8;0;0>,<86981>
1084,160,100,100,3,11,3.62,3.801,3.801,3.3304,3.3304,3.982,24,101,<8;8;8;8;8;8;0;0>,<86981>
1085,163,100,100,3,11,3.7,4.07,4.07,3.404,3.404,4.44,25,101,<8;8;8;8;8;8;0;0>,<86981>
1086,166,100,100,3,12,3.84,4.224,4.224,3.648,3.648,4.608,26,101,<8;8;8;8;8;8;0;0>,<86981>
1087,169,100,100,3,12,3.98,4.378,4.378,3.781,3.781,4.776,27,101,<8;8;8;8;8;8;0;0>,<86981>
1088,172,100,100,3,12,4.12,4.532,4.532,3.914,3.914,4.944,28,101,<8;8;8;8;8;8;8;8>,<86981>
1089,175,100,100,3,12,4.26,4.686,4.686,4.047,4.047,5.112,29,101,<8;8;8;8;8;8;8;8>,<86981>
1090,178,100,100,3,12,4.4,4.84,4.84,4.18,4.18,5.28,30,101,<8;8;8;8;8;8;8;8>,<86981>
2001,100,100,100,1,,0.8,0.63,0.63,0.72,0.72,0.9,1,102,,<86982>
2002,101,100,100,1,,0.85,0.665,0.665,0.76,0.76,0.95,2,102,,<86982>
2003,102,100,100,1,,0.9,0.7,0.7,0.8,0.8,,3,102,,<86982>
2004,103,100,100,1,,0.95,0.735,0.735,0.84,0.84,1.05,4,102,,<86982>
2005,104,100,100,1,5,,0.77,0.77,0.88,0.88,1.1,5,102,,<86982>
2006,105,100,100,1,5,1.04,0.798,0.798,0.912,0.912,1.14,6,102,,<86982>
2007,106,100,100,1,5,1.08,0.826,0.826,0.944,0.944,1.18,7,102,,<86982>
2008,107,100,100,1,6,1.12,0.854,0.854,0.976,0.976,1.22,8,102,,<86982>
2009,108,100,100,1,6,1.16,0.882,0.882,1.008,1.008,1.26,9,102,,<86982>
2010,109,100,100,1,6,1.2,0.91,0.91,1.04,1.04,1.3,10,102,<8;0;0;0;0;0;0;0>,<86982>
2011,110,100,100,1,7,1.24,0.938,0.938,1.072,1.072,1.34,11,102,<8;0;0;0;0;0;0;0>,<86982>
2012,111,100,100,1,7,1.28,0.966,0.966,1.104,1.104,1.38,12,102,<8;0;0;0;0;0;0;0>,<86982>
2013,112,100,100,1,7,1.32,0.994,0.994,1.136,1.136,1.42,13,102,<8;0;0;0;0;0;0;0>,<86982>
2014,113,100,100,1,7,1.36,1.022,1.022,1.168,1.168,1.46,14,102,<8;0;0;0;0;0;0;0>,<86982>
2015,114,100,100,1,7,1.4,1.05,1.05,1.2,1.2,1.5,15,102,<8;0;0;0;0;0;0;0>,<86982>
2016,115,100,100,1,8,1.46,1.092,1.092,1.248,1.248,1.56,16,102,<8;0;0;0;0;0;0;0>,<86982>
2017,116,100,100,1,8,1.52,1.134,1.134,1.296,1.296,1.62,17,102,<8;0;0;0;0;0;0;0>,<86982>
2018,117,100,100,1,8,1.58,1.176,1.176,1.344,1.344,1.68,18,102,<8;0;0;0;0;0;0;0>,<86982>
2019,118,100,100,1,8,1.64,1.218,1.218,1.392,1.392,1.74,19,102,<8;0;0;0;0;0;0;0>,<86982>
2020,119,100,100,1,8,1.7,1.26,1.26,1.44,1.44,1.8,20,102,<8;0;0;0;0;0;0;0>,<86982>
2021,120,100,100,1,8,1.78,1.316,1.316,1.504,1.504,1.88,21,102,<8;8;0;0;0;0;0;0>,<86982>
2022,121,100,100,1,8,1.86,1.372,1.372,1.568,1.568,1.96,22,102,<8;8;0;0;0;0;0;0>,<86982>
2023,122,100,100,1,8,1.94,1.428,1.428,1.632,1.632,2.04,23,102,<8;8;0;0;0;0;0;0>,<86982>
2024,123,100,100,1,8,2.02,1.484,1.484,1.696,1.696,2.12,24,102,<8;8;0;0;0;0;0;0>,<86982>
2025,124,100,100,1,8,2.1,1.54,1.54,1.76,1.76,2.2,25,102,<8;8;0;0;0;0;0;0>,<86982>
2026,125,100,100,1,8,2.14,1.568,1.568,1.792,1.792,2.24,26,102,<8;8;0;0;0;0;0;0>,<86982>
2027,126,100,100,1,8,2.18,1.596,1.596,1.824,1.824,2.28,27,102,<8;8;8;0;0;0;0;0>,<86982>
2028,127,100,100,1,11,2.22,1.624,1.624,1.856,1.856,2.32,28,102,<8;8;8;0;0;0;0;0>,<86982>
2029,128,100,100,1,11,2.26,1.652,1.652,1.888,1.888,2.36,29,102,<8;8;8;8;0;0;0;0>,<86982>
2030,129,100,100,1,11,2.3,1.68,1.68,1.92,1.92,2.4,30,102,<8;8;8;8;0;0;0;0>,<86982>
2031,110,100,100,2,5,1.16,0.945,0.945,1.134,1.134,1.26,1,102,,<86982>
2032,111,100,100,2,5,1.22,0.99,0.99,1.188,1.188,1.32,2,102,,<86982>
2033,112,100,100,2,5,1.28,1.035,1.035,1.242,1.242,1.38,3,102,,<86982>
2034,113,100,100,2,5,1.34,1.08,1.08,1.296,1.296,1.44,4,102,,<86982>
2035,114,100,100,2,6,1.4,1.125,1.125,1.35,1.35,1.5,5,102,,<86982>
2036,115,100,100,2,6,1.46,1.17,1.17,1.404,1.404,1.56,6,102,,<86982>
2037,116,100,100,2,6,1.52,1.215,1.215,1.458,1.458,1.62,7,102,,<86982>
2038,117,100,100,2,7,1.58,1.26,1.26,1.512,1.512,1.68,8,102,,<86982>
2039,118,100,100,2,7,1.64,1.305,1.305,1.566,1.566,1.74,9,102,,<86982>
2040,119,100,100,2,8,1.7,1.35,1.35,1.62,1.62,1.8,10,102,<8;8;0;0;0;0;0;0>,<86982>
2041,120,100,100,2,8,1.78,1.41,1.41,1.692,1.692,1.88,11,102,<8;8;0;0;0;0;0;0>,<86982>
2042,121,100,100,2,8,1.86,1.47,1.47,1.764,1.764,1.96,12,102,<8;8;0;0;0;0;0;0>,<86982>
2043,122,100,100,2,8,1.94,1.53,1.53,1.836,1.836,2.04,13,102,<8;8;0;0;0;0;0;0>,<86982>
2044,123,100,100,2,9,2.02,1.59,1.59,1.908,1.908,2.12,14,102,<8;8;0;0;0;0;0;0>,<86982>
2045,124,100,100,2,9,2.1,1.65,1.65,1.98,1.98,2.2,15,102,<8;8;0;0;0;0;0;0>,<86982>
2046,125,100,100,2,9,2.22,1.74,1.74,2.088,2.088,2.32,16,102,<8;8;8;0;0;0;0;0>,<86982>
2047,126,100,100,2,9,2.34,1.83,1.83,2.196,2.196,2.44,17,102,<8;8;8;0;0;0;0;0>,<86982>
2048,127,100,100,2,9,2.46,1.92,1.92,2.304,2.304,2.56,18,102,<8;8;8;0;0;0;0;0>,<86982>
2049,128,100,100,2,10,2.58,2.01,2.01,2.412,2.412,2.68,19,102,<8;8;8;0;0;0;0;0>,<86982>
2050,129,100,100,2,10,2.7,2.1,2.1,2.52,2.52,2.8,20,102,<8;8;8;8;8;8;0;0>,<86982>
2051,130,100,100,2,10,2.68,2.085,2.085,2.502,2.502,2.78,21,102,<8;8;8;8;8;8;0;0>,<86982>
2052,131,100,100,2,10,2.76,2.145,2.145,2.574,2.574,2.86,22,102,<8;8;8;8;8;8;0;0>,<86982>
2053,132,100,100,2,11,2.84,2.205,2.205,2.646,2.646,2.94,23,102,<8;8;8;8;8;8;0;0>,<86982>
2054,133,100,100,2,11,2.92,2.265,2.265,2.718,2.718,3.02,24,102,<8;8;8;8;8;8;8;8>,<86982>
2055,134,100,100,2,12,3,2.325,2.325,2.79,2.79,3.1,25,102,<8;8;8;8;8;8;8;8>,<86982>
2056,135,100,100,2,12,3.04,2.355,2.355,2.826,2.826,3.14,26,102,<8;8;8;8;8;8;8;8>,<86982>
2057,136,100,100,2,12,3.08,2.385,2.385,2.862,2.862,3.18,27,102,<8;8;8;8;8;8;8;8>,<86982>
2058,137,100,100,2,12,3.12,2.415,2.415,2.898,2.898,3.22,28,102,<8;8;8;8;8;8;8;8>,<86982>
2059,138,100,100,2,12,3.16,2.445,2.445,2.934,2.934,3.26,29,102,<8;8;8;8;8;8;8;8>,<86982>
2060,139,100,100,2,12,3.2,2.475,2.475,2.97,2.97,3.3,30,102,<8;8;8;8;8;8;8;8>,<86982>
2061,110,100,100,3,6,1.2,1.3,1.3,1.17,1.17,1.3,1,102,<8;8;0;0;0;0;0;0>,<86982>
2062,112,100,100,3,6,1.3,1.4,1.4,1.26,1.26,1.4,2,102,<8;8;0;0;0;0;0;0>,<86982>
2063,114,100,100,3,6,1.4,1.5,1.5,1.35,1.35,1.5,3,102,<8;8;0;0;0;0;0;0>,<86982>
2064,116,100,100,3,6,1.5,1.6,1.6,1.44,1.44,1.6,4,102,<8;8;0;0;0;0;0;0>,<86982>
2065,118,100,100,3,7,1.6,1.7,1.7,1.53,1.53,1.7,5,102,<8;8;0;0;0;0;0;0>,<86982>
2066,120,100,100,3,7,1.7,1.8,1.8,1.62,1.62,1.8,6,102,<8;8;0;0;0;0;0;0>,<86982>
2067,122,100,100,3,7,1.8,1.9,1.9,1.71,1.71,1.9,7,102,<8;8;0;0;0;0;0;0>,<86982>
2068,124,100,100,3,8,1.9,2,2,1.8,1.8,2,8,102,<8;8;0;0;0;0;0;0>,<86982>
2069,126,100,100,3,8,2,2.1,2.1,1.89,1.89,2.1,9,102,<8;8;0;0;0;0;0;0>,<86982>
2070,128,100,100,3,8,2.1,2.2,2.2,1.98,1.98,2.2,10,102,<8;8;0;0;0;0;0;0>,<86982>
2071,130,100,100,3,9,2.2,2.3,2.3,2.07,2.07,2.3,11,102,<8;8;0;0;0;0;0;0>,<86982>
2072,132,100,100,3,9,2.3,2.4,2.4,2.16,2.16,2.4,12,102,<8;8;0;0;0;0;0;0>,<86982>
2073,134,100,100,3,10,2.4,2.5,2.5,2.25,2.25,2.5,13,102,<8;8;0;0;0;0;0;0>,<86982>
2074,136,100,100,3,10,2.5,2.6,2.6,2.34,2.34,2.6,14,102,<8;8;0;0;0;0;0;0>,<86982>
2075,138,100,100,3,10,2.6,2.7,2.7,2.43,2.43,2.7,15,102,<8;8;0;0;0;0;0;0>,<86982>
2076,140,100,100,3,10,2.72,2.82,2.82,2.538,2.538,2.82,16,102,<8;8;8;0;0;0;0;0>,<86982>
2077,142,100,100,3,11,2.84,2.94,2.94,2.646,2.646,2.94,17,102,<8;8;8;0;0;0;0;0>,<86982>
2078,144,100,100,3,11,2.96,3.06,3.06,2.754,2.754,3.06,18,102,<8;8;8;0;0;0;0;0>,<86982>
2079,146,100,100,3,11,3.08,3.18,3.18,2.862,2.862,3.18,19,102,<8;8;8;8;0;0;0;0>,<86982>
2080,148,100,100,3,11,3.2,3.465,3.465,3.036,3.036,3.63,20,102,<8;8;8;8;0;0;0;0>,<86982>
2081,151,100,100,3,11,3.38,3.549,3.549,3.1096,3.1096,3.718,21,102,<8;8;8;8;0;0;0;0>,<86982>
2082,154,100,100,3,11,3.46,3.633,3.633,3.1832,3.1832,3.806,22,102,<8;8;8;8;8;8;0;0>,<86982>
2083,157,100,100,3,11,3.54,3.717,3.717,3.2568,3.2568,3.894,23,102,<8;8;8;8;8;8;0;0>,<86982>
2084,160,100,100,3,11,3.62,3.801,3.801,3.3304,3.3304,3.982,24,102,<8;8;8;8;8;8;0;0>,<86982>
2085,163,100,100,3,11,3.7,4.07,4.07,3.404,3.404,4.44,25,102,<8;8;8;8;8;8;0;0>,<86982>
2086,166,100,100,3,12,3.84,4.224,4.224,3.648,3.648,4.608,26,102,<8;8;8;8;8;8;0;0>,<86982>
2087,169,100,100,3,12,3.98,4.378,4.378,3.781,3.781,4.776,27,102,<8;8;8;8;8;8;0;0>,<86982>
2088,172,100,100,3,12,4.12,4.532,4.532,3.914,3.914,4.944,28,102,<8;8;8;8;8;8;8;8>,<86982>
2089,175,100,100,3,12,4.26,4.686,4.686,4.047,4.047,5.112,29,102,<8;8;8;8;8;8;8;8>,<86982>
2090,178,100,100,3,12,4.4,4.84,4.84,4.18,4.18,5.28,30,102,<8;8;8;8;8;8;8;8>,<86982>
3001,100,100,100,1,,0.8,0.63,0.63,0.72,0.72,0.9,1,103,,<86983>
3002,101,100,100,1,,0.85,0.665,0.665,0.76,0.76,0.95,2,103,,<86983>
3003,102,100,100,1,,0.9,0.7,0.7,0.8,0.8,,3,103,,<86983>
3004,103,100,100,1,,0.95,0.735,0.735,0.84,0.84,1.05,4,103,,<86983>
3005,104,100,100,1,5,,0.77,0.77,0.88,0.88,1.1,5,103,,<86983>
3006,105,100,100,1,5,1.04,0.798,0.798,0.912,0.912,1.14,6,103,,<86983>
3007,106,100,100,1,5,1.08,0.826,0.826,0.944,0.944,1.18,7,103,,<86983>
3008,107,100,100,1,6,1.12,0.854,0.854,0.976,0.976,1.22,8,103,,<86983>
3009,108,100,100,1,6,1.16,0.882,0.882,1.008,1.008,1.26,9,103,,<86983>
3010,109,100,100,1,6,1.2,0.91,0.91,1.04,1.04,1.3,10,103,<8;0;0;0;0;0;0;0>,<86983>
3011,110,100,100,1,7,1.24,0.938,0.938,1.072,1.072,1.34,11,103,<8;0;0;0;0;0;0;0>,<86983>
3012,111,100,100,1,7,1.28,0.966,0.966,1.104,1.104,1.38,12,103,<8;0;0;0;0;0;0;0>,<86983>
3013,112,100,100,1,7,1.32,0.994,0.994,1.136,1.136,1.42,13,103,<8;0;0;0;0;0;0;0>,<86983>
3014,113,100,100,1,7,1.36,1.022,1.022,1.168,1.168,1.46,14,103,<8;0;0;0;0;0;0;0>,<86983>
3015,114,100,100,1,7,1.4,1.05,1.05,1.2,1.2,1.5,15,103,<8;0;0;0;0;0;0;0>,<86983>
3016,115,100,100,1,8,1.46,1.092,1.092,1.248,1.248,1.56,16,103,<8;0;0;0;0;0;0;0>,<86983>
3017,116,100,100,1,8,1.52,1.134,1.134,1.296,1.296,1.62,17,103,<8;0;0;0;0;0;0;0>,<86983>
3018,117,100,100,1,8,1.58,1.176,1.176,1.344,1.344,1.68,18,103,<8;0;0;0;0;0;0;0>,<86983>
3019,118,100,100,1,8,1.64,1.218,1.218,1.392,1.392,1.74,19,103,<8;0;0;0;0;0;0;0>,<86983>
3020,119,100,100,1,8,1.7,1.26,1.26,1.44,1.44,1.8,20,103,<8;0;0;0;0;0;0;0>,<86983>
3021,120,100,100,1,8,1.78,1.316,1.316,1.504,1.504,1.88,21,103,<8;8;0;0;0;0;0;0>,<86983>
3022,121,100,100,1,8,1.86,1.372,1.372,1.568,1.568,1.96,22,103,<8;8;0;0;0;0;0;0>,<86983>
3023,122,100,100,1,8,1.94,1.428,1.428,1.632,1.632,2.04,23,103,<8;8;0;0;0;0;0;0>,<86983>
3024,123,100,100,1,8,2.02,1.484,1.484,1.696,1.696,2.12,24,103,<8;8;0;0;0;0;0;0>,<86983>
3025,124,100,100,1,8,2.1,1.54,1.54,1.76,1.76,2.2,25,103,<8;8;0;0;0;0;0;0>,<86983>
3026,125,100,100,1,8,2.14,1.568,1.568,1.792,1.792,2.24,26,103,<8;8;0;0;0;0;0;0>,<86983>
3027,126,100,100,1,8,2.18,1.596,1.596,1.824,1.824,2.28,27,103,<8;8;8;0;0;0;0;0>,<86983>
3028,127,100,100,1,11,2.22,1.624,1.624,1.856,1.856,2.32,28,103,<8;8;8;0;0;0;0;0>,<86983>
3029,128,100,100,1,11,2.26,1.652,1.652,1.888,1.888,2.36,29,103,<8;8;8;8;0;0;0;0>,<86983>
3030,129,100,100,1,11,2.3,1.68,1.68,1.92,1.92,2.4,30,103,<8;8;8;8;0;0;0;0>,<86983>
3031,110,100,100,2,5,1.16,0.945,0.945,1.134,1.134,1.26,1,103,,<86983>
3032,111,100,100,2,5,1.22,0.99,0.99,1.188,1.188,1.32,2,103,,<86983>
3033,112,100,100,2,5,1.28,1.035,1.035,1.242,1.242,1.38,3,103,,<86983>
3034,113,100,100,2,5,1.34,1.08,1.08,1.296,1.296,1.44,4,103,,<86983>
3035,114,100,100,2,6,1.4,1.125,1.125,1.35,1.35,1.5,5,103,,<86983>
3036,115,100,100,2,6,1.46,1.17,1.17,1.404,1.404,1.56,6,103,,<86983>
3037,116,100,100,2,6,1.52,1.215,1.215,1.458,1.458,1.62,7,103,,<86983>
3038,117,100,100,2,7,1.58,1.26,1.26,1.512,1.512,1.68,8,103,,<86983>
3039,118,100,100,2,7,1.64,1.305,1.305,1.566,1.566,1.74,9,103,,<86983>
3040,119,100,100,2,8,1.7,1.35,1.35,1.62,1.62,1.8,10,103,<8;8;0;0;0;0;0;0>,<86983>
3041,120,100,100,2,8,1.78,1.41,1.41,1.692,1.692,1.88,11,103,<8;8;0;0;0;0;0;0>,<86983>
3042,121,100,100,2,8,1.86,1.47,1.47,1.764,1.764,1.96,12,103,<8;8;0;0;0;0;0;0>,<86983>
3043,122,100,100,2,8,1.94,1.53,1.53,1.836,1.836,2.04,13,103,<8;8;0;0;0;0;0;0>,<86983>
3044,123,100,100,2,9,2.02,1.59,1.59,1.908,1.908,2.12,14,103,<8;8;0;0;0;0;0;0>,<86983>
3045,124,100,100,2,9,2.1,1.65,1.65,1.98,1.98,2.2,15,103,<8;8;0;0;0;0;0;0>,<86983>
3046,125,100,100,2,9,2.22,1.74,1.74,2.088,2.088,2.32,16,103,<8;8;8;0;0;0;0;0>,<86983>
3047,126,100,100,2,9,2.34,1.83,1.83,2.196,2.196,2.44,17,103,<8;8;8;0;0;0;0;0>,<86983>
3048,127,100,100,2,9,2.46,1.92,1.92,2.304,2.304,2.56,18,103,<8;8;8;0;0;0;0;0>,<86983>
3049,128,100,100,2,10,2.58,2.01,2.01,2.412,2.412,2.68,19,103,<8;8;8;0;0;0;0;0>,<86983>
3050,129,100,100,2,10,2.7,2.1,2.1,2.52,2.52,2.8,20,103,<8;8;8;8;8;8;0;0>,<86983>
3051,130,100,100,2,10,2.68,2.085,2.085,2.502,2.502,2.78,21,103,<8;8;8;8;8;8;0;0>,<86983>
3052,131,100,100,2,10,2.76,2.145,2.145,2.574,2.574,2.86,22,103,<8;8;8;8;8;8;0;0>,<86983>
3053,132,100,100,2,11,2.84,2.205,2.205,2.646,2.646,2.94,23,103,<8;8;8;8;8;8;0;0>,<86983>
3054,133,100,100,2,11,2.92,2.265,2.265,2.718,2.718,3.02,24,103,<8;8;8;8;8;8;8;8>,<86983>
3055,134,100,100,2,12,3,2.325,2.325,2.79,2.79,3.1,25,103,<8;8;8;8;8;8;8;8>,<86983>
3056,135,100,100,2,12,3.04,2.355,2.355,2.826,2.826,3.14,26,103,<8;8;8;8;8;8;8;8>,<86983>
3057,136,100,100,2,12,3.08,2.385,2.385,2.862,2.862,3.18,27,103,<8;8;8;8;8;8;8;8>,<86983>
3058,137,100,100,2,12,3.12,2.415,2.415,2.898,2.898,3.22,28,103,<8;8;8;8;8;8;8;8>,<86983>
3059,138,100,100,2,12,3.16,2.445,2.445,2.934,2.934,3.26,29,103,<8;8;8;8;8;8;8;8>,<86983>
3060,139,100,100,2,12,3.2,2.475,2.475,2.97,2.97,3.3,30,103,<8;8;8;8;8;8;8;8>,<86983>
3061,110,100,100,3,6,1.2,1.3,1.3,1.3,1.3,1.3,1,103,<8;8;0;0;0;0;0;0>,<86983>
3062,112,100,100,3,6,1.3,1.4,1.4,1.4,1.4,1.4,2,103,<8;8;0;0;0;0;0;0>,<86983>
3063,114,100,100,3,6,1.4,1.5,1.5,1.5,1.5,1.5,3,103,<8;8;0;0;0;0;0;0>,<86983>
3064,116,100,100,3,6,1.5,1.6,1.6,1.6,1.6,1.6,4,103,<8;8;0;0;0;0;0;0>,<86983>
3065,118,100,100,3,7,1.6,1.7,1.7,1.7,1.7,1.7,5,103,<8;8;0;0;0;0;0;0>,<86983>
3066,120,100,100,3,7,1.7,1.8,1.8,1.8,1.8,1.8,6,103,<8;8;0;0;0;0;0;0>,<86983>
3067,122,100,100,3,7,1.8,1.9,1.9,1.9,1.9,1.9,7,103,<8;8;0;0;0;0;0;0>,<86983>
3068,124,100,100,3,8,1.9,2,2,2,2,2,8,103,<8;8;0;0;0;0;0;0>,<86983>
3069,126,100,100,3,8,2,2.1,2.1,2.1,2.1,2.1,9,103,<8;8;0;0;0;0;0;0>,<86983>
3070,128,100,100,3,8,2.1,2.2,2.2,2.2,2.2,2.2,10,103,<8;8;0;0;0;0;0;0>,<86983>
3071,130,100,100,3,9,2.2,2.3,2.3,2.3,2.3,2.3,11,103,<8;8;0;0;0;0;0;0>,<86983>
3072,132,100,100,3,9,2.3,2.4,2.4,2.4,2.4,2.4,12,103,<8;8;0;0;0;0;0;0>,<86983>
3073,134,100,100,3,10,2.4,2.5,2.5,2.5,2.5,2.5,13,103,<8;8;0;0;0;0;0;0>,<86983>
3074,136,100,100,3,10,2.5,2.6,2.6,2.6,2.6,2.6,14,103,<8;8;0;0;0;0;0;0>,<86983>
3075,138,100,100,3,10,2.6,2.7,2.7,3.105,3.105,2.7,15,103,<8;8;0;0;0;0;0;0>,<86983>
3076,140,100,100,3,10,2.72,2.82,2.82,3.243,3.243,2.82,16,103,<8;8;8;0;0;0;0;0>,<86983>
3077,142,100,100,3,11,2.84,2.94,2.94,3.381,3.381,2.94,17,103,<8;8;8;0;0;0;0;0>,<86983>
3078,144,100,100,3,11,2.96,3.06,3.06,3.519,3.519,3.06,18,103,<8;8;8;0;0;0;0;0>,<86983>
3079,146,100,100,3,11,3.08,3.18,3.18,3.657,3.657,3.18,19,103,<8;8;8;8;0;0;0;0>,<86983>
3080,148,100,100,3,11,3.2,3.465,3.465,3.96,3.96,3.63,20,103,<8;8;8;8;0;0;0;0>,<86983>
3081,151,100,100,3,11,3.38,3.549,3.549,4.056,4.056,3.718,21,103,<8;8;8;8;0;0;0;0>,<86983>
3082,154,100,100,3,11,3.46,3.633,3.633,4.152,4.152,3.806,22,103,<8;8;8;8;8;8;0;0>,<86983>
3083,157,100,100,3,11,3.54,3.717,3.717,4.248,4.248,3.894,23,103,<8;8;8;8;8;8;0;0>,<86983>
3084,160,100,100,3,11,3.62,3.801,3.801,4.344,4.344,3.982,24,103,<8;8;8;8;8;8;0;0>,<86983>
3085,163,100,100,3,11,3.7,4.07,4.07,4.625,4.625,4.44,25,103,<8;8;8;8;8;8;0;0>,<86983>
3086,166,100,100,3,12,3.84,4.224,4.224,4.8,4.8,4.608,26,103,<8;8;8;8;8;8;0;0>,<86983>
3087,169,100,100,3,12,3.98,4.378,4.378,4.975,4.975,4.776,27,103,<8;8;8;8;8;8;0;0>,<86983>
3088,172,100,100,3,12,4.12,4.532,4.532,5.15,5.15,4.944,28,103,<8;8;8;8;8;8;8;8>,<86983>
3089,175,100,100,3,12,4.26,4.686,4.686,5.325,5.325,5.112,29,103,<8;8;8;8;8;8;8;8>,<86983>
3090,178,100,100,3,12,4.4,4.84,4.84,5.72,5.72,5.28,30,103,<8;8;8;8;8;8;8;8>,<86983>
4001,100,100,100,1,,0.8,0.63,0.63,0.72,0.72,0.9,1,104,,<86984>
4002,101,100,100,1,,0.85,0.665,0.665,0.76,0.76,0.95,2,104,,<86984>
4003,102,100,100,1,,0.9,0.7,0.7,0.8,0.8,,3,104,,<86984>
4004,103,100,100,1,,0.95,0.735,0.735,0.84,0.84,1.05,4,104,,<86984>
4005,104,100,100,1,5,,0.77,0.77,0.88,0.88,1.1,5,104,,<86984>
4006,105,100,100,1,5,1.04,0.798,0.798,0.912,0.912,1.14,6,104,,<86984>
4007,106,100,100,1,5,1.08,0.826,0.826,0.944,0.944,1.18,7,104,,<86984>
4008,107,100,100,1,6,1.12,0.854,0.854,0.976,0.976,1.22,8,104,,<86984>
4009,108,100,100,1,6,1.16,0.882,0.882,1.008,1.008,1.26,9,104,,<86984>
4010,109,100,100,1,6,1.2,0.91,0.91,1.04,1.04,1.3,10,104,<8;0;0;0;0;0;0;0>,<86984>
4011,110,100,100,1,7,1.24,0.938,0.938,1.072,1.072,1.34,11,104,<8;0;0;0;0;0;0;0>,<86984>
4012,111,100,100,1,7,1.28,0.966,0.966,1.104,1.104,1.38,12,104,<8;0;0;0;0;0;0;0>,<86984>
4013,112,100,100,1,7,1.32,0.994,0.994,1.136,1.136,1.42,13,104,<8;0;0;0;0;0;0;0>,<86984>
