变量名,name,_beizhu,name_tw,name_en,name_vn,name_kr,showType,res,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,scale,type,probability,point,length,big,operateTimePointUp,award,bait,needLv,scene,randType,weight,crossFishingWeight,weightMin,weightMax,weekMax,priority,maxWinTimes,overDeal,rare,speed,escape,randMove,deadTime,time,bookId,competitionSpeed,competitionEscape,competitionRandMove
2002,Strange treasure chest,奇怪的宝箱-随机,奇怪的寶箱,Strange treasure chest,,??? ?? ??,,city/adventure/fishing/box_22_1.png,config/item/box/box_22_1.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,?? ??? ?? ?? ?? ? ??.,2,3,1,500,,,,{gold=50000;libs=<632;632>},,,<1;2;3>,,10,,,,,,,,1,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
2003,Strange treasure chest,奇怪的宝箱-随机,奇怪的寶箱,Strange treasure chest,,??? ?? ??,,city/adventure/fishing/box_22_2.png,config/item/box/box_22_2.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,?? ??? ?? ?? ?? ? ??.,2,3,1,500,,,,{gold=100000;rmb=20;libs=<633;633>},,,<1;2;3>,,5,,,,,,,,2,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
2004,Strange treasure chest,奇怪的宝箱-权值200次左右,奇怪的寶箱,Strange treasure chest,,??? ?? ??,,city/adventure/fishing/box_22_3.png,config/item/box/box_22_3.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,?? ??? ?? ?? ?? ? ??.,2,3,1,500,,,,{gold=200000;rmb=50;libs=<633;633;633;633>},,,<1;2;3>,2,-1,,0.001,0.009,2,1,,3,1,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Strange treasure chest,奇怪的宝箱-大量金币-40次出-1次性,奇怪的寶箱,Strange treasure chest,,??? ?? ??,,city/adventure/fishing/box_22_3.png,config/item/box/box_22_3.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,?? ??? ?? ?? ?? ? ??.,2,3,1,500,,,,{gold=1000000},,,<1;2;3>,2,,,0,0.05,3,1,1,3,3,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
2011,Strange treasure chest,奇怪的宝箱-大量钻石-80次出-1次性,奇怪的寶箱,Strange treasure chest,,??? ?? ??,,city/adventure/fishing/box_22_3.png,config/item/box/box_22_3.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,?? ??? ?? ?? ?? ? ??.,2,3,1,500,,,,{rmb=200},,,<1;2;3>,2,,,0,0.025,3,1,1,3,3,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,Bait treasure chest,奇怪的宝箱-随机,魚餌寶箱,Bait treasure chest,,?? ?? ??,,city/adventure/fishing/box_22_2.png,config/item/box/box_22_2.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,?? ??? ?? ?? ?? ? ??.,2,3,1,500,,,,{7112=1},,,<2;3>,,15,,,,,,,,2,13,10,<15;18>,1,<5;10>,0,13,11,<21;34>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,Kyogre,大赛专用标记鱼,蓋歐卡,Kyogre,404404,????,,config/big_hero/standby/img_382_gok@.png,config/portrait/jinglingtouxiang/img_382_gok@.png,"King of the ocean, only appear in fishing competition",海洋的王者，只會在釣魚大賽中出現。,"King of the ocean, only appear in fishing competition",,??? ?. ?? ????? ????.,2,,0.5,1000,<400;500>,480,<<3;9;0.5>;<9;12;0.2>;<12;20;0.1>>,{21961=1},,,<999>,2,8,,0.05,0.1,4,999,,4,3,8,4,<30;60>,,<15;20>,1,7,5,<43;69>
