变量名,randomBelongID,weight,needExplorationPoint,awards
2005,2001,,1500,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;100;1>;<8508;100;1>;<8509;0;1>;<8510;0;1>;<8511;0;1>;<8512;0;1>;<8513;0;1>;<8514;0;1>>
2006,2001,,3000,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;100;1>;<8508;100;1>;<8509;0;1>;<8510;0;1>;<8511;0;1>;<8512;0;1>;<8513;0;1>;<8514;0;1>>
2007,2001,,5000,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;100;1>;<8508;100;1>;<8509;0;1>;<8510;0;1>;<8511;0;1>;<8512;0;1>;<8513;0;1>;<8514;0;1>>
2101,2101,90,,<<8301;100;1>;<8302;100;1>;<8303;100;1>;<8304;100;1>;<8305;100;1>;<8306;100;1>;<8307;100;1>;<8308;100;1>;<8309;100;1>;<8310;100;1>;<8311;100;1>;<8312;100;1>;<8313;100;1>;<8314;100;1>;<8315;100;1>;<8316;100;1>;<8317;100;1>;<8318;100;1>;<8319;100;1>;<8320;100;1>;<8321;100;1>;<8322;100;1>;<8323;100;1>;<8324;100;1>;<8325;100;1>;<8326;100;1>;<8327;100;1>;<8328;100;1>;<8329;100;1>;<8330;100;1>;<8331;100;1>;<8332;100;1>;<8333;100;1>;<8334;100;1>;<8335;100;1>;<8336;100;1>;<8337;100;1>;<8338;100;1>;<8339;100;1>;<8340;100;1>;<8341;100;1>;<8342;100;1>;<8343;100;1>;<8344;100;1>>
2102,2101,10,,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;0;1>;<8422;0;1>;<8423;0;1>;<8424;0;1>;<8425;0;1>;<8426;100;1>;<8427;100;1>;<8428;100;1>;<8429;100;1>;<8430;100;1>;<8431;0;1>;<8432;0;1>;<8433;0;1>;<8434;0;1>;<8435;0;1>;<8436;0;1>;<8437;0;1>;<8438;0;1>;<8439;0;1>;<8440;0;1>>
2103,2101,,200,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;0;1>;<8422;0;1>;<8423;0;1>;<8424;0;1>;<8425;0;1>;<8426;100;1>;<8427;100;1>;<8428;100;1>;<8429;100;1>;<8430;100;1>;<8431;0;1>;<8432;0;1>;<8433;0;1>;<8434;0;1>;<8435;0;1>;<8436;0;1>;<8437;0;1>;<8438;0;1>;<8439;0;1>;<8440;0;1>>
2104,2101,,700,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;0;1>;<8422;0;1>;<8423;0;1>;<8424;0;1>;<8425;0;1>;<8426;100;1>;<8427;100;1>;<8428;100;1>;<8429;100;1>;<8430;100;1>;<8431;0;1>;<8432;0;1>;<8433;0;1>;<8434;0;1>;<8435;0;1>;<8436;0;1>;<8437;0;1>;<8438;0;1>;<8439;0;1>;<8440;0;1>>
2105,2101,,1500,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;0;1>;<8508;0;1>;<8509;100;1>;<8510;100;1>;<8511;0;1>;<8512;0;1>;<8513;0;1>;<8514;0;1>>
2106,2101,,3000,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;0;1>;<8508;0;1>;<8509;100;1>;<8510;100;1>;<8511;0;1>;<8512;0;1>;<8513;0;1>;<8514;0;1>>
2107,2101,,5000,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;0;1>;<8508;0;1>;<8509;100;1>;<8510;100;1>;<8511;0;1>;<8512;0;1>;<8513;0;1>;<8514;0;1>>
2201,2201,90,,<<8301;100;1>;<8302;100;1>;<8303;100;1>;<8304;100;1>;<8305;100;1>;<8306;100;1>;<8307;100;1>;<8308;100;1>;<8309;100;1>;<8310;100;1>;<8311;100;1>;<8312;100;1>;<8313;100;1>;<8314;100;1>;<8315;100;1>;<8316;100;1>;<8317;100;1>;<8318;100;1>;<8319;100;1>;<8320;100;1>;<8321;100;1>;<8322;100;1>;<8323;100;1>;<8324;100;1>;<8325;100;1>;<8326;100;1>;<8327;100;1>;<8328;100;1>;<8329;100;1>;<8330;100;1>;<8331;100;1>;<8332;100;1>;<8333;100;1>;<8334;100;1>;<8335;100;1>;<8336;100;1>;<8337;100;1>;<8338;100;1>;<8339;100;1>;<8340;100;1>;<8341;100;1>;<8342;100;1>;<8343;100;1>;<8344;100;1>>
2202,2201,10,,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;0;1>;<8422;0;1>;<8423;0;1>;<8424;0;1>;<8425;0;1>;<8426;0;1>;<8427;0;1>;<8428;0;1>;<8429;0;1>;<8430;0;1>;<8431;100;1>;<8432;100;1>;<8433;100;1>;<8434;100;1>;<8435;100;1>;<8436;0;1>;<8437;0;1>;<8438;0;1>;<8439;0;1>;<8440;0;1>>
2203,2201,,200,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;0;1>;<8422;0;1>;<8423;0;1>;<8424;0;1>;<8425;0;1>;<8426;0;1>;<8427;0;1>;<8428;0;1>;<8429;0;1>;<8430;0;1>;<8431;100;1>;<8432;100;1>;<8433;100;1>;<8434;100;1>;<8435;100;1>;<8436;0;1>;<8437;0;1>;<8438;0;1>;<8439;0;1>;<8440;0;1>>
2204,2201,,700,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;0;1>;<8422;0;1>;<8423;0;1>;<8424;0;1>;<8425;0;1>;<8426;0;1>;<8427;0;1>;<8428;0;1>;<8429;0;1>;<8430;0;1>;<8431;100;1>;<8432;100;1>;<8433;100;1>;<8434;100;1>;<8435;100;1>;<8436;0;1>;<8437;0;1>;<8438;0;1>;<8439;0;1>;<8440;0;1>>
2205,2201,,1500,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;0;1>;<8508;0;1>;<8509;0;1>;<8510;0;1>;<8511;100;1>;<8512;100;1>;<8513;0;1>;<8514;0;1>>
2206,2201,,3000,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;0;1>;<8508;0;1>;<8509;0;1>;<8510;0;1>;<8511;100;1>;<8512;100;1>;<8513;0;1>;<8514;0;1>>
2207,2201,,5000,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;0;1>;<8508;0;1>;<8509;0;1>;<8510;0;1>;<8511;100;1>;<8512;100;1>;<8513;0;1>;<8514;0;1>>
2301,2301,90,,<<8301;100;1>;<8302;100;1>;<8303;100;1>;<8304;100;1>;<8305;100;1>;<8306;100;1>;<8307;100;1>;<8308;100;1>;<8309;100;1>;<8310;100;1>;<8311;100;1>;<8312;100;1>;<8313;100;1>;<8314;100;1>;<8315;100;1>;<8316;100;1>;<8317;100;1>;<8318;100;1>;<8319;100;1>;<8320;100;1>;<8321;100;1>;<8322;100;1>;<8323;100;1>;<8324;100;1>;<8325;100;1>;<8326;100;1>;<8327;100;1>;<8328;100;1>;<8329;100;1>;<8330;100;1>;<8331;100;1>;<8332;100;1>;<8333;100;1>;<8334;100;1>;<8335;100;1>;<8336;100;1>;<8337;100;1>;<8338;100;1>;<8339;100;1>;<8340;100;1>;<8341;100;1>;<8342;100;1>;<8343;100;1>;<8344;100;1>>
2302,2301,10,,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;0;1>;<8422;0;1>;<8423;0;1>;<8424;0;1>;<8425;0;1>;<8426;0;1>;<8427;0;1>;<8428;0;1>;<8429;0;1>;<8430;0;1>;<8431;0;1>;<8432;0;1>;<8433;0;1>;<8434;0;1>;<8435;0;1>;<8436;100;1>;<8437;100;1>;<8438;100;1>;<8439;100;1>;<8440;100;1>>
2303,2301,,200,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;0;1>;<8422;0;1>;<8423;0;1>;<8424;0;1>;<8425;0;1>;<8426;0;1>;<8427;0;1>;<8428;0;1>;<8429;0;1>;<8430;0;1>;<8431;0;1>;<8432;0;1>;<8433;0;1>;<8434;0;1>;<8435;0;1>;<8436;100;1>;<8437;100;1>;<8438;100;1>;<8439;100;1>;<8440;100;1>>
2304,2301,,700,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;0;1>;<8422;0;1>;<8423;0;1>;<8424;0;1>;<8425;0;1>;<8426;0;1>;<8427;0;1>;<8428;0;1>;<8429;0;1>;<8430;0;1>;<8431;0;1>;<8432;0;1>;<8433;0;1>;<8434;0;1>;<8435;0;1>;<8436;100;1>;<8437;100;1>;<8438;100;1>;<8439;100;1>;<8440;100;1>>
2305,2301,,1500,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;0;1>;<8508;0;1>;<8509;0;1>;<8510;0;1>;<8511;0;1>;<8512;0;1>;<8513;100;1>;<8514;100;1>>
2306,2301,,3000,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;0;1>;<8508;0;1>;<8509;0;1>;<8510;0;1>;<8511;0;1>;<8512;0;1>;<8513;100;1>;<8514;100;1>>
2307,2301,,5000,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;0;1>;<8508;0;1>;<8509;0;1>;<8510;0;1>;<8511;0;1>;<8512;0;1>;<8513;100;1>;<8514;100;1>>
