变量名,type,targetType,targetType2,targetArg,targetArg2,yyID,point,award,isShow,sort,title,desc,jumpTo,languages
2125,2,15,1509,60,9,,30,{14=5;rmb=50},FALSE,7,Ground-type Collector,Collect 60 ground Pokémon,handbook,
2126,2,15,1510,40,10,,30,{14=5;rmb=30},FALSE,6,Flying-type Collector,Collect 40 flying Pokémon,handbook,
2127,2,15,1510,60,10,,30,{14=5;rmb=50},FALSE,7,Flying-type Collector,Collection of 60 flying Pokémon,handbook,
2128,2,15,1510,80,10,,30,{14=5;rmb=50},FALSE,8,Flying-type Collector,Collection of 80 flying Pokémon,handbook,
2129,2,15,1511,40,11,,30,{14=5;rmb=30},FALSE,6,Psychic-type Collector,Collect 40 super Pokémon,handbook,
2130,2,15,1511,60,11,,30,{14=5;rmb=50},FALSE,7,Psychic-type Collector,Collect 60 super Pokémon,handbook,
2131,2,15,1511,80,11,,30,{14=5;rmb=50},FALSE,8,Psychic-type Collector,Collect 80 super Pokémon,handbook,
2132,2,15,1512,40,12,,30,{14=5;rmb=30},FALSE,6,Bug-type Collector,Collect 40 bugs,handbook,
2133,2,15,1513,40,13,,30,{14=5;rmb=30},FALSE,6,Stone-type Collector,Collect 40 Rock Pokémon,handbook,
2134,2,15,1513,60,13,,30,{14=5;rmb=50},FALSE,7,Stone-type Collector,Collect 60 Rock Pokémon,handbook,
2135,2,15,1514,50,14,,30,{14=5;rmb=50},FALSE,6,Ghost-type Collector,Collect 50 ghost Pokémon,handbook,
2136,2,15,1515,50,15,,30,{14=5;rmb=50},FALSE,6,Dragon-type Collector,Collect 50 dragon Pokémon,handbook,
2137,2,15,1516,50,16,,30,{14=5;rmb=50},FALSE,6,Dark-type Collector,Collect 50 evil spirits,handbook,
2138,2,15,1517,50,17,,30,{14=5;rmb=50},FALSE,6,Steel-type Collector,Collect 50 Steel Pokémon,handbook,
2139,2,15,1518,50,18,,30,{14=5;rmb=50},FALSE,6,Fairy-type Collector,Collect 50 fairy Pokémon,handbook,
3001,3,16,16,6,30,,20,{5000=20;rmb=30},,,Pokémon level,Attain level 6 for any 30 Pokémons,strengthen-1,
3002,3,16,16,10,30,,30,{5000=25;rmb=30},,2,Pokémon level,Attain level 10 for any 30 Pokémons,strengthen-1,
3003,3,16,16,6,50,,20,{5000=30;rmb=30},,3,Pokémon level,Attain level 6 for any 50 Pokémons,strengthen-1,
3004,3,16,16,10,50,,30,{5000=30;rmb=30},,4,Pokémon level,Attain level 10 for any 50 Pokémons,strengthen-1,
3005,3,16,16,6,65,,30,{5000=35;rmb=50},,5,Pokémon level,Attain level 6 for any 65 Pokémons,strengthen-1,
3006,3,16,16,10,65,,50,{5000=35;rmb=50},,6,Pokémon level,Attain level 10 for any 65 Pokémons,strengthen-1,
3007,3,16,16,6,80,,30,{5000=40;rmb=50},,7,Pokémon level,Attain level 6 for any 80 Pokémons,strengthen-1,
3008,3,16,16,10,80,,50,{5000=50;rmb=50},,8,Pokémon level,Attain level 10 for any 80 Pokémons,strengthen-1,
3009,3,16,16,6,100,,30,{5000=50;rmb=100},,9,Pokémon level,Attain level 6 for any 100 Pokémons,strengthen-1,
3010,3,16,16,10,100,,50,{5000=50;rmb=100},,10,Pokémon level,Attain level 10 for any 100 Pokémons,strengthen-1,
3011,3,17,17,6,5,,10,{5000=10;rmb=20},,,Pokémon Breakthrough,Any 6 Pokémons reach Rare grade,strengthen-1,
3012,3,17,17,10,5,,10,{5000=20;rmb=20},,2,Pokémon Breakthrough,Any 10 Pokémons reach Rare grade,strengthen-1,
3013,3,17,17,6,9,,15,{5000=15;rmb=30},,3,Pokémon Breakthrough,Any 6 Pokémons reach Epic,strengthen-1,
3014,3,17,17,10,9,,20,{5000=30;rmb=30},,4,Pokémon Breakthrough,Any 10 Pokémons reach Epic,strengthen-1,
3015,3,17,17,6,14,,30,{5000=30;rmb=50},,5,Pokémon Breakthrough,Obtain 6 Legendary Pokémons,strengthen-1,
3016,3,17,17,10,14,,30,{5000=50;rmb=50},,6,Pokémon Breakthrough,Obtain 10 Legendary Pokémons,strengthen-1,
3017,3,18,18,6,4,,15,{502=3;rmb=20},,,Pokémon star level,Attain 4-star for any 6 Pokémons,strengthen-1,
3018,3,18,18,10,4,,20,{502=5;rmb=20},,2,Pokémon star level,Attain 4-star for any 10 Pokémons,strengthen-1,
3019,3,18,18,6,5,,15,{502=3;rmb=30},,3,Pokémon star level,Attain 5-star for any 6 Pokémons,strengthen-1,
3020,3,18,18,10,5,,20,{502=5;rmb=30},,4,Pokémon star level,Attain 5-star for any 10 Pokémons,strengthen-1,
3021,3,18,18,6,7,,15,{502=5;rmb=50},,5,Pokémon star level,Attain 7-star for any 6 Pokémons,strengthen-1,
3022,3,18,18,10,7,,20,{502=5;rmb=50},,6,Pokémon star level,Attain 7-star for any 10 Pokémons,strengthen-1,
3023,3,18,18,6,9,,20,{502=5;rmb=50},,7,Pokémon star level,Attain 9-star for any 6 Pokémons,strengthen-1,
3024,3,18,18,10,9,,30,{502=5;rmb=50},,8,Pokémon star level,Attain 9-star for any 10 Pokémons,strengthen-1,
3025,3,18,18,6,10,,20,{502=5;rmb=80},,9,Pokémon star level,Attain 10-star for any 6 Pokémons,strengthen-1,
3026,3,18,18,10,10,,30,{502=5;rmb=80},,10,Pokémon star level,Attain 10-star for any 10 Pokémons,strengthen-1,
3027,3,18,999,1,12,,30,{2502=1;rmb=100},,,Pokémon star level,Attain 12-star for any 1 Pokémons,strengthen-1,
3028,3,18,999,6,12,,30,{2503=1;rmb=100},,2,Pokémon star level,Attain 12-star for any 6 Pokémons,strengthen-1,
3029,3,18,999,20,12,,50,{2504=1;rmb=200},,3,Pokémon star level,Attain 12-star for any 20 Pokémons,strengthen-1,
3030,3,19,19,100,,,10,{451=50;rmb=20},,,Normal Effort Value,Make any Pokémon undergo Normal Training for 100 times,strengthen-1,
3031,3,19,19,500,,,10,{451=50;rmb=30},,2,Normal Effort Value,Make any Pokémon undergo Normal Training for 500 times,strengthen-1,
3032,3,19,19,1000,,,10,{451=50;rmb=50},,3,Normal Effort Value,Make any Pokémon undergo Normal Training for 1000 times,strengthen-1,
3033,3,20,20,100,,,10,{452=50;rmb=20},,,Advanced Effort Value,Make any Pokémon undergo Advanced Training for 100 times,strengthen-1,
3034,3,20,20,500,,,10,{452=50;rmb=30},,2,Advanced Effort Value,Make any Pokémon undergo Advanced Training for 500 times,strengthen-1,
3035,3,20,20,1000,,,10,{452=50;rmb=50},,3,Advanced Effort Value,Make any Pokémon undergo Advanced Training for 1000 times,strengthen-1,
3036,3,21,21,12,5,,10,{100=5;rmb=20},,,Accessories Strengthen,Any 12 Pokémons reach Rare grade,strengthen-1,
3037,3,21,21,24,5,,10,{100=5;rmb=20},,2,Accessories Strengthen,Any 24 Pokémons reach Rare grade,strengthen-1,
3038,3,21,21,12,9,,15,{100=5;rmb=30},,3,Accessories Strengthen,Any 12 Pokémon trinket reaches Epic,strengthen-1,
3039,3,21,21,24,9,,20,{100=5;rmb=30},,4,Accessories Strengthen,Any 24 Pokémon trinket reaches Epic,strengthen-1,
3040,3,21,21,12,14,,30,{100=5;rmb=50},,5,Accessories Strengthen,Trinkets of any 12 Pokémons reach Legendary grade,strengthen-1,
3041,3,21,21,24,14,,30,{100=5;rmb=50},,6,Accessories Strengthen,Trinkets of any 24 Pokémons reach Legendary grade,strengthen-1,
3042,3,22,22,4,1,,15,{503=2;rmb=30},,,Trinket Awakening,Owns 4 level 1 Awakening Trinket by any Pokémon,strengthen-1,
3043,3,22,22,4,2,,15,{503=2;rmb=30},,2,Trinket Awakening,Owns 4 level 2 Awakening Trinket by any Pokémon,strengthen-1,
3044,3,22,22,4,3,,20,{503=3;rmb=50},,3,Trinket Awakening,Owns 4 level 3 Awakening Trinket by any Pokémon,strengthen-1,
3045,3,22,22,4,4,,20,{503=3;rmb=50},,4,Trinket Awakening,Owns 4 level 4 Awakening Trinket by any Pokémon,strengthen-1,
3046,3,22,22,4,5,,30,{2505=1;rmb=50},,5,Trinket Awakening,Owns 4 level 5 Awakening Trinket by any Pokémon,strengthen-1,
3047,3,23,23,6,1,,15,{2102=5;rmb=20},,,Held Items Level,Own 6 Held Items of level 1,strengthen-1,
3048,3,23,23,6,5,,15,{2102=5;rmb=20},,2,Held Items Level,Own 6 Held Items of level 5,strengthen-1,
3049,3,23,23,6,10,,20,{2102=5;rmb=20},,3,Held Items Level,Own 6 Held Items of level 10,strengthen-1,
3050,3,23,23,6,20,,20,{2102=10;rmb=30},,4,Held Items Level,Own 6 Held Items of level 20,strengthen-1,
3051,3,23,23,6,30,,30,{2102=10;rmb=30},,5,Held Items Level,Own 6 Held Items of level 30,strengthen-1,
3052,3,24,24,1,3,,10,{2102=10;rmb=20},,,Held Items Quality,Own 1 Rare Held Item,strengthen-1,
3053,3,24,24,1,4,,30,{2102=10;rmb=50},,2,Held Items Quality,Own 1 Epic Held Item,strengthen-1,
3054,3,24,24,1,5,,50,{2506=1;rmb=100},,3,Held Items Quality,Own 1 Legendary Held Item,strengthen-1,
3055,3,25,25,6,50,,15,{602=5;rmb=50},,,Is attracted,Attain 6 Friendship level for 50 Pokémons,strengthen-1,
3056,3,25,25,6,150,,50,{602=5;rmb=50},,2,I like you,Attain 6 Friendship level for 150 Pokémons,strengthen-1,
3057,3,25,25,6,300,,50,{602=5;rmb=50},,3,Loving heart,Attain 6 Friendship level for 300 Pokémons,strengthen-1,
4001,4,26,26,200,,,15,{gold=20000;rmb=30},,,Level challenge,Challenge Story levels 200 times,10000,
4002,4,26,26,500,,,20,{gold=20000;rmb=30},,2,Level challenge,Challenge Story Levels 500 times,10000,
4003,4,26,26,1000,,,20,{gold=20000;rmb=30},,3,Level challenge,Challenge Story Levels 1000 times,10000,
4004,4,26,26,2000,,,30,{gold=20000;rmb=30},,4,Level challenge,Challenge Story Levels 2000 times,10000,
4005,4,26,26,5000,,,30,{gold=20000;rmb=30},,5,Level challenge,Challenge Story Levels 5000 times,10000,
4006,4,26,26,10000,,,50,{2002=1;gold=20000;rmb=50},,6,Level challenge,Challenge Story Levels 10000 times,10000,
4007,4,29,29,200,,,15,{gold=20000;rmb=30},,,Elite Stage,Challenge Hard Levels 200 times,20000,
4008,4,29,29,500,,,20,{gold=20000;rmb=30},,2,Elite Stage,Challenge Hard Levels 500 times,20000,
4009,4,29,29,1000,,,20,{gold=20000;rmb=30},,3,Elite Stage,Challenge Hard Levels 1000 times,20000,
4010,4,29,29,2000,,,30,{gold=20000;rmb=30},,4,Elite Stage,Challenge Hard Levels 2000 times,20000,
4011,4,29,29,5000,,,30,{gold=20000;rmb=30},,5,Elite Stage,Challenge Hard Levels 5000 times,20000,
4012,4,29,29,10000,,,50,{gold=20000;rmb=50},,6,Elite Stage,Challenge Hard Levels 10000 times,20000,
4013,4,32,32,100,,,15,{gold=20000;rmb=50},,,Coin dungeon,Clear any difficulty modes of the Coin Dungeon for 100 times,activityGate,
4014,4,32,32,500,,,20,{gold=20000;rmb=50},,2,Coin dungeon,Clear any difficulty modes of the Coin Dungeon for 500 times,activityGate,
4015,4,32,32,1000,,,30,{gold=20000;rmb=50},,3,Coin dungeon,Clear any difficulty modes of the Coin Dungeon for 1000 times,activityGate,
4016,4,33,33,100,,,15,{gold=20000;rmb=50},,,EXP Dungeon,Clear any difficulty modes of the EXP Dungeon for 100 times,activityGate,
4017,4,33,33,500,,,20,{gold=20000;rmb=50},,2,EXP Dungeon,Clear any difficulty modes of the EXP Dungeon for 500 times,activityGate,
4018,4,33,33,1000,,,30,{gold=20000;rmb=50},,3,EXP Dungeon,Clear any difficulty modes of the EXP Dungeon for 1000 times,activityGate,
4019,4,34,34,100,,,15,{gold=20000;rmb=50},,,Gift Dungeon,Clear any difficulty modes of the Gift  Dungeon for 100 times,activityGate,
4020,4,34,34,500,,,20,{gold=20000;rmb=50},,2,Gift Dungeon,Clear any difficulty modes of the Gift  Dungeon for 500 times,activityGate,
4021,4,34,34,1000,,,30,{gold=20000;rmb=50},,3,Gift Dungeon,Clear any difficulty modes of the Gift  Dungeon for 1000 times,activityGate,
4022,4,35,35,100,,,15,{gold=20000;rmb=50},,,Shard Dungeon,Challenge Shard Dungeon of any difficulty 100 times,activityGate,
4023,4,35,35,500,,,20,{gold=20000;rmb=50},,2,Shard Dungeon,Challenge Shard Dungeon of any difficulty 500 times,activityGate,
4024,4,35,35,1000,,,30,{gold=20000;rmb=50},,3,Shard Dungeon,Challenge Shard Dungeon of any difficulty 1000 times,activityGate,
4025,4,40,40,1,100020,,20,{gold=20000;rmb=30},,,Adventure Road,Clear Adventure Road level 20,endlessTower,
4026,4,40,40,1,100040,,20,{gold=20000;rmb=50},,2,Adventure Road,Clear Adventure Road level 40,endlessTower,
4027,4,40,40,1,100060,,30,{gold=20000;rmb=50},,3,Adventure Road,Clear Adventure Road level 60,endlessTower,
4028,4,40,40,1,100080,,30,{gold=20000;rmb=100},,4,Adventure Road,Clear Adventure Road level 80,endlessTower,
4029,4,40,40,1,100100,,50,{2507=1;rmb=100},,5,Adventure Road,Clear Adventure Road level 100,endlessTower,
4030,4,40,40,1,100110,,50,{gold=20000;rmb=100},,6,Adventure Road,Clear Adventure Road level 110,endlessTower,
4031,4,40,40,1,100120,,50,{gold=20000;rmb=150},,7,Adventure Road,Clear Adventure Road level 120,endlessTower,
4032,4,40,40,1,100130,,50,{gold=20000;rmb=150},,8,Adventure Road,Clear Adventure Road level 130,endlessTower,
4033,4,40,40,1,100140,,50,{gold=20000;rmb=200},,9,Adventure Road,Clear Adventure Road level 140,endlessTower,
4034,4,40,40,1,100150,,50,{2508=1;rmb=200},,10,Adventure Road,Clear Adventure Road level 150,endlessTower,
4035,4,44,44,10,,,10,{gold=20000;rmb=50},,,S Dispatch Quest,Complete S Dispatch Mission 10 times,dispatchTask,
4036,4,44,44,20,,,15,{gold=20000;rmb=50},,2,S Dispatch Quest,Complete S Dispatch Mission 20 times,dispatchTask,
4037,4,44,44,50,,,20,{gold=20000;rmb=50},,3,S Dispatch Quest,Complete S Dispatch Mission 50 times,dispatchTask,
4038,4,44,44,100,,,30,{gold=20000;rmb=50},,4,S Dispatch Quest,Complete S Dispatch Mission 100 times,dispatchTask,
4039,4,44,44,500,,,40,{gold=20000;rmb=100},,5,S Dispatch Quest,Complete S Dispatch Mission 500 times,dispatchTask,
4040,4,45,45,10,,,20,{gold=20000;rmb=50},,,S+ Dispatch Quest,Complete S+ Dispatch Mission 10 times,dispatchTask,
4041,4,45,45,20,,,25,{gold=20000;rmb=50},,2,S+ Dispatch Quest,Complete S+ Dispatch Mission 20 times,dispatchTask,
4042,4,45,45,50,,,30,{gold=20000;rmb=50},,3,S+ Dispatch Quest,Complete S+ Dispatch Mission 50 times,dispatchTask,
4043,4,45,45,100,,,40,{gold=20000;rmb=50},,4,S+ Dispatch Quest,Complete S+ Dispatch Mission 100 times,dispatchTask,
4044,4,45,45,500,,,50,{gold=20000;rmb=100},,5,S+ Dispatch Quest,Complete S+ Dispatch Mission 500 times,dispatchTask,
4045,4,40,40,1,100160,,20,{gold=20000;rmb=200},,11,Adventure Road,Clear Adventure Road level 160,endlessTower,
4046,4,40,40,1,100170,,20,{gold=20000;rmb=200},,12,Adventure Road,Clear Adventure Road level 170,endlessTower,
4047,4,40,40,1,100180,,20,{gold=20000;rmb=200},,13,Adventure Road,Clear Adventure Road level 180,endlessTower,
4048,4,40,40,1,100190,,20,{gold=20000;rmb=200},,14,Adventure Road,Clear Adventure Road level 190,endlessTower,
4049,4,40,40,1,100200,,50,{2516=1;rmb=200},,15,Adventure Road,Clear Adventure Road level 200,endlessTower,
4050,4,40,40,1,100210,,20,{gold=20000;rmb=200},,16,Adventure Road,Clear Adventure Road level 210,endlessTower,
4051,4,40,40,1,100220,,20,{gold=20000;rmb=200},,17,Adventure Road,Clear Adventure Road level 220,endlessTower,
4052,4,40,40,1,100230,,20,{gold=20000;rmb=200},,18,Adventure Road,Clear Adventure Road level 230,endlessTower,
4053,4,40,40,1,100240,,20,{gold=20000;rmb=200},,19,Adventure Road,Clear Adventure Road level 240,endlessTower,
4054,4,40,40,1,100250,,50,{gold=20000;rmb=200},,20,Adventure Road,Clear Adventure Road level 250,endlessTower,
4055,4,40,40,1,100260,,20,{gold=20000;rmb=200},,21,Adventure Road,Clear Adventure Road level 260,endlessTower,
4056,4,40,40,1,100270,,20,{gold=20000;rmb=200},,22,Adventure Road,Clear Adventure Road level 270,endlessTower,
4057,4,40,40,1,100280,,20,{gold=20000;rmb=200},,23,Adventure Road,Clear Adventure Road level 280,endlessTower,
4058,4,40,40,1,100290,,20,{gold=20000;rmb=200},,24,Adventure Road,Clear Adventure Road level 290,endlessTower,
4059,4,40,40,1,100300,,50,{2517=1;rmb=200},,25,Adventure Road,Clear Adventure Road level 300,endlessTower,
4060,4,40,40,1,100310,,30,{gold=20000;rmb=300},,26,Adventure Road,Clear Adventure Road level 310,endlessTower,
4061,4,40,40,1,100320,,30,{gold=20000;rmb=300},,27,Adventure Road,Clear Adventure Road level 320,endlessTower,
4062,4,40,40,1,100330,,30,{gold=20000;rmb=300},,28,Adventure Road,Clear Adventure Road level 330,endlessTower,
4063,4,40,40,1,100340,,30,{gold=20000;rmb=300},,29,Adventure Road,Clear Adventure Road level 340,endlessTower,
4064,4,40,40,1,100350,,50,{2524=1;rmb=300},,30,Adventure Road,Clear Adventure Road level 350,endlessTower,
4065,4,40,40,1,100360,,30,{gold=20000;rmb=300},,31,Adventure Road,Clear Adventure Road level 360,endlessTower,
4066,4,40,40,1,100370,,30,{gold=20000;rmb=300},,32,Adventure Road,Clear Adventure Road level 370,endlessTower,
4067,4,40,40,1,100380,,30,{gold=20000;rmb=300},,33,Adventure Road,Clear Adventure Road level 380,endlessTower,
4068,4,40,40,1,100390,,30,{gold=20000;rmb=300},,34,Adventure Road,Clear Adventure Road level 390,endlessTower,
4069,4,40,40,1,100400,,50,{2525=1;rmb=300},,35,Adventure Road,Clear Adventure Road level 400,endlessTower,
4081,4,102,102,100,,,15,{gold=20000;rmb=50},,,契约副本,契约副本任意难度累积通关100次,,<cn;kr;tw;en;en_us;en_eu>
4082,4,102,102,500,,,20,{gold=20000;rmb=50},,2,契约副本,契约副本任意难度累积通关500次,,<cn;kr;tw;en;en_us;en_eu>
4083,4,102,102,1000,,,30,{gold=20000;rmb=50},,3,契约副本,契约副本任意难度累积通关1000次,,<cn;kr;tw;en;en_us;en_eu>
4100,4,79,7901,1,,,10,{2518=1;rmb=20},,,First fish,Successfully caught a fish,,<cn;kr;tw;en;en_us;en_eu>
4101,4,79,7902,200,,,50,{gold=20000;rmb=200},FALSE,,200 fish,Cumulatively successfully caught 200 fish,,<cn;kr;tw;en;en_us;en_eu>
4102,4,79,7903,1,2,,30,{2522=1;rmb=50},,,The old man and the sea,Successfully caught an Pokemon,,<cn;kr;tw;en;en_us;en_eu>
4103,4,79,7904,100,3,,50,{gold=20000;rmb=200},,,Lost bait,Catch an old bag or strange treasure chest 100 times,,<cn;kr;tw;en;en_us;en_eu>
4104,4,78,7801,1,1031,,50,{gold=20000;rmb=100},FALSE,,Catch a tyrannosaurus,Successfully caught a tyrannosaurus Pokemon,,<cn;kr;tw;en;en_us;en_eu>
4105,4,78,7802,1,1041,,50,{gold=20000;rmb=100},FALSE,,Catch a leaping fish,Successfully caught a water leaping fish Pokemon,,<cn;kr;tw;en;en_us;en_eu>
4106,4,78,7803,1,101,,20,{gold=20000;rmb=30},FALSE,,Catch a shellless sea hare,Successfully caught shellless sea hare,,<cn;kr;tw;en;en_us;en_eu>
4107,4,78,7804,1,102,,20,{gold=20000;rmb=30},FALSE,,Catch a small ball flying fish,Successfully caught small ball flying fish,,<cn;kr;tw;en;en_us;en_eu>
4108,4,78,7805,1,103,,20,{gold=20000;rmb=30},FALSE,,Catch a wild bass,Successfully caught wild bass,,<cn;kr;tw;en;en_us;en_eu>
4109,4,78,7806,1,104,,20,{gold=20000;rmb=30},FALSE,,Catch a spider,Successfully caught the drip spider,,<cn;kr;tw;en;en_us;en_eu>
4110,4,78,7807,1,105,,20,{gold=20000;rmb=30},FALSE,,Catch the gem starfish,Successfully caught the gem starfish,,<cn;kr;tw;en;en_us;en_eu>
4111,4,78,7808,1,201,,30,{gold=20000;rmb=50},FALSE,,Catch a roaring whale,Successfully caught roaring whale,,<cn;kr;tw;en;en_us;en_eu>
4112,4,78,7809,1,202,,30,{gold=20000;rmb=50},FALSE,,Catch the Ancient Airacantha,Successfully caught the ancient airacanthopus,,<cn;kr;tw;en;en_us;en_eu>
4113,4,78,7810,1,203,,30,{gold=20000;rmb=50},FALSE,,Catch the Catfish King,Successfully caught the catfish king,,<cn;kr;tw;en;en_us;en_eu>
4114,4,78,7811,1,204,,30,{gold=20000;rmb=50},FALSE,,Catch the gill fish,Successfully caught gill fish,,<cn;kr;tw;en;en_us;en_eu>
4115,4,80,80,8,,,50,{2519=1;rmb=50},,,Fishing master,Reach level 8 in fishing,,<cn;kr;tw;en;en_us;en_eu>
4116,4,80,80,13,,,50,{2520=1;rmb=100},,2,Fishing expert,Reach level 13 in fishing,,<cn;kr;tw;en;en_us;en_eu>
4117,4,80,80,17,,,50,{2521=1;rmb=200},,3,Master Fishing,Reach level 17 in fishing,,<cn;kr;tw;en;en_us;en_eu>
4118,4,78,7812,1,106,,20,{gold=20000;rmb=30},FALSE,,Catch the Horsea,Successfully caught Horsea,,<cn;kr;tw;en;en_us;en_eu>
4119,4,78,7813,1,107,,20,{gold=20000;rmb=30},FALSE,,Catch Lumineon,Successfully caught Lumineon,,<cn;kr;tw;en;en_us;en_eu>
4120,4,78,7814,1,205,,30,{gold=20000;rmb=50},FALSE,,Catch Tentacool,Successfully caught Tentacool,,<cn;kr;tw;en;en_us;en_eu>
4121,4,78,7815,1,206,,30,{gold=20000;rmb=50},FALSE,,Catch the Octillery,Successfully caught the Octillery,,<cn;kr;tw;en;en_us;en_eu>
4122,4,78,7816,1,9999,,50,{gold=20000;rmb=200},FALSE,2,"Catch ""Kyogre""","Successfully caught ""Kyogre"" in the fishing competition",,<cn;kr;tw;en;en_us;en_eu>
4123,4,89,89,1,,,50,{gold=20000;rmb=200},,,Clear the first round!,Successfully cleared all Gym dungeon (excluding the owner),,<cn;kr;tw;en;en_us;en_eu>
4124,4,89,89,4,,,50,{2523=1;rmb=350},,2,Gym Challenger,Successfully cleared all Gym dungeon in total 4 times(excluding the owner),,<cn;kr;tw;en;en_us;en_eu>
4125,4,106,106,1,200050,,50,{2529=1;rmb=200},,,深渊冒险之路,深渊冒险之路通关第50关,,<cn;kr;tw;en;en_us;en_eu>
4126,4,106,106,1,200100,,50,{2530=1;rmb=300},,2,深渊冒险之路,深渊冒险之路通关第100关,,<cn;kr;tw;en;en_us;en_eu>
5001,5,46,46,100,,,10,{coin1=400;rmb=30},,,Undefeated,Fight in the Arena 100 times,arena,
5002,5,46,46,200,,,15,{coin1=400;rmb=30},,2,Fearless Fighter,Fight in the Arena 200 times,arena,
5003,5,46,46,500,,,20,{coin1=600;rmb=50},,3,Arena Manic,Fight in the Arena 500 times,arena,
5004,5,46,46,1000,,,30,{coin1=600;rmb=50},,4,Informidable Fighter,Fight in the Arena 1000 times,arena,
5005,5,46,46,2000,,,50,{coin1=800;rmb=100},,5,Relentless Fighter,Fight in the Arena 2000 times,arena,
5006,5,46,46,5000,,,50,{2509=1;rmb=100},,6,Ending with a Battle,Fight in the Arena 5000 times,arena,
5007,5,47,47,5000,,,10,{coin1=400;rmb=30},,,Honor Coins,Own 5000honor coins,arena,
5008,5,47,47,10000,,,15,{coin1=400;rmb=30},,2,Honor Coins,Own 10000honor coins,arena,
5009,5,47,47,50000,,,20,{coin1=600;rmb=50},,3,Honor Coins,Own 50000honor coins,arena,
5010,5,47,47,100000,,,30,{coin1=600;rmb=50},,4,Honor Coins,Own 100000honor coins,arena,
5011,5,47,47,500000,,,50,{coin1=800;rmb=100},,5,Honor Coins,Own 500000honor coins,arena,
5012,5,49,49,10,,,10,{850=50;rmb=30},,,Indigo Plateau Conference,Sign up for Indigo Plateau Conference 10 times,craft,
5013,5,49,49,50,,,15,{850=50;rmb=50},,2,Indigo Plateau Conference,Sign up for Indigo Plateau Conference 50 times,craft,
5014,5,49,49,100,,,20,{850=100;rmb=50},,3,Indigo Plateau Conference,Sign up for Indigo Plateau Conference 100 times,craft,
5015,5,49,49,200,,,30,{850=150;rmb=100},,4,Indigo Plateau Conference,Sign up for Indigo Plateau Conference 200 times,craft,
5016,5,49,49,300,,,50,{850=200;rmb=150},,5,Indigo Plateau Conference,Sign up for Indigo Plateau Conference 300 times,craft,
5017,5,49,49,500,,,50,{850=300;rmb=200},,6,Indigo Plateau Conference,Sign up for Indigo Plateau Conference 500 times,craft,
5018,5,97,97,12,,,10,{coin15=2000;rmb=20},,,World Championship,Participate World Championship 12 times,crossSupremacy,<cn;kr;en;tw;en_us>
5019,5,97,97,36,,,30,{coin15=4000;rmb=50},,2,World Championship,Participate World Championship 36 times,crossSupremacy,<cn;kr;en;tw;en_us>
5020,5,97,97,120,,,50,{coin15=6000;rmb=100},,3,World Championship,Participate World Championship 120 times,crossSupremacy,<cn;kr;en;tw;en_us>
6001,6,51,51,10,,,10,{gold=20000;rmb=20},,,New friend,Have 10 friends,,
6002,6,51,51,30,,,20,{gold=20000;rmb=20},,2,Socialite,Have 30 friends,,
6003,6,51,51,60,,,30,{gold=20000;rmb=20},,3,Excellent Swimmer,Have 60 friends,,
6004,6,52,52,100,,,10,{gold=20000;rmb=30},,,Gift rose,Send energy 100 times,,
6005,6,52,52,500,,,15,{gold=20000;rmb=30},,2,Gift rose,Send energy 500 times,,
6006,6,52,52,1000,,,20,{gold=20000;rmb=30},,3,Gift rose,Send energy 1000 times,,
6007,6,52,52,2000,,,30,{gold=20000;rmb=30},,4,Gift rose,Send energy 2000 times,,
6008,6,52,52,5000,,,30,{2510=1;rmb=50},,5,Gift rose,Send energy 5000 times,,
6009,6,53,53,100,,,10,{gold=20000;rmb=30},,,Someone liked me,Receive Energy 100 times,,
6010,6,53,53,600,,,15,{gold=20000;rmb=30},,2,Someone liked me,Receive Energy 600 times,,
6011,6,53,53,1800,,,20,{gold=20000;rmb=30},,3,Someone liked me,Receive Energy 1800 times,,
6012,6,53,53,3600,,,30,{gold=20000;rmb=30},,4,Someone liked me,Receive Energy 3600 times,,
6013,6,53,53,7200,,,30,{gold=20000;rmb=30},,5,Someone liked me,Receive Energy 7200 times,,
6014,6,55,55,100,,,10,{gold=20000;rmb=50},,,Guild Assistant,Donate diamonds to guild for a total of 100 times,union,
6015,6,55,55,500,,,20,{gold=20000;rmb=50},,2,Guild Assistant,Donate diamonds to guild for a total of 500 times,union,
6016,6,55,55,1000,,,30,{gold=20000;rmb=100},,3,Guild Assistant,Donate diamonds to guild for a total of 1000 times,union,
6017,6,55,55,2000,,,30,{gold=20000;rmb=100},,4,Guild Assistant,Donate diamonds to guild for a total of 2000 times,union,
6018,6,57,57,20,,,20,{gold=20000;rmb=30},,2,Guild Diamond Red Packet,Claim Diamond Red Packet in the Guild for 20 times in total,union,
6019,6,57,57,50,,,30,{gold=20000;rmb=30},,3,Guild Diamond Red Packet,Claim Diamond Red Packet in the Guild for 50 times in total,union,
6020,6,57,57,100,,,30,{gold=20000;rmb=30},,4,Guild Diamond Red Packet,Claim Diamond Red Packet in the Guild for 100 times in total,union,
6021,6,57,57,200,,,50,{gold=20000;rmb=50},,5,Guild Diamond Red Packet,Claim Diamond Red Packet in the Guild for 200 times in total,union,
6022,6,57,57,500,,,50,{gold=20000;rmb=50},,6,Guild Diamond Red Packet,Claim Diamond Red Packet in the Guild for 500 times in total,union,
