变量名,desc6,desc9,desc5,desc10,desc4,desc3,desc2,desc8,desc1,desc11,desc7,version,vipLevel
215,每日可聚宝#C0xea7004#120#C0x473E37#次,每日探险器可寻宝#C0xea7004#90#C0x473E37#次,每日可购买体力#C0xea7004#14#C0x473E37#次,包含贵族13及以下所有特权内容,#C0xea7004#以太乐园战斗积分增加30%（无尽模式增加15%）,解锁#C0xea7004#日常任务-抽卡币,贵族14大礼包:#C0xea7004#神兽万能碎片和橙色探险器一套,精灵背包容量可购买#C0xea7004#100#C0x473E37#次,累计充值#C0xea7004#120000#C0x473E37#钻石即可享受以下特权:,,每日可重置精英关卡#C0xea7004#5#C0x473E37#次,2,14
216,每日可重置精英关卡#C0xea7004#5#C0x473E37#次,包含贵族14及以下所有特权内容,每日可聚宝#C0xea7004#150#C0x473E37#次,,每日可购买体力#C0xea7004#15#C0x473E37#次,解锁#C0xea7004#日常任务-橙色百变怪碎片,贵族15大礼包:#C0xea7004#神兽万能碎片和橙色携带道具,每日探险器可寻宝#C0xea7004#100#C0x473E37#次,累计充值#C0xea7004#200000#C0x473E37#钻石即可享受以下特权:,,精灵背包容量可购买#C0xea7004#110#C0x473E37#次,2,15
217,每日探险器可寻宝#C0xea7004#110#C0x473E37#次,,精灵背包容量可购买#C0xea7004#120#C0x473E37#次,,每日可聚宝#C0xea7004#180#C0x473E37#次,解锁#C0xea7004#日常任务-神兽碎片,贵族16大礼包:#C0xea7004#神兽多选1和橙色探险器一套,,累计充值#C0xea7004#300000#C0x473E37#钻石即可享受以下特权:,,包含贵族15及以下所有特权内容,2,16
218,每日探险器可寻宝#C0xea7004#120#C0x473E37#次,,精灵背包容量可购买#C0xea7004#130#C0x473E37#次,,每日可聚宝#C0xea7004#210#C0x473E37#次,解锁#C0xea7004#日常任务-高级Z觉醒碎片(70级解锁),贵族17大礼包:#C0xea7004#橙色携带道具多选1和橙色万能石,,累计充值#C0xea7004#500000#C0x473E37#钻石即可享受以下特权:,,包含贵族16及以下所有特权内容,2,17
219,每日探险器可寻宝#C0xea7004#130#C0x473E37#次,,精灵背包容量可购买#C0xea7004#150#C0x473E37#次,,每日可聚宝#C0xea7004#240#C0x473E37#次,解锁#C0xea7004#日常任务-神兽万能碎片,贵族18大礼包:#C0xea7004#神兽万能碎片和红色符石,,累计充值#C0xea7004#800000#C0x473E37#钻石即可享受以下特权:,,包含贵族17及以下所有特权内容,2,18
220,每日可聚宝#C0xea7004#270#C0x473E37#次,包含贵族18及以下所有特权内容,每日可购买体力#C0xea7004#16#C0x473E37#次,,#C0xea7004#以太乐园战斗积分增加35%（无尽模式增加15%）,解锁#C0xea7004#日常任务-限时抽卡券,至尊1大礼包:#C0xea7004#神兽万能碎片和神兽碎片选择宝箱,每日探险器可寻宝#C0xea7004#140#C0x473E37#次,累计充值#C0xea7004#1200000#C0x473E37#钻石即可享受以下特权:,,精灵背包容量可购买#C0xea7004#160#C0x473E37#次,2,19
221,每日可聚宝#C0xea7004#300#C0x473E37#次,包含至尊1及以下所有特权内容,每日可购买体力#C0xea7004#17#C0x473E37#次,,#C0xea7004#以太乐园战斗积分增加40%（无尽模式增加15%）,解锁#C0xea7004#日常任务-携带核心,至尊2大礼包:#C0xea7004#神兽万能碎片和携带道具,每日探险器可寻宝#C0xea7004#150#C0x473E37#次,累计充值#C0xea7004#2000000#C0x473E37#钻石即可享受以下特权:,,精灵背包容量可购买#C0xea7004#170#C0x473E37#次,2,20
301,精灵背包容量可购买#C0xea7004#15#C0x473E37#次,,每日可重置精英关卡#C0xea7004#1#C0x473E37#次,,每日可聚宝#C0xea7004#5#C0x473E37#次,每日可购买体力#C0xea7004#3#C0x473E37#次,贵族0免费大礼包:#C0xea7004#,,累计充值#C0xea7004#0#C0x473E37#钻石即可享受以下特权:,,每日探险器可寻宝#C0xea7004#10#C0x473E37#次,3,0
302,精灵背包容量可购买#C0xea7004#20#C0x473E37#次,,每日可重置精英关卡#C0xea7004#1#C0x473E37#次,,每日可聚宝#C0xea7004#10#C0x473E37#次,每日可购买体力#C0xea7004#4#C0x473E37#次,贵族1大礼包:#C0xea7004#突破礼包,,累计充值#C0xea7004#60#C0x473E37#钻石即可享受以下特权:,,每日探险器可寻宝#C0xea7004#15#C0x473E37#次,3,1
303,精灵背包容量可购买#C0xea7004#25#C0x473E37#次,,每日可重置精英关卡#C0xea7004#2#C0x473E37#次,,每日可聚宝#C0xea7004#15#C0x473E37#次,每日可购买体力#C0xea7004#5#C0x473E37#次,贵族2大礼包:#C0xea7004#甲贺忍蛙碎片和成长助力礼包,包含贵族1所有内容,累计充值#C0xea7004#300#C0x473E37#钻石即可享受以下特权:,,每日探险器可寻宝#C0xea7004#20#C0x473E37#次,3,2
304,每日可聚宝#C0xea7004#20#C0x473E37#次,每日探险器可寻宝#C0xea7004#25#C0x473E37#次,每日可购买体力#C0xea7004#6#C0x473E37#次,包含贵族2及以下所有特权内容,#C0xea7004#技能点回复时间降至1点/60s,解锁#C0xea7004#等级基金10倍返利,贵族3大礼包:#C0xea7004#甲贺忍蛙碎片和饰品升星道具,精灵背包容量可购买#C0xea7004#30#C0x473E37#次,累计充值#C0xea7004#600#C0x473E37#钻石即可享受以下特权:,,每日可重置精英关卡#C0xea7004#2#C0x473E37#次,3,3
305,每日可重置精英关卡#C0xea7004#2#C0x473E37#次,包含贵族3及以下所有特权内容,每日可聚宝#C0xea7004#25#C0x473E37#次,,每日可购买体力#C0xea7004#7#C0x473E37#次,解锁#C0xea7004#主线副本50次扫荡功能,贵族4大礼包:#C0xea7004#甲贺忍蛙碎片和甲贺忍蛙饰品觉醒道具,每日探险器可寻宝#C0xea7004#30#C0x473E37#次,累计充值#C0xea7004#1000#C0x473E37#钻石即可享受以下特权:,,精灵背包容量可购买#C0xea7004#35#C0x473E37#次,3,4
306,#C0xea7004#竞技场跳过战斗无冷却时间,每日可重置精英关卡#C0xea7004#3#C0x473E37#次,解锁#C0xea7004#日常任务-豪华返利,精灵背包容量可购买#C0xea7004#40#C0x473E37#次,解锁#C0xea7004#公会至尊捐献,#C0xea7004#竞技场战败积分同样+2,贵族5大礼包:#C0xea7004#火焰鸡和紫色万能石,每日可聚宝#C0xea7004#30#C0x473E37#次,累计充值#C0xea7004#2000#C0x473E37#钻石即可享受以下特权:,每日探险器可寻宝#C0xea7004#35#C0x473E37#次,每日可购买体力#C0xea7004#8#C0x473E37#次,3,5
307,每日可重置精英关卡#C0xea7004#3#C0x473E37#次,包含贵族5及以下所有特权内容,每日可聚宝#C0xea7004#35#C0x473E37#次,,#C0xea7004#以太乐园战斗积分增加10%（无尽模式增加5%）,每日可购买体力#C0xea7004#9#C0x473E37#次,贵族6大礼包:#C0xea7004#火焰鸡碎片和火焰鸡饰品觉醒道具,每日探险器可寻宝#C0xea7004#40#C0x473E37#次,累计充值#C0xea7004#3000#C0x473E37#钻石即可享受以下特权:,,精灵背包容量可购买#C0xea7004#45#C0x473E37#次,3,6
308,每日可重置精英关卡#C0xea7004#3#C0x473E37#次,包含贵族6及以下所有特权内容,每日可聚宝#C0xea7004#40#C0x473E37#次,,每日可购买体力#C0xea7004#10#C0x473E37#次,解锁#C0xea7004#日常任务-万能碎片,贵族7大礼包:#C0xea7004#神兽碎片选择宝箱 ，火焰鸡碎片，专属紫色携带道具和形象信物,每日探险器可寻宝#C0xea7004#45#C0x473E37#次,累计充值#C0xea7004#5000#C0x473E37#钻石即可享受以下特权:,,精灵背包容量可购买#C0xea7004#50#C0x473E37#次,3,7
309,每日可聚宝#C0xea7004#45#C0x473E37#次,每日探险器可寻宝#C0xea7004#50#C0x473E37#次,每日可购买体力#C0xea7004#11#C0x473E37#次,包含贵族7及以下所有特权内容,#C0xea7004#竞技场冷却时间降到1分钟,解锁#C0xea7004#日常任务-饰品钥匙,贵族8大礼包:#C0xea7004#普通万能碎片和火焰鸡饰品觉醒道具,精灵背包容量可购买#C0xea7004#55#C0x473E37#次,累计充值#C0xea7004#7000#C0x473E37#钻石即可享受以下特权:,,每日可重置精英关卡#C0xea7004#3#C0x473E37#次,3,8
310,每日可重置精英关卡#C0xea7004#3#C0x473E37#次,包含贵族8及以下所有特权内容,每日可聚宝#C0xea7004#50#C0x473E37#次,,每日可购买体力#C0xea7004#12#C0x473E37#次,#C0xea7004#技能点回复时间降至1点/5s,贵族9大礼包:#C0xea7004#普通万能碎片，一套紫色探险器和紫色万能石,每日探险器可寻宝#C0xea7004#55#C0x473E37#次,累计充值#C0xea7004#10000#C0x473E37#钻石即可享受以下特权:,,精灵背包容量可购买#C0xea7004#60#C0x473E37#次,3,9
311,每日可聚宝#C0xea7004#60#C0x473E37#次,每日探险器可寻宝#C0xea7004#60#C0x473E37#次,每日可重置冒险之路#C0xea7004#2#C0x473E37#次,包含贵族9及以下所有特权内容,每日可购买体力#C0xea7004#12#C0x473E37#次,解锁#C0xea7004#日常任务-天赋点,贵族10大礼包:#C0xea7004#神兽碎片选择宝箱和饰品觉醒选择箱子,精灵背包容量可购买#C0xea7004#65#C0x473E37#次,累计充值#C0xea7004#15000#C0x473E37#钻石即可享受以下特权:,,每日可重置精英关卡#C0xea7004#4#C0x473E37#次,3,10
312,每日可聚宝#C0xea7004#70#C0x473E37#次,每日探险器可寻宝#C0xea7004#65#C0x473E37#次,每日可购买体力#C0xea7004#13#C0x473E37#次,包含贵族10及以下所有特权内容,#C0xea7004#可接取派遣任务数增加至5,解锁#C0xea7004#日常任务-符石精华,贵族11大礼包:#C0xea7004#普通万能碎片和形象信物,精灵背包容量可购买#C0xea7004#70#C0x473E37#次,累计充值#C0xea7004#20000#C0x473E37#钻石即可享受以下特权:,,每日可重置精英关卡#C0xea7004#4#C0x473E37#次,3,11
313,每日可重置精英关卡#C0xea7004#4#C0x473E37#次,包含贵族11及以下所有特权内容,每日可聚宝#C0xea7004#80#C0x473E37#次,,每日可购买体力#C0xea7004#13#C0x473E37#次,#C0xea7004#以太乐园战斗积分增加15%（无尽模式增加10%）,贵族12大礼包:#C0xea7004#超梦！,每日探险器可寻宝#C0xea7004#70#C0x473E37#次,累计充值#C0xea7004#30000#C0x473E37#钻石即可享受以下特权:,,精灵背包容量可购买#C0xea7004#80#C0x473E37#次,3,12
314,每日可聚宝#C0xea7004#100#C0x473E37#次,每日探险器可寻宝#C0xea7004#80#C0x473E37#次,每日可购买体力#C0xea7004#14#C0x473E37#次,包含贵族12及以下所有特权内容,#C0xea7004#竞技场冷却时间降到10秒,解锁#C0xea7004#日常任务-神兽万能碎片,贵族13大礼包:#C0xea7004#超梦碎片和饰品觉醒选择箱子,精灵背包容量可购买#C0xea7004#90#C0x473E37#次,累计充值#C0xea7004#60000#C0x473E37#钻石即可享受以下特权:,,每日可重置精英关卡#C0xea7004#5#C0x473E37#次,3,13
315,每日可聚宝#C0xea7004#120#C0x473E37#次,每日探险器可寻宝#C0xea7004#90#C0x473E37#次,每日可购买体力#C0xea7004#14#C0x473E37#次,包含贵族13及以下所有特权内容,#C0xea7004#以太乐园战斗积分增加30%（无尽模式增加15%）,解锁#C0xea7004#日常任务-抽卡币,贵族14大礼包:#C0xea7004#神兽碎片选择宝箱 ，神兽万能碎片和橙色探险器一套,精灵背包容量可购买#C0xea7004#100#C0x473E37#次,累计充值#C0xea7004#120000#C0x473E37#钻石即可享受以下特权:,,每日可重置精英关卡#C0xea7004#5#C0x473E37#次,3,14
316,每日可重置精英关卡#C0xea7004#5#C0x473E37#次,包含贵族14及以下所有特权内容,每日可聚宝#C0xea7004#150#C0x473E37#次,,每日可购买体力#C0xea7004#15#C0x473E37#次,解锁#C0xea7004#日常任务-橙色百变怪碎片,贵族15大礼包:#C0xea7004#神兽万能碎片和橙色携带道具,每日探险器可寻宝#C0xea7004#100#C0x473E37#次,累计充值#C0xea7004#200000#C0x473E37#钻石即可享受以下特权:,,精灵背包容量可购买#C0xea7004#110#C0x473E37#次,3,15
317,每日探险器可寻宝#C0xea7004#110#C0x473E37#次,,精灵背包容量可购买#C0xea7004#120#C0x473E37#次,,每日可聚宝#C0xea7004#180#C0x473E37#次,解锁#C0xea7004#日常任务-神兽碎片,贵族16大礼包:#C0xea7004#神兽碎片选择宝箱和橙色探险器一套,,累计充值#C0xea7004#300000#C0x473E37#钻石即可享受以下特权:,,包含贵族15及以下所有特权内容,3,16
318,每日探险器可寻宝#C0xea7004#120#C0x473E37#次,,精灵背包容量可购买#C0xea7004#130#C0x473E37#次,,每日可聚宝#C0xea7004#210#C0x473E37#次,解锁#C0xea7004#日常任务-高级Z觉醒碎片(70级解锁),贵族17大礼包:#C0xea7004#橙色携带道具多选1和橙色万能石,,累计充值#C0xea7004#500000#C0x473E37#钻石即可享受以下特权:,,包含贵族16及以下所有特权内容,3,17
319,每日探险器可寻宝#C0xea7004#130#C0x473E37#次,,精灵背包容量可购买#C0xea7004#150#C0x473E37#次,,每日可聚宝#C0xea7004#240#C0x473E37#次,解锁#C0xea7004#日常任务-神兽万能碎片,贵族18大礼包:#C0xea7004#神兽万能碎片和红色符石,,累计充值#C0xea7004#800000#C0x473E37#钻石即可享受以下特权:,,包含贵族17及以下所有特权内容,3,18
320,每日可聚宝#C0xea7004#270#C0x473E37#次,包含贵族18及以下所有特权内容,每日可购买体力#C0xea7004#16#C0x473E37#次,,#C0xea7004#以太乐园战斗积分增加35%（无尽模式增加15%）,解锁#C0xea7004#日常任务-限时抽卡券,至尊1大礼包:#C0xea7004#神兽万能碎片和神兽碎片选择宝箱,每日探险器可寻宝#C0xea7004#140#C0x473E37#次,累计充值#C0xea7004#1200000#C0x473E37#钻石即可享受以下特权:,,精灵背包容量可购买#C0xea7004#160#C0x473E37#次,3,19
321,每日可聚宝#C0xea7004#300#C0x473E37#次,包含至尊1及以下所有特权内容,每日可购买体力#C0xea7004#17#C0x473E37#次,,#C0xea7004#以太乐园战斗积分增加40%（无尽模式增加15%）,解锁#C0xea7004#日常任务-携带核心,至尊2大礼包:#C0xea7004#神兽万能碎片和携带道具,每日探险器可寻宝#C0xea7004#150#C0x473E37#次,累计充值#C0xea7004#2000000#C0x473E37#钻石即可享受以下特权:,,精灵背包容量可购买#C0xea7004#170#C0x473E37#次,3,20
