变量名,name,languages,logo,res,resAct,resSpine,crossMineResSpine,qFigureres,qRoleSpine,zOrder,resBack,type,showIdx,pos,actPos,desc,unlock,unlockDesc,unavalibleDesc,activeCost,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,skills,activeLevel,hide,overture,offPos,chattext1,chattext2,chattext3,crossArenaPos,__version
42,莉莉艾,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_42@.png,config/big_role/show/img_role_42@.png,config/big_role/show/img_role_42@.png,figure/liliai/liliai.skel,,config/portrait/qbanrenwu/img_role_42.png,qbanrole/lla.skel,,personal/img_bjt1.png,2,100,,,《太阳／月亮》系列的女主之一，“阿罗拉绽放的冰之花”，是阿罗拉地区美乐美乐岛的宝可梦学校的学生，小智的同班同学。她是以太基金会的大小姐，对于宝可梦的知识上是全班第一。,{1=10},特殊活动投放,,{2247=1},,1,1%,,,,,,,<70028>,<1>,,,,我会遇到很多出色的宝可梦，并成为训练家……我会像诸岛巡礼一样，去各地旅行！,能够遇见你们，真是太好了。,所以，我早晚……会回阿罗拉来的！,{x=0;y=0},
43,阿塞萝拉,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_43@.png,config/big_role/show/img_role_43@.png,config/big_role/show/img_role_43@.png,figure/asll/asll.skel,,config/portrait/qbanrenwu/img_role_43.png,qbanrole/asll.skel,,personal/img_bjt3.png,2,100,,,阿罗拉地区的四天王之一，也是乌拉乌拉岛超值超市旧址的队长，擅长幽灵属性,{1=10},特殊活动投放,,{2248=1},,1,1%,,,,,,,<70038>,<1>,,,,嗨～我是古代的公主，阿塞萝拉！同时也是阿罗拉的四天王喔！,嘎喔～！不给我点心，我就要捣蛋啰！,阿塞萝拉再再再度登场！,{x=-20;y=15},
44,斗子(圣诞限定),<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_44@.png,config/big_role/show/img_role_44@.png,config/big_role/show/img_role_44@.png,figure/douzi_shengdan/shengdan_douzi.skel,,config/portrait/qbanrenwu/img_role_44.png,qbanrole/douzi.skel,,personal/img_bjt.png,2,170,,,穿上圣诞装的鹿子镇少女，《黑／白》的女性主角，儿时伙伴为黑连和白露,{1=10},特殊活动投放,,{2249=1},,1,1%,,,,,,,<70034>,<1>,,,,圣诞节呀！你准备怎么过呢？,好斗的驯鹿好可爱啊！,一起去打雪仗吧！,{x=-20;y=80},
45,美月(新春限定),<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_45@.png,config/big_role/show/img_role_45@.png,config/big_role/show/img_role_45@.png,figure/meiyue_chunjie/chunjie_meiyue.skel,,config/portrait/qbanrenwu/img_role_45.png,qbanrole/myxnsz.skel,,personal/img_bjt.png,2,100,,,穿上新春装扮的美月，天才少女训练家，曾拿过阿罗拉联盟冠军，阿罗拉图鉴的大师，后受邀加入国际警察,{1=10},特殊活动投放,,{2250=1},,9,1%,,,,,,,<70023>,<1>,,,,过年当然要穿新衣服啦！你买了吗？,新的一年会发生什么事呢？激动得睡不着啊！,新的一年也要开朗乐观，拿出不输太阳和月亮的活力好好加油！,{x=-20;y=0},
46,艾岚(活动限定),<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_31@.png,config/big_role/show/img_role_31@.png,config/big_role/show/img_role_31@.png,figure/ailan/ailan.skel,,config/portrait/qbanrenwu/img_role_31.png,qbanrole/qbaf.skel,,personal/img_bjt.png,2,120,,,原为布拉塔诺博士的研究员，为了探究超进化的秘密和迈向最强超进化的训练家之路，带小火龙一同离开研究院踏上旅程。在卡洛斯联盟决赛中，以超级喷火龙X打败了小智版甲贺忍蛙，获得了冠军,{1=10},特殊活动投放,,{2251=1},,7,1%,,8,1%,,,,<70024>,<1>,,,,想要保护对自己重要的人，就要成为最强！,喷火龙，回应我的心吧，进化钥匙！超越进化吧，超进化！,目标是最强超进化！喷火龙，我们一起站到最强的巅峰吧！,{x=0;y=40},
47,小光,<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_46@.png,config/big_role/show/img_role_46@.png,config/big_role/show/img_role_46@.png,figure/xiaoguang/xiaoguang.skel,,config/portrait/qbanrenwu/img_role_46.png,qbanrole/q_xiaoguang.skel,,personal/img_bjt.png,2,100,,,《钻石与珍珠》的女主角，是一名宝可梦协调训练家，小智在神奥地区的旅行同伴之一。口头禅是“没问题”。但事实上当她说“没问题”的时候就是最有问题的时候,{1=10},特殊活动投放,,{2263=1},,1,1%,,,,,,,<70052>,<1>,,,,没问题，没问题！,波加曼，开始了哦，Jump up！,回忆是珍珠！友情是钻石！,{x=-50;y=0},
48,小胜,<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_47@.png,config/big_role/show/img_role_47@.png,config/big_role/show/img_role_47@.png,figure/xiaosheng/xiaosheng.skel,,config/portrait/qbanrenwu/img_role_47.png,qbanrole/qxiaosheng.skel,,personal/img_bjt.png,2,100,,,小胜对宝可梦有着丰富的知识，他个性聪颖，在旅行的途中通常利用自己所知道的知识来帮助大家脱离险境。,{1=10},特殊活动投放,,{2252=1},,10,1%,,10,120,,,,<70044>,<1>,,,,我也要像爸爸一样！,呐，我们做朋友吧！,我的爸爸是最强的！,{x=-30;y=0},
49,希特隆,<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_49@.png,config/big_role/show/img_role_49@.png,config/big_role/show/img_role_49@.png,figure/xitelong/xitelong.skel,,config/portrait/qbanrenwu/img_role_49.png,qbanrole/xitelongq.skel,,personal/img_bjt.png,2,100,,,“照亮世界的发明家”，柚丽嘉的哥哥，擅长发明，富有爱心，是卡洛斯地区密阿雷道馆的道馆训练家,{1=10},特殊活动投放,,{2254=1},,8,1%,,8,240,,,,<70045>,<1>,,,,现在就是科学开拓未来的时刻！希特隆引擎…ON!,柚丽嘉！不是叫你不要再这样说了吗！太丢脸啦！,机巧就是要有一颗爱玩的心，爱玩的心会创造出各式各样的发明，促使技术的进步！释放你的爱玩之心吧！,{x=-30;y=100},
50,莉莉艾(活动限定),<cn>,config/portrait/toptouxiang/img_role_50@.png,config/big_role/show/img_role_50@.png,config/big_role/show/img_role_50@.png,figure/zhongqiuliliai/zhongqiuliliai.skel,,config/portrait/qbanrenwu/img_role_50.png,qbanrole/q_zhongqiu_liliai.skel,,personal/img_bjt.png,2,100,,,正在为参加某项盛大的庆典做准备的盛装造型、可爱打扮的莉莉艾,{1=10},特殊活动投放,,{2255=1},,8,1%,,8,240,,,,<70043>,<1>,,,,只要化妆打扮了，就会让我觉得自己好像跟平时不太一样,我要像这件衣服一样，发挥我的长处，把活力带给许多人！,大家脸上洋溢着灿烂的笑容，这些笑容会为我们创造更灿烂的未来！,{x=-30;y=100},
51,赤焰松,<cn;kr;en;tw;en_eu;en_us>,config/portrait/toptouxiang/img_role_51@.png,config/big_role/show/img_role_51@.png,config/big_role/show/img_role_51@.png,figure/chiyansong/chiyansong.skel,,config/portrait/qbanrenwu/img_role_51.png,qbanrole/q_chiyansong.skel,,personal/img_bjt.png,2,100,,,丰缘地区熔岩队首领，赤焰松的目标是将陆地的面积扩大。为此，他一直在寻找红色宝珠以操控固拉多。因为固拉多喷发出的岩浆冷却后可以变为陆地。,{1=10},特殊活动投放,,{2256=1},,1,1%,,,,,,,<70042>,<1>,,,,我们正在做一项宏伟的事业。好吧，不管这些了……你还年轻。你还没办法理解我们事业的崇高和伟大。,宝可梦，人类，所有的生物都生活在陆地上……那就是熔岩队要扩张世界上的陆地的原因。你难道不同意吗？,蒸发海洋，将这个世界变成一片陆地！,{x=-30;y=100},
52,阿塞萝拉(万圣节),<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_52@.png,config/big_role/show/img_role_52@.png,config/big_role/show/img_role_52@.png,figure/asllws/asllws.skel,,config/portrait/qbanrenwu/img_role_43_1.png,qbanrole/asllwsq.skel,,personal/img_bjt.png,2,100,,,穿上万圣节装扮的阿塞罗拉，阿罗拉地区的四天王之一，也是乌拉乌拉岛超值超市旧址的队长，擅长幽灵属性,{1=10},特殊活动投放,,{2257=1},,8,1%,,8,240,,,,<70037>,<1>,,,,不对战就捣蛋！如果你不跟我打宝可梦对战，我就要捣蛋啰,对战赢的人就可以拿到点心喔！嘿嘿～我拿到了好多糖果和点心！,嘿嘿，你应该对我这身打扮很好奇对吧！？我是想让收集点心的小训练家们开心，才会穿上这件衣服的喔！对了！你也来收集点心吧！,{x=-30;y=100},
53,柚丽嘉,<cn;kr;en;tw;en_eu;en_us>,config/portrait/toptouxiang/img_role_53@.png,config/big_role/show/img_role_53@.png,config/big_role/show/img_role_53@.png,figure/youlijia/youlijia.skel,,config/portrait/qbanrenwu/img_role_53.png,qbanrole/qylj.skel,,personal/img_bjt.png,2,100,,,希特隆的妹妹，是小智在卡洛斯地区旅途中一起旅行的同伴，可靠的小女孩，性格坚强，热爱宝可梦。由于未满十岁，还不是宝可梦训练家，她只能“保管”哥哥的宝可梦。,{1=10},特殊活动投放,,{2258=1},,7,1%,,7,240,,,,<70046>,<1>,,,,大姐姐，keep！我哥哥就拜托你了！,咚咚鼠，蹭脸颊，rua~,小软，来这边来这边，一起来玩吧！,{x=-10;y=-25},
54,芽衣（圣诞限定）,<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_54@.png,config/big_role/show/img_role_54@.png,config/big_role/show/img_role_54@.png,figure/yayi_shengdan/yayi_shengdan.skel,,config/portrait/qbanrenwu/img_role_54.png,qbanrole/yayishendan.skel,,personal/img_bjt.png,2,100,,,一身圣诞时装的可爱元气少女，从桧扇市出发旅行,{1=10},特殊活动投放,,{2259=1},,1,1%,,,,,,,<70047>,<1>,,,,咱们来成为无敌的圣诞组合吧！,圣诞夜一起来对战吧！,Merry Christmas！,{x=-30;y=100},
55,玛奥(新春限定),,config/portrait/toptouxiang/img_role_55@.png,config/big_role/show/img_role_55@.png,config/big_role/show/img_role_55@.png,figure/maao_xinchun/maaoxinchun.skel,,config/portrait/qbanrenwu/img_role_55.png,qbanrole/skeleton.skel,,personal/img_bjt4.png,2,110,,,《太阳／月亮》系列动画的女主之一，系列游戏的诸岛巡礼队长之一，艾纳餐馆一名热情开朗的厨师，她喜欢烹饪而且水平不错，但是有些时候她烹饪的品味会变得十分奇特,{1=10},特殊活动投放,,{2260=1},,7,1%,,8,1%,,,,<70048>,<1>,,,,新年快乐呀！今天的是特地为新年准备的御节料理，快来尝尝吧！,不管是料理还是宝可梦，都要够刺激才有魅力呢！,若是用心去看，就能看到食材散发出的光芒。那就是厨师的直觉喔！,{x=-40;y=-20},
56,天桐,<cn;kr;en;tw;en_us>,config/portrait/toptouxiang/img_role_56@.png,config/big_role/show/img_role_56@.png,config/big_role/show/img_role_56@.png,figure/tiantong/tiantong.skel,,config/portrait/qbanrenwu/img_role_56.png,qbanrole/tiantongqban.skel,,personal/img_bjt4.png,2,110,,,超级愿望的男主角之一，三曜道馆的三兄弟馆主之一，小智在合众地区旅行的同伴，也是一位优秀的宝可梦酒侍,{1=10},特殊活动投放,,{2261=1},,7,1%,,7,240,,,,<70049>,<1>,,,,嗯，芳醇的香味…♪,It's tasting time!,我的佳酿，去吧，花椰猴！,,
57,小茂,<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_57@.png,config/big_role/show/img_role_57@.png,config/big_role/show/img_role_57@.png,figure/xiaomao/xiaomao.skel,,config/portrait/qbanrenwu/img_role_57.png,qbanrole/xiaomaoqban.skel,,personal/img_bjt4.png,2,110,,,小智一起长大的朋友，也是小智的第一个劲敌。也是大木博士的孙子，曾是宝可梦训练家，现为研究员，梦想是成为像他爷爷一样的宝可梦博士。,{1=10},特殊活动投放,,{2262=1},,9,120,,10,120,,,,<70050>,<1>,,,,我知道的还远远不够呢，我要探索宝可梦的不可思议，还有他们的秘密。,有时候我会想，人类会不会也是一种宝可梦呢……,小智，你现在这样真的可以吗？你可是打败过我的人耶。,,
58,莎莉娜,<cn;kr;en;tw;en_us>,config/portrait/toptouxiang/img_role_58@.png,config/big_role/show/img_role_58@.png,config/big_role/show/img_role_58@.png,figure/shalina/shalina.skel,,config/portrait/qbanrenwu/img_role_58.png,qbanrole/shalinaqban.skel,,personal/img_bjt4.png,2,110,,,《X/Y》的女主角之一，宝可梦训练家、宝可梦表演家。来自卡洛斯地区的朝香镇，是小智的旅行同伴,{1=10},特殊活动投放,,{2264=1},,8,1%,,8,240,,,,<70051>,<1>,,,,我果然还是很喜欢表演，我想像爱儿小姐那样，让更多各种各样的人脸上充满笑容,这是我的……我们的梦想，这是一无所有的我，好不容易找到的与小精灵共同的梦想,谢谢你，这样我就有勇气了,,
59,露璃娜,<cn;tw;en;en_eu;en_us;kr>,config/portrait/toptouxiang/img_role_59@.png,config/big_role/show/img_role_59@.png,config/big_role/show/img_role_59@.png,figure/lulina/lulina.skel,,config/portrait/qbanrenwu/img_role_59.png,qbanrole/q_lulina.skel,,personal/img_bjt4.png,2,110,,,水舟竞技场的道馆馆主，伽勒尔地区水属性的专家,{1=10},特殊活动投放,,{2265=1},,1,1%,,,,,,,<70053>,<1>,,,,今天这个美好的日子，你就和我一起度过吧,我和拍档去海里游了一会，现在整个人都清醒了呢,海浪会帮我冲去所有讨厌的事情,,
60,丹帝,<cn;tw;kr;en;en_us>,config/portrait/toptouxiang/img_role_60@.png,config/big_role/show/img_role_60@.png,config/big_role/show/img_role_60@.png,figure/dandi/dandi.skel,,config/portrait/qbanrenwu/img_role_60.png,qbanrole/dandyq.skel,,personal/img_bjt4.png,2,110,,,在宝可梦对战的官方赛事中从未输过，无与伦比的实力与人品兼具的他受到广大的欢迎，是伽勒尔地区名符其实的“最强”宝可梦训练家,{1=10},特殊活动投放,,{2266=1},,7,3%,,8,3%,,,,<70027>,<1>,,,,因为我是个路痴，所以常常会迷路。不过！也是因为这样，才会有意想不到的邂逅！,帕希欧的星空真是美丽啊！要是认真地许愿，或许星星就会坠落到你身旁喔！,已经这个时间了啊！不过我的冠军时刻还没结束喔！,,
61,彩豆,<cn;tw;kr;en;en_us>,config/portrait/toptouxiang/img_role_61@.png,config/big_role/show/img_role_61@.png,config/big_role/show/img_role_61@.png,figure/caidou/caidou.skel,,config/portrait/qbanrenwu/img_role_61.png,qbanrole/q_caidou.skel,,personal/img_bjt4.png,2,110,,,伽勒尔地区的溯传镇溯传竞技场的道馆馆主，是拥有百年历史的伽勒尔空手道的天才，擅长使用格斗属性的宝可梦,{1=10},特殊活动投放,,{2267=1},,7,1%,,7,240,,,,<70054>,<1>,,,,锻炼和饮食之间的关系非常重要,我很喜欢甜点，但我没有跟别人说，可是不知道为什么，我的粉丝们都知道这件事……,晚上我会和拍档谈心。就算语言不通，我的心也会有感应,,
62,卡露妮（活动限定）,<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_62@.png,config/big_role/show/img_role_62@.png,config/big_role/show/img_role_62@.png,figure/zqkaluni/zqkaluni.skel,,config/portrait/qbanrenwu/img_role_62.png,qbanrole/q_zqkaluni.skel,,personal/img_bjt4.png,2,110,,,身着华服的知名女星，同时也是宝可梦训练家，有时似乎会对有实力的训练家表示兴趣,{1=10},特殊活动投放,,{2268=1},,1,1%,,,,,,,<70055>,<1>,,,,欢迎，我是冠军卡露妮,拥有高尚灵魂的训练家和宝可梦的身姿，让我的心激烈地震颤……,如此强大的你和宝可梦们，能绽放出怎样的光辉，我很期待！,,
63,辛俐,<cn;kr;en;tw;en_us>,config/portrait/toptouxiang/img_role_63@.png,config/big_role/show/img_role_63@.png,config/big_role/show/img_role_63@.png,figure/xinli/xinli.skel,,config/portrait/qbanrenwu/img_role_63.png,qbanrole/q_xinli.skel,,personal/img_bjt5.png,2,110,,,辛俐是帕底亚四天王的一员，精通地面属性，此外她也是帕底亚地区宝可梦联盟的面试官,{1=10},特殊活动投放,,{2269=1},,8,1%,,8,240,,,,<70056>,<1>,,,,哟～！听说你贼厉害哈？,我虽然是个美女，但你甭害怕哦,乍看之下，你好像还挺有意思的嘛,,
64,欧尼奥（万圣节）,<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_64@.png,config/big_role/show/img_role_64@.png,config/big_role/show/img_role_64@.png,figure/ouniao/ouniao.skel,,config/portrait/qbanrenwu/img_role_64.png,qbanrole/q_ouniao.skel,,personal/img_bjt5.png,2,110,,,欧尼奥的个性极度内向且胆小，由于害怕别人的目光，因此总是戴着面具。欧尼奥平常很少出现在人前，似乎经常一个人待在遗迹和墓地里,{1=10},特殊活动投放,,{2270=1},,9,1%,,9,120,,,,<70057>,<1>,,,,……我是欧尼奥。请、请多指教,……早安。现在是幽灵宝可梦们睡觉的时间,请、请你不要一直盯着我看……我很怕被别人盯着看……,,
65,玛俐,<cn;kr;en;tw;en_us>,config/portrait/toptouxiang/img_role_65@.png,config/big_role/show/img_role_65@.png,config/big_role/show/img_role_65@.png,figure/mali/mali.skel,,config/portrait/qbanrenwu/img_role_65.png,qbanrole/q_mali.skel,,personal/img_bjt5.png,2,110,,,玛俐拥有不服输的个性，平常喜怒不形于色，但一旦怒火爆发则久久难以平息，而她私底下会试图通过抬起嘴角练习微笑,{1=10},特殊活动投放,,{2271=1},,1,1%,,,,,,,<70060>,<1>,,,,我在海滩上发现了好东西，就把它给你呗！,我很喜欢这套衣服。不过天气好的时候，偶尔会觉得有点热吶,人家也是肩负着很多东西的，所以我绝对不能被打败吶！,,
66,奇树,<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_66@.png,config/big_role/show/img_role_66@.png,config/big_role/show/img_role_66@.png,figure/qishu/qishu.skel,,config/portrait/qbanrenwu/img_role_66.png,qbanrole/q_qishu.skel,,personal/img_bjt5.png,2,110,,,酿光市酿光道馆的道馆馆主，精通电属性宝可梦，同时也是一名人气直播主,{1=10},特殊活动投放,,{2272=1},,8,1%,,,,,,,<70059>,<1>,,,,我虽然很～～高兴，但我毕竟有那么一丁点名气，所以其实是很～忙的哦～！,用电网捕获你的眼球！谁来奇述？奇树来了！早中晚上好哈啰～！,事情突然，可能吓了你一跳。不过！此时此刻的状况……我正在向全世界实况直播～呢！,,
67,莉可（新春限定）,<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_67@.png,config/big_role/show/img_role_67@.png,config/big_role/show/img_role_67@.png,figure/like_xinchun/like_xinchun.skel,,config/portrait/qbanrenwu/img_role_67.png,qbanrole/q_like_xinchun.skel,,personal/img_bjt5.png,2,110,,,就读于石英学园的学生，也是升龙伏特攻击队的一员，拥有神秘的坠饰,{1=10},特殊活动投放,,{2273=1},,1,1%,,,,,,,<70062>,<1>,,,,咚咚咚，过新年就得热热闹闹的,许下新年愿望，这一刻的心情，你能感受到吗？,鼓起勇气，克服顾虑，就像今天的新衣服也是一种尝试,,
68,梅洛可,<cn;kr;en;tw;en_us>,config/portrait/toptouxiang/img_role_68@.png,config/big_role/show/img_role_68@.png,config/big_role/show/img_role_68@.png,figure/meiluoke/meiluoke.skel,,config/portrait/qbanrenwu/img_role_68.png,qbanrole/q_meiluoke.skel,,personal/img_bjt5.png,2,110,,,天星队火帮班，王良四小队的老大，是天星队首屈一指的万事通，遇到任何问题都能强硬解决,{1=10},特殊活动投放,,{2274=1},,7,1%,,7,240,,,,<70058>,<1>,,,,只要看看它的火焰摇曳的样子，想猜出它在想什么就不是难事,对于我们天星队来说，那可是像宝物一样的回忆,从那时候到现在，还真是一点都没变啊,{x=30;y=0},
69,莉可,<cn;en;tw;kr;en_us>,config/portrait/toptouxiang/img_role_69@.png,config/big_role/show/img_role_69@.png,config/big_role/show/img_role_69@.png,figure/like/like.skel,,config/portrait/qbanrenwu/img_role_69.png,qbanrole/q_like.skel,,personal/img_bjt5.png,2,110,,,一名出身于帕底亚地区的少女，以从外婆那里得到的“不可思议的吊坠”为契机，开始了旅行,{1=10},特殊活动投放,,{2275=1},,1,1%,,,,,,,<70063>,<1>,,,,把每天的不开心或者快乐都写进日记里,只要和他们在一起，一定没问题,你也想知道吊坠的秘密吗？它可是我的护身符,,
70,妮莫,<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_70@.png,config/big_role/show/img_role_70@.png,config/big_role/show/img_role_70@.png,figure/nimo/nimo.skel,,config/portrait/qbanrenwu/img_role_70.png,qbanrole/q_nimo.skel,,personal/img_bjt5.png,2,110,,,妮莫是橘子学院的学生会长，性格热情、活泼。作为前辈，她会积极鼓励训练家参与对战，并悉心指导后辈，愿意与后辈交朋友,{1=10},特殊活动投放,,{2277=1},,1,1%,,,,,,,<70064>,<1>,,,,咦？你很紧张？我的声音太大了吗？,我很喜欢宝可梦对战！快，我们开一场对战吧！,原来你就是我的邻居啊，请多关照啦,,
71,八朔,<cn;kr;en;tw;en_us>,config/portrait/toptouxiang/img_role_71@.png,config/big_role/show/img_role_71@.png,config/big_role/show/img_role_71@.png,figure/bashuo/bashuo.skel,,config/portrait/qbanrenwu/img_role_71.png,qbanrole/q_bashuo.skel,,personal/img_bjt5.png,2,110,,,是帕底亚四天王的一员，精通龙属性。身为橘子学院／葡萄学院的老师，负责教美术,{1=10},特殊活动投放,,{2276=1},,1,1%,,,,,,,<70065>,<1>,,,,能如此之快地与你相会，真是大大超出了小生的想象啊,离合格还差一口气哦！加油！加油！,守在技能测验最后一关的，就是小生，龙之八朔,,
72,波琵,<cn;kr;tw;en_us>,config/portrait/toptouxiang/img_role_72@.png,config/big_role/show/img_role_72@.png,config/big_role/show/img_role_72@.png,figure/bopi/bopi.skel,,config/portrait/qbanrenwu/img_role_72.png,qbanrole/q_bopi.skel,,personal/img_bjt5.png,2,110,,,是帕底亚四天王的一员，精通钢属性。本来计划前往橘子学院上学，但因为宝可梦太过强大而无法正常入读，虽然已经是四天王，但还是希望明年能够入读学院,{1=10},特殊活动投放,,{2278=1},,8,1%,,8,240,,,,<70066>,<1>,,,,小巨锻匠来打～扮打扮吧！,期待明年入学，又能认识好多新朋友！,出～来吧！波琵我的好朋友！,,
73,小霞(夏日限定),<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_73@.png,config/big_role/show/img_role_73@.png,config/big_role/show/img_role_73@.png,figure/xiaoxia_xrxd/xiaoxia_xrxd.skel,,config/portrait/qbanrenwu/img_role_73.png,qbanrole/q_xiaoxia_xrxd.skel,,personal/img_bjt5.png,2,110,,,美人鱼妆扮的小霞，宛若龙宫公主，此时的她将吸引所有人的目光,{1=10},特殊活动投放,,{2279=1},,8,1%,,8,240,,,,<70067>,<1>,,,,一起探寻美丽的海洋世界吧～,倾听海风的呼唤，你能听到吗？,海边拾取的美丽贝壳，在阳光下正闪闪发光呢～,,
74,青木,<cn;kr;tw;en_us>,config/portrait/toptouxiang/img_role_74@.png,config/big_role/show/img_role_74@.png,config/big_role/show/img_role_74@.png,figure/qingmu/qingmu.skel,,config/portrait/qbanrenwu/img_role_74.png,qbanrole/qingmu/q_qingmu.skel,,personal/img_bjt5.png,2,110,,,青木是宝可梦联盟的职员，看起来似乎总是非常困倦，在休息之余会前往锦汇镇的著名餐厅“宝食堂”就餐，他非常喜欢这里的烤饭团,{1=10},特殊活动投放,,{2280=1},,7,1%,,7,240,,,,<70069>,<1>,,,,你好，我是青木。请多多指教,嚼啊嚼……咽啊咽……,闲聊太多的话会惹我的上司发火的，赶快开始对战吧,,
75,小智(活动限定),<cn>,config/portrait/toptouxiang/img_role_75@.png,config/big_role/show/img_role_75@.png,config/big_role/show/img_role_75@.png,figure/xiaozhi_wushi/xiaozhi_wushi.skel,,config/portrait/qbanrenwu/img_role_75.png,qbanrole/xiaozhi_wushiq.skel,,personal/img_bjt5.png,2,110,,,来自真新镇的训练家，目标是神奇宝贝大师。此时的他穿上了新的衣装，似乎正要参加什么重大节日,{1=10},特殊活动投放,,{2281=1},,1,1%,,,,,,,<70068>,<1>,,,,就决定是你了！,我是真新镇的小智！,这是我的搭档皮卡丘！,{x=-40;y=-10},
76,小刚(活动限定),<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_76@.png,config/big_role/show/img_role_76@.png,config/big_role/show/img_role_76@.png,figure/xiaogang_hdxd/xiaogang_hdxd.skel,,config/portrait/qbanrenwu/img_role_76.png,qbanrole/xiaogang_hdxd/q_xiaogang_hdxd.skel,,personal/img_bjt5.png,2,110,,,尼比道馆道馆训练家，擅长岩石系精灵,{1=10},特殊活动投放,,{2282=1},,9,1%,,9,120,,,,<70070>,<1>,,,,我的意志坚如磐石！,那边似乎有漂亮的大姐姐， 去打个招呼吧~,好！是时候履行我们的诺言了！,,
80,小次郎（万圣节）,<cn;tw;en_us>,config/portrait/toptouxiang/img_role_80@.png,config/big_role/show/img_role_80@.png,config/big_role/show/img_role_80@.png,figure/xiaocilang_wanshengjie/xiaocilang_wanshengjie.skel,,config/portrait/qbanrenwu/img_role_77.png,qbanrole/q_wsjxcl.skel,,personal/img_bjt5.png,2,110,,,火箭队成员现在要扬帆出海了,{1=10},特殊活动投放,,{2286=1},,10,1%,,10,120,,,,<70071>,<1>,,,,白洞，白色的明天在等着我们！,我今天一定要把你们的宝可梦全部夺走！,我们是无敌的！火箭队！,{x=50;y=-10},
81,紫竽,<cn;tw;en_us>,config/portrait/toptouxiang/img_role_81@.png,config/big_role/show/img_role_81@.png,config/big_role/show/img_role_81@.png,figure/ziyu/zyxj.skel,,config/portrait/qbanrenwu/img_role_81.png,qbanrole/q_zyxj.skel,,personal/img_bjt5.png,2,110,,,是蓝莓学园二年级生，同时也是该校联盟社的成员，蓝莓联盟四天王之一。性格认真且擅长照顾人。,{1=10},特殊活动投放,,{2287=1},,1,1%,,,,,,,<70072>,<1>,,,,可爱的东西最棒了！,我觉得这样不好哦！,出来吧！龙头地鼠！,{x=10;y=-10},
82,奇树（圣诞节）,<cn;tw;en_us;kr>,config/portrait/toptouxiang/img_role_82@.png,config/big_role/show/img_role_82@.png,config/big_role/show/img_role_82@.png,figure/qishushengdan/qishu_sd.skel,,config/portrait/qbanrenwu/img_role_82.png,qbanrole/qbanqishu.skel,,personal/img_bjt5.png,2,110,,,酿光市酿光道馆的道馆馆主，精通电属性宝可梦，同时也是一名人气直播主,{1=10},特殊活动投放,,{2288=1},,8,1%,,,,,,,<70073>,<1>,,,,我虽然很～～高兴，但我毕竟有那么一丁点名气，所以其实是很～忙的哦～！,用电网捕获你的眼球！谁来奇述？奇树来了！早中晚上好哈啰～！,事情突然，可能吓了你一跳。不过！此时此刻的状况……我正在向全世界实况直播～呢！,,
83,武藏（新春限定）,<cn;tw;en_us>,config/portrait/toptouxiang/img_role_83@.png,config/big_role/show/img_role_83@.png,config/big_role/show/img_role_83@.png,figure/wuzang_chunjiexianding/wuzang_chunjiexianding.skel,,config/portrait/qbanrenwu/img_role_83.png,qbanrole/chunjiewuzang.skel,,personal/img_bjt5.png,2,110,,,火箭队成员，性格直率、泼辣，后在火箭队学院认识了现在的同伴小次郎、喵喵两人；三人总是跟着小智一行，企图抢走小智的皮卡丘，但从没成功过。,{1=10},特殊活动投放,,{2289=1},,8,1%,,,,,,,<70074>,<1>,,,,新年快乐！,为了防止世界被破坏，为了守护世界的和平；贯彻爱与真实的邪恶，可爱又迷人的反派角色。,"武藏！小次郎！ 我们是穿梭在银河的火箭队！白洞，白色的明天在等着我们！ (就是这样, 喵!)",{x=-40;y=-10},
