变量名,name,languages,drawlanguages,cardMarkID,cardType,atkType,develop,branch,branchType,megaIndex,canDevelop,developType,_zawakeID,zawakeID,zawakeFragID,maleRate,gender,chaRnd,chaRecom,nValueRnd,specValue,fightingWeight,starTypeID,advanceTypeID,feelType,feelItems,advanceMax,advanceLevelReq,levelExpID,unitID,levelMax,skinSkillMap,innateSkillID,skillList,starSkillSeqID,starSkillMaxLevel,equipsList,fragID,fragNumType,star,effect,starEffectIndex,abilitySeqID,effortSeqID,gemPosSeqID,gemQualitySeqID,fetterList,townSkill,energy,energyCorrection,introduction,location,aidID,contractPlan,emeraPlanID,__version,chipsMod,contractMod,gemMod
572,巨钳螳螂,,,571,,<7>,2,,,,,,,571,50571,,,,<11;12;15;16>,,<70;65;130;100;55;80;500>,,3,11,3,<609;610;611;602;603>,,,3,572,,{105=<5731;5732;5733;5736;61101;61102>},5723,<5721;5722;5723;5726;61101;61102>,571,,<11003;11103;11203;11303>,20571,3,3,{drawcard=huang_effect_loop},571,,3,3,3,<5711;5712;5713;5714>,1162,15,0.7,巨钳螳螂，剪刀宝可梦，是飞天螳螂的进化形。瞬间行动的速度很快，会以迅速而巨大的巨钳发招攻击。,残血收割&连斩刺客,571,410,,,,<<110;204>;<111;206>;<112;204>>,<103;102>
574,超级巨钳螳螂,<cn;kr;tw;en;en_us;en_eu>,,571,,<7>,3,,,5710,,,,572,50571,,,,<11;12;15;16>,2,<70;75;150;140;65;100;600>,,3,11,3,<609;610;611;602;603>,,,3,574,,{105=<5751;5752;5753;5756;61101;61102>},5743,<5741;5742;5743;5746;61101;61102>,571,,<11003;11103;11203;11303>,20571,3,3,{drawcard=huang_effect_loop},571,,3,3,3,<5711;5712;5713;5714>,1532,15,0.7,受超级进化的影响，钳子变化成了会把夹住的东西都撕成碎片的凶恶形态。,残血收割&连斩刺客,574,410,,,,<<110;204>;<111;206>;<112;204>>,<104>
591,电击怪,,,591,,<7>,,,,,,,,591,50591,,,,<10;11;13;9>,,<45;95;63;37;65;55;360>,,3,11,3,<612;613;614;602;603>,,,3,591,,,5913,<5911;5912;5913;5916;61101;61102>,591,,<11053;11153;11253;11353>,20591,3,3,{drawcard=huang_effect_loop},591,,3,3,3,<5911;5912;5913;5914>,1032,15,0.75,电击怪，电气宝可梦，电击兽进化前的状况。旋转手臂就可以发电。,暴力输出：蓄电增伤,,410,,,,<<110;204>;<111;206>;<112;204>>,
592,电击兽,,,591,,<7>,2,,,,,,,591,50591,,,,<10;11;13;9>,,<65;105;83;57;95;85;490>,,3,11,3,<612;613;614;602;603>,,,3,592,,,5923,<5921;5922;5923;5926;61101;61102>,591,,<11053;11153;11253;11353>,20591,3,3,{drawcard=huang_effect_loop},591,,3,3,3,<5911;5912;5913;5914>,1032,15,0.75,要是发生了大片的停电，那一定是电击兽偷偷吃掉了发电站的电能。,暴力输出：蓄电增伤,,410,,,,<<110;204>;<111;206>;<112;204>>,
593,电击魔兽,,,591,,<7>,3,,,,,,,591,50591,,,,<10;11;13;9>,,<75;95;123;67;95;85;540>,,3,11,3,<612;613;614;602;603>,,,3,593,,,5933,<5931;5932;5933;5936;61101;61102>,591,,<11053;11153;11253;11353>,20591,3,3,{drawcard=huang_effect_loop},591,,3,3,3,<5911;5912;5913;5914>,1032,15,0.75,全然不顾对手的攻击接近对手，把两根尾巴摁在对手身上，释放出高压电击。,暴力输出：蓄电增伤,,410,,,,<<110;204>;<111;206>;<112;204>>,
601,鸭嘴宝宝,,,601,,<8>,,,,,,,,601,50601,,,,<18;19;20;21>,,<45;83;75;37;70;55;365>,,3,11,3,<618;619;620;602;603>,,,3,601,,,6013,<6011;6012;6013;6016;61101;61102>,601,,<11033;11133;11233;11333>,20601,3,3,{drawcard=huang_effect_loop},601,,3,3,3,<6011;6012;6013;6014>,1562,15,0.75,鸭嘴宝宝，火种宝可梦，鸭嘴火兽进化之前的形态，体型娇小却能喷出高热火焰，是不可轻视的宝可梦,爆发输出：引爆灼烧,601,410,,,,<<110;204>;<111;206>;<112;204>>,<102;103>
602,鸭嘴火兽,,,601,,<8>,2,,,,,,,601,50601,,,,<18;19;20;21>,,<65;93;95;57;100;85;495>,,3,11,3,<618;619;620;602;603>,,,3,602,,,6023,<6021;6022;6023;6026;61101;61102>,601,,<11033;11133;11233;11333>,20601,3,3,{drawcard=huang_effect_loop},601,,3,3,3,<6011;6012;6013;6014>,1562,15,0.75,鸭嘴火兽，喷火宝可梦。有高温的身体，嘴巴会喷出火焰。听说是在火山的火山口附近发现的。,爆发输出：引爆灼烧,601,410,,,,<<110;204>;<111;206>;<112;204>>,<102;103>
603,鸭嘴炎兽,,,601,,<8>,3,,,,,,,601,50601,,,,<18;19;20;21>,,<75;83;95;67;125;95;540>,,3,11,3,<618;619;620;602;603>,,,3,603,,,6033,<6031;6032;6033;6036;61101;61102>,601,,<11033;11133;11233;11333>,20601,3,3,{drawcard=huang_effect_loop},601,,3,3,3,<6011;6012;6013;6014>,1562,15,0.75,喷射出高达2000摄氏度的火球时，身体由于发热，会微微呈现出白色。,爆发输出：引爆灼烧,601,410,,,,<<110;204>;<111;206>;<112;204>>,<104>
611,凯罗斯,<cn;kr;tw;en;en_us;en_eu>,<cn>,611,,<7>,,,,,,,,611,50611,,,,<24;25;11;12>,,<65;85;125;100;55;70;500>,,3,11,3,<609;610;611;602;603>,,,3,611,,,6113,<6111;6112;6113;6116;61101;61102>,611,,<11003;11103;11203;11303>,20611,3,3,{drawcard=huang_effect_loop},611,,3,3,3,<6111;6112;6113;6114>,1022,15,0.65,凯罗斯拥有两只又长又大的角，一旦夹着对方，便会一直割开对方一分为二为止。,暴力输出：生命切断,611,410,,,,<<110;204>;<111;206>;<112;204>>,
631,暴鲤龙,,,631,,<7>,,,,,,,,631,50631,,,,<24;25;11;12>,,<95;81;125;79;60;100;540>,,3,11,3,<621;622;623;602;603>,,,3,632,,,6323,<6321;6322;6323;6326;61101;61102>,631,,<11023;11123;11223;11323>,20631,3,3,{drawcard=huang_effect_loop},631,,3,3,3,<6311;6312;6313;6314>,1152,15,0.95,暴鲤龙，这个宝可梦个性凶暴必需多加提防。牙齿硬得能够咬碎石头，还拥有像钢铁一样硬的鳞片。,暴力输出：牺牲理性,,410,,,,<<110;204>;<111;206>;<112;204>>,
632,超级暴鲤龙,<cn;kr;tw;en;en_us;en_eu>,,631,,<7>,2,,,6310,,,,632,50631,,,,<24;25;11;12>,2,<95;81;155;109;70;130;640>,,3,11,3,<621;622;623;602;603>,,,3,634,,,6343,<6341;6342;6343;6346;61101;61102>,631,,<11023;11123;11223;11323>,20631,3,3,{drawcard=huang_effect_loop},631,,3,3,3,<6311;6312;6313;6314>,1172,15,0.95,虽然本能会驱使它破坏一切，但也会听命于自己真正信任的训练家。,暴力输出：牺牲理性,,410,,,,<<110;204>;<111;206>;<112;204>>,
641,拉普拉斯,<cn;kr;tw;en;en_us;en_eu>,<cn;kr;tw;en;en_us;en_eu>,641,,<8>,,,,,,,,641,50641,,,,<18;20;22;24>,2,<130;60;85;80;85;95;535>,,3,11,3,<621;622;623;602;603>,,,3,641,,,6413,<6411;6412;6413;6416;61151;61152>,641,,<11023;11123;11223;11323>,20641,3,3,{drawcard=huang_effect_loop},641,2,3,3,3,<6411;6412;6413;6414>,1202,15,1.3,拉普拉斯，可以理解人语，有高度智慧的宝可梦。个性温和，不喜欢战斗。喜欢背上载人的宝可梦。,生命存储,,420,4,,,<<113;206>;<114;206>;<115;204>>,
691,化石盔,,,691,,<7>,,,,,,,,691,50691,,,,<15;16;11;12>,,<30;55;80;90;55;45;355>,,2,11,2,<615;616;617;602;603>,,,2,691,,,6913,<6911;6912;6913;6916;61151;61152>,691,,<11042;11142;11242;11342>,20691,2,2,,691,16,2,2,2,<6911;6912;6913>,1191,,0.6,化石盔，甲壳类宝可梦。是甲蟹的祖先，也是乌龟的祖先。以厚实的盔甲保护身体，在海上能非常顺利的前进。,破防输出,,310,,,,<<103;208>;<102;208>;<101;209>>,
692,镰刀盔,,,691,,<7>,2,,,,,,,691,50691,,,,<11;12;15;16>,,<60;80;115;105;65;70;495>,,2,11,2,<615;616;617;602;603>,,,2,692,,,6923,<6921;6922;6923;6926;61151;61152>,691,,<11042;11142;11242;11342>,20691,2,2,,691,16,2,2,2,<6911;6912;6913>,1191,,0.6,被认为是几万年前灭绝的宝可梦，其生态一切都是谜，至今仍然有人认为他们可能活在某些地方，可是尚未有人发现活着的宝可梦。,破防输出,,310,,,,<<103;208>;<102;208>;<101;209>>,
701,化石翼龙,<cn;kr;en;en_us;en_eu;tw>,<cn;kr;en;en_us;en_eu;tw>,701,,<7>,,,,,,,,701,50701,,,,<8;9;13;12>,,<80;130;105;65;60;75;515>,,3,11,3,<615;616;617;602;603>,,,3,701,,,7013,<7011;7012;7013;7016;61101;61102>,701,,<11043;11143;11243;11343>,20701,3,3,{drawcard=huang_effect_loop},701,,3,3,3,<7011;7012;7013;7014>,1152,15,0.8,化石翼龙，因为有锐利的獠牙，而被确认为肉食性宝可梦。想象中他是利用锐利的爪子来捕获猎物的。,暴力输出：嗜血撕裂,,410,,,,<<110;204>;<111;206>;<112;204>>,
702,超级化石翼龙,<cn>,,701,,<7>,2,,,7010,,,,702,50701,,,,<8;9;13;12>,2,<80;150;135;85;70;95;615>,,3,11,3,<615;616;617;602;603>,,,3,702,,,7023,<7021;7022;7023;7026;61101;61102>,701,,<11043;11143;11243;11343>,20701,3,3,{drawcard=huang_effect_loop},701,,3,3,3,<7011;7012;7013;7014>,1162,15,1.6,因超级进化而失去的遗传基因重新复苏，覆盖全身的尖锐岩石也去而复返,粗砺之风&速度压制,,410,,,,<<110;204>;<111;206>;<112;204>>,
711,小卡比兽,<cn;tw;kr;en;en_us;en_eu>,<cn;tw;kr;en;en_us;en_eu>,711,,<7>,,,,,,,,711,50711,,,,<24;25;11;12>,,<135;5;85;40;40;85;390>,,3,11,3,<606;607;608;602;603>,,,3,711,,,7113,<7111;7112;7113;7116;61151;61152>,711,,<11013;11113;11213;11313>,20711,3,3,{drawcard=huang_effect_loop},711,2,3,3,3,<7111;7112;7113;7114>,1062,15,1.6,总之全神贯注地大吃大喝，完全不去讲究食物的味道，就算是腐烂的东西也照吃不误。,前排承伤：睡眠回血,711,420,4,,,<<113;206>;<114;206>;<115;204>>,
712,卡比兽,<cn;tw;kr;en;en_us;en_eu>,<cn;tw;kr;en;en_us;en_eu>,711,,<7>,2,,,,,,,711,50711,,,,<24;25;11;12>,,<160;30;110;65;65;110;540>,,3,11,3,<606;607;608;602;603>,,,3,712,,,7123,<7121;7122;7123;7126;61151;61152>,711,,<11013;11113;11213;11313>,20711,3,3,{drawcard=huang_effect_loop},711,2,3,3,3,<7111;7112;7113;7114>,1062,15,1.6,卡比兽，瞌睡宝可梦。一天不吃四百公斤的食物，就不罢休的宝可梦，习性是吃饱睡睡饱吃。,前排承伤：睡眠回血,711,420,4,,,<<113;206>;<114;206>;<115;204>>,
721,急冻鸟,,,721,,<8>,,,,,,,,721,50721,,0,,<24;23;14;16>,2,<90;85;85;100;95;125;580>,,3,11,3,<615;616;617;602;603>,,,3,721,,,7213,<7211;7212;7213;7216;61101;61102>,721,,<11043;11143;11243;11343>,20721,3,3,{drawcard=huang_effect_loop},721,3,3,3,3,<7211;7212;7213;7214>,1072,15,0.9,急冻鸟，冷冻宝可梦。拥有晶莹剔透，冰块般的翅膀。是会一边冻结空气中的水份一边飞行的，传说中的宝可梦。,冰之圣鸟&冰系核心,721,440,2,,,<<118;204>;<119;204>>,
731,闪电鸟,,,731,,<8>,,,,,,,,731,50731,,0,,<6;7;18;19>,2,<90;100;90;85;125;90;580>,,3,11,3,<612;613;614;602;603>,,,3,731,,{132=<7321;7322;7323;7326;61101;61102>},7313,<7311;7312;7313;7316;61101;61102>,731,,<11053;11153;11253;11353>,20731,3,3,{drawcard=huang_effect_loop},731,4,3,3,3,<7311;7312;7313;7314>,1192,15,0.9,闪电鸟，电击属性宝可梦。拍动闪亮的翅膀时，会产生激烈的雷电。,电之圣鸟&电系核心,731,430,2,,,<<116;204>;<117;206>>,
741,火焰鸟,,,741,,<8>,,1,,,,,,741,50741,,0,,<18;19;20;21>,2,<90;90;100;90;125;85;580>,,3,11,3,<618;619;620;602;603>,,,3,741,,,7413,<7411;7412;7413;7416;61101;61102>,741,,<11033;11133;11233;11333>,20741,3,3,{drawcard=huang_effect_loop},741,,3,3,3,<7411;7412;7413;7414>,1002,15,0.9,火焰鸟，传说的宝可梦，橙色的如燃烧一般的翅膀凌驾看到的一切。,火之圣鸟&火系核心,741,410,,,,<<110;204>;<111;206>;<112;204>>,
751,迷你龙,,,751,,<7>,,,,,,,,751,50751,,,,<10;11;13;9>,,<41;50;64;45;50;50;300>,,3,11,3,<618;619;620;602;603>,,,3,751,,,60009,<60007;60008;60009;61101;61102>,751,,<11033;11133;11233;11333>,20751,3,3,{drawcard=huang_effect_loop},751,,3,3,3,<7511;7512;7513;7514>,1102,15,0.91,迷你龙，龙宝可梦。受到瀑布宣泄而下的激烈水流保护。不断脱皮成长的宝可梦。,,,410,,,,<<110;204>;<111;206>;<112;204>>,
752,哈克龙,,,751,,<7>,2,,,,,,,751,50751,,,,<10;11;13;9>,,<61;70;84;65;70;70;420>,,3,11,3,<618;619;620;602;603>,,,3,752,,,60009,<60007;60008;60009;61101;61102>,751,,<11033;11133;11233;11333>,20751,3,3,{drawcard=huang_effect_loop},751,,3,3,3,<7511;7512;7513;7514>,1102,15,0.91,哈克龙，龙宝可梦。虽然没有翅膀，但是传说它可以飞在空中。,,,410,,,,<<110;204>;<111;206>;<112;204>>,
753,快龙,,,751,,<7>,3,,,,,,,751,50751,,,,<10;11;13;9>,2,<91;80;134;95;100;100;600>,,3,11,3,<618;619;620;602;603>,,,3,753,,,7533,<7531;7532;7533;7534;7536;61101;61102>,751,,<11033;11133;11233;11333>,20751,3,3,{drawcard=huang_effect_loop},751,,3,3,3,<7511;7512;7513;7514>,1102,15,0.91,快龙，龙宝可梦。其存在非常稀少，是现在已知的宝可梦之中，飞行速度最快的一种宝可梦。,多效输出：负面增伤,,410,,,,<<110;204>;<111;206>;<112;204>>,
761,超梦,,,761,,<8>,,,,,,,,761,50761,,0,,<6;7;18;19>,3,<106;130;110;90;154;90;680>,,4,21,4,<606;607;608;604;605>,,,4,761,,,7613,<7611;7612;7613;7616;61101;61102>,761,,<11014;11114;11214;11314>,20761,4,4,{drawcard=hong_effect_loop},761,6,4,4,4,<7611;7612;7613;7614>,1033,20,1.06,通过操作遗传基因而制造出来的宝可梦。人类的科学力量可以造出它的身体，却无法造出一颗温柔的心,为战而生&超能压制,,510,,,<1001;1002>,<<120;204>;<121;202>>,<1013;1014>
762,超级超梦X,<cn;tw;kr;en_us;en>,,761,,<7>,2,1,,7610,,9,,762,50761,,0,,<10;11;13;9>,3,<106;130;190;100;154;100;780>,,4,21,4,<606;607;608;604;605>,,,4,762,,{142=<7591;7592;7594;7596;61101;61102;7593>},7624,<7621;7622;7624;7626;61101;61102;7623>,761,,<11014;11114;11214;11314>,20761,4,4,{drawcard=huang_effect_loop},761,6,4,4,4,<7611;7612;7613;7614>,1203,20,1.06,超梦的X超进化形态，身体的肌肉因精神力量而增强，格斗力量被提升至极限，无与伦比的力量专为战斗而存在，因此变得除了打倒面前的敌人之外什么都不想,修罗拳意&杀气感知,,610,,,<2007;2009;2017>,<<127;201>;<128;203>>,<2007;2016;2032>
763,超级超梦Y,<cn;tw;kr;en_us;en>,,761,,<8>,2,2,,7611,,9,,763,50761,,0,,<18;19;20;21>,3,<106;140;150;70;194;120;780>,,4,21,4,<606;607;608;604;605>,,,4,764,,{153=<7671;7672;7674;7676;61101;61102;7673>},7644,<7641;7642;7644;7646;61101;61102;7643>,761,,<11014;11114;11214;11314>,20761,4,4,{drawcard=huang_effect_loop},761,6,4,4,4,<7611;7612;7613;7614>,1033,20,1.06,超梦的Y超进化形态，虽然身体变小了，力量却大到无法计算，只要稍稍使用念力，哪怕是高楼大厦也会顷刻化为灰烬,神形双体&精神掌控,,610,,,<2008;2039;2051>,<<127;201>;<128;203>>,<2008;2017>
771,梦幻,,,771,,<8>,,,,,,,,771,50771,,0,,<6;7;18;19>,2,<100;100;100;100;100;100;600>,,3,11,3,<606;607;608;602;603>,,,3,771,,,7713,<7711;7712;7713;7716;61101;61102>,771,,<11013;11113;11213;11313>,20771,3,3,{drawcard=huang_effect_loop},771,3,3,3,3,<7711;7712;7713;7714>,1572,15,,幻之宝可梦，据说有着所有宝可梦的遗传基因，只有遇到拥有纯洁的心灵和想要与强者相见的情感的人才会现身,群体控制,,440,2,,,<<118;204>;<119;204>>,
781,菊草叶,,,781,,<8>,,,,,,,,781,50781,,,,<24;23;14;16>,,<45;45;49;65;49;65;318>,,2,11,2,<609;610;611;602;603>,,,2,781,,,7813,<7811;7812;7813;7816;61151;61152>,781,,<11002;11102;11202;11302>,20781,2,2,,781,20,2,2,2,<7811;7812;7813>,1031,,0.8,虽然会挥舞叶子威吓对手，但由于叶子上会飘散出甜甜的香气，所以双方都会变得心平气和下来哦。,群体治疗,,330,2,,,<<109;209>;<108;208>;<107;208>>,
782,月桂叶,,,781,,<8>,2,,,,,,,781,50781,,,,<24;23;14;16>,,<60;60;62;80;63;80;405>,,2,11,2,<609;610;611;602;603>,,,2,782,,,7823,<7821;7822;7823;7826;61151;61152>,781,,<11002;11102;11202;11302>,20781,2,2,,781,20,2,2,2,<7811;7812;7813>,1031,,0.8,月桂叶，叶宝可梦，菊草叶的进化形。飞叶快刀的绝招很强。有时候脖子周围会散发出香料的味道。,群体治疗,,330,2,,,<<109;209>;<108;208>;<107;208>>,
783,大竺葵,,,781,,<8>,3,,,,,,,781,50781,,,,<24;23;14;16>,,<80;80;82;100;83;100;525>,,2,11,2,<609;610;611;602;603>,,,2,783,,,7833,<7831;7832;7833;7836;61151;61152>,781,,<11002;11102;11202;11302>,20781,2,2,,781,20,2,2,2,<7811;7812;7813>,1031,,0.8,大竺葵，香草宝可梦，是菊草叶的最终进化形。大竺葵吐出的气息，具有让枯萎的草复苏的力量。,群体治疗,,330,2,,,<<109;209>;<108;208>;<107;208>>,
791,火球鼠,,,791,,<8>,,,,,,,,791,50791,,,,<6;7;18;19>,,<39;65;52;43;60;50;309>,,2,11,2,<618;619;620;602;603>,,,2,791,,,7913,<7911;7912;7913;7916;61101;61102>,791,,<11032;11132;11232;11332>,20791,2,2,,791,16,2,2,2,<7911;7912;7913>,1161,,0.78,火球鼠，火焰宝可梦。个性温和，兴奋的时候会从背上发出火焰。,看脸输出,,310,,,,<<103;208>;<102;208>;<101;209>>,
792,火岩鼠,,,791,,<8>,2,,,,,,,791,50791,,,,<6;7;18;19>,,<58;80;64;58;80;65;405>,,2,11,2,<618;619;620;602;603>,,,2,792,,,7923,<7921;7922;7923;7926;61101;61102>,791,,<11032;11132;11232;11332>,20791,2,2,,791,16,2,2,2,<7911;7912;7913>,1161,,0.78,火岩鼠，火山宝可梦，火球鼠的进化形。使用背上火炎的攻击，威力超群。,看脸输出,,310,,,,<<103;208>;<102;208>;<101;209>>,
793,火暴兽,,,791,,<8>,3,,,,,,,791,50791,,,,<6;7;18;19>,,<78;100;84;78;109;85;534>,,2,11,2,<618;619;620;602;603>,,,2,793,,,7933,<7931;7932;7933;7936;61101;61102>,791,,<11032;11132;11232;11332>,20791,2,2,,791,16,2,2,2,<7911;7912;7913>,1161,,0.78,会用灼热的火焰在周围制造出热浪隐藏身影。燃起的爆炸气浪能烧尽一切。,看脸输出,,310,,,,<<103;208>;<102;208>;<101;209>>,
801,小锯鳄,,,801,,<7>,,,,,,,,801,50801,,,,<11;12;15;16>,,<50;43;65;64;44;48;314>,,2,11,2,<621;622;623;602;603>,,,2,801,,,8013,<8011;8012;8013;8016;61101;61102>,801,,<11022;11122;11222;11322>,20801,2,2,,801,16,2,2,2,<8011;8012;8013>,1091,,0.85,小锯鳄，大嘴宝可梦。拥有肌肉发达的下颚，什么东西都可以咬碎。对于眼前移动的任何东西，都会产生反射反应，忍不住上前咬住。,暴力输出,,310,,,,<<103;208>;<102;208>;<101;209>>,
802,蓝鳄,,,801,,<7>,2,,,,,,,801,50801,,,,<7;8;9;12>,,<65;58;80;80;59;63;405>,,2,11,2,<621;622;623;602;603>,,,2,802,,,8023,<8021;8022;8023;8026;61101;61102>,801,,<11022;11122;11222;11322>,20801,2,2,,801,16,2,2,2,<8011;8012;8013>,1091,,0.85,蓝鳄，大颚宝可梦。小锯鳄的进化形，张开大嘴攻击，牙齿即使掉下也能马上长出来。,暴力输出,,310,,,,<<103;208>;<102;208>;<101;209>>,
803,大力鳄,,,801,,<7>,3,,,,,,,801,50801,,,,<11;12;15;16>,,<85;78;105;100;79;83;530>,,2,11,2,<621;622;623;602;603>,,,2,803,,,8033,<8031;8032;8033;8036;61101;61102>,801,,<11022;11122;11222;11322>,20801,2,2,,801,16,2,2,2,<8011;8012;8013>,1091,,0.85,大力鳄，大下巴宝可梦，是小锯鳄的最终形态。巨大而有力的下巴，一旦咬住的话，在对手倒下以前，是绝对不会松口的。,暴力输出,,310,,,,<<103;208>;<102;208>;<101;209>>,
861,波克比,<cn;kr;tw;en;en_us;en_eu>,,861,,<8>,,,,,,,,861,50861,,,,<24;23;14;16>,,<35;20;20;65;40;65;245>,,3,11,3,<618;619;620;602;603>,,,3,861,,,8613,<8611;8612;8613;8616;61101;61102>,861,,<11033;11133;11233;11333>,20861,3,3,{drawcard=huang_effect_loop},861,,3,3,3,<8611;8612;8613;8614>,1002,15,0.85,波克比，针球宝可梦。据说对他温柔的话，就会发出令人心境祥和的光芒。,看脸辅助,861,410,,,,<<110;204>;<111;206>;<112;204>>,<103;102>
862,波克基古,<cn;kr;tw;en;en_us;en_eu>,,861,,<8>,2,,,,,,,861,50861,,,,<24;23;14;16>,,<55;40;40;85;80;105;405>,,3,11,3,<618;619;620;602;603>,,,3,862,,,8623,<8621;8622;8623;8626;61101;61102>,861,,<11033;11133;11233;11333>,20861,3,3,{drawcard=huang_effect_loop},861,,3,3,3,<8611;8612;8613;8614>,1002,15,0.85,据说是会带来幸运的宝可梦。如果发现心灵纯洁的人或宝可梦，就会现身并将幸福分给他们。,看脸辅助,861,410,,,,<<110;204>;<111;206>;<112;204>>,<101;102>
863,波克基斯,<cn;kr;tw;en;en_us;en_eu>,,861,,<8>,3,,,,,,,861,50861,,,,<24;23;14;16>,,<85;80;50;95;120;115;545>,,3,11,3,<618;619;620;602;603>,,,3,863,,,8633,<8631;8632;8633;8636;61101;61102>,861,,<11033;11133;11233;11333>,20861,3,3,{drawcard=huang_effect_loop},861,,3,3,3,<8611;8612;8613;8614>,1002,15,0.85,波克基斯通常对宝可梦很友好、很关心。它们往往会回避冲突，据说它们从不出现在发生冲突的地方。它们被称作会分享祝福与关心的宝可梦。,看脸辅助,861,410,,,,<<110;204>;<111;206>;<112;204>>,<102;103>
881,咩利羊,,,881,,<8>,,,,,,,,881,50881,,,,<22;24;18;20>,,<55;35;40;40;65;45;280>,,3,11,3,<612;613;614;602;603>,,,3,881,,,8813,<8811;8812;8813;8816;61151;61152>,881,,<11053;11153;11253;11353>,20881,3,3,{drawcard=huang_effect_loop},881,4,3,3,3,<8811;8812;8813;8814>,1002,15,0.9,咩利羊，绵羊宝可梦。身上软绵绵的羊毛可以储存静电，性格温驯，不喜欢战斗。,电系增益辅助,881,430,2,,,<<116;204>;<117;206>>,
882,茸茸羊,,,881,,<8>,2,,,,,,,881,50881,,,,<22;24;18;20>,,<70;45;55;55;80;60;365>,,3,11,3,<612;613;614;602;603>,,,3,882,,,8823,<8821;8822;8823;8826;61151;61152>,881,,<11053;11153;11253;11353>,20881,3,3,{drawcard=huang_effect_loop},881,4,3,3,3,<8811;8812;8813;8814>,1002,15,0.9,茸茸羊，绵毛宝可梦，软绵绵的体毛会储存电气，不过他拥有像橡皮一样的皮肤所以不会电到自己。,电系增益辅助,881,430,2,,,<<116;204>;<117;206>>,
883,电龙,,,881,,<8>,3,,,,,,,881,50881,,,,<22;24;18;20>,,<90;55;75;85;115;90;510>,,3,11,3,<612;613;614;602;603>,,,3,883,,,8833,<8831;8832;8833;8836;61151;61152>,881,,<11053;11153;11253;11353>,20881,3,3,{drawcard=huang_effect_loop},881,4,3,3,3,<8811;8812;8813;8814>,1002,15,0.9,电龙，光电宝可梦。尾巴尖端会发光，光芒可以传到很远的地方，成为指引迷路者的路标。被人们当成照明灯，很受器重。,电系增益辅助,881,430,2,,,<<116;204>;<117;206>>,
884,超级电龙,<cn;kr;tw;en;en_us;en_eu>,,881,,<8>,4,,,8810,,,,882,50881,,,,<22;24;18;20>,2,<90;45;95;105;165;110;610>,,3,11,3,<612;613;614;602;603>,,,3,884,,,8843,<8841;8842;8843;8846;61151;61152>,881,,<11053;11153;11253;11353>,20881,3,3,{drawcard=huang_effect_loop},881,4,3,3,3,<8811;8812;8813;8814>,1072,15,0.9,超级电龙中再度出现毛发，且有飘逸感，超级电龙的尾巴也出现了很多红色球体 。,电系增益辅助,884,430,2,,,<<116;204>;<117;206>>,
891,露力丽,,,891,,<8>,,,,,,,,,50891,,,,<24;23;14;16>,,<50;20;20;40;20;40;190>,,,,,<606;607;608;602;603>,,,,891,,,8913,<8911;8912;8913;8916;61151;61152>,891,,<11011;11111;11211;11311>,20891,,2,,891,11,,,,<8911;8912;8913>,,,,由充沛的营养所累积的尾巴，像橡皮球一样会反弹。在晴天的时候会聚集在水边玩水。,屠龙勇士,,210,,,,<<101;208>;<102;209>;<103;209>>,
892,玛力露,,,891,,<8>,2,,,,,,,,50891,,,,<24;23;14;16>,,<70;40;20;50;20;50;250>,,,,,<606;607;608;602;603>,,,,892,,,8923,<8921;8922;8923;8926;61151;61152>,891,,<11021;11121;11221;11321>,20891,,2,,891,11,,,,<8911;8912;8913>,,,,玛力露，水老鼠宝可梦。有对大耳朵，再远的声音都可以听得到。尾巴就像用橡胶作成的，可以伸缩自如。在水里也可以游泳。,屠龙勇士,,210,,,,<<101;208>;<102;209>;<103;209>>,
893,玛力露丽,,,891,,<8>,3,,,,,,,,50891,,,,<24;23;14;16>,,<100;50;50;80;60;80;420>,,,,,<606;607;608;602;603>,,,,893,,,8933,<8931;8932;8933;8936;61151;61152>,891,,<11021;11121;11221;11321>,20891,,2,,891,11,,,,<8911;8912;8913>,,,,玛力露丽，水兔子宝可梦，玛力露的进化形。拥有听力非常发达的耳朵，就算在激烈的水流中，也能清楚的听音辨位。,屠龙勇士,,210,,,,<<101;208>;<102;209>;<103;209>>,
901,盆才怪,<cn;kr;tw;en;en_us;en_eu>,,901,,<7>,,,,,,,,,,,,,<15;16;11;12>,,<50;10;80;95;10;45;290>,,3,11,3,<615;616;617;602;603>,,,3,901,,,9013,<9011;9012;9013;9016;61151;61152>,901,,<11043;11143;11243;11343>,20901,3,3,{drawcard=huang_effect_loop},901,4,3,3,3,<9011;9012;9013;9014>,1552,15,0.7,盆才怪，盆栽宝可梦。因为是岩属性宝可梦，所以当体内水分过多，就会显得虚弱。因此会从两眼排水，调节体内的水分。,岩石之躯,,430,2,,,<<116;204>;<117;206>>,<104>
902,树才怪,<cn;kr;tw;en;en_us;en_eu>,,901,,<7>,2,,,,,,,,,,,,<15;16;11;12>,,<70;30;100;115;30;65;410>,,3,11,3,<615;616;617;602;603>,,,3,902,,,9023,<9021;9022;9023;9026;61151;61152>,901,,<11043;11143;11243;11343>,20901,3,3,{drawcard=huang_effect_loop},901,4,3,3,3,<9011;9012;9013;9014>,1552,15,0.7,树才怪，模仿宝可梦。为了不受到攻击，经常躲在森林里面。,岩石之躯,,430,2,,,<<116;204>;<117;206>>,<103;102>
