变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,discountDesc,discountDesc_tw,discountDesc_en,discountDesc_kr,limitType,limitTimes,showUnable
2002,普通潜能石钻石,{851=10},30,{rmb=100},0,100,,,9,,,,,,,,
,,,,,,,,,,,,,,,,,
2101,宝石21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,13,<1;27>,,,,,,,
2102,宝石21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,13,<1;27>,,,,,,,
2103,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,13,<1;39>,,,,,,,
2104,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,13,<1;39>,,,,,,,
2105,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,13,<1;49>,,,,,,,
2106,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,13,<1;49>,,,,,,,
2107,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,13,<28;59>,,,,,,,
2108,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,13,<28;59>,,,,,,,
2109,宝石33,{5013=100;5014=100;5015=100},30,{rmb=210},,150,,,13,<40;69>,,,,,,,
2110,宝石33,{5013=100;5014=100;5015=100},60,{rmb=420},,150,,,13,<40;69>,,,,,,,
2111,宝石41,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,13,<50;79>,,,,,,,
2112,宝石41,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,13,<50;79>,,,,,,,
2113,宝石42,{5019=100;5020=100;5021=100},30,{rmb=270},,100,,,13,<60;84>,,,,,,,
2114,宝石42,{5019=100;5020=100;5021=100},60,{rmb=540},,100,,,13,<60;84>,,,,,,,
2115,宝石42,{5019=100;5020=100;5021=100},100,{rmb=900},,100,,,13,<60;84>,,,,,,,
2116,宝石51,{5022=100;5023=100;5024=100},30,{rmb=300},,100,,,13,<70;99>,,,,,,,
2117,宝石51,{5022=100;5023=100;5024=100},60,{rmb=600},,100,,,13,<70;99>,,,,,,,
2118,宝石51,{5022=100;5023=100;5024=100},100,{rmb=1000},,100,,,13,<70;99>,,,,,,,
2119,宝石52,{5025=100;5026=100;5027=100},30,{rmb=330},,100,,,13,<80;99>,,,,,,,
2120,宝石52,{5025=100;5026=100;5027=100},60,{rmb=660},,100,,,13,<80;99>,,,,,,,
2121,宝石52,{5025=100;5026=100;5027=100},100,{rmb=1100},,100,,,13,<80;99>,,,,,,,
2122,宝石53,{5028=100;5029=100;5030=100},30,{rmb=360},,100,,,13,<85;104>,,,,,,,
2123,宝石53,{5028=100;5029=100;5030=100},60,{rmb=720},,100,,,13,<85;104>,,,,,,,
2124,宝石53,{5028=100;5029=100;5030=100},100,{rmb=1200},,100,,,13,<85;104>,,,,,,,
2125,宝石54,{5031=100;5032=100;5033=100},30,{rmb=390},,100,,,13,<90;109>,,,,,,,
2126,宝石54,{5031=100;5032=100;5033=100},60,{rmb=780},,100,,,13,<90;109>,,,,,,,
2127,宝石54,{5031=100;5032=100;5033=100},100,{rmb=1300},,100,,,13,<90;109>,,,,,,,
2128,宝石55,{5034=100;5035=100;5036=100},30,{rmb=420},,100,,,13,<95;114>,,,,,,,
2129,宝石55,{5034=100;5035=100;5036=100},60,{rmb=840},,100,,,13,<95;114>,,,,,,,
2130,宝石55,{5034=100;5035=100;5036=100},100,{rmb=1400},,100,,,13,<95;114>,,,,,,,
2131,宝石61,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,13,<100;119>,,,,,,,
2132,宝石61,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,13,<100;119>,,,,,,,
2133,宝石61,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,13,<100;119>,,,,,,,
2134,宝石62,{5040=100;5041=100;5042=100},30,{rmb=480},,100,,,13,<105;124>,,,,,,,
2135,宝石62,{5040=100;5041=100;5042=100},60,{rmb=960},,100,,,13,<105;124>,,,,,,,
2136,宝石62,{5040=100;5041=100;5042=100},100,{rmb=1600},,100,,,13,<105;124>,,,,,,,
2137,宝石63,{5043=100;5044=100;5045=100},30,{rmb=510},,100,,,13,<110;129>,,,,,,,
2138,宝石63,{5043=100;5044=100;5045=100},60,{rmb=1020},,100,,,13,<110;129>,,,,,,,
2139,宝石63,{5043=100;5044=100;5045=100},100,{rmb=1700},,100,,,13,<110;129>,,,,,,,
2140,宝石64,{5046=100;5047=100;5048=100},30,{rmb=540},,100,,,13,<115;134>,,,,,,,
2141,宝石64,{5046=100;5047=100;5048=100},60,{rmb=1080},,100,,,13,<115;134>,,,,,,,
2142,宝石64,{5046=100;5047=100;5048=100},100,{rmb=1800},,100,,,13,<115;134>,,,,,,,
2143,宝石65,{5049=100;5050=100;5051=100},30,{rmb=570},,100,,,13,<120;139>,,,,,,,
2144,宝石65,{5049=100;5050=100;5051=100},60,{rmb=1140},,100,,,13,<120;139>,,,,,,,
2145,宝石65,{5049=100;5050=100;5051=100},100,{rmb=1900},,100,,,13,<120;139>,,,,,,,
,,,,,,,,,,,,,,,,,
2201,蓝色食物-钻石,{601=100},30,{rmb=300},0,0,,,10,,,,,,,,
2202,紫色食物-钻石,{602=100},30,{rmb=600},0,600,,,10,,,,,,,,
2203,BOSS紫色食物-钻石,{604=100},30,{rmb=1200},0,300,,,10,,,,,,,,
,BOSS蓝色食物-钻石,{335=100;338=100;347=100;353=100;362=100;365=100;368=100;371=50;377=100;383=50;386=100;389=100;392=100;395=100},30,{rmb=300},0,120,,,10,,,,,,,,
,BOSS紫色食物-钻石,{336=100;339=100;348=100;354=100;363=100;366=100;369=100;372=50;378=100;384=50;387=100;390=100;393=100;396=100},20,{rmb=1200},0,120,,,10,,,,,,,,
,,,,,,,,,,,,,,,,,
2301,宝石21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,14,<1;27>,,,,,,,
2302,宝石21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,14,<1;27>,,,,,,,
2303,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,14,<1;39>,,,,,,,
2304,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,14,<1;39>,,,,,,,
2305,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,14,<1;49>,,,,,,,
2306,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,14,<1;49>,,,,,,,
2307,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,14,<28;59>,,,,,,,
2308,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,14,<28;59>,,,,,,,
2309,宝石33,{5013=100;5014=100;5015=100},30,{rmb=210},,150,,,14,<40;69>,,,,,,,
2310,宝石33,{5013=100;5014=100;5015=100},60,{rmb=420},,150,,,14,<40;69>,,,,,,,
2311,宝石41,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,14,<50;79>,,,,,,,
2312,宝石41,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,14,<50;79>,,,,,,,
2313,宝石42,{5019=100;5020=100;5021=100},30,{rmb=270},,100,,,14,<60;84>,,,,,,,
2314,宝石42,{5019=100;5020=100;5021=100},60,{rmb=540},,100,,,14,<60;84>,,,,,,,
2315,宝石42,{5019=100;5020=100;5021=100},100,{rmb=900},,100,,,14,<60;84>,,,,,,,
2316,宝石51,{5022=100;5023=100;5024=100},30,{rmb=300},,100,,,14,<70;99>,,,,,,,
2317,宝石51,{5022=100;5023=100;5024=100},60,{rmb=600},,100,,,14,<70;99>,,,,,,,
2318,宝石51,{5022=100;5023=100;5024=100},100,{rmb=1000},,100,,,14,<70;99>,,,,,,,
2319,宝石52,{5025=100;5026=100;5027=100},30,{rmb=330},,100,,,14,<80;99>,,,,,,,
2320,宝石52,{5025=100;5026=100;5027=100},60,{rmb=660},,100,,,14,<80;99>,,,,,,,
2321,宝石52,{5025=100;5026=100;5027=100},100,{rmb=1100},,100,,,14,<80;99>,,,,,,,
2322,宝石53,{5028=100;5029=100;5030=100},30,{rmb=360},,100,,,14,<85;104>,,,,,,,
2323,宝石53,{5028=100;5029=100;5030=100},60,{rmb=720},,100,,,14,<85;104>,,,,,,,
2324,宝石53,{5028=100;5029=100;5030=100},100,{rmb=1200},,100,,,14,<85;104>,,,,,,,
2325,宝石54,{5031=100;5032=100;5033=100},30,{rmb=390},,100,,,14,<90;109>,,,,,,,
2326,宝石54,{5031=100;5032=100;5033=100},60,{rmb=780},,100,,,14,<90;109>,,,,,,,
2327,宝石54,{5031=100;5032=100;5033=100},100,{rmb=1300},,100,,,14,<90;109>,,,,,,,
2328,宝石55,{5034=100;5035=100;5036=100},30,{rmb=420},,100,,,14,<95;114>,,,,,,,
2329,宝石55,{5034=100;5035=100;5036=100},60,{rmb=840},,100,,,14,<95;114>,,,,,,,
2330,宝石55,{5034=100;5035=100;5036=100},100,{rmb=1400},,100,,,14,<95;114>,,,,,,,
2331,宝石61,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,14,<100;119>,,,,,,,
2332,宝石61,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,14,<100;119>,,,,,,,
2333,宝石61,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,14,<100;119>,,,,,,,
2334,宝石62,{5040=100;5041=100;5042=100},30,{rmb=480},,100,,,14,<105;124>,,,,,,,
2335,宝石62,{5040=100;5041=100;5042=100},60,{rmb=960},,100,,,14,<105;124>,,,,,,,
2336,宝石62,{5040=100;5041=100;5042=100},100,{rmb=1600},,100,,,14,<105;124>,,,,,,,
2337,宝石63,{5043=100;5044=100;5045=100},30,{rmb=510},,100,,,14,<110;129>,,,,,,,
2338,宝石63,{5043=100;5044=100;5045=100},60,{rmb=1020},,100,,,14,<110;129>,,,,,,,
2339,宝石63,{5043=100;5044=100;5045=100},100,{rmb=1700},,100,,,14,<110;129>,,,,,,,
2340,宝石64,{5046=100;5047=100;5048=100},30,{rmb=540},,100,,,14,<115;134>,,,,,,,
2341,宝石64,{5046=100;5047=100;5048=100},60,{rmb=1080},,100,,,14,<115;134>,,,,,,,
2342,宝石64,{5046=100;5047=100;5048=100},100,{rmb=1800},,100,,,14,<115;134>,,,,,,,
2343,宝石65,{5049=100;5050=100;5051=100},30,{rmb=570},,100,,,14,<120;139>,,,,,,,
2344,宝石65,{5049=100;5050=100;5051=100},60,{rmb=1140},,100,,,14,<120;139>,,,,,,,
2345,宝石65,{5049=100;5050=100;5051=100},100,{rmb=1900},,100,,,14,<120;139>,,,,,,,
,,,,,,,,,,,,,,,,,
2401,蓝色食物-钻石,{601=100},30,{rmb=300},0,0,,,11,,,,,,,,
2402,紫色食物-钻石,{602=100},30,{rmb=600},0,600,,,11,,,,,,,,
2403,BOSS紫色食物-钻石,{604=100},30,{rmb=1200},0,300,,,11,,,,,,,,
,BOSS蓝色食物-钻石,{335=100;338=100;347=100;353=100;362=100;365=100;368=100;371=50;377=100;383=50;386=100;389=100;392=100;395=100},30,{rmb=300},0,120,,,11,,,,,,,,
,BOSS紫色食物-钻石,{336=100;339=100;348=100;354=100;363=100;366=100;369=100;372=50;378=100;384=50;387=100;390=100;393=100;396=100},20,{rmb=1200},0,120,,,11,,,,,,,,
,,,,,,,,,,,,,,,,,
2501,宝石21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,15,<1;27>,,,,,,,
2502,宝石21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,15,<1;27>,,,,,,,
2503,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,15,<1;39>,,,,,,,
2504,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,15,<1;39>,,,,,,,
2505,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,15,<1;49>,,,,,,,
2506,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,15,<1;49>,,,,,,,
2507,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,15,<28;59>,,,,,,,
2508,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,15,<28;59>,,,,,,,
2509,宝石33,{5013=100;5014=100;5015=100},30,{rmb=210},,150,,,15,<40;69>,,,,,,,
2510,宝石33,{5013=100;5014=100;5015=100},60,{rmb=420},,150,,,15,<40;69>,,,,,,,
2511,宝石41,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,15,<50;79>,,,,,,,
2512,宝石41,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,15,<50;79>,,,,,,,
2513,宝石42,{5019=100;5020=100;5021=100},30,{rmb=270},,100,,,15,<60;84>,,,,,,,
2514,宝石42,{5019=100;5020=100;5021=100},60,{rmb=540},,100,,,15,<60;84>,,,,,,,
2515,宝石42,{5019=100;5020=100;5021=100},100,{rmb=900},,100,,,15,<60;84>,,,,,,,
2516,宝石51,{5022=100;5023=100;5024=100},30,{rmb=300},,100,,,15,<70;99>,,,,,,,
2517,宝石51,{5022=100;5023=100;5024=100},60,{rmb=600},,100,,,15,<70;99>,,,,,,,
2518,宝石51,{5022=100;5023=100;5024=100},100,{rmb=1000},,100,,,15,<70;99>,,,,,,,
2519,宝石52,{5025=100;5026=100;5027=100},30,{rmb=330},,100,,,15,<80;99>,,,,,,,
2520,宝石52,{5025=100;5026=100;5027=100},60,{rmb=660},,100,,,15,<80;99>,,,,,,,
2521,宝石52,{5025=100;5026=100;5027=100},100,{rmb=1100},,100,,,15,<80;99>,,,,,,,
2522,宝石53,{5028=100;5029=100;5030=100},30,{rmb=360},,100,,,15,<85;104>,,,,,,,
2523,宝石53,{5028=100;5029=100;5030=100},60,{rmb=720},,100,,,15,<85;104>,,,,,,,
2524,宝石53,{5028=100;5029=100;5030=100},100,{rmb=1200},,100,,,15,<85;104>,,,,,,,
2525,宝石54,{5031=100;5032=100;5033=100},30,{rmb=390},,100,,,15,<90;109>,,,,,,,
2526,宝石54,{5031=100;5032=100;5033=100},60,{rmb=780},,100,,,15,<90;109>,,,,,,,
2527,宝石54,{5031=100;5032=100;5033=100},100,{rmb=1300},,100,,,15,<90;109>,,,,,,,
2528,宝石55,{5034=100;5035=100;5036=100},30,{rmb=420},,100,,,15,<95;114>,,,,,,,
2529,宝石55,{5034=100;5035=100;5036=100},60,{rmb=840},,100,,,15,<95;114>,,,,,,,
2530,宝石55,{5034=100;5035=100;5036=100},100,{rmb=1400},,100,,,15,<95;114>,,,,,,,
2531,宝石61,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,15,<100;119>,,,,,,,
2532,宝石61,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,15,<100;119>,,,,,,,
2533,宝石61,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,15,<100;119>,,,,,,,
2534,宝石62,{5040=100;5041=100;5042=100},30,{rmb=480},,100,,,15,<105;124>,,,,,,,
2535,宝石62,{5040=100;5041=100;5042=100},60,{rmb=960},,100,,,15,<105;124>,,,,,,,
2536,宝石62,{5040=100;5041=100;5042=100},100,{rmb=1600},,100,,,15,<105;124>,,,,,,,
2537,宝石63,{5043=100;5044=100;5045=100},30,{rmb=510},,100,,,15,<110;129>,,,,,,,
2538,宝石63,{5043=100;5044=100;5045=100},60,{rmb=1020},,100,,,15,<110;129>,,,,,,,
2539,宝石63,{5043=100;5044=100;5045=100},100,{rmb=1700},,100,,,15,<110;129>,,,,,,,
2540,宝石64,{5046=100;5047=100;5048=100},30,{rmb=540},,100,,,15,<115;134>,,,,,,,
2541,宝石64,{5046=100;5047=100;5048=100},60,{rmb=1080},,100,,,15,<115;134>,,,,,,,
2542,宝石64,{5046=100;5047=100;5048=100},100,{rmb=1800},,100,,,15,<115;134>,,,,,,,
2543,宝石65,{5049=100;5050=100;5051=100},30,{rmb=570},,100,,,15,<120;139>,,,,,,,
2544,宝石65,{5049=100;5050=100;5051=100},60,{rmb=1140},,100,,,15,<120;139>,,,,,,,
2545,宝石65,{5049=100;5050=100;5051=100},100,{rmb=1900},,100,,,15,<120;139>,,,,,,,
