变量名,skillName,_beizhu,skillTypeShow,describe,describe1,simDesc,starEffect,starEffectDesc,starEffectDesc1,zawakeEffect,zawakeEffectDesc,zawakeEffectDesc1,zawakeStarEffectDesc1,zawakeSimpleType,zawakeSimpleDesc,upLvDesc,iconRes,isGlobal,changeUnitTrigger,isCombat,alwaysEffective,passivePriority,skillType,skillType2,skillDamageType,skillNatureType,skillPower,skillHit,weather,cdRound,startRound,passiveStartRound,passiveTriggerType,passiveTriggerArg,posChoose,moveTime,specialChoose,hitFormula,hintTargetType,hintChoose,specialHintChoose,autoHintChoose,targetTypeDesc,targetChooseType,_attacktest,damageFormula,_damageFormula,hpFormula,skillCalDamageProcessId,diffSkillCalDmgProcessId,skillProcess,passiveSkillAttrs,activeType,activeCondition,fightingPoint,costMp1,costMp1Args,recoverMp1,widgetEffects,hurtMp1,costID,posC,chargeArgs,skillArgs,conditionValue,spineAction,flashBack,cameraNear,cameraNear_posC,cameraNear_blankTime,cameraNear_scaleArgs,blankTime,scaleArgs,effectBigName,effectBigPos,effectBigFlip,notShowProcedure,hurtPos,sound,allEffectTime,descGray,keyWords,zawakeKeyWords,skillPriority,zawakeStarEffectDesc,specialRatio,skillFlag,summonInherit,blockEffect,__version
2636,精神强念,,,,<{title=精神强念};提升自身#C0x5c9970#$(10+skillLevel*0.2-0.2)$%#C0x5B545B#的控制率>,,<6;8>,,<<<>;自身生命值首次低于30%时，用剩余的念力输送给己方随机两个目标2回合，使其在攻击时有40%概率【石化】目标1回合>;<<>;额外效果：生命比例从未低于过30%时，自身速度提升20%（不可驱散）>>,<79004>,,{1={title=皇者光环};2=提升自身#C0x5c9970#$(10+skillLevel*0.2-0.2)$%#C0x5B545B#的控制率},<<<>;自身生命值首次低于30%时，用剩余的念力输送给己方随机两个目标2回合，使其在攻击时有40%概率【石化】目标1回合，超能系精灵在获得念力时，攻击时会有60%概率【石化】目标1回合>;<<>;额外效果：生命比例从未低于过30%时，自身速度提升20%（不可驱散）>>,,#C0x5c9970#超能系精灵在获得念力时，攻击时会有60%概率【石化】目标1回合,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,<26361>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<【石化】>,<【石化】>,,,,,,,
2641,精神突刺,,,,<攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，降低目标20%特攻，转化为对自身的特攻加成，持续2回合>,,,,,<79001>,,{1=攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，降低目标20%特攻，转化为对自身的特攻加成，持续3回合},,,降低目标20%特攻，转化为对自身的特攻加成，持续2回合\n#F20#\n#F40##C0x5c9970#→降低目标20%特攻，转化为对自身的特攻加成，持续3回合#C0x5B545B#,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,11,,,,,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,,,,,<26411;26412>,,,,,,,240,,,,{x=-120;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/hudimega_attack.mp3},,,,,,,,,,,
2642,光波射线,,,,<攻击敌方单体目标，造成#C0x3D8A99#170%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，有50%几率【沉默】目标1回合>,,,,,<79002>,,{1=攻击敌方单体目标，造成#C0x3D8A99#170%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，有80%几率【沉默】目标1回合},,,有50%几率沉默目标1回合\n#F20#\n#F40##C0x5c9970#→有80%几率沉默目标1回合#C0x5B545B#,固定伤害+192,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,1,11,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1.7+(self:flag(99) and skillLevel or skillLevel*4)*48,,,,,<26421;26422;26423>,,,,,,,360,,,2,{x=-150;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/hudimega_skill1.mp3},,,<【沉默】>,<【沉默】>,,,,,,,
2643,空间光波,,,,<攻击敌方全体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，40%几率【石化】目标1回合，对未被石化的目标本次伤害提升30%>,超级胡地预知未来，从未来借用强大的精神力量攻击敌方全体目标，并有几率石化目标,<11>,,<额外效果：提升20%额外石化概率，对特攻低于自身的单位造成30%额外必杀伤害；每次释放必杀技后降低10%额外石化概率，提升20%额外必杀伤害>,<79003>,,{1=攻击敌方全体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，40%几率【石化】目标1回合，对未被石化的目标本次伤害提升60%},<额外效果：提升20%额外石化概率，对特攻低于自身的单位造成30%额外必杀伤害；每次释放必杀技后降低10%额外石化概率，提升20%额外必杀伤害>,,对未被石化的目标本次伤害提升30%\n#F20#\n#F40##C0x5c9970#→对未被石化的目标本次伤害提升60%#C0x5B545B#,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,1,11,,,,,,,,,,,,,,11,,,敌方全体,all,,"(self:specialDamage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*36)*(target:hasBuff(264115) and 1 or (self:flagZ3() and 1.6 or 1.3))*(moreThan(self:specialDamage(),target:specialDamage()) and (1.3+self:getBuffOverlayCount(264131)*0.2) or 1)",,,,,<26431;26432;26433;26434;26435>,,,,,1000,,,,,3,{x=-200;y=100},,,,skill2,,,,8433.3,{delayLast=8433.3;endLast=50;scale=1;startLast=50},8433.3,{delayLast=8433.3;endLast=50;scale=1;startLast=50},<img_65_cjhd@>,,,,{x=150;y=-50},{loop=0;delay=0;res=hero_sound/hudimega_skill2.mp3},,,<【石化】>,<【石化】>,,,5,<11>,,,
2646,念力控制,,,,<{title=念力控制};提升自身#C0x5c9970#$(10+skillLevel*0.2-0.2)$%#C0x5B545B#的控制率>,,<6;8>,,<<<>;自身生命比例首次低于35%时，将自身的强大念力输送给其余存活队友，使其获得【念力】2回合>;<<>;额外效果：战斗开始时，使自身物防降为0持续2回合，提升自身20%速度1回合，并获得350怒气值>>,<79004;1>,,{1={title=念力控制};2=提升自身#C0x5c9970#$(10+skillLevel*0.2-0.2)$%#C0x5B545B#的控制率},<<<>;自身生命比例首次低于35%时，将自身的强大念力输送给其余存活队友，使其获得【念力】2回合>;<<>;额外效果：战斗开始时，使自身物防降为0持续2回合，提升自身30%速度1回合，并获得420怒气值>>,,战斗开始时，使自身物防降为0持续2回合，提升自身20%速度1回合，并获得350怒气值\n#F20#\n#F40##C0x5c9970#→战斗开始时，使自身物防降为0持续2回合，提升自身30%速度1回合，并获得420怒气值#C0x5B545B#,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,<26461;26462>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<【念力】>,<【念力】>,,,,,,,
2651,铃铛射线,,,,<攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，降低目标10%特攻2回合>,胡地用勺子攻击敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，降低目标20%特攻2回合},,,#C0x5c9970#降低目标10%特攻2回合\n#F20#\n#F40##C0x5c9970#→降低目标20%特攻2回合,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,11,,,,,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,,,,,<26511;26512>,,,,,,,240,,,,{x=-380;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/hudipf_attack.mp3},,,,,,,,,,,
2652,光波射线,,,,<攻击敌方单体目标，造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，30%概率【沉默】目标1回合>,胡地瞬间移动到敌方单体目标前攻击,,,,<79002>,,{1=攻击敌方单体目标，造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，40%概率【沉默】目标1回合},,,30%概率【沉默】目标1回合\n#F20#\n#F40##C0x5c9970#→40%概率【沉默】目标1回合,固定伤害+192,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,1,11,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1.6+(self:flag(99) and skillLevel or skillLevel*4)*48,,,,,<26521;26522>,,,,,,,360,,,2,{x=-340;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/hudipf_skill1.mp3},,,<【沉默】>,<【沉默】>,,,,,,,
2653,圣诞降临,,,,<攻击敌方全体目标，造成#C0x3D8A99#140%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，35%概率【石化】目标1回合，未被石化的目标降低其30%特防2回合>,叮叮当，叮叮当，胡地踏雪而来，播撒圣诞礼物攻击敌方全体目标，有几率石化目标，未被石化则降低其特防,<11>,,<额外效果：【石化】概率提升5%，对特攻低于自身的目标额外造成30%的伤害>,<79003>,,{1=攻击敌方全体目标，造成#C0x3D8A99#140%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，35%概率【石化】目标1回合，未被石化的目标降低其30%特防2回合并提高5%下次被石化的概率，该效果可叠加直至被石化},<额外效果：【石化】概率提升5%，对特攻低于自身的目标额外造成30%的伤害>,,#C0x5c9970#未被石化的目标会提升5%下次被石化的概率，该效果可叠加直至被石化,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,1,11,,,,,,,,,,,,,,11,,,敌方全体,all,,"(self:specialDamage()*1.4+(self:flag(99) and skillLevel or skillLevel*4)*36)*( moreEqualThan(self:star(),11) and (moreThan(self:specialDamage(),target:specialDamage()) and 1.3 or 1 )or 1)",,,,,<26531;26532;26533;26534>,,,,,1000,,,,,3,{x=-60;y=30},,,,skill2,,,,10825,,10825,,<img_65_hdpf@>,,,,,{loop=0;delay=0;res=hero_sound/hudipf_skill2.mp3},,,<【石化】>,<【石化】>,,,5,<11>,,,
2656,精神强念,,,,<{title=精神强念};提升自身#C0x5c9970#$(10+skillLevel*0.2-0.2)$%#C0x5B545B#的控制率>,,<6;8>,,<<<>;自身生命值首次低于30%时，用剩余的念力输送给己方随机两个目标2回合，使其在攻击时有40%概率【石化】目标1回合>;<<>;额外效果：生命比例从未低于过30%时，自身速度提升20%（不可驱散）>>,<79004>,,{1={title=皇者光环};2=提升自身#C0x5c9970#$(10+skillLevel*0.2-0.2)$%#C0x5B545B#的控制率},<<<>;自身生命值首次低于30%时，用剩余的念力输送给己方随机两个目标2回合，使其在攻击时有40%概率【石化】目标1回合，超能系精灵在获得念力时，攻击时会有60%概率【石化】目标1回合>;<<>;额外效果：生命比例从未低于过30%时，自身速度提升20%（不可驱散）>>,,#C0x5c9970#超能系精灵在获得念力时，攻击时会有60%概率【石化】目标1回合,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,<26561;26562>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<【石化】>,<【石化】>,,,,,,,
2661,铃铛射线,,,,<攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，降低目标20%特攻，转化为对自身的特攻加成，持续2回合>,,,,,<79001>,,{1=攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，降低目标20%特攻，转化为对自身的特攻加成，持续3回合},,,降低目标20%特攻，转化为对自身的特攻加成，持续2回合\n#F20#\n#F40##C0x5c9970#→降低目标20%特攻，转化为对自身的特攻加成，持续3回合#C0x5B545B#,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,11,,,,,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,,,,,<26611;26612>,,,,,,,240,,,,{x=-380;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/hudipf_attack.mp3},,,,,,,,,,,
2662,光波射线,,,,<攻击敌方单体目标，造成#C0x3D8A99#170%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，有50%几率【沉默】目标1回合>,,,,,<79002>,,{1=攻击敌方单体目标，造成#C0x3D8A99#170%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，有80%几率【沉默】目标1回合},,,有50%几率沉默目标1回合\n#F20#\n#F40##C0x5c9970#→有80%几率沉默目标1回合#C0x5B545B#,固定伤害+192,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,1,11,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1.7+(self:flag(99) and skillLevel or skillLevel*4)*48,,,,,<26621;26622;26623>,,,,,,,360,,,2,{x=-340;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/hudipf_skill1.mp3},,,<【沉默】>,<【沉默】>,,,,,,,
2663,圣诞降临,,,,<攻击敌方全体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，40%几率【石化】目标1回合，对未被石化的目标本次伤害提升30%>,叮叮当，叮叮当，超级胡地踏雪而来，播撒圣诞礼物攻击敌方全体目标，并有几率石化目标,<11>,,<额外效果：提升20%额外石化概率，对特攻低于自身的单位造成30%额外必杀伤害；每次释放必杀技后降低10%额外石化概率，提升20%额外必杀伤害>,<79003>,,{1=攻击敌方全体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，40%几率【石化】目标1回合，对未被石化的目标本次伤害提升60%},<额外效果：提升20%额外石化概率，对特攻低于自身的单位造成30%额外必杀伤害；每次释放必杀技后降低10%额外石化概率，提升20%额外必杀伤害>,,对未被石化的目标本次伤害提升30%\n#F20#\n#F40##C0x5c9970#→对未被石化的目标本次伤害提升60%#C0x5B545B#,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,1,11,,,,,,,,,,,,,,11,,,敌方全体,all,,"(self:specialDamage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*36)*(target:hasBuff(266115) and 1 or (self:flagZ3() and 1.6 or 1.3))*(moreThan(self:specialDamage(),target:specialDamage()) and (1.3+self:getBuffOverlayCount(266131)*0.2) or 1)",,,,,<26631;26632;26633;26634;26635>,,,,,1000,,,,,3,{x=-60;y=30},,,,skill2,,,,10825,,10825,,<img_65_cjhdpf@>,,,,,{loop=0;delay=0;res=hero_sound/hudipf_skill2.mp3},,,<【石化】>,<【石化】>,,,5,<11>,,,
2666,念力控制,,,,<{title=念力控制};提升自身#C0x5c9970#$(10+skillLevel*0.2-0.2)$%#C0x5B545B#的控制率>,,<6;8>,,<<<>;自身生命比例首次低于35%时，将自身的强大念力输送给其余存活队友，使其获得【念力】2回合>;<<>;额外效果：战斗开始时，使自身物防降为0持续2回合，提升自身20%速度1回合，并获得350怒气值>>,<79004;1>,,{1={title=念力控制};2=提升自身#C0x5c9970#$(10+skillLevel*0.2-0.2)$%#C0x5B545B#的控制率},<<<>;自身生命比例首次低于35%时，将自身的强大念力输送给其余存活队友，使其获得【念力】2回合>;<<>;额外效果：战斗开始时，使自身物防降为0持续2回合，提升自身30%速度1回合，并获得420怒气值>>,,战斗开始时，使自身物防降为0持续2回合，提升自身20%速度1回合，并获得350怒气值\n#F20#\n#F40##C0x5c9970#→战斗开始时，使自身物防降为0持续2回合，提升自身30%速度1回合，并获得420怒气值#C0x5B545B#,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,<26661;26662;26663>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<【念力】>,<【念力】>,,,,,,,
2711,空手刀,,,,<攻击敌方单体目标，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#>,腕力用手刀劈斩敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#，提高自身10%物攻2回合},,,#C0x5c9970#提高自身10%物攻2回合,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,,7,,,,,,,,,1,,,,,,,,敌方单体,single,,self:damage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,,,,,<27111;27112;27113>,,,,,,,240,,,,{x=-180;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/wanli_attack.mp3},,,,,,,,,,,
2712,旋转击打,,,,<攻击敌方单体目标，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，并为我方物攻最高的单位提升10%命中率2回合，若为格斗系，则额外增加10%>,腕力旋转自身挥舞拳头攻击敌方单体目标,,,,<79002>,,{1=攻击敌方单体目标，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，并为我方物攻最高的单位提升10%命中率和20%物攻2回合，若为格斗系，则效果翻倍},,,并为我方物攻最高的单位提升10%命中率2回合，若为格斗系，则额外增加10%\n#F20#\n#F40##C0x5c9970#→并为我方物攻最高的单位提升10%命中率和20%物攻2回合，若为格斗系，则效果翻倍,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,,7,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:damage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*36,,,,,<27121;27122;27124>,,,,,,,360,,,2,{x=-300;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/wanli_skill1.mp3},,,,,,,,,,,
2713,十字切,,,,<攻击敌方单体目标，造成#C0xE69900#800%物攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#物理伤害#C0x5B545B#，然后舍弃自身全部防御能力（双防、抵御、抗暴、伤害减免），持续2回合>,腕力乱拳攻击敌方单体目标然后对其释放十字刃，并舍弃自身全部防御能力,<11>,,<额外效果：使敌人无法闪避我方攻击1回合>,<79003>,,{1=攻击敌方单体目标，造成#C0xE69900#800%物攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#物理伤害#C0x5B545B#，然后舍弃自身全部防御能力（双防、抵御、抗暴、伤害减免），持续1回合},<额外效果：使敌人无法闪避我方攻击1回合>,,舍弃防御效果持续2回合\n#F20#\n#F40##C0x5c9970#→舍弃防御效果持续1回合,固定伤害+240,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,,7,,,,,,,,,1,,,,,,,,敌方单体,single,,self:damage()*8+(self:flag(99) and skillLevel or skillLevel*4)*60,,,,,<27131;27132;27133;27134;27135>,,,,,1000,,,,,3,{x=-400;y=0},,,,skill2,,,,5700,{delayLast=5700;endLast=50;scale=1;startLast=50},5700,{delayLast=5700;endLast=50;scale=1;startLast=50},<img_66_wl@>,,,,,{loop=0;delay=0;res=hero_sound/wanli_skill2.mp3},,,,,,,,,,,
2716,不屈之心,,,,<{title=不屈之心};自身攻击和被攻击时，都无法闪避，必然命中；\n光环技：提升友方格斗系精灵#C0x5c9970#$(5+skillLevel*0.05-0.05)$%#C0x5B545B#物攻与物防>,,<8>,,<<>;效果强化：并额外为友方格斗系提升10%物攻与15%物防>,<79004>,,{1={title=不屈之心};2=自身攻击和被攻击时，都无法闪避，必然命中；\n光环技：提升友方格斗系精灵#C0x5c9970#$(5+skillLevel*0.05-0.05)$%#C0x5B545B#物攻与物防；自身攻击后，有50%概率使目标获得10%格斗易伤1回合},<<>;效果强化：并额外为友方格斗系提升10%物攻与15%物防>,,#C0x5c9970#自身攻击后，有50%概率使目标获得10%格斗易伤1回合,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,200,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,<27161;27162>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721,劈瓦,,,,<攻击敌方单体目标，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#>,豪力用手刀劈斩敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#，提高自身10%物攻2回合},,,#C0x5c9970#提高自身10%物攻2回合,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,200,,0,,7,,,,,,,,,1,,,,,,,,敌方单体,single,,self:damage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,,,,,<27211;27212;27213>,,,,,,,240,,,,{x=-250;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/haoli_attack.mp3},,,,,,,,,,,
2722,低空踢,,,,<攻击敌方单体目标，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，并为我方物攻最高的单位提升10%命中率2回合，若为格斗系，则额外增加10%>,豪力用膝盖猛击敌方单体目标,,,,<79002>,,{1=攻击敌方单体目标，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，并为我方物攻最高的单位提升10%命中率和20%物攻2回合，若为格斗系，则效果翻倍},,,并为我方物攻最高的单位提升10%命中率2回合，若为格斗系，则额外增加10%\n#F20#\n#F40##C0x5c9970#→并为我方物攻最高的单位提升10%命中率和20%物攻2回合，若为格斗系，则效果翻倍,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,,7,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:damage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*36,,,,,<27221;27222;27224>,,,,,,,360,,,2,{x=-200;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/haoli_skill1.mp3},,,,,,,,,,,
2723,地狱重投,,,,<攻击敌方单体目标，造成#C0xE69900#800%物攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#物理伤害#C0x5B545B#，然后舍弃自身全部防御能力（双防、抵御、抗暴、伤害减免），持续2回合>,豪力抓起敌方单体目标腾于高空，然后投向地面，并舍弃自身全部防御能力,<11>,,<额外效果：使敌人无法闪避我方攻击1回合>,<79003>,,{1=攻击敌方单体目标，造成#C0xE69900#800%物攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#物理伤害#C0x5B545B#，然后舍弃自身全部防御能力（双防、抵御、抗暴、伤害减免），持续1回合},<额外效果：使敌人无法闪避我方攻击1回合>,,舍弃防御效果持续2回合\n#F20#\n#F40##C0x5c9970#→舍弃防御效果持续1回合,固定伤害+240,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,,7,,,,,,,,,1,,,,,,,,敌方单体,single,,self:damage()*8+(self:flag(99) and skillLevel or skillLevel*4)*60,,,,,<27231;27232;27233;27234;27235;27236>,,,,,1000,,,,,3,{x=-480;y=0},,,,skill2,,,,6366.67,{delayLast=6266.67;endLast=50;scale=1;startLast=50},6366.67,{delayLast=6266.67;endLast=50;scale=1;startLast=50},<img_67_hl@>,,,,,{loop=0;delay=0;res=hero_sound/haoli_skill2.mp3},,,,,,,,,,,
2726,不屈之心,,,,<{title=不屈之心};自身攻击和被攻击时，都无法闪避，必然命中；\n光环技：提升友方格斗系精灵#C0x5c9970#$(5+skillLevel*0.05-0.05)$%#C0x5B545B#物攻与物防>,,<8>,,<<>;效果强化：并额外为友方格斗系提升10%物攻与15%物防>,<79004>,,{1={title=不屈之心};2=自身攻击和被攻击时，都无法闪避，必然命中；\n光环技：提升友方格斗系精灵#C0x5c9970#$(5+skillLevel*0.05-0.05)$%#C0x5B545B#物攻与物防；自身攻击后，有50%概率使目标获得10%格斗易伤1回合},<<>;效果强化：并额外为友方格斗系提升10%物攻与15%物防>,,#C0x5c9970#自身攻击后，有50%概率使目标获得10%格斗易伤1回合,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,200,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,<27261;27262>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731,乱拳,,,,<攻击敌方单体目标，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#>,怪力快速挥舞乱拳攻击敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#，提高自身10%物攻2回合},,,#C0x5c9970#提高自身10%物攻2回合,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,200,,0,,7,,,,,,,,,1,,,,,,,,敌方单体,single,,self:damage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,,,,,<27311;27312;27313>,,,,,,,240,,,,{x=-100;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/guaili_attack.mp3},,,,,,,,,,,
2732,螺旋打桩,,,,<攻击敌方单体目标，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，并为我方物攻最高的单位提升10%命中率2回合，若为格斗系，则额外增加10%>,怪力旋转挥舞拳并膝击敌方单体目标,,,,<79002>,,{1=攻击敌方单体目标，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，并为我方物攻最高的单位提升10%命中率和20%物攻2回合，若为格斗系，则效果翻倍},,,并为我方物攻最高的单位提升10%命中率2回合，若为格斗系，则额外增加10%\n#F20#\n#F40##C0x5c9970#→并为我方物攻最高的单位提升10%命中率和20%物攻2回合，若为格斗系，则效果翻倍,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,,7,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:damage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*36,,,,,<27321;27322;27324>,,,,,,,360,,,2,{x=-250;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/guaili_skill1.mp3},,,,,,,,,,,
