变量名,name,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSpine,cardSpinePos,cardSpineScale,finalDamageSubC,extraSkillList,cardSkinScale,followSpineScale,weight,shinyPos,height,followSpinePos,shiny,cardSpineNeedStar,cardSkinPos,fakePassiveSkillList,shinyRes,mZawakeStatus,unitType,frontPriority,elementalDamageAddC,elementalDamageDeepenC,elementalDamageReduceC,elementalDamageSubC,finalDamageAddC,finalDamageDeepenC,finalDamageReduceC,ignoreDamageSubC,mpAttackRecoverC,mpBeAttackRecoverC,shieldPowerC,skinReplaceIDs,__version
60393,耿鬼,common,3,14,8,,<99>,,,,393,,config/portrait/speedranktouxiang/img_94_gg@.png,config/portrait/jinglingtouxiang/img_94_gg@.png,config/portrait/jinglingtouxiang1/img_94_gg@.png,config/portrait/simple/img_94_gg@.png,config/big_hero/normal/img_94_gg@.png,,{x=-5;y=30},koudai_genggui/hero_genggui.skel,,config/big_hero/standby/img_94_gg@.png,,,,<3931;3932;3933>,,,{headPos={y=260;x=0};hitPos={y=140;x=0};lifePos={y=300;x=0};namePos={y=300;x=0}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,1.5,,,,,,,,,,,,,,,,,,,,,,
60394,超级耿鬼,common,3,14,8,,<99>,,,,394,,config/portrait/speedranktouxiang/img_94_cjgg@.png,config/portrait/jinglingtouxiang/img_94_cjgg@.png,config/portrait/jinglingtouxiang1/img_94_cjgg@.png,config/portrait/simple/img_94_cjgg@.png,config/big_hero/normal/img_94_cjgg@.png,0.9,{x=-5;y=20},koudai_gengguimega/hero_gengguimega.skel,,config/big_hero/standby/img_94_cjgg@.png,,,,<3941;3942;3943>,,,{headPos={y=280;x=0};hitPos={y=160;x=0};lifePos={y=320;x=0};namePos={y=320;x=0}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,1.5,,,,,,,,,,,,,,,,,,,,,,
60401,大岩蛇,common,3,13,9,,<99>,,,,401,,config/portrait/speedranktouxiang/img_95_dys@.png,config/portrait/jinglingtouxiang/img_95_dys@.png,config/portrait/jinglingtouxiang1/img_95_dys@.png,config/portrait/simple/img_95_dys@.png,config/big_hero/normal/img_95_dys@.png,0.8,{x=5;y=0},koudai_dayanshe/hero_dayanshe.skel,,config/big_hero/standby/img_95_dys@.png,,,,<4011;4012;4013>,,,{headPos={y=310;x=0};hitPos={y=165;x=0};lifePos={y=350;x=0};namePos={y=350;x=0}},,,,2.8,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<4017>,,,210,,8.8,,,,,,,,,,,,,,,,,,,,,,
60402,大钢蛇,common,3,17,9,,<99>,,,,402,,config/portrait/speedranktouxiang/img_208_dgs@.png,config/portrait/jinglingtouxiang/img_208_dgs@.png,config/portrait/jinglingtouxiang1/img_208_dgs@.png,config/portrait/simple/img_208_dgs@.png,config/big_hero/normal/img_208_dgs@.png,1.4,{x=45;y=20},koudai_dagangshe/hero_dagangshe.skel,,config/big_hero/standby/img_208_dgs@.png,,,,<4021;4022;4023>,,,{headPos={y=340;x=0};hitPos={y=180;x=0};lifePos={y=380;x=0};namePos={y=380;x=0}},,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,9.2,,,,,,,,,,,,,,,,,,,,,,
60403,超级大钢蛇,common,3,17,9,,<99>,,,,403,,config/portrait/speedranktouxiang/img_208_cjdgs@.png,config/portrait/jinglingtouxiang/img_208_cjdgs@.png,config/portrait/jinglingtouxiang1/img_208_cjdgs@.png,config/portrait/simple/img_208_cjdgs@.png,config/big_hero/normal/img_208_cjdgs@.png,,,koudai_dagangshemega/hero_cjdgs.skel,,config/big_hero/standby/img_208_cjdgs@.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,,10.5,,,,,,,,,,,,,,,,,,,,,,
60451,卡拉卡拉,common,,9,,,<99>,,,,451,,config/portrait/speedranktouxiang/img_104_klkl@.png,config/portrait/jinglingtouxiang/img_104_klkl@.png,config/portrait/jinglingtouxiang1/img_104_klkl@.png,config/portrait/simple/img_104_klkl@.png,config/big_hero/normal/img_104_klkl@.png,0.8,{x=-10;y=30},koudai_kalakala/hero_kalakala.skel,,config/big_hero/standby/img_104_klkl@.png,,{x=140;y=-20},,<4511;4512;4513>,,,{headPos={y=200;x=0};hitPos={y=110;x=0};lifePos={y=240;x=0};namePos={y=240;x=0}},,,,2.9,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,0.4,,,,,,,,,,,,,,,,,,,,,,
60452,嘎啦嘎啦,common,,9,,,<99>,,,,452,,config/portrait/speedranktouxiang/img_105_glgl@.png,config/portrait/jinglingtouxiang/img_105_glgl@.png,config/portrait/jinglingtouxiang1/img_105_glgl@.png,config/portrait/simple/img_105_glgl@.png,config/big_hero/normal/img_105_glgl@.png,,{x=30;y=50},koudai_galagala/hero_galagala.skel,,config/big_hero/standby/img_105_glgl@.png,,,,<4521;4522;4523>,,,{headPos={y=250;x=0};hitPos={y=135;x=0};lifePos={y=290;x=0};namePos={y=290;x=0}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,1,,,,,,,,,,,,,,,,,,,,,,
60461,无畏小子,common,2,7,,,<99>,,,,461,,config/portrait/speedranktouxiang/img_236_wwxz@.png,config/portrait/jinglingtouxiang/img_236_wwxz@.png,config/portrait/jinglingtouxiang1/img_236_wwxz@.png,config/portrait/simple/img_236_wwxz@.png,config/big_hero/normal/img_236_wwxz@.png,1.2,{x=10;y=0},koudai_wuweixiaozi/hero_wuweixiaozi.skel,,config/big_hero/standby/img_236_wwxz@.png,,{x=140;y=-20},,<4611;4612;4613>,,,{headPos={y=260;x=0};hitPos={y=140;x=0};lifePos={y=300;x=0};namePos={y=300;x=0}},,,,2.1,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,0.7,,,,,,,,,,,,,,,,,,,,,,
60462,飞腿郎,common,2,7,,,<99>,,,,462,,config/portrait/speedranktouxiang/img_106_ftl@.png,config/portrait/jinglingtouxiang/img_106_ftl@.png,config/portrait/jinglingtouxiang1/img_106_ftl@.png,config/portrait/simple/img_106_ftl@.png,config/big_hero/normal/img_106_ftl@.png,1.3,{x=-110;y=0},koudai_feituilang/hero_feituilang.skel,,config/big_hero/standby/img_106_ftl@.png,,{x=140;y=-20},,<4621;4622;4623>,,,{headPos={y=280;x=0};hitPos={y=150;x=0};lifePos={y=320;x=0};namePos={y=320;x=0}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,,1.5,,,,,,,,,,,,,,,,,,,,,,
60463,快拳郎,common,2,7,,,<99>,,,,463,,config/portrait/speedranktouxiang/img_107_kql@.png,config/portrait/jinglingtouxiang/img_107_kql@.png,config/portrait/jinglingtouxiang1/img_107_kql@.png,config/portrait/simple/img_107_kql@.png,config/big_hero/normal/img_107_kql@.png,1.4,{x=60;y=-60},koudai_kuaiquanlang/hero_kuaiquanlang.skel,,config/big_hero/standby/img_107_kql@.png,,{x=140;y=-20},,<4631;4632;4633>,,,{headPos={y=290;x=0};hitPos={y=155;x=0};lifePos={y=330;x=0};namePos={y=330;x=0}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2,,1.4,,,,,,,,,,,,,,,,,,,,,,
60464,战舞郎,common,2,7,,,<99>,,,,464,,config/portrait/speedranktouxiang/img_237_zwl@.png,config/portrait/jinglingtouxiang/img_237_zwl@.png,config/portrait/jinglingtouxiang1/img_237_zwl@.png,config/portrait/simple/img_237_zwl@.png,config/big_hero/normal/img_237_zwl@.png,,{x=20;y=35},koudai_zhanwulang/hero_zhanwulang.skel,,config/big_hero/standby/img_237_zwl@.png,,{x=140;y=-20},,<4641;4642;4643>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,1.4,,,,,,,,,,,,,,,,,,,,,,
60471,大舌头,common,2,,,,<99>,,,,471,,config/portrait/speedranktouxiang/img_108_dst@.png,config/portrait/jinglingtouxiang/img_108_dst@.png,config/portrait/jinglingtouxiang1/img_108_dst@.png,config/portrait/simple/img_108_dst@.png,config/big_hero/normal/img_108_dst@.png,0.75,{x=0;y=15},koudai_dashetou/hero_dashetou.skel,,config/big_hero/standby/img_108_dst@.png,,,,<4711;4712;4713>,,,{headPos={y=260;x=0};hitPos={y=140;x=0};lifePos={y=300;x=0};namePos={y=300;x=0}},,,,1.6,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5,,1.2,,,,,,,,,,,,,,,,,,,,,,
60472,大舌舔,common,2,,,,<99>,,,,472,,config/portrait/speedranktouxiang/img_463_dst@.png,config/portrait/jinglingtouxiang/img_463_dst@.png,config/portrait/jinglingtouxiang1/img_463_dst@.png,config/portrait/simple/img_463_dst@.png,config/big_hero/normal/img_463_dst@.png,,{x=0;y=5},koudai_dashetian/hero_dashetian.skel,,config/big_hero/standby/img_463_dst@.png,,,,<4721;4722;4723>,,,{headPos={y=300;x=0};hitPos={y=160;x=0};lifePos={y=340;x=0};namePos={y=340;x=0}},,,,1.8,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,1.7,,,,,,,,,,,,,,,,,,,,,,
60481,瓦斯弹,common,2,8,,,<99>,,,,481,,config/portrait/speedranktouxiang/img_109_wsd@.png,config/portrait/jinglingtouxiang/img_109_wsd@.png,config/portrait/jinglingtouxiang1/img_109_wsd@.png,config/portrait/simple/img_109_wsd@.png,config/big_hero/normal/img_109_wsd@.png,1.1,{x=55;y=0},koudai_wasidan/hero_wasidan.skel,,config/big_hero/standby/img_109_wsd@.png,,,,<4811;4812;4813>,,,{headPos={y=250;x=0};hitPos={y=135;x=0};lifePos={y=290;x=0};namePos={y=290;x=0}},,,,2.7,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.6,,,,,,,,,,,,,,,,,,,,,,
60482,双弹瓦斯,common,2,8,,,<99>,,,,482,,config/portrait/speedranktouxiang/img_110_sdws@.png,config/portrait/jinglingtouxiang/img_110_sdws@.png,config/portrait/jinglingtouxiang1/img_110_sdws@.png,config/portrait/simple/img_110_sdws@.png,config/big_hero/normal/img_110_sdws@.png,1.1,{x=15;y=20},koudai_shuangdanwasi/hero_shuangdanwasi.skel,,config/big_hero/standby/img_110_sdws@.png,,,,<4821;4822;4823>,,,{headPos={y=270;x=0};hitPos={y=145;x=0};lifePos={y=310;x=0};namePos={y=310;x=0}},,,,2.5,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,1.2,,,,,,,,,,,,,,,,,,,,,,
60491,独角犀牛,common,3,9,13,,<99>,,,,491,,config/portrait/speedranktouxiang/img_111_djxn@.png,config/portrait/jinglingtouxiang/img_111_djxn@.png,config/portrait/jinglingtouxiang1/img_111_djxn@.png,config/portrait/simple/img_111_djxn@.png,config/big_hero/normal/img_111_djxn@.png,0.85,{x=0;y=25},koudai_dujiaoxiniu/hero_dujiaoxiniu.skel,,config/big_hero/standby/img_111_djxn@.png,,,,<4911;4912;4913>,,,{headPos={y=200;x=0};hitPos={y=110;x=0};lifePos={y=240;x=0};namePos={y=240;x=0}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,1,,,,,,,,,,,,,,,,,,,,,,
60492,钻角犀兽,common,3,9,13,,<99>,,,,492,,config/portrait/speedranktouxiang/img_112_zjxs@.png,config/portrait/jinglingtouxiang/img_112_zjxs@.png,config/portrait/jinglingtouxiang1/img_112_zjxs@.png,config/portrait/simple/img_112_zjxs@.png,config/big_hero/normal/img_112_zjxs@.png,0.9,{x=-10;y=10},koudai_zuanjiaoxishou/hero_zuanjiaoxishou.skel,,config/big_hero/standby/img_112_zjxs@.png,,,,<4921;4922;4923>,,,{headPos={y=260;x=0};hitPos={y=140;x=0};lifePos={y=300;x=0};namePos={y=300;x=0}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,1.9,,,,,,,,,,,,,,,,,,,,,,
60493,超甲狂犀,common,3,9,13,,<99>,,,,493,,config/portrait/speedranktouxiang/img_464_cjkx@.png,config/portrait/jinglingtouxiang/img_464_cjkx@.png,config/portrait/jinglingtouxiang1/img_464_cjkx@.png,config/portrait/simple/img_464_cjkx@.png,config/big_hero/normal/img_464_cjkx@.png,1.2,{x=20;y=50},koudai_chaojiakuangxi/hero_chaojiakuangxi.skel,,config/big_hero/standby/img_464_cjkx@.png,,,,<4931;4932;4933>,,,{headPos={y=290;x=0};hitPos={y=155;x=0};lifePos={y=330;x=0};namePos={y=330;x=0}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.8,,2.4,,,,,,,,,,,,,,,,,,,,,,
60501,小福蛋,common,3,,,,<99>,,,,501,,config/portrait/speedranktouxiang/img_440_xfd@.png,config/portrait/jinglingtouxiang/img_440_xfd@.png,config/portrait/jinglingtouxiang1/img_440_xfd@.png,config/portrait/simple/img_440_xfd@.png,config/big_hero/normal/img_440_xfd@.png,1.2,{x=0;y=0},koudai_xiaofudan/hero_xiaofudan.skel,,config/big_hero/standby/img_440_xfd@.png,,,,<5011;5012;5013>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,1.95,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,0.6,,,,,,,,,,,,,,,,,,,,,,
60502,吉利蛋,common,3,,,,<99>,,,,502,,config/portrait/speedranktouxiang/img_113_jld@.png,config/portrait/jinglingtouxiang/img_113_jld@.png,config/portrait/jinglingtouxiang1/img_113_jld@.png,config/portrait/simple/img_113_jld@.png,config/big_hero/normal/img_113_jld@.png,1.2,{x=0;y=0},koudai_jilidan/hero_jilidan.skel,,config/big_hero/standby/img_113_jld@.png,,,,<5021;5022;5023>,,,{headPos={y=250;x=0};hitPos={y=135;x=0};lifePos={y=290;x=0};namePos={y=290;x=0}},,,,2.2,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,1.1,,,,,,,,,,,,,,,,,,,,,,
60503,幸福蛋,common,3,,,,<99>,,,,503,,config/portrait/speedranktouxiang/img_242_xfd@.png,config/portrait/jinglingtouxiang/img_242_xfd@.png,config/portrait/jinglingtouxiang1/img_242_xfd@.png,config/portrait/simple/img_242_xfd@.png,config/big_hero/normal/img_242_xfd@.png,1.2,{x=0;y=0},koudai_xingfudan/hero_xingfudan.skel,,config/big_hero/standby/img_242_xfd@.png,,,,<5031;5032;5033>,,,{headPos={y=260;x=0};hitPos={y=140;x=0};lifePos={y=300;x=0};namePos={y=300;x=0}},,,,1.9,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,1.5,,,,,,,,,,,,,,,,,,,,,,
60541,角金鱼,common,,3,,,<99>,,,,541,,config/portrait/speedranktouxiang/img_118_jjy@.png,config/portrait/jinglingtouxiang/img_118_jjy@.png,config/portrait/jinglingtouxiang1/img_118_jjy@.png,config/portrait/simple/img_118_jjy@.png,config/big_hero/normal/img_118_jjy@.png,,,koudai_jiaojinyu/hero_jiaojinyu.skel,,config/big_hero/standby/img_118_jjy@.png,,,,<5411;5412;5413>,,,{headPos={y=180;x=0};hitPos={y=100;x=0};lifePos={y=220;x=0};namePos={y=220;x=0}},,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,0.6,,,,,,,,,,,,,,,,,,,,,,
60542,金鱼王,common,,3,,,<99>,,,,542,,config/portrait/speedranktouxiang/img_119_jyw@.png,config/portrait/jinglingtouxiang/img_119_jyw@.png,config/portrait/jinglingtouxiang1/img_119_jyw@.png,config/portrait/simple/img_119_jyw@.png,config/big_hero/normal/img_119_jyw@.png,0.9,{x=5;y=15},koudai_jinyuwang/hero_jinyuwang.skel,,config/big_hero/standby/img_119_jyw@.png,,,,<5421;5422;5423>,,,{headPos={y=250;x=0};hitPos={y=135;x=0};lifePos={y=290;x=0};namePos={y=290;x=0}},,,,2.5,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,1.3,,,,,,,,,,,,,,,,,,,,,,
60551,海星星,common,2,3,,,<99>,,,,551,,config/portrait/speedranktouxiang/img_120_hxx@.png,config/portrait/jinglingtouxiang/img_120_hxx@.png,config/portrait/jinglingtouxiang1/img_120_hxx@.png,config/portrait/simple/img_120_hxx@.png,config/big_hero/normal/img_120_hxx@.png,0.75,{x=0;y=25},koudai_haixingxing/hero_haixingxing.skel,,config/big_hero/standby/img_120_hxx@.png,,,,<5511;5512;5513>,,,{headPos={y=240;x=0};hitPos={y=130;x=0};lifePos={y=280;x=0};namePos={y=280;x=0}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,,0.8,,,,,,,,,,,,,,,,,,,,,,
60552,宝石海星,common,2,3,11,,<99>,,,,552,,config/portrait/speedranktouxiang/img_121_bshx@.png,config/portrait/jinglingtouxiang/img_121_bshx@.png,config/portrait/jinglingtouxiang1/img_121_bshx@.png,config/portrait/simple/img_121_bshx@.png,config/big_hero/normal/img_121_bshx@.png,1.4,{x=-50;y=130},koudai_baoshihaixing/hero_baoshihaixing.skel,,config/big_hero/standby/img_121_bshx@.png,,,,<5521;5522;5523>,,,{headPos={y=250;x=0};hitPos={y=135;x=0};lifePos={y=290;x=0};namePos={y=290;x=0}},,,,2.4,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,1.1,,,,,,,,,,,,,,,,,,,,,,
60571,飞天螳螂,common,3,12,10,,<99;10006>,,,,571,,config/portrait/speedranktouxiang/img_123_fttl@.png,config/portrait/jinglingtouxiang/img_123_fttl@.png,config/portrait/jinglingtouxiang1/img_123_fttl@.png,config/portrait/simple/img_123_fttl@.png,config/big_hero/normal/img_123_fttl@.png,1.3,{x=-5;y=40},koudai_feitiantanglang/hero_feitiantanglang.skel,,config/big_hero/standby/img_123_fttl@.png,,,,<5711;5712;5713>,,,{headPos={y=340;x=0};hitPos={y=180;x=0};lifePos={y=380;x=0};namePos={y=380;x=0}},,,,2.6,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,1.5,,,,,,,,,,,,,,,,,,,,,,
60572,巨钳螳螂,common,3,12,17,,<99;10006>,,,,572,,config/portrait/speedranktouxiang/img_212_jqtl@.png,config/portrait/jinglingtouxiang/img_212_jqtl@.png,config/portrait/jinglingtouxiang1/img_212_jqtl@.png,config/portrait/simple/img_212_jqtl@.png,config/big_hero/normal/img_212_jqtl@.png,1.6,{x=30;y=-20},koudai_juqiantanglang/hero_juqiantanglang.skel,,config/big_hero/standby/img_212_jqtl@.png,,,,<5721;5722;5723>,,,,,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,1.8,,,,,,,,,,,,,,,,,,,,,,
60574,超级巨钳螳螂,common,3,12,17,,<99;10006>,,,,574,,config/portrait/speedranktouxiang/img_212_cjjqtl@.png,config/portrait/jinglingtouxiang/img_212_cjjqtl@.png,config/portrait/jinglingtouxiang1/img_212_cjjqtl@.png,config/portrait/simple/img_212_cjjqtl@.png,config/big_hero/normal/img_212_cjjqtl@.png,1.6,{x=30;y=-20},koudai_juqiantanglangmega/hero_juqiantanglang_mega.skel,,config/big_hero/standby/img_212_cjjqtl@.png,,,,<5741;5742;5743>,,,{headPos={y=320;x=0};hitPos={y=170;x=0};lifePos={y=360;x=0};namePos={y=360;x=0}},,,,1.9,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,2,,,,,,,,,,,,,,,,,,,,,,
60591,电击怪,common,3,5,,,<99>,,,,591,,config/portrait/speedranktouxiang/img_239_djg@.png,config/portrait/jinglingtouxiang/img_239_djg@.png,config/portrait/jinglingtouxiang1/img_239_djg@.png,config/portrait/simple/img_239_djg@.png,config/big_hero/normal/img_239_djg@.png,0.95,{x=30;y=0},koudai_dianjiguai/hero_dianjiguai.skel,,config/big_hero/standby/img_239_djg@.png,,,,<5911;5912;5913>,,,{headPos={y=240;x=0};hitPos={y=130;x=0};lifePos={y=280;x=0};namePos={y=280;x=0}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,0.6,,,,,,,,,,,,,,,,,,,,,,
60592,电击兽,common,3,5,,,<99>,,,,592,,config/portrait/speedranktouxiang/img_125_djs@.png,config/portrait/jinglingtouxiang/img_125_djs@.png,config/portrait/jinglingtouxiang1/img_125_djs@.png,config/portrait/simple/img_125_djs@.png,config/big_hero/normal/img_125_djs@.png,1.1,{x=30;y=0},koudai_dianjishou/hero_dianjishou.skel,,config/big_hero/standby/img_125_djs@.png,,,,<5921;5922;5923>,,,{headPos={y=260;x=0};hitPos={y=140;x=0};lifePos={y=300;x=0};namePos={y=300;x=0}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,1.1,,,,,,,,,,,,,,,,,,,,,,
60593,电击魔兽,common,3,5,,,<99>,,,,593,,config/portrait/speedranktouxiang/img_466_djms@.png,config/portrait/jinglingtouxiang/img_466_djms@.png,config/portrait/jinglingtouxiang1/img_466_djms@.png,config/portrait/simple/img_466_djms@.png,config/big_hero/normal/img_466_djms@.png,2,{x=0;y=180},koudai_dianjimoshou/hero_dianjimoshou.skel,,config/big_hero/standby/img_466_djms@.png,,{x=140;y=-20},,<5931;5932;5933>,,,{headPos={y=290;x=0};hitPos={y=155;x=0};lifePos={y=330;x=0};namePos={y=330;x=0}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.6,,1.8,,,,,,,,,,,,,,,,,,,,,,
60601,鸭嘴宝宝,common,3,2,,,<99>,,,,601,,config/portrait/speedranktouxiang/img_240_yzbb@.png,config/portrait/jinglingtouxiang/img_240_yzbb@.png,config/portrait/jinglingtouxiang1/img_240_yzbb@.png,config/portrait/simple/img_240_yzbb@.png,config/big_hero/normal/img_240_yzbb@.png,0.9,{x=0;y=10},koudai_yazuibaobao/hero_yazuibaobao.skel,,config/big_hero/standby/img_240_yzbb@.png,,,,<6011;6012;6013>,,,{headPos={y=230;x=0};hitPos={y=125;x=0};lifePos={y=270;x=0};namePos={y=270;x=0}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,0.7,,,,,,,,,,,,,,,,,,,,,,
60602,鸭嘴火兽,common,3,2,,,<99>,,,,602,,config/portrait/speedranktouxiang/img_126_yzhs@.png,config/portrait/jinglingtouxiang/img_126_yzhs@.png,config/portrait/jinglingtouxiang1/img_126_yzhs@.png,config/portrait/simple/img_126_yzhs@.png,config/big_hero/normal/img_126_yzhs@.png,1.4,{x=-10;y=10},koudai_yazuihuoshou/hero_yazuihuoshou.skel,,config/big_hero/standby/img_126_yzhs@.png,,,,<6021;6022;6023>,,,{headPos={y=250;x=0};hitPos={y=135;x=0};lifePos={y=290;x=0};namePos={y=290;x=0}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,1.3,,,,,,,,,,,,,,,,,,,,,,
60603,鸭嘴炎兽,common,3,2,,,<99>,,,,603,,config/portrait/speedranktouxiang/img_467_yzys@.png,config/portrait/jinglingtouxiang/img_467_yzys@.png,config/portrait/jinglingtouxiang1/img_467_yzys@.png,config/portrait/simple/img_467_yzys@.png,config/big_hero/normal/img_467_yzys@.png,2,{x=-50;y=160},koudai_yazuiyanshou/hero_yazuiyanshou.skel,,config/big_hero/standby/img_467_yzys@.png,,,,<6031;6032;6033>,,,,,,,2.7,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,1.6,,,,,,,,,,,,,,,,,,,,,,
