变量名,sceneName,_beizhu,monsters,boss,icon,gateType,sceneType,sceneCount,roundLimit,deployType,deployCardNumLimit,deployNum,deployNatureLimit,backMusic,backGround,bg_boss,bg_boss_pos,ownerId,onlyClassify,openLevel,preGateID,stars,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,dayChallengeMax,staminaCost,cardExp,roleExp,dropIds,gold,desc,sandangAward,worldLevelSaodangAward,forbidMarkID,winAward,star3Award,kssdFlag,chestAward,pos,awardPos,frontWay,monsterRange,finishPoint,isWheel,isQuickSweep,tag,monsters3,skillLevel2,demonCorrect3,demonCorrect2,boss3,showLevel3,skillLevel3,monsters2,showLevel2,boss2,playNumber,bg_boss_pos2,bg_boss_pos3,roundLimit2,roundLimit3,sceneCount2,sceneCount3,sceneLevel2,sceneLevel3
11909,马戏团,,<{advance=13;unitId=60332;level=124};{advance=13;unitId=61171;level=124};{advance=13;unitId=63543;level=124}>,<{advance=17;unitId=70173;level=124}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_45_bwh@.png,,29,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,124,630,630,,,,,6,120,6,{5000=0;5030=0},3360,,{14=2},{13=2;14=2},,,,,,{x=1484;y=950},,<<1204;774>;<1402;788>;<1484;950>>,,,,,,,,,,,,,,,,,,,,,,,,
11910,马戏团,,<{advance=13;unitId=50882;level=125};{advance=13;unitId=60491;level=125};{advance=13;unitId=51423;level=125};{advance=13;unitId=60463;level=125};{advance=13;unitId=60352;level=125}>,<{advance=17;unitId=73631;level=125}>,config/portrait/simple/img_719_dax@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_719_dax@.png,,29,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,125,635,635,,,,,6,120,6,{5000=0;5030=0},3360,,{14=2},{13=2;14=2},,,,,,{x=1302;y=1066},,<<1484;950>;<1458;1036>;<1302;1066>>,,,,,,,,,,,,,,,,,,,,,,,,
12001,暗影山,,<{advance=14;unitId=60731;level=126};{advance=14;unitId=62873;level=126};{advance=14;unitId=61901;level=126}>,<{advance=16;unitId=71253;level=126}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_248_bjls@.png,,30,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,126,640,640,,,,,6,120,6,{5000=0;5020=0;5031=0},3570,,{13=1;14=2},{14=3},,,,1,,{x=1365;y=267},,<<1365;267>>,,,,1,,,,,,,,,,,,,,,,,,,,
12002,暗影山,,<{advance=14;unitId=51612;level=127};{advance=14;unitId=51231;level=127};{advance=14;unitId=61611;level=127};{advance=14;unitId=60301;level=127}>,<{advance=16;unitId=72963;level=127}>,config/portrait/simple/img_601_clg@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_601_clg@.png,,30,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,127,645,645,,,,,6,120,6,{5000=0;5020=0;5031=0},3570,,{13=1;14=2},{14=3},,,,,{gold=10000;rmb=10;talent_point=1},{x=1121;y=419},{y=373;x=854},<<1365;267>;<1234;385>;<1121;419>>,,,,,,,,,,,,,,,,,,,,,,,,
12003,暗影山,,<{advance=14;unitId=62962;level=128};{advance=14;unitId=62682;level=128};{advance=14;unitId=61443;level=128};{advance=14;unitId=61353;level=128}>,<{advance=16;unitId=70402;level=128}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_208_dgs@.png,,30,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,128,650,650,,,,,6,120,6,{5000=0;5020=0;5031=0},3570,,{13=1;14=2},{14=3},,,,,,{x=661;y=426},,<<1121;419>;<1009;323>;<854;373>;<661;426>>,,,,,,,,,,,,,,,,,,,,,,,,
12004,暗影山,,<{advance=14;unitId=60102;level=129};{advance=14;unitId=62872;level=129};{advance=14;unitId=62682;level=129};{advance=14;unitId=62873;level=129}>,<{advance=16;unitId=70493;level=129}>,config/portrait/simple/img_464_cjkx@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_464_cjkx@.png,,30,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,129,655,655,,,,,6,120,6,{5000=0;5020=0;5031=0},3570,,{13=1;14=2},{14=3},,,,,{gold=10000;rmb=10;talent_point=1},{x=418;y=824},{y=747;x=713},<<661;426>;<529;533>;<511;662>;<418;824>>,,,,,,,,,,,,,,,,,,,,,,,,
12005,暗影山,,<{advance=14;unitId=60273;level=130};{advance=14;unitId=61302;level=130};{advance=14;unitId=62072;level=130}>,<{advance=16;unitId=71903;level=130}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_376_jjg@.png,,30,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,130,660,660,,,,,6,120,6,{5000=0;5021=0;5032=0},3570,,{13=1;14=2},{14=3},,,,1,,{x=999;y=859},,<<418;824>;<551;759>;<713;747>;<999;859>>,,,,1,,,,,,,,,,,,,,,,,,,,
12006,暗影山,,<{advance=14;unitId=52683;level=131};{advance=14;unitId=60012;level=131};{advance=14;unitId=52963;level=131};{advance=14;unitId=60632;level=131};{advance=14;unitId=60091;level=131}>,<{advance=16;unitId=70333;level=131}>,config/portrait/simple/img_462_zbcg@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_462_zbcg@.png,,30,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,131,665,665,,,,,6,120,6,{5000=0;5021=0;5032=0},3570,,{13=1;14=2},{14=3},,,,,{gold=10000;rmb=10;talent_point=1},{x=1287;y=693},{y=673;x=1490},<<999;859>;<1287;693>>,,,,,,,,,,,,,,,,,,,,,,,,
12007,暗影山,,<{advance=14;unitId=60471;level=132};{advance=14;unitId=60371;level=132}>,<{advance=16;unitId=183413;level=132}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_681_jdjg@.png,,30,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,132,670,670,,,,,6,120,6,{5000=0;5021=0;5032=0},3570,,{13=1;14=2},{14=3},,,,,,{x=1713;y=462},,<<1287;693>;<1490;673>;<1574;508>;<1713;462>>,,,,,,,,,,,,,,,,,,,,,,,,
12008,暗影山,,<{advance=14;unitId=61071;level=133};{advance=14;unitId=60351;level=133};{advance=14;unitId=62633;level=133};{advance=14;unitId=61901;level=133}>,<{advance=16;unitId=71503;level=133}>,config/portrait/simple/img_306_bskdl@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_306_bskdl@.png,,30,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,133,675,675,,,,,6,120,6,{5000=0;5019=0;5033=0},3570,,{13=1;14=2},{14=3},,,,1,{gold=10000;rmb=10;talent_point=1},{x=2025;y=610},{y=902;x=1968},<<1713;462>;<1930;539>;<2025;610>>,,,,1,,,,,,,,,,,,,,,,,,,,
12009,暗影山,,<{advance=14;unitId=60013;level=134};{advance=14;unitId=61503;level=134};{advance=14;unitId=63341;level=134}>,<{advance=18;unitId=182242;level=134}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_448_lklo@.png,,30,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,134,680,680,,,,,6,120,6,{5000=0;5019=0;5033=0},3570,,{13=1;14=2},{14=3},,,,,,{x=1753;y=926},,<<2025;610>;<1892;749>;<1968;902>;<1753;926>>,,,,,,,,,,,,,,,,,,,,,,,,
12010,暗影山,,<{advance=14;unitId=52231;level=135};{advance=14;unitId=62231;level=135};{advance=14;unitId=52301;level=135};{advance=14;unitId=60023;level=135};{advance=14;unitId=62073;level=135}>,<{advance=18;unitId=181981;level=135}>,config/portrait/simple/img_384_lkz@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_384_lkz@.png,,30,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,135,685,685,,,,,6,120,6,{5000=0;5019=0;5033=0},3570,,{13=1;14=2},{14=3},,,,,,{x=1461;y=985},,<<1753;926>;<1461;985>>,,,,,,,,,,,,,,,,,,,,,,,,
12101,香薰市,,<{advance=15;unitId=60102;level=136};{advance=15;unitId=60542;level=136};{advance=15;unitId=62681;level=136}>,<{advance=17;unitId=70222;level=136}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_55_gdy@.png,,31,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,136,690,690,,,,,6,120,6,{5000=0;5034=0},3780,,{13=2;14=2},{13=1;14=3},,,,1,,{x=463;y=397},,<<463;397>>,,,,1,,,,,,,,,,,,,,,,,,,,
12102,香薰市,,<{advance=15;unitId=50791;level=137};{advance=15;unitId=50072;level=137};{advance=15;unitId=60803;level=137};{advance=15;unitId=60803;level=137}>,<{advance=17;unitId=73303;level=137}>,config/portrait/simple/img_658_jhrw@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_658_jhrw@.png,,31,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,137,695,695,,,,,6,120,6,{5000=0;5034=0},3780,,{13=2;14=2},{13=1;14=3},,,,,{gold=10000;rmb=10;talent_point=1},{x=752;y=345},{y=306;x=1005},<<463;397>;<752;345>>,,,,,,,,,,,,,,,,,,,,,,,,
12103,香薰市,,<{advance=15;unitId=61071;level=138};{advance=15;unitId=62681;level=138};{advance=15;unitId=60572;level=138};{advance=15;unitId=62483;level=138}>,<{advance=17;unitId=70632;level=138}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_130_bll@.png,,31,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,138,700,700,,,,,6,120,6,{5000=0;5034=0},3780,,{13=2;14=2},{13=1;14=3},,,,,,{x=752;y=653},,<<752;345>;<881;283>;<1005;306>;<881;463>;<883;596>;<752;653>>,,,,,,,,,,,,,,,,,,,,,,,,
12104,香薰市,,<{advance=15;unitId=60111;level=139};{advance=15;unitId=61902;level=139};{advance=15;unitId=60472;level=139};{advance=15;unitId=60803;level=139}>,<{advance=17;unitId=71241;level=139}>,config/portrait/simple/img_245_sj@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_245_sj@.png,,31,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,139,705,705,,,,,6,120,6,{5000=0;5034=0},3780,,{13=2;14=2},{13=1;14=3},,,,,{gold=10000;rmb=10;talent_point=1},{x=1154;y=448},{y=337;x=1371},<<752;653>;<915;667>;<1154;448>>,,,,,,,,,,,,,,,,,,,,,,,,
12105,香薰市,,<{advance=15;unitId=60333;level=140};{advance=15;unitId=60102;level=140};{advance=15;unitId=60792;level=140}>,<{advance=17;unitId=72233;level=140}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_445_lyls@.png,,31,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,140,710,710,,,,,6,120,6,{5000=0;5035=0},3780,,{13=2;14=2},{13=1;14=3},,,,1,,{x=1567;y=348},,<<1154;448>;<1371;337>;<1567;348>>,,,,1,,,,,,,,,,,,,,,,,,,,
12106,香薰市,,<{advance=15;unitId=52481;level=141};{advance=15;unitId=60133;level=141};{advance=15;unitId=52681;level=141};{advance=15;unitId=60493;level=141};{advance=15;unitId=60062;level=141}>,<{advance=17;unitId=71303;level=141}>,config/portrait/simple/img_257_hyj@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_257_hyj@.png,,31,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,141,715,715,,,,,6,120,6,{5000=0;5035=0},3780,,{13=2;14=2},{13=1;14=3},,,,,{gold=10000;rmb=10;talent_point=1},{x=1559;y=663},{y=663;x=1751},<<1567;348>;<1747;389>;<1746;499>;<1559;663>>,,,,,,,,,,,,,,,,,,,,,,,,
12107,香薰市,,<{advance=15;unitId=60093;level=142};{advance=15;unitId=60262;level=142}>,<{advance=17;unitId=181082;level=142}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_461_mnl@.png,,31,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,142,720,720,,,,,6,120,6,{5000=0;5035=0},3780,,{13=2;14=2},{13=1;14=3},,,,,,{x=1835;y=822},,<<1559;663>;<1751;663>;<1835;822>>,,,,,,,,,,,,,,,,,,,,,,,,
12108,香薰市,,<{advance=15;unitId=62633;level=143};{advance=15;unitId=60081;level=143};{advance=15;unitId=60272;level=143};{advance=15;unitId=60001;level=143}>,<{advance=17;unitId=73021;level=143}>,config/portrait/simple/img_615_jhxh@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_615_jhxh@.png,,31,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,143,725,725,,,,,6,120,6,{5000=0;5036=0},3780,,{13=2;14=2},{13=1;14=3},,,,1,{gold=10000;rmb=10;talent_point=1},{x=1489;y=991},{y=931;x=1034},<<1835;822>;<1601;956>;<1489;991>>,,,,1,,,,,,,,,,,,,,,,,,,,
12109,香薰市,,<{advance=15;unitId=62073;level=144};{advance=15;unitId=63011;level=144};{advance=15;unitId=61261;level=144}>,<{advance=19;unitId=180721;level=144}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_144_jdn@.png,,31,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,144,730,730,,,,,6,120,6,{5000=0;5036=0},3780,,{13=2;14=2},{13=1;14=3},,,,,,{x=881;y=994},,<<1489;991>;<1034;931>;<881;994>>,,,,,,,,,,,,,,,,,,,,,,,,
12110,香薰市,,<{advance=15;unitId=50022;level=145};{advance=15;unitId=60192;level=145};{advance=15;unitId=50023;level=145};{advance=15;unitId=61861;level=145};{advance=15;unitId=60131;level=145}>,<{advance=19;unitId=181961;level=145}>,config/portrait/simple/img_382_gok@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_382_gok@.png,,31,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,145,735,735,,,,,6,120,6,{5000=0;5036=0},3780,,{13=2;14=2},{13=1;14=3},,,,,,{x=1278;y=743},,<<881;994>;<986;779>;<1278;743>>,,,,,,,,,,,,,,,,,,,,,,,,
12201,枯叶市,,<{advance=16;unitId=60392;level=146};{advance=16;unitId=63292;level=146};{advance=16;unitId=63281;level=146}>,<{advance=18;unitId=73562;level=146}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_709_xmy@.png,,32,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,146,740,740,,,,,6,120,6,{5000=0;5024=0;5037=0},3990,,{14=3},{13=2;14=3},,,,1,,{x=1600;y=240},,<<1600;240>>,,,,1,,,,,,,,,,,,,,,,,,,,
12202,枯叶市,,<{advance=16;unitId=52012;level=147};{advance=16;unitId=50022;level=147};{advance=16;unitId=60593;level=147};{advance=16;unitId=63542;level=147}>,<{advance=18;unitId=73353;level=147}>,config/portrait/simple/img_671_hjfr@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_671_hjfr@.png,,32,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,147,745,745,,,,,6,120,6,{5000=0;5024=0;5037=0},3990,,{14=3},{13=2;14=3},,,,,{gold=10000;rmb=10;talent_point=1},{x=1196;y=318},{y=356;x=978},<<1600;240>;<1196;318>>,,,,,,,,,,,,,,,,,,,,,,,,
12203,枯叶市,,<{advance=16;unitId=60471;level=148};{advance=16;unitId=62012;level=148};{advance=16;unitId=60392;level=148};{advance=16;unitId=63292;level=148}>,<{advance=18;unitId=70891;level=148}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_298_lll@.png,,32,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,148,750,750,,,,,6,120,6,{5000=0;5024=0;5037=0},3990,,{14=3},{13=2;14=3},,,,,,{x=790;y=574},,<<1196;318>;<978;356>;<978;356>;<790;574>>,,,,,,,,,,,,,,,,,,,,,,,,
12204,枯叶市,,<{advance=16;unitId=60271;level=149};{advance=16;unitId=60602;level=149};{advance=16;unitId=60092;level=149};{advance=16;unitId=62012;level=149}>,<{advance=18;unitId=71813;level=149}>,config/portrait/simple/img_477_hyml@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_477_hyml@.png,,32,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,149,755,755,,,,,6,120,6,{5000=0;5024=0;5037=0},3990,,{14=3},{13=2;14=3},,,,,{gold=10000;rmb=10;talent_point=1},{x=1276;y=612},{y=558;x=1436},<<790;574>;<1276;612>>,,,,,,,,,,,,,,,,,,,,,,,,
12205,枯叶市,,<{advance=16;unitId=60072;level=150};{advance=16;unitId=61421;level=150};{advance=16;unitId=60692;level=150}>,<{advance=18;unitId=70131;level=150}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_173_pbb@.png,,32,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,150,760,760,,,,,6,120,6,{5000=0;5022=0;5038=0},3990,,{14=3},{13=2;14=3},,,,1,,{x=1736;y=718},,<<1276;612>;<1436;558>;<1436;558>;<1736;718>>,,,,1,,,,,,,,,,,,,,,,,,,,
12206,枯叶市,,<{advance=16;unitId=53541;level=151};{advance=16;unitId=60092;level=151};{advance=16;unitId=50331;level=151};{advance=16;unitId=60033;level=151};{advance=16;unitId=60461;level=151}>,<{advance=18;unitId=70393;level=151}>,config/portrait/simple/img_94_gg@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_94_gg@.png,,32,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,151,765,765,,,,,6,120,6,{5000=0;5022=0;5038=0},3990,,{14=3},{13=2;14=3},,,,,{gold=10000;rmb=10;talent_point=1},{x=1910;y=840},{y=968;x=1699},<<1736;718>;<1910;840>>,,,,,,,,,,,,,,,,,,,,,,,,
12207,枯叶市,,<{advance=16;unitId=60452;level=152};{advance=16;unitId=61421;level=152}>,<{advance=18;unitId=181392;level=152}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_281_qlla@.png,,32,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,152,770,770,,,,,6,120,6,{5000=0;5022=0;5038=0},3990,,{14=3},{13=2;14=3},,,,,,{x=1488;y=1096},,<<1910;840>;<1699;968>;<1488;1096>>,,,,,,,,,,,,,,,,,,,,,,,,
12208,枯叶市,,<{advance=16;unitId=61612;level=153};{advance=16;unitId=60071;level=153};{advance=16;unitId=62301;level=153};{advance=16;unitId=62301;level=153}>,<{advance=18;unitId=71394;level=153}>,config/portrait/simple/img_475_alld@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_475_alld@.png,,32,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,153,775,775,,,,,6,120,6,{5000=0;5023=0;5039=0},3990,,{14=3},{13=2;14=3},,,,1,{gold=10000;rmb=10;talent_point=1},{x=1260;y=944},{y=812;x=1118},<<1488;1096>;<1520;952>;<1260;944>>,,,,1,,,,,,,,,,,,,,,,,,,,
12209,枯叶市,,<{advance=16;unitId=62482;level=154};{advance=16;unitId=61231;level=154};{advance=16;unitId=61612;level=154}>,<{advance=20;unitId=180263;level=154}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_65_hd@.png,,32,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,154,780,780,,,,,6,120,6,{5000=0;5023=0;5039=0},3990,,{14=3},{13=2;14=3},,,,,,{x=976;y=680},,<<1260;944>;<1118;812>;<976;680>>,,,,,,,,,,,,,,,,,,,,,,,,
12210,枯叶市,,<{advance=16;unitId=51292;level=155};{advance=16;unitId=63341;level=155};{advance=16;unitId=50602;level=155};{advance=16;unitId=61812;level=155}>,<{advance=20;unitId=180761;level=155}>,config/portrait/simple/img_150_cm@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_150_cm@.png,,32,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,155,785,785,,,,,6,120,6,{5000=0;5023=0;5039=0},3990,,{14=3},{13=2;14=3},,,,,,{x=576;y=898},,<<976;680>;<576;898>>,,,,,,,,,,,,,,,,,,,,,,,,
12301,神和镇,,<{advance=17;unitId=60272;level=156};{advance=17;unitId=60263;level=156};{advance=17;unitId=60572;level=156};{advance=17;unitId=60792;level=156};{advance=17;unitId=60002;level=156}>,<{advance=19;unitId=70043;level=156}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_15_dzf@.png,,33,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,156,790,790,,,,,6,120,6,{5000=0;5040=0},4200,,{13=1;14=3},{14=4},,,,1,,{x=292;y=450},,<<292;450>>,,,,1,,,,,,,,,,,,,,,,,,,,
12302,神和镇,,<{advance=17;unitId=60303;level=157};{advance=17;unitId=62271;level=157};{advance=17;unitId=60043;level=157};{advance=17;unitId=60332;level=157};{advance=17;unitId=61353;level=157}>,<{advance=19;unitId=72473;level=157}>,config/portrait/simple/img_497_jzs@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_497_jzs@.png,,33,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,157,795,795,,,,,6,120,6,{5000=0;5040=0},4200,,{13=1;14=3},{14=4},,,,,{gold=10000;rmb=10;talent_point=1},{x=630;y=614},{y=672;x=414},<<292;450>;<474;529>;<630;614>>,,,,,,,,,,,,,,,,,,,,,,,,
12303,神和镇,,<{advance=17;unitId=61861;level=158};{advance=17;unitId=63021;level=158};{advance=17;unitId=60303;level=158};{advance=17;unitId=60262;level=158};{advance=17;unitId=63282;level=158}>,<{advance=19;unitId=70701;level=158}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_142_hsyl@.png,,33,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,158,800,800,,,,,6,120,6,{5000=0;5040=0},4200,,{13=1;14=3},{14=4},,,,,,{x=330;y=809},,<<630;614>;<418;670>;<330;809>>,,,,,,,,,,,,,,,,,,,,,,,,
12304,神和镇,,<{advance=17;unitId=63472;level=159};{advance=17;unitId=63631;level=159};{advance=17;unitId=60272;level=159};{advance=17;unitId=60481;level=159};{advance=17;unitId=61351;level=159}>,<{advance=19;unitId=71314;level=159}>,config/portrait/simple/img_260_cjjzg@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_260_cjjzg@.png,,33,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,159,805,805,,,,,6,120,6,{5000=0;5040=0},4200,,{13=1;14=3},{14=4},,,,,{gold=10000;rmb=10;talent_point=1},{x=798;y=993},{y=1068;x=1032},<<330;809>;<560;910>;<798;993>>,,,,,,,,,,,,,,,,,,,,,,,,
12305,神和镇,,<{advance=17;unitId=63291;level=160};{advance=17;unitId=61393;level=160};{advance=17;unitId=61422;level=160};{advance=17;unitId=60092;level=160};{advance=17;unitId=60052;level=160}>,<{advance=19;unitId=72822;level=160}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_571_slyk@.png,,33,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,160,810,810,,,,,6,120,6,{5000=0;5041=0},4200,,{13=1;14=3},{14=4},,,,1,,{x=1198;y=1118},,<<798;993>;<896;980>;<1032;1060>;<1198;1118>>,,,,1,,,,,,,,,,,,,,,,,,,,
12306,神和镇,,<{advance=17;unitId=63561;level=161};{advance=17;unitId=60883;level=161};{advance=17;unitId=60591;level=161};{advance=17;unitId=60002;level=161};{advance=17;unitId=60601;level=161}>,<{advance=19;unitId=70611;level=161}>,config/portrait/simple/img_127_kls@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_127_kls@.png,,33,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,161,815,815,,,,,6,120,6,{5000=0;5041=0},4200,,{13=1;14=3},{14=4},,,,,{gold=10000;rmb=10;talent_point=1},{x=936;y=657},{y=628;x=1074},<<1198;1118>;<1054;906>;<1170;762>;<936;657>>,,,,,,,,,,,,,,,,,,,,,,,,
12307,神和镇,,<{advance=17;unitId=61351;level=162};{advance=17;unitId=60123;level=162};{advance=17;unitId=61292;level=162};{advance=17;unitId=60012;level=162};{advance=17;unitId=60471;level=162}>,<{advance=19;unitId=183251;level=162}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_647_kldo@.png,,33,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,162,820,820,,,,,6,120,6,{5000=0;5041=0},4200,,{13=1;14=3},{14=4},,,,,,{x=1064;y=449},,<<936;657>;<1082;624>;<1064;449>>,,,,,,,,,,,,,,,,,,,,,,,,
12308,神和镇,,<{advance=17;unitId=60571;level=163};{advance=17;unitId=62272;level=163};{advance=17;unitId=60332;level=163};{advance=17;unitId=60092;level=163};{advance=17;unitId=63542;level=163}>,<{advance=19;unitId=183161;level=163}>,config/portrait/simple/img_638_gplw@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_638_gplw@.png,,33,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,163,825,825,,,,,6,120,6,{5000=0;5042=0},4200,,{13=1;14=3},{14=4},,,,1,{gold=10000;rmb=10;talent_point=1},{x=1440;y=447},{y=528;x=1668},<<1064;449>;<1262;397>;<1440;447>>,,,,1,,,,,,,,,,,,,,,,,,,,
12309,神和镇,,<{advance=17;unitId=61252;level=164};{advance=17;unitId=60463;level=164};{advance=17;unitId=62012;level=164};{advance=17;unitId=63472;level=164};{advance=17;unitId=63302;level=164}>,<{advance=21;unitId=184132;level=164}>,,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_804_sezl@.png,,33,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,164,830,830,,,,,6,120,6,{5000=0;5042=0},4200,,{13=1;14=3},{14=4},,,,,,{x=1854;y=592},,<<1440;447>;<1590;530>;<1798;516>;<1854;592>>,,,,,,,,,,,,,,,,,,,,,,,,
12310,神和镇,,<{advance=17;unitId=60132;level=165};{advance=17;unitId=60482;level=165};{advance=17;unitId=60601;level=165};{advance=17;unitId=60302;level=165};{advance=17;unitId=62271;level=165}>,<{advance=21;unitId=183221;level=165}>,config/portrait/simple/img_644_jklm@.png,,4,,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_644_jklm@.png,,33,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,165,835,835,,,,,6,120,6,{5000=0;5042=0},4200,,{13=1;14=3},{14=4},,,,,,{x=1586;y=881},,<<1854;592>;<1658;711>;<1586;881>>,,,,,,,,,,,,,,,,,,,,,,,,
