变量名,变量名,eventID,_name,delay,sound,damageSeg,hpSeg,segInterval,shaker,music,zOrder,move,show,effectType,effectRes,effectArgs,otherEventIDs,follow,onlyTargetShow,jumpFlag,control,__version
130331,,257006,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2>,,<0;1056;180;240;3200;240;240;240;240>,{beginT=0;disx=20;disy=30;endT=100;isRepeat=TRUE},,,,,,,,,,,,,
130332,,1,,,,,,,,,,<{t=1;absX=1000;absY=400;delay=0;scale=1};{t=220;absX=1500;absY=1600;delay=2650;scale=1};{t=1;absX=2300;absY=500;delay=3000;scale=1};{t=100;absX=2300;absY=500;delay=3200;scale=3.6};{t=300;absX=1200;absY=460;delay=3620;scale=1};{t=0;absX=1000;absY=750;delay=3930;scale=1};{t=210;absX=700;absY=600;delay=3950;scale=1};{t=300;absX=1250;absY=-300;delay=4170;scale=1};{t=0;absX=800;absY=-200;delay=7360;scale=0.5};{t=210;absX=900;absY=300;delay=7365;scale=0.5}>,<{hide=TRUE;delay=0;lastTime=2277};{hide=TRUE;delay=3000;lastTime=620};{hide=TRUE;delay=4470;lastTime=2890}>,,,,<90;257091;257092>,{bones=<camera_move>;scene=TRUE},,,,
130333,,257091,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{screenPos=0;addTolayer=-1;zorder=1;delay=0;offsetX=0;lastTime=8844;aniLoop=FALSE;aniName=huoyanji_skill2;offsetY=-250;scale=0.7},,,,,,
130334,,257092,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{screenPos=0;addTolayer=-1;zorder=2;delay=0;offsetX=0;lastTime=8844;aniLoop=FALSE;aniName=huoyanji_skill2;offsetY=-200;scale=0.6},,,,,,
130411,,257101,,,,<0.3;0.3;0.4>,,<0;166.6;566.6>,{beginT=0;disx=10;disy=10;endT=100;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
130421,,257104,,,,<0.25;0.25;0.25;0.25>,,<0;900;200;200>,{beginT=0;disx=15;disy=20;endT=100;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
130431,,257108,,,,<0.05;0.05;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;933.3;800;133.3;133.3;133.3;133.3;133.3;133.3;133.3;1511.5>,{beginT=0;disx=20;disy=30;endT=100;isRepeat=TRUE},,,,,,,,,,,,,
130433,,1,,,,,,,,,,,<{hide=TRUE;delay=0;lastTime=1000}>,,,,<90;257191;257192>,,,,,
130436,,257191,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{screenPos=0;addTolayer=-1;zorder=2;delay=0;offsetX=0;lastTime=10666.6;aniLoop=FALSE;aniName=huoyanji_mega_skill2;offsetY=0;scale=0.66},,,,,,
130437,,257192,,,,,,,,,,,,1,koudai_beijing/tiankong_x.skel,{screenPos=0;addTolayer=-1;zorder=1;delay=0;offsetX=0;lastTime=10666.6;aniLoop=FALSE;aniName=huoyanji_mega_skill2;offsetY=0;scale=0.66},,,,,,
131111,,258001,,,,<1>,,<0>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
131121,,258002,,,,<1>,,<0>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
131131,,258003,,,,<0.5;0.5>,,<0;833.3>,,,,,,,,,,,,,,
131211,,259001,,,,<0.5;0.5>,,<0;433.3>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
131221,,259003,,,,<0.25;0.25;0.25;0.25>,,<0;166.6;200;233.3>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
131231,,259007,,,,<0.3;0.3;0.4>,,<0;166.6;166.6>,,,,,,,,,,,,,,
131311,,260001,,,,<1>,,<0>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
131321,,260002,,,,<1>,,<0>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
131331,,260003,,,,<0.3;0.3;0.4>,,<0;833.3;866.6>,,,,,,,,,,,,,,
131411,,260101,,,,<0.3;0.3;0.4>,,<0;400;666.6>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
131421,,260104,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;266.6;333.3;766.6;100;100;133.3>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
131431,,260111,,,,<0.1;0.1;0.1;0.2;0.2;0.3>,,<0;133.3;1633.3;66.6;100;400>,,,,,,,,,,,,,,
131432,,1,,,,,,,,,,,<{hide=TRUE;delay=1100;lastTime=1900}>,,,,<90;260192;260193;260194>,,,,,
131433,,260192,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=6166.6;aniLoop=FALSE;aniName=juzhaoguaimega_skill2;offsetY=0;scale=0.7},,,,,,
131434,,260193,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{screenPos=0;addTolayer=-1;zorder=-2;delay=0;offsetX=200;lastTime=6166.6;aniLoop=FALSE;aniName=juzhaoguaimega_skill2;offsetY=-200;scale=0.7},,,,,,
131435,,260194,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{screenPos=0;addTolayer=-1;zorder=-3;delay=0;offsetX=0;lastTime=6166.6;aniLoop=FALSE;aniName=juzhaoguaimega_skill2;offsetY=0;scale=0.7},,,,,,
135111,,270001,,,,<1>,,<0>,{beginT=0;disx=10;disy=10;endT=100;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
135121,,270002,,,,<1>,,<0>,{beginT=0;disx=15;disy=20;endT=100;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
135131,,270003,,,,,<1>,<0>,{beginT=0;disx=20;disy=30;endT=100;isRepeat=TRUE},,,,,,,,,,,,,
135211,,271001,,,,<1>,,<0>,{beginT=0;disx=10;disy=10;endT=100;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
135221,,271002,,,,<1>,,<0>,{beginT=0;disx=15;disy=20;endT=100;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
135231,,271003,,,,,<0.25;0.25;0.25;0.25>,<0;166.6;166.6;200>,{beginT=0;disx=20;disy=30;endT=100;isRepeat=TRUE},,,,,,,,,,,,,
135311,,272001,,,,<1>,,<0>,{beginT=0;disx=10;disy=10;endT=100;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
135321,,272002,,,,<0.3;0.3;0.4>,,<0;100;100>,{beginT=0;disx=15;disy=20;endT=100;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
135331,,272005,,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,<0;4966.6;566.6;433.3;300;500>,{beginT=0;disx=20;disy=30;endT=100;isRepeat=TRUE},,,,,,,,,,,,,
135332,,272091,,,,,,,,,<{zorder=-999;delay=0;lastTime=1000}>,,,,,,,,,,,
139111,,280001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139121,,280002,,,,<0.3;0.3;0.4>,,<0;210;210>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139131,,280005,,,,<0.5;0.5>,,<0;180>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
139211,,281001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139221,,281002,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139231,,281003,,,,<1>,,<0>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
139232,,1,,,,,,,,,,<{t=0;scale=1.3;y=-530;x=400;delay=10};{t=770;scale=0.9;y=-90;x=-50;delay=200}>,,,,,<90;281091>,,,,,
139233,,281091,,,,,,,,,,,,1,koudai_beijing/wutai2.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=-190;lastTime=6402;aniLoop=FALSE;aniName=qilulian_skill2;offsetY=-280;scale=0.7},,,,,,
139311,,282001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139321,,282002,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139331,,282003,,,,<0.25;0.25;0.25;0.25>,,<0;240;240;240>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
139332,,1,,,,,,,,,,<{t=10;teamClose=3;absX=2550;absY=-1700;rot=-20;delay=0;scale=5};{t=400;teamClose=2.4;absX=1500;absY=480;rot=0;delay=4130;scale=1.5};{t=150;teamClose=2.8;absX=1500;absY=580;rot=0;delay=4530;scale=1.9};{t=80;teamClose=2.8;absX=1500;absY=580;rot=0;delay=4680;scale=2.1};{t=300;teamClose=1.3;absX=1520;absY=600;rot=-30;delay=4780;scale=0.9}>,<{hide=TRUE;delay=0;lastTime=4130}>,,,,<90;282091>,,,,,
139333,,282091,,,,,,,,,,,,1,koudai_beijing/yuzhou.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=-100;lastTime=6102;aniLoop=FALSE;aniName=shanaiduo_skill2;offsetY=-420;scale=0.65},,,,,,
139411,,475001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139421,,475002,,,,<0.25;0.25;0.25;0.25>,,<0;130;130;130>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139431,,475006,,,,<0.1;0.1;0.1;0.1;0.6>,,<0;90;90;90;858>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
139432,,1,,,,,,,,,,<{t=10;teamClose=0.9;scale=1;y=-10;x=-720;delay=0}>,<{hide=TRUE;delay=0;lastTime=5800}>,,,,<90;475091>,,,,,
139433,,475091,,,,,,,,,,,,1,koudai_beijing/moren_bj.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=-120;lastTime=6402;aniLoop=FALSE;aniName=ailuleiduo_skill2;offsetY=-180;scale=0.61},,,,,,
139511,,282101,,,,<0.25;0.25;0.25;0.25>,,<0;200;200;200>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139521,,282105,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139531,,282106,,,,<1>,,<0>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
139532,,1,,,,,,,,,,,,,,,<90;282191>,{bones=<hitman_move1;hitman_move2;hitman_move3;hitman_move4;hitman_move5;hitman_move6>},,,,
139533,,282191,,,,,,,,,,,,1,koudai_beijing/guofeng.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=11366.6;aniLoop=FALSE;aniName=shanaiduo_yuanxiaopifu_skill2;offsetY=-420;scale=0.65},,,,,,
139611,,282201,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139621,,282202,,,,<0.5;0.5>,,<0;200>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139631,,282203,,,,<0.5;0.5>,,<0;200>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
139632,,1,,,,,,,,,,,,,,,<90;282291>,{bones=<hitman_move1;hitman_move2;hitman_move3;hitman_move4;hitman_move5;hitman_move6>},,,,
139633,,282291,,,,,,,,,,,,1,koudai_beijing/huahai.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=8350;aniLoop=FALSE;aniName=shanaiduomega_skill2;offsetY=0;scale=0.65},,,,,,
139711,,282301,,,,<0.25;0.25;0.25;0.25>,,<0;200;200;200>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139721,,282305,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139731,,282306,,,,<1>,,<0>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
139732,,1,,,,,,,,,,,,,,,<90;282191>,{bones=<hitman_move1;hitman_move2;hitman_move3;hitman_move4;hitman_move5;hitman_move6>},,,,
139733,,282391,,,,,,,,,,,,1,koudai_beijing/guofeng.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=11366.6;aniLoop=FALSE;aniName=shanaiduo_yuanxiaopifu_skill2;offsetY=-420;scale=0.65},,,,,,
139811,,475101,,,,<0.5;0.5>,,<0;600>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139821,,475103,,,,<0.2;0.3;0.5>,,<0;300;400>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139831,,475106,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;250;250;250;4300;200;200>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
139832,,1,,,,,,,,,,,,,,,<90;475191;475192>,{bones=<hitman_move>},,,,
139833,,475191,,,,,,,,,,,,1,koudai_beijing/dizhen.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=12310;aniLoop=FALSE;aniName=ailuleiduo_mega_skill2;offsetY=0;scale=0.72},,,,,,
139834,,475192,,,,,,,,,,,,1,koudai_beijing/yewan.skel,{screenPos=0;addTolayer=-1;zorder=-3;delay=0;offsetX=0;lastTime=12310;aniLoop=FALSE;aniName=ailuleiduo_mega_skill2;offsetY=0;scale=0.72},,,,,,
139911,,475201,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;200;166.6;133.3;500>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139921,,475206,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;100;100;100;966.6>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
139931,,475211,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.2>,,<0;133.3;133.3;133.3;133.3;133.3;133.3;133.3>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
139932,,1,,,,,,,,,,,,,,,<90;475291;475292;475293>,{bones=<hitman_move>},,,,
139933,,475291,,,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=10433.3;aniLoop=FALSE;aniName=ailuleiduo_pf_s2;offsetY=0;scale=0.7},,,,,,
139934,,475292,,,,,,,,,,,,1,koudai_beijing/gezi.skel,{screenPos=0;addTolayer=-1;zorder=-2;delay=0;offsetX=0;lastTime=10433.3;aniLoop=FALSE;aniName=ailuleiduo_pf_s2;offsetY=0;scale=0.7},,,,,,
139935,,475293,,,,,,,,,,,,1,koudai_beijing/yewan.skel,{screenPos=0;addTolayer=-1;zorder=-3;delay=0;offsetX=0;lastTime=10433.3;aniLoop=FALSE;aniName=ailuleiduo_pf_s2;offsetY=0;scale=0.7},,,,,,
141111,,285001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
141121,,285002,,,,<0.25;0.25;0.25;0.25>,,<0;233.3;233.3;233.3>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
141131,,285006,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;300;266.6;333.3;266.6>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
141211,,286001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
141221,,286002,,,,<0.3;0.3;0.4>,,<0;600;1200>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
141231,,286005,,,,<1>,,<0>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
141232,,1,,,,,,,,,,,,,,,<90;286091>,{bones=<hitman_move;hitman_move2;hitman_move3>},,,,
141233,,286091,,,,,,,,,,,,1,koudai_beijing/shuimian.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=6266.6;aniLoop=FALSE;aniName=sgcjalld_skill2;offsetY=-60;scale=0.8},,,,,,
142111,,287001,,,,<0.25;0.25;0.25;0.25>,,<0;133.3;266.6;133.3>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
142121,,287005,,,,<0.3;0.3;0.4>,,<0;600;800>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
142131,,287008,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;566.6;200;266.6;300;233.3;1100>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
142211,,288001,,,,<0.3;0.3;0.4>,,<0;166.6;166.6>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
142221,,288004,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
142231,,288005,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.2>,,<0;300;200;133.3;100;100;200;866.6>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
142311,,289001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
142321,,289002,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;133.3;133.3;133.3;766.6;133.3;133.3;133.3>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
142331,,289010,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.2>,,<150;150;150;150;150;150;150;150>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
142332,,289091,,,,,,,,,,<{t=0;absX=1400;absY=330;delay=5800;scale=0.9};{t=700;absX=1420;absY=670;rot=-179;delay=6000;scale=0.08}>,<{hide=TRUE;delay=0;lastTime=5801};{hide=TRUE;delay=6666.6;lastTime=11111}>,,,,<90;289092;289093>,,,,,
142333,,289092,,,,,,,,,,,,1,koudai_beijing/senlin.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=7333.3;aniLoop=FALSE;aniName=qingjiawang_skill2;offsetY=0;scale=1},,,,,,
142334,,289093,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{screenPos=0;addTolayer=-1;zorder=-10;delay=0;offsetX=0;lastTime=7333.3;aniLoop=FALSE;aniName=qingjiawang_skill2;offsetY=0;scale=1},,,,,,
144111,,293001,,,,<0.5;0.5>,,<0;600>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
144121,,293003,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;233.3;166.6;366.6;266.6>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
144131,,293008,,,,<0.1;0.3;0.3;0.3>,,<0;1000;166.6;233.3>,,,,,,,,,,,,,,
144211,,294001,,,,<0.5;0.5>,,<0;100>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
144221,,294003,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=100},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
144231,,294004,,,,<0.25;0.25;0.25;0.25>,,<0;133.3;166.6;166.6>,,,,,,,,,,,,,,
144232,,294091,,,,,,,{beginT=1333;count=4;disx=0;disy=20;endT=2333;interval=230},,,,<{hide=TRUE;delay=0;lastTime=4433.33}>,,,,<90;294092>,,,,,
144233,,294092,,,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,{screenPos=0;addTolayer=-1;offsetY=0;offsetX=-300;lastTime=6567;aniLoop=FALSE;zorder=-1;aniName=houbaodan_skill2},,,,,,
144311,,295001,,,,<1>,,<0>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
144321,,295002,,,,<0.3;0.3;0.4>,,<0;166.6;200>,{beginT=0;count=3;disx=10;disy=10;endT=300;interval=100},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
144331,,295005,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;166.67;166.67;166.67;166.67>,,,<{zorder=-1000;delay=0;lastTime=6166.67}>,,,,,,,,,,,
144332,,295091,,,,,,,,,,,<{hide=TRUE;delay=0;lastTime=5166.67}>,,,,<90;295092>,,,,,
144333,,295092,,,,,,,,,,,,1,koudai_beijing/wutai.skel,{screenPos=0;addTolayer=-1;offsetY=-300;offsetX=0;lastTime=5066.67;aniLoop=FALSE;zorder=-1;aniName=baoyinguai_skill2},,,,,,
148111,,302001,,,,<0.3;0.3;0.4>,,<0;433.3;500>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
148121,,302004,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
148131,,302005,,,,<1>,,<0>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
148132,,1,,,,,,,,,,,,,,,,{bones=<hitman_move1;hitman_move2;hitman_move3>},,,,
150111,,304001,,,,<1>,,<0>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
150121,,304002,,,,<0.5;0.5>,,<0;100>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
150131,,304004,,,,<1>,,<0>,,,,,,,,,,,,,,
150211,,305001,,,,<1>,,<0>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
150221,,305002,,,,<0.3;0.7>,,<0;466.67>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
150222,,305099,,,,,,,,,,,,,,,,,,,,
150231,,305004,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;233.33;200;233.33;200>,,,,,,,,,,,,,,
150232,,305091,,,,,,,,,,,<{hide=TRUE;delay=2500;lastTime=1500}>,,,,<90;305092;305093>,,,,,
150233,,305092,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{screenPos=0;addTolayer=-1;zorder=99;offsetX=0;lastTime=4266.67;aniLoop=FALSE;aniName=keduola_skill2;offsetY=0;scale=0.75},,,,,,
150234,,305093,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{screenPos=0;addTolayer=-1;offsetY=0;offsetX=0;lastTime=4566.67;aniLoop=FALSE;zorder=39;aniName=keduola_skill2},,,,,,
150311,,306001,,,,<1>,,<0>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
150321,,306002,,,,<1>,,<0>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
150331,,306003,,,,<0.25;0.25;0.25;0.25>,,<0;453.33;210;210>,,,,,,,,,,,,,,
150332,,1,,,,,,,,,,<{t=0;absY=600;delay=1000;scale=1}>,<{hide=TRUE;delay=1000;lastTime=900};{hide=TRUE;delay=3800;lastTime=3133.33}>,,,,<90;306092;306093>,,,,,
150333,,306092,,,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,{screenPos=0;addTolayer=-1;offsetY=0;offsetX=-400;lastTime=7833.33;aniLoop=FALSE;zorder=99;aniName=boshikeduola_skill2},,,,,,
150334,,306093,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{screenPos=0;addTolayer=-1;offsetY=0;offsetX=0;lastTime=2000;aniLoop=FALSE;zorder=39;aniName=boshikeduola_skill2},,,,,,
150411,,306101,,,,<1>,,<0>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
150421,,306102,,,,<0.3;0.3;0.4>,,<0;466.6;866.6>,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
150431,,306105,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2>,,<0;266.6;333.3;333.3;333.3;333.3;333.3;333.3;4433.3>,,,,,,,,,,,,,,
150432,,1,,,,,,,,,,,,,,,<90;306192>,{bones=<hitman_move;hitman_move2>},,,,
150433,,306192,,,,,,,,,,,,1,koudai_beijing/jitan.skel,{screenPos=0;addTolayer=-1;zorder=-1;offsetX=-200;lastTime=10933.3;aniLoop=FALSE;aniName=megaboshikeduola_skill2;offsetY=0;scale=0.75},,,,,,
151111,,307001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
151121,,307002,,,,<0.25;0.25;0.25;0.25>,,<0;133;66;100>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
151131,,307006,,,,<0.5;0.5>,,<0;2233.3>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,{bones=<hitman_move>},,,,
