变量名,roleId,level,_beizhu,skills,fight_soul,roleForce,star,activeSkill,classify,hp,mp1,mp2,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,dodge,hit,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint,__version
1088,1423,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1089,1441,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1090,1442,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1091,1443,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1092,1501,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1093,1502,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1094,1503,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1095,1611,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1096,1612,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1097,1813,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1098,1861,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1099,1862,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1100,1863,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1101,2011,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1102,2012,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1103,2071,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1104,2072,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1105,2073,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1106,2232,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1107,2233,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1108,2271,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1109,2272,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1110,2303,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1111,2481,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1112,2631,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1113,2632,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1114,2633,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1115,2681,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1116,2682,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1117,2683,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1118,2871,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1119,2872,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1120,2873,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1121,2961,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1122,2962,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1123,2963,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1124,3002,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1125,3003,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1126,3011,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1127,3012,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1128,3411,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1129,3412,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1130,3471,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1131,3472,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1132,3541,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1133,3542,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1134,3543,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
