变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
11963,limit_up_rmb1_15681,后续每15连额外得S级卡（概率）UP-冰妖精,2,6,,,10,10,0.05,0.015,0.5,15,15,{1210=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11964,limit_up_rmb1_15681,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP-冰妖精,2,160,,,,160,0.05,0.015,0.5,15,15,{1210=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11970,limit_up_rmb10_15681,首次十连-单张S-冰妖精,4,1,,,,,,,,,,{1210=1;205=3;206=6},100,{1210=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
11971,limit_up_rmb10_15681,10连抽-常规产出（最多2个）-冰妖精,0,2,,,20,,,,,,,{1210=1;205=3;206=6},150,{1210=1;205=4;206=5},100,{1210=1;205=5;206=4},50,{1210=2;205=3;206=5},30,{1210=2;205=4;206=4},20,{1210=2;205=5;206=3},10,{1210=3;205=2;206=5},0,{1210=3;205=3;206=4},0,{1210=3;205=4;206=3},0,,0
11972,limit_up_rmb10_15681,10连抽-常规产出（22次后为泛卡池）-冰妖精,0,22,,,,,,,,,,{1211=1;205=3;206=6},150,{1211=1;205=4;206=5},100,{1211=1;205=5;206=4},50,{1211=2;205=3;206=5},30,{1211=2;205=4;206=4},20,{1211=2;205=5;206=3},10,{1211=3;205=2;206=5},0,{1211=3;205=3;206=4},0,{1211=3;205=4;206=3},0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,limit_box_rmb1_1031,限时神兽-免费抽卡,4,1,,,,,,,,,,{205=1},50,,0,,0,,0,,0,,0,,0,,0,,0,,0
1002,limit_box_rmb1_1031,后续每15连得S级卡（概率）,2,2,,,,2,0.05,0.02,0.3,15,15,{201=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
1003,limit_box_rmb1_1031,限时神兽-单次抽卡,0,2,,,,,,,,,,{201=1},0,{205=1},250,{1101=1},200,{1103=1},400,{1111=1},100,{1112=1},100,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,limit_box_rmb10_1031,首次十连-单张S,4,1,,,,,,,,,,{207=1;205=3;206=6},100,{207=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
1012,limit_box_rmb10_1031,限时神兽-十连抽-常规产出（最多2个）,0,1,,,,,,,,,,{201=1;205=2;1101=2;1103=3;1111=1;1112=1},150,{201=1;205=2;1101=2;1103=3;1111=1;1112=1},100,{201=1;205=2;1101=2;1103=3;1111=1;1112=1},50,{201=2;205=1;1101=2;1103=3;1111=1;1112=1},30,{201=2;205=1;1101=2;1103=3;1111=1;1112=1},20,{201=2;205=1;1101=2;1103=3;1111=1;1112=1},10,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,limit_box_rmb1_1112,每十连抽-必出饰品升星道具,3,10,,,,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
1022,limit_box_rmb1_1112,常规单抽-基础产出,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,limit_box_rmb10_1112,十连-出紫色携带道具-后续正常概率出-15次,1,10,0.04,0.09,,19,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1032,limit_box_rmb10_1112,十连-出紫色携带道具-第四次后18次左右出,1,10,0.08,0.15,1,11,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1033,limit_box_rmb10_1112,十连-出紫色携带道具-第四次后9次左右出,1,10,0.2,0.3,1,5,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1034,limit_box_rmb10_1112,十连-出饰品觉醒材料-后续正常概率出-11次,1,10,0.06,0.12,,6,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1035,limit_box_rmb10_1112,十连-出饰品觉醒材料-第二次后5次左右出,1,10,0.2,0.3,1,2,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1036,limit_box_rmb10_1112,常规十连,0,1,,,,,,,,,,{150=1;152=3;1101=1;153=2;154=2;160=1},100,{150=1;152=3;1101=1;153=1;154=2;160=1;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},100,{150=1;152=4;1101=1;153=1;154=2;160=1},100,{150=1;152=4;1101=1;153=2;154=1;160=1},100,{150=1;152=4;1101=1;153=1;154=1;160=1;161=1},100,{150=1;152=4;1101=1;153=1;154=2;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,limit_box_rmb1_1212,每十连抽-必出饰品升星道具,3,10,,,,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
1042,limit_box_rmb1_1212,常规单抽-基础产出,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,limit_box_rmb10_1212,十连-出紫色携带道具-后续正常概率出-15次,1,10,0.04,0.09,,19,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1052,limit_box_rmb10_1212,十连-出紫色携带道具-第四次后18次左右出,1,10,0.08,0.15,1,11,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1053,limit_box_rmb10_1212,十连-出紫色携带道具-第四次后9次左右出,1,10,0.2,0.3,1,5,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1054,limit_box_rmb10_1212,十连-出饰品觉醒材料-后续正常概率出-11次,1,10,0.06,0.12,,6,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1055,limit_box_rmb10_1212,十连-出饰品觉醒材料-第二次后5次左右出,1,10,0.2,0.3,1,2,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1056,limit_box_rmb10_1212,常规十连,0,1,,,,,,,,,,{150=1;152=3;1101=1;153=2;154=2;160=1},100,{150=1;152=3;1101=1;153=1;154=2;160=1;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},100,{150=1;152=4;1101=1;153=1;154=2;160=1},100,{150=1;152=4;1101=1;153=2;154=1;160=1},100,{150=1;152=4;1101=1;153=1;154=1;160=1;161=1},100,{150=1;152=4;1101=1;153=1;154=2;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,limit_box_rmb1_1291,每十连抽-必出饰品升星道具,3,10,,,,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
1062,limit_box_rmb1_1291,常规单抽-基础产出,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,limit_box_rmb10_1291,十连-出紫色携带道具-后续正常概率出-15次,1,10,0.04,0.09,,19,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1072,limit_box_rmb10_1291,十连-出紫色携带道具-第四次后18次左右出,1,10,0.08,0.15,1,11,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1073,limit_box_rmb10_1291,十连-出紫色携带道具-第四次后9次左右出,1,10,0.2,0.3,1,5,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1074,limit_box_rmb10_1291,十连-出饰品觉醒材料-后续正常概率出-11次,1,10,0.06,0.12,,6,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1075,limit_box_rmb10_1291,十连-出饰品觉醒材料-第二次后5次左右出,1,10,0.2,0.3,1,2,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1076,limit_box_rmb10_1291,常规十连,0,1,,,,,,,,,,{150=1;152=3;1101=1;153=2;154=2;160=1},100,{150=1;152=3;1101=1;153=1;154=2;160=1;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},100,{150=1;152=4;1101=1;153=1;154=2;160=1},100,{150=1;152=4;1101=1;153=2;154=1;160=1},100,{150=1;152=4;1101=1;153=1;154=1;160=1;161=1},100,{150=1;152=4;1101=1;153=1;154=2;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,limit_box_rmb1_1381,每十连抽-必出饰品升星道具,3,10,,,,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
1082,limit_box_rmb1_1381,常规单抽-基础产出,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,limit_box_rmb10_1381,十连-出紫色携带道具-后续正常概率出-15次,1,10,0.04,0.09,,19,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1092,limit_box_rmb10_1381,十连-出紫色携带道具-第四次后18次左右出,1,10,0.08,0.15,1,11,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1093,limit_box_rmb10_1381,十连-出紫色携带道具-第四次后9次左右出,1,10,0.2,0.3,1,5,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1094,limit_box_rmb10_1381,十连-出饰品觉醒材料-后续正常概率出-11次,1,10,0.06,0.12,,6,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1095,limit_box_rmb10_1381,十连-出饰品觉醒材料-第二次后5次左右出,1,10,0.2,0.3,1,2,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1096,limit_box_rmb10_1381,常规十连,0,1,,,,,,,,,,{150=1;152=3;1101=1;153=2;154=2;160=1},100,{150=1;152=3;1101=1;153=1;154=2;160=1;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},100,{150=1;152=4;1101=1;153=1;154=2;160=1},100,{150=1;152=4;1101=1;153=2;154=1;160=1},100,{150=1;152=4;1101=1;153=1;154=1;160=1;161=1},100,{150=1;152=4;1101=1;153=1;154=2;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,limit_box_rmb1_1512,每十连抽-必出饰品升星道具,3,10,,,,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
1102,limit_box_rmb1_1512,常规单抽-基础产出,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,limit_box_rmb10_1512,十连-出紫色携带道具-后续正常概率出-15次,1,10,0.04,0.09,,19,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1112,limit_box_rmb10_1512,十连-出紫色携带道具-第四次后18次左右出,1,10,0.08,0.15,1,11,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1113,limit_box_rmb10_1512,十连-出紫色携带道具-第四次后9次左右出,1,10,0.2,0.3,1,5,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1114,limit_box_rmb10_1512,十连-出饰品觉醒材料-后续正常概率出-11次,1,10,0.06,0.12,,6,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1115,limit_box_rmb10_1512,十连-出饰品觉醒材料-第二次后5次左右出,1,10,0.2,0.3,1,2,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1116,limit_box_rmb10_1512,常规十连,0,1,,,,,,,,,,{150=1;152=3;1101=1;153=2;154=2;160=1},100,{150=1;152=3;1101=1;153=1;154=2;160=1;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},100,{150=1;152=4;1101=1;153=1;154=2;160=1},100,{150=1;152=4;1101=1;153=2;154=1;160=1},100,{150=1;152=4;1101=1;153=1;154=1;160=1;161=1},100,{150=1;152=4;1101=1;153=1;154=2;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,limit_box_rmb1_1642,每十连抽-必出饰品升星道具,3,10,,,,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
1122,limit_box_rmb1_1642,常规单抽-基础产出,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,limit_box_rmb10_1642,十连-出紫色携带道具-后续正常概率出-15次,1,10,0.04,0.09,,19,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1132,limit_box_rmb10_1642,十连-出紫色携带道具-第四次后18次左右出,1,10,0.08,0.15,1,11,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1133,limit_box_rmb10_1642,十连-出紫色携带道具-第四次后9次左右出,1,10,0.2,0.3,1,5,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1134,limit_box_rmb10_1642,十连-出饰品觉醒材料-后续正常概率出-11次,1,10,0.06,0.12,,6,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1135,limit_box_rmb10_1642,十连-出饰品觉醒材料-第二次后5次左右出,1,10,0.2,0.3,1,2,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1136,limit_box_rmb10_1642,常规十连,0,1,,,,,,,,,,{150=1;152=3;1101=1;153=2;154=2;160=1},100,{150=1;152=3;1101=1;153=1;154=2;160=1;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},100,{150=1;152=4;1101=1;153=1;154=2;160=1},100,{150=1;152=4;1101=1;153=2;154=1;160=1},100,{150=1;152=4;1101=1;153=1;154=1;160=1;161=1},100,{150=1;152=4;1101=1;153=1;154=2;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,limit_box_rmb1_1772,每十连抽-必出饰品升星道具,3,10,,,,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
1142,limit_box_rmb1_1772,常规单抽-基础产出,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,limit_box_rmb10_1772,十连-出紫色携带道具-后续正常概率出-15次,1,10,0.04,0.09,,19,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1152,limit_box_rmb10_1772,十连-出紫色携带道具-第四次后18次左右出,1,10,0.08,0.15,1,11,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1153,limit_box_rmb10_1772,十连-出紫色携带道具-第四次后9次左右出,1,10,0.2,0.3,1,5,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1154,limit_box_rmb10_1772,十连-出饰品觉醒材料-后续正常概率出-11次,1,10,0.06,0.12,,6,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1155,limit_box_rmb10_1772,十连-出饰品觉醒材料-第二次后5次左右出,1,10,0.2,0.3,1,2,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1156,limit_box_rmb10_1772,常规十连,0,1,,,,,,,,,,{150=1;152=3;1101=1;153=2;154=2;160=1},100,{150=1;152=3;1101=1;153=1;154=2;160=1;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},100,{150=1;152=4;1101=1;153=1;154=2;160=1},100,{150=1;152=4;1101=1;153=2;154=1;160=1},100,{150=1;152=4;1101=1;153=1;154=1;160=1;161=1},100,{150=1;152=4;1101=1;153=1;154=2;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,limit_box_rmb1_1851,每十连抽-必出饰品升星道具,3,10,,,,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
1162,limit_box_rmb1_1851,常规单抽-基础产出,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,limit_box_rmb10_1851,十连-出紫色携带道具-后续正常概率出-15次,1,10,0.04,0.09,,19,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1172,limit_box_rmb10_1851,十连-出紫色携带道具-第四次后18次左右出,1,10,0.08,0.15,1,11,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1173,limit_box_rmb10_1851,十连-出紫色携带道具-第四次后9次左右出,1,10,0.2,0.3,1,5,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1174,limit_box_rmb10_1851,十连-出饰品觉醒材料-后续正常概率出-11次,1,10,0.06,0.12,,6,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1175,limit_box_rmb10_1851,十连-出饰品觉醒材料-第二次后5次左右出,1,10,0.2,0.3,1,2,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1176,limit_box_rmb10_1851,常规十连,0,1,,,,,,,,,,{150=1;152=3;1101=1;153=2;154=2;160=1},100,{150=1;152=3;1101=1;153=1;154=2;160=1;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},100,{150=1;152=4;1101=1;153=1;154=2;160=1},100,{150=1;152=4;1101=1;153=2;154=1;160=1},100,{150=1;152=4;1101=1;153=1;154=1;160=1;161=1},100,{150=1;152=4;1101=1;153=1;154=2;161=1},100,{150=1;152=3;1101=1;153=1;154=3;160=1},0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,limit_box_rmb1_1941,每十连抽-必出饰品升星道具,3,10,,,,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
1182,limit_box_rmb1_1941,常规单抽-基础产出,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,limit_box_rmb10_1941,十连-出紫色携带道具-后续正常概率出-15次,1,10,0.04,0.09,,19,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1192,limit_box_rmb10_1941,十连-出紫色携带道具-第四次后18次左右出,1,10,0.08,0.15,1,11,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1193,limit_box_rmb10_1941,十连-出紫色携带道具-第四次后9次左右出,1,10,0.2,0.3,1,5,,,,,,{150=1;162=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;162=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;162=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1194,limit_box_rmb10_1941,十连-出饰品觉醒材料-后续正常概率出-11次,1,10,0.06,0.12,,6,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
1195,limit_box_rmb10_1941,十连-出饰品觉醒材料-第二次后5次左右出,1,10,0.2,0.3,1,2,,,,,,{150=1;151=1;152=3;1101=1;153=1;154=2;160=1},100,{150=1;151=1;152=3;1101=1;153=2;154=1;160=1},100,{150=1;151=1;152=4;1101=1;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
