变量名,name,desc,cards,equipID,skinID,attrMap,__version
21212,恶魔家族,,<3561;2821;1801>,,,{1=10%},
21213,电掣星驰,,<331;591;1221>,,,{7=10%;8=10%},
21311,游泳健将,,<1311;3681;251>,,,{7=10%;8=10%},
21312,螺旋尾巴,,<2891;2831;2611>,,,{1=12%},
21313,水系能者,,<641;2491;21>,,,{7=10%;8=10%},
21314,干扰作战,,<261;2271>,,,{14=500},
22311,地表强者,,<491;2721>,,,{7=10%;8=10%},
22312,潜藏杀机,,<571;801;101>,,,{1=12%},
22313,回归理智,,<3301;1301>,,,{7=10%;8=10%},
22314,刀锋战士,,<3001;691>,,,{14=500},
22411,格斗势力,,<1301;3511;2631>,,,{7=10%;8=10%},
22412,誓约伙伴,,<771;1081;91>,,,{1=12%},
22413,不屈意志,,<1391;271;341>,,,{7=10%;8=10%},
22414,隐秘钢族,,<571;331>,,,{14=500},
22711,毒系同伴,,<131;471;3011>,,,{7=10%;8=10%},
22712,毒之身躯,,<481;271;2631>,,,{1=10%},
22713,神秘力量,,<281;371;1081>,,,{7=10%;8=10%},
23011,草之誓约,,<281;781;2011>,,,{7=10%;8=10%},
23012,森林意志,,<1081;3281;1861>,,,{1=10%},
23013,冒险同伴,,<2871;3011;3431>,,,{7=10%;8=10%},
23311,强大意志,,<4012;2131;4431>,,,{7=10%;8=10%},
23312,傀儡意识,,<321;561;771;2841>,,,{1=12%},
23313,魔法宝藏,,<991;1391;551>,,,{7=10%;8=10%},
23314,湖之传说,,<2321;2341>,,,{22=500},
23511,超凡意志,,<1261;1931;1901>,,,{7=15%;8=15%},
23512,龙龙军团,,<751;3141;3001>,,,{1=20%},
23513,神话精灵,,<2391;1941>,,,{7=15%;8=15%},
23514,时空传说,,<2361;1891;2231>,,,{14=750},
23521,钢龙军团,,<4571;3541>,,,{7=15%;8=15%},
23522,时间之力,,<1281>,,,{1=20%},
23523,神奥神话,,<2391;2401;2331>,,,{7=15%;8=15%},
23524,时空传说,,<2361;2351>,,,{14=750},
23611,水流力量,,<631;1241;3301>,,,{7=15%;8=15%},
23612,龙族出击,,<2391;1951;751>,,,{1=20%},
23613,誓约朋友,,<2431;1841;1071>,,,{7=15%;8=15%},
23614,时空对决,,<2351;3591>,,,{14=750},
23621,水龙军团,,<5401;631;4561>,,,{7=15%;8=15%},
23622,空间之力,,<561;1811;2841>,,,{1=20%},
23623,神奥起源,,<2391;2352>,,,{7=15%;8=15%},
23624,时空传说,,<2361;2351>,,,{14=750},
23711,钢化产能,,<401;1901;2961>,,,{7=10%;8=10%},
23712,火焰旋涡,,<2991;741;601;3291>,,,{1=12%},
23713,唯一属性组合,,<161;3961;3411;1081>,,,{7=10%;8=10%},
23714,决战X守护,,<2441>,,,{23=500},
23811,苏醒之力,,<2361;1421;711>,,,{7=15%;8=15%},
23812,崛陆而起,,<1971;401;2231>,,,{1=20%},
23813,永恒传说,,<1911;1921;1931>,,,{7=15%;8=15%},
23814,亦正亦邪,,<2431;2821;1081>,,,{14=750},
23911,幽灵新影,,<2991;1811;3661>,,,{7=15%;8=15%},
23912,飞龙在天,,<3591;3141;1891>,,,{1=20%},
23913,异界对抗,,<2441;2031;1861>,,,{7=15%;8=15%},
23914,神话精灵,,<2351;2361>,,,{23=750},
24011,超凡能力,,<1901;261;551>,,,{7=10%;8=10%},
24012,誓约伙伴,,<751;491;2961>,,,{1=12%},
24013,新月起舞,,<2431>,,,{7=10%;8=10%},
24014,优雅化身,,<1391;2471;2841>,,,{23=500},
24111,均衡体态,,<1851;461;1641>,,,{7=10%;8=10%},
24112,湿润之躯,,<641;3541>,,,{1=12%},
24113,水之使者,,<3681;2031;2921;2922>,,,{7=10%;8=10%},
24114,撒娇体质,,<501;1391;3961>,,,{23=500},
24211,心灵感应,,<501;1391;3591>,,,{7=15%;8=15%},
24212,海之神殿,,<1961;381;2031;3681>,,,{1=20%},
24213,湿润之躯,,<641;3541;2411>,,,{7=15%;8=15%},
24214,萌样神兽Ⅱ,,<2461;4121;1991;1281>,,,{23=750},
24311,邪恶势力,,<2821;2721;3301>,,,{7=15%;8=15%},
24312,神奥对决,,<1981;1071;1291>,,,{1=20%},
24313,无月之夜,,<2381;2401>,,,{7=15%;8=15%},
24314,时空保护,,<2351;1391;471>,,,{22=750},
24411,草系新贵,,<2471;1291;3661>,,,{7=15%;8=15%},
24412,隐秘飞行,,<1271;701;3591>,,,{1=20%},
24413,探险同伴,,<3631;3771;3841>,,,{7=15%;8=15%},
24414,异界纷争,,<2391;4131;2031>,,,{23=750},
24611,神之火焰,,<3211;1231;741>,,,{7=15%;8=15%},
24612,吃货大胃王,,<711;1421;3281>,,,{1=20%},
24613,团队激励,,<1991;2441;501>,,,{7=15%;8=15%},
24614,可爱象征,,<771;1851>,,,{23=750},
24711,草系力量,,<1291;3661;781>,,,{7=10%;8=10%},
24712,相生相克,,<1301;2301;2481>,,,{1=12%},
24713,誓约伙伴,,<2991;2922;2871>,,,{7=10%;8=10%},
24714,优雅化身,,<2401;2841>,,,{22=500},
24811,火焰掌控,,<3341;791;1611>,,,{7=10%;8=10%},
24812,炎焰之力,,<11;3291;3341>,,,{1=10%},
24813,太阳意志,,<2631;2271;131>,,,{7=10%;8=10%},
24911,贝壳刃,,<321;381>,,,{7=10%;8=10%},
24912,水势劈斩,,<631;801;3471>,,,{1=12%},
24913,水能使者,,<641>,,,{7=10%;8=10%},
24914,剑武士,,<4081;571;2481>,,,{14=500},
25911,岩石壁垒,,<491;301;691>,,,{7=10%;8=10%},
25912,沙暴之势,,<2071;2961;1501>,,,{1=10%},
25913,自然组合,,<2611;3011;1291>,,,{7=10%;8=10%},
26111,森林同伴,,<1611;691;2591>,,,{7=10%;8=10%},
26112,大地掌控,,<51;2631;3511>,,,{1=10%},
26113,觉醒感应,,<2681;781;1081>,,,{7=10%;8=10%},
26311,格斗势力,,<271;3511;2271>,,,{7=10%;8=10%},
26312,拳之力量,,<471;1441;231;461>,,,{1=10%},
26313,技巧掌控,,<301;2481;3011>,,,{7=10%;8=10%},
26811,虫虫崛起,,<371;481;2271>,,,{7=10%;8=10%},
26812,森林力量,,<2591;281;2301>,,,{1=10%},
26813,群体情谊,,<3471;2961;2611>,,,{7=10%;8=10%},
27211,地表强者,,<2231;491>,,,{7=10%;8=10%},
27212,品行不端,,<2271;21>,,,{1=12%},
27213,电影对决,,<1251;2821;2591>,,,{7=10%;8=10%},
27214,恶意满满,,<3141;1081;481>,,,{14=500},
28011,天空猎手,,<701>,,,{7=10%;8=10%},
28012,远古化石,,<3501;4561>,,,{1=12%},
28013,胆小怯懦,,<891;2831>,,,{7=10%;8=10%},
28014,群鸟守护,,<741;51;2041>,,,{22=500},
28211,幻影霸者,,<1221;1231;1241>,,,{7=10%;8=10%},
28212,恶作剧者,,<2721;2271;1081>,,,{1=12%},
28213,身手矫健,,<271;2631;461>,,,{7=10%;8=10%},
28214,基情四射,,<2241>,,,{14=500},
28311,鼠头鼠脑,,<791;2611;2891>,,,{7=10%;8=10%},
28312,可爱萌宠,,<151;1641;211>,,,{1=10%},
28313,摇尾巴,,<491;221;91>,,,{7=10%;8=10%},
28411,隐秘超能,,<3291;551>,,,{7=10%;8=10%},
28412,梦境大师,,<771>,,,{1=10%},
28413,公主链接,,<3351;1391>,,,{7=10%;8=10%},
28711,冰系家族,,<2301;1861;3011>,,,{7=10%;8=10%},
28712,暴雪感应,,<3501;1081;2921>,,,{1=10%},
28713,冰封力量,,<1351;801;371>,,,{7=10%;8=10%},
28911,雷电家族,,<351;71;1441>,,,{7=10%;8=10%},
28912,自然之力,,<3511;51;2071>,,,{1=10%},
28913,电光意识,,<91;11;3511>,,,{7=10%;8=10%},
29211,水流力量,,<2922;551;801>,,,{7=10%;8=10%},
29212,水之波动,,<3501;3011;3471>,,,{1=10%},
29213,覆舟之势,,<371;541;21>,,,{7=10%;8=10%},
29221,水流力量,,<2921;801;891>,,,{7=10%;8=10%},
29222,水之波动,,<3471;541;691>,,,{1=10%},
29223,覆舟之势,,<2011;121;3011>,,,{7=10%;8=10%},
29611,钢铁意志,,<801;3281;2071>,,,{7=10%;8=10%},
29612,刚毅之躯,,<1081;2631;3511>,,,{1=10%},
29613,危机感应,,<131;3431;1081>,,,{7=10%;8=10%},
29911,灵界力量,,<391;1811;3561>,,,{7=10%;8=10%},
29912,火焰之躯,,<601;741>,,,{1=12%},
29913,誓约伙伴,,<2922;2871;2471>,,,{7=10%;8=10%},
29914,祸不单行,,<3411;2821;2921>,,,{14=500},
30011,龙系家族,,<3141;751>,,,{7=10%;8=10%},
30012,双龙道馆,,<1891>,,,{1=12%},
30013,同行伙伴,,<2891;2611>,,,{7=10%;8=10%},
30014,刀锋战士,,<2231;571;691>,,,{14=500},
30111,冰系家族,,<1861;2871;3501>,,,{7=10%;8=10%},
30112,暴雪感应,,<171;1081;2011>,,,{1=10%},
30113,冰封力量,,<2271;3431;551>,,,{7=10%;8=10%},
30211,寒冰意志,,<721;3011;3501>,,,{7=10%;8=10%},
30212,盾之勇者,,<3541;3411>,,,{1=12%},
30213,雨雪交加,,<3301;2301;1851>,,,{7=10%;8=10%},
30214,天气管制,,<731;51;71>,,,{23=500},
30511,鼪鼬之众,,<791;2131>,,,{7=10%;8=10%},
30512,国风远扬,,<2021;2481>,,,{1=12%},
30513,无畏精神,,<1391;751;2241>,,,{7=10%;8=10%},
30514,功夫大师,,<4623;4621;461>,,,{14=500},
31411,龙之波动,,<751;1891>,,,{7=10%;8=10%},
31412,恶魔盛焰,,<1171;2481;791>,,,{1=12%},
31413,恶贯满盈,,<2821;1841>,,,{7=10%;8=10%},
31414,多头会议,,<1901;2871;351>,,,{14=500},
31511,虫虫崛起,,<571;1071;41>,,,{7=10%;8=10%},
31512,隐秘火系,,<1171;2991;1611>,,,{1=12%},
31513,誓约伙伴,,<2821;1811;3281>,,,{7=10%;8=10%},
31514,水火无情,,<381;2481;221>,,,{14=500},
31611,钢铁世家,,<1931;2031;571>,,,{7=10%;8=10%},
31612,格斗勇士,,<3251;1301;2631>,,,{1=12%},
31613,圣剑士,,<3171;3181>,,,{7=10%;8=10%},
31614,探险同伴,,<3021;1911;2481>,,,{14=500},
31711,岩崩,,<701;401;2591>,,,{7=10%;8=10%},
31712,格斗家,,<3251;2241;461>,,,{1=12%},
31713,圣剑士,,<3161;3181>,,,{7=10%;8=10%},
31714,剑舞,,<1071;3001;341>,,,{14=500},
31811,草叶风暴,,<3661;3841;2301>,,,{7=10%;8=10%},
31812,搏命者,,<3251;1071;3511>,,,{1=12%},
31813,圣剑士,,<3161;3171>,,,{7=10%;8=10%},
31814,神秘登场,,<2401;3351;2841;2891>,,,{23=500},
31911,天空怪物,,<1031;161;701>,,,{7=10%;8=10%},
31912,传奇飞行,,<3591>,,,{1=12%},
31913,形体变化,,<3411;461;1851>,,,{7=10%;8=10%},
31914,传说三云神,,<3201;3231>,,,{23=500},
32011,雷电打击,,<591;731;1221>,,,{7=10%;8=10%},
32012,飞来飞去,,<51;2891;3511>,,,{1=12%},
32013,形体变化,,<3411;461;1851>,,,{7=10%;8=10%},
32014,传说三云神,,<3191;3231>,,,{14=500},
32111,龙之波动,,<2351;3141;4131>,,,{7=15%;8=15%},
32112,火之势力,,<1271;3151;1171;1301>,,,{1=20%},
32113,誓约同伴,,<2721;3001;2471;2841>,,,{7=15%;8=15%},
32114,合众传说,,<3221;601;881>,,,{23=750},
32211,龙系出击,,<2361;3001;2231>,,,{7=15%;8=15%},
32212,雷电操控,,<731;1221;881>,,,{1=20%},
32213,召唤之力,,<3641;1941;1951>,,,{7=15%;8=15%},
32214,黑白英雄,,<3211;861;2471>,,,{14=750},
32311,起风扬沙,,<701;1031;401>,,,{7=10%;8=10%},
32312,传奇飞行,,<161;3661;51>,,,{1=12%},
32313,形体变化,,<3411;461;1851>,,,{7=10%;8=10%},
32314,传说三云神,,<3191;3201>,,,{14=500},
32411,暴雪降临,,<721;641;1921>,,,{7=15%;8=15%},
32412,道之三龙,,<3211;3221>,,,{1=20%},
32413,圣剑决斗,,<3251;2471;3001;3021>,,,{7=15%;8=15%},
32414,胡帕的召唤,,<2391;3301;751>,,,{23=750},
32421,暴雪降临,,<721;641;1921>,,,{7=15%;8=15%},
32422,道之三龙,,<3211;3221>,,,{1=20%},
32423,圣剑决斗,,<3251;2471;3001;3021>,,,{7=15%;8=15%},
32424,胡帕的召唤,,<2391;3301;751>,,,{23=750},
32511,覆舟之势,,<1241;3771;801>,,,{7=10%;8=10%},
32512,格斗家,,<2241;1301;461>,,,{1=12%},
32513,誓约同伴,,<3151;3511;551>,,,{7=10%;8=10%},
32514,心灵感应,,<1951;771>,,,{14=500},
32611,一般关系,,<2381;711;341>,,,{7=15%;8=15%},
32612,精神同步,,<3641;1391;1901>,,,{1=20%},
32613,圣剑同行,,<3161;2821;2721>,,,{7=15%;8=15%},
32614,危机感应,,<2441;1251;701>,,,{22=750},
32711,虫系军团,,<571;1071;3151;611>,,,{7=15%;8=15%},
32712,钢铁守护,,<4171;1501;1901>,,,{1=20%},
32713,远古生物,,<1991;701;3501;691>,,,{7=15%;8=15%},
32714,钢铁炮台,,<2351;1931;3161>,,,{14=750},
32811,草之誓约,,<281;781;2301>,,,{7=10%;8=10%},
32812,森林意志,,<1351;2011;3511>,,,{1=10%},
32813,冒险同伴,,<3431;1071;1611>,,,{7=10%;8=10%},
32911,火焰掌控,,<2481;11;1611>,,,{7=10%;8=10%},
32912,炎焰之力,,<3341;3281;791>,,,{1=10%},
32913,太阳意志,,<121;2271;2611>,,,{7=10%;8=10%},
33011,出类拔萃,,<3291;3281>,,,{7=10%;8=10%},
33012,水之波动,,<1241;631;1311;21>,,,{1=12%},
33013,劲敌对决,,<1291;11>,,,{7=10%;8=10%},
33014,除恶务尽,,<2821;1841>,,,{14=500},
33411,火焰掌控,,<471;1611;101>,,,{7=10%;8=10%},
33412,炎焰之力,,<1441;2481;271>,,,{1=10%},
33413,太阳意志,,<471;3511;2071>,,,{7=10%;8=10%},
33511,妖精联盟,,<131;3431;1391>,,,{7=10%;8=10%},
33512,湿地之战,,<3541;3511;2071>,,,{1=12%},
33513,花草共生,,<1291;281;781>,,,{7=10%;8=10%},
33514,公主链接,,<3631;2841>,,,{23=500},
34111,幽灵出没,,<391;1811>,,,{7=10%;8=10%},
34112,钢铁意志,,<1901;331;2961>,,,{1=12%},
34113,利刃出鞘,,<571;691>,,,{7=10%;8=10%},
34114,盾之勇者,,<3021;3501;2011>,,,{23=500},
34311,龙族克星,,<171;281;2631>,,,{7=10%;8=10%},
34312,广域伙伴,,<471;691;2961>,,,{1=10%},
34313,月亮之力,,<131;2301;2011>,,,{7=10%;8=10%},
34711,水流力量,,<551;21;801>,,,{7=10%;8=10%},
34712,水之波动,,<1441;1861;2871>,,,{1=10%},
34713,覆舟之势,,<2922;2011;3011>,,,{7=10%;8=10%},
35011,岩石壁垒,,<301;691;2591>,,,{7=10%;8=10%},
35012,沙暴之势,,<1081;2871;3011>,,,{1=10%},
35013,自然组合,,<541;2301;1861>,,,{7=10%;8=10%},
35111,格斗势力,,<271;2631;2271>,,,{7=10%;8=10%},
35112,拳之力量,,<231;461;1441;51>,,,{1=10%},
35113,技巧掌控,,<2961;791;3431>,,,{7=10%;8=10%},
35411,龙之波动,,<3141;1891>,,,{7=10%;8=10%},
35412,肥大体型,,<751;711;2481>,,,{1=12%},
35413,盾之勇者,,<3021;3501;2011>,,,{7=10%;8=10%},
35414,同行伙伴,,<3301;3511;91>,,,{23=500},
35611,幽灵感应,,<1351;801;781>,,,{7=8%;8=8%},
35612,魅影同伴,,<171;2011;3281>,,,{1=10%},
35613,魂魄之力,,<2961;111;301>,,,{7=8%;8=8%},
35711,顽皮捣蛋,,<391;3961>,,,{7=10%;8=10%},
35712,金牌造型,,<2991;3561>,,,{1=12%},
35713,恐惧领域,,<1801;1481;1811>,,,{7=10%;8=10%},
35714,万圣集合,,<1851;2841;161;971>,,,{23=500},
35911,低空势力,,<571;51>,,,{7=10%;8=10%},
35912,输出全靠吼,,<1391;1441;61>,,,{1=12%},
35913,龙龙军团,,<2231;3541>,,,{7=10%;8=10%},
35914,洞穴索居,,<401;301>,,,{23=500},
36011,美丽动人,,<3261;1771;2401>,,,{7=15%;8=15%},
36012,妖精同盟,,<3351;1391;861;3681>,,,{1=20%},
36013,大地复苏,,<1971;2441;3631>,,,{7=15%;8=15%},
36014,X/Y,,<3611>,,,{23=750},
36111,破坏之王,,<2431;3171;1031>,,,{7=15%;8=15%},
36112,恶魔祷告,,<3641;4131;381>,,,{1=20%},
36113,恶系军团,,<1171;1841;2821;1801>,,,{7=15%;8=15%},
36114,以牙还牙,,<3241;1911;1811>,,,{14=750},
36211,一方霸主,,<1971;2391>,,,{7=15%;8=15%},
36212,地面行者,,<491;401;3231>,,,{1=20%},
36213,龙族核心,,<2231;751;1891>,,,{7=15%;8=15%},
36214,X/Y/Z,,<3611;3601>,,,{23=750},
36311,天赋异禀,,<761;771;3541>,,,{7=15%;8=15%},
36312,钻石辉光,,<1251;1501;491>,,,{1=20%},
36313,公主链接,,<1271;1391;2841>,,,{7=15%;8=15%},
36314,相生相克,,<3431;1981;131;3541>,,,{23=750},
36411,超凡意志,,<261;1941;1951;1901>,,,{7=15%;8=15%},
36412,惩戒光环,,<2391;2991;3661>,,,{1=20%},
36413,原始力量,,<1971;751;401;301>,,,{7=15%;8=15%},
36414,毁灭对抗,,<3211;3301;1031>,,,{14=750},
36511,蓄能岩浆,,<1971;1231;3671;2371>,,,{7=15%;8=15%},
36512,水压蓄能,,<1961;321;641;2411>,,,{1=20%},
36513,大地轰动,,<4023;2381>,,,{7=15%;8=15%},
36514,要塞机关,,<4111>,,,{14=750},
36611,草系力量,,<1291;2471;281>,,,{7=10%;8=10%},
36612,鬼影出没,,<3411;1851;2922>,,,{1=12%},
36613,誓约伙伴,,<591;271;91>,,,{7=10%;8=10%},
36614,精准狩猎,,<3001;571;3511>,,,{14=500},
36711,喵喵大作战,,<211;2071>,,,{7=10%;8=10%},
36712,凶恶进化,,<1251;2721;1171>,,,{1=12%},
36713,火系萌宠,,<241;601;3291>,,,{7=10%;8=10%},
36714,阿罗拉御三家,,<3661;3681>,,,{14=500},
36811,妖精同盟,,<3351;1391;3431>,,,{7=10%;8=10%},
36812,水样年华,,<1241;641;1311>,,,{1=12%},
36813,海洋生物,,<3771;381;3471;1861>,,,{7=10%;8=10%},
36814,美丽动人,,<1771;2401>,,,{23=500},
37711,毒击学习,,<161;371;81>,,,{7=10%;8=10%},
37712,水流冲击,,<641;631>,,,{1=12%},
37713,小次郎!,,<3661;391;3011>,,,{7=10%;8=10%},
37714,冒险同伴,,<241;301;481>,,,{23=500},
38311,普普通通,,<501;151;211;1641>,,,{7=10%;8=10%},
38312,格斗大师,,<2241;2021;461>,,,{1=12%},
38313,萌萌玩偶,,<3541;321;91>,,,{7=10%;8=10%},
38314,大闹一番,,<631;3191;1251>,,,{14=500},
38411,草系力量,,<3661;2011;781>,,,{7=10%;8=10%},
38412,超级对抗,,<381;3771;221;1861>,,,{1=12%},
38413,香气弥漫,,<711;3281;281>,,,{7=10%;8=10%},
38414,竟跑同伴,,<241;2241;271>,,,{14=500},
38811,习武之道,,<4623;4621>,,,{7=10%;8=10%},
38812,深海之家,,<2921;2922;3771;5241>,,,{1=12%},
38813,坚固装甲,,<491;1251;1501>,,,{7=10%;8=10%},
38814,虫族大师,,<571;3151;4701>,,,{23=500},
39411,艺术就是爆炸,,<4151;331>,,,{7=10%;8=10%},
39412,龟龟联盟,,<21;2011>,,,{1=12%},
39413,火炼真龙,,<11;1231>,,,{7=10%;8=10%},
39414,硬壳盔甲,,<381;2491;641>,,,{23=500},
39611,模样酷似,,<91>,,,{7=10%;8=10%},
39612,鬼洋娃娃,,<971;1801;1851>,,,{1=12%},
39613,玩偶形态,,<861;3431;131;891>,,,{7=10%;8=10%},
39614,幽灵出动,,<391;2991;1811>,,,{22=500},
39811,老态龙钟,,<2631;261>,,,{7=10%;8=10%},
39812,舐犊之心,,<1851;3831;501>,,,{1=12%},
39813,怒火冲天,,<741;631;231>,,,{7=10%;8=10%},
39814,飞龙乘云,,<751;1891;3141;3591>,,,{14=500},
40011,龙系高手,,<3001;2231;1891>,,,{7=10%;8=10%},
40012,斗士精神,,<1301;2241;271;461>,,,{1=12%},
40013,铁甲战士,,<1501;491;5241;3471>,,,{7=10%;8=10%},
40014,准神之力,,<751;1901;1251;4581>,,,{14=500},
40111,雷域使者,,<731;3201;1221>,,,{7=10%;8=10%},
40112,优雅姿态,,<3351;3681;151>,,,{1=12%},
40113,电气绽放,,<7001;4061;2891>,,,{7=10%;8=10%},
40114,线性纹饰,,<861;4012;3961>,,,{22=500},
40121,超能念力,,<991;3961;561>,,,{7=10%;8=10%},
40122,森林妖精,,<3351;131;3431>,,,{1=12%},
40123,自然化身,,<2441;1241>,,,{7=10%;8=10%},
40124,吸取之吻,,<861;1391;131;1851>,,,{23=500},
40131,青草制造者,,<4181;3351>,,,{7=10%;8=10%},
40132,土地之神,,<3231;4012>,,,{1=12%},
40133,牛气冲天,,<3171;491>,,,{7=10%;8=10%},
40134,心灵感应Ⅱ,,<1391;991;3591>,,,{23=500},
40141,坚韧甲壳,,<21;381>,,,{7=10%;8=10%},
40142,海上舞者,,<1771;3681>,,,{1=12%},
40143,楚楚动人,,<144;1391;3351;131>,,,{7=10%;8=10%},
40144,岛屿守护,,<4011;4012;4013>,,,{23=500},
40231,形态转化,,<3261;3191;3411>,,,{7=15%;8=15%},
40232,闪耀光芒,,<2351;1231;3161;1901>,,,{1=20%},
40233,超能异士,,<2401;771;1391;4081>,,,{7=15%;8=15%},
40234,钢铁战士,,<3271;4171;3161>,,,{23=750},
40241,灵魂纠缠,,<4121;3961;971;4151>,,,{7=15%;8=15%},
40242,掌控心灵,,<1261;1281;261>,,,{1=20%},
40243,月之祝福,,<861;2401>,,,{7=15%;8=15%},
40244,日月同辉,,<4023>,,,{23=750},
40311,岩石盘踞,,<4121;3961;971;4151>,,,{7=10%;8=10%},
40312,少女姿态,,<3351;1391;2841;3291>,,,{1=12%},
40313,毒坏坏,,<391;3771;4131>,,,{7=10%;8=10%},
40314,究极异兽,,<4151;4081;4071>,,,{22=500},
40411,群居而生,,<571;1071;611;3151>,,,{7=10%;8=10%},
40412,格斗达人,,<4051;3251;3831>,,,{1=12%},
40413,单挑出战,,<251;991;2491>,,,{7=10%;8=10%},
40414,究极异兽,,<4061;4141;4151>,,,{14=500},
40511,群居而生,,<571;1071;611;3151>,,,{7=10%;8=10%},
40512,格斗达人,,<2021;3251;3831>,,,{1=12%},
40513,催眠视觉,,<711;441;391>,,,{7=10%;8=10%},
40514,究极异兽,,<4031;4061;4141>,,,{14=500},
40611,雷电打击,,<591;751;91>,,,{7=10%;8=10%},
40612,电磁感应,,<731;1931;2891>,,,{1=12%},
40613,扎根架势,,<4071;441;2301;3561>,,,{7=10%;8=10%},
40614,究极异兽,,<4141;4031;4151>,,,{14=500},
40711,钢化机械,,<3411;331;2961>,,,{7=10%;8=10%},
40712,喷射加农炮,,<21;1611;2591>,,,{1=12%},
40713,究极异兽I,,<4081;4131;4151>,,,{7=10%;8=10%},
40714,重型机甲,,<1901;1931>,,,{23=500},
40811,横冲直撞,,<1501;2611>,,,{7=10%;8=10%},
40812,盘根错节,,<2011;3281;1>,,,{1=12%},
40813,不服单挑,,<571;1421;1301>,,,{7=10%;8=10%},
40814,滋润万物,,<1241;2411;781;1351>,,,{14=500},
40911,恶霸来临,,<1081;2821;4623>,,,{7=10%;8=10%},
40912,不似龙,,<4561;3591;4131>,,,{1=12%},
40913,食量惊人,,<711;501;471;281>,,,{7=10%;8=10%},
40914,究极异兽,,<4061;4051;4041>,,,{23=500},
41011,漆黑身姿,,<4121;3221;2821;4061>,,,{7=15%;8=15%},
41012,棱镜反射,,<561;1921;3021;1481>,,,{1=20%},
41013,精神之力,,<1991;321;1901;261>,,,{7=15%;8=15%},
41014,日月同辉,,<4023;4024>,,,{14=750},
41031,漆黑身姿,,<4121;3221;2821;4061>,,,{7=15%;8=15%},
41032,棱镜反射,,<561;1921;3021;1481>,,,{1=20%},
41033,精神之力,,<1991;321;1901;261>,,,{7=15%;8=15%},
41034,日月同辉,,<4023;4024>,,,{14=750},
41041,鬼影重重,,<2391;4683;971;2991>,,,{7=15%;8=15%},
41042,月光照耀,,<861;2401;131>,,,{1=20%},
41043,超能念力,,<7041;321;991;4521>,,,{7=15%;8=15%},
41044,日月同辉,,<4023;4024>,,,{14=750},
41111,机械魂心,,<4171;1901;4081;4071>,,,{7=15%;8=15%},
41112,绚烂装饰,,<3841;1391;3351>,,,{1=20%},
41113,妖精机关,,<561;3961;3681;861>,,,{7=15%;8=15%},
41114,意识同步,,<1991;3631;2421>,,,{23=750},
41211,幽灵行者,,<2391;2991;391;3961>,,,{7=15%;8=15%},
41212,格斗大师,,<3261;2021;1301;2241>,,,{1=20%},
41213,精神操控,,<601;591;331>,,,{7=15%;8=15%},
41214,萌样神兽,,<2441;1281;1991>,,,{14=750},
41311,毒气攻击,,<161;3771;2681>,,,{7=10%;8=10%},
41312,似龙非龙,,<3591;1891;701>,,,{1=12%},
41313,誓约之力,,<3661;3841;221>,,,{7=10%;8=10%},
41314,同行伙伴,,<751;91;341>,,,{14=500},
41411,坚固抵御,,<3771;1501;2631>,,,{7=10%;8=10%},
41412,钢铁守护,,<3161;3411;2961>,,,{1=12%},
41413,远古化石,,<691;701;3501>,,,{7=10%;8=10%},
41414,究极异兽,,<4031;4151;4071>,,,{23=500},
41511,火团爆炸,,<1231;3151;2021>,,,{7=10%;8=10%},
41512,冥想时间,,<971;1811;2991>,,,{1=12%},
41513,魔法火焰,,<561;3291;131>,,,{7=10%;8=10%},
41514,究极异兽,,<4081;4131;4071>,,,{14=500},
41611,大型幻兽,,<2431;4171;3251>,,,{7=15%;8=15%},
41612,无影无踪,,<3201;701;731;3661>,,,{1=20%},
41613,高速储能,,<3271;591;881>,,,{7=15%;8=15%},
41614,雷电身法,,<3221;7001;1221>,,,{14=750},
41711,极限钢铁,,<1991;3161;3411>,,,{7=15%;8=15%},
41712,加农光炮,,<1901;331;1931;21>,,,{1=20%},
41713,金属大骚动,,<2441;3661;3771>,,,{7=15%;8=15%},
41714,联盟对战,,<3221;3841;571;1301>,,,{23=750},
41811,草长莺飞,,<3181;2471;3661>,,,{7=10%;8=10%},
41812,同系辅助,,<781;2011;3281;1>,,,{1=12%},
41813,手持武器,,<3291;341;2631>,,,{7=10%;8=10%},
41814,八代御三家,,<4191;4201>,,,{22=500},
41911,火系萌宠,,<2021;601;11>,,,{7=10%;8=10%},
41912,运动健将,,<2241;3251;461>,,,{1=12%},
41913,火系御三家,,<3291;791;2481>,,,{7=10%;8=10%},
41914,生肖宠物,,<3161;3671;2831>,,,{14=500},
42011,水系萌宠,,<2491;2131;21>,,,{7=10%;8=10%},
42012,胆小害羞,,<3011;901;891>,,,{1=12%},
42013,水系御三家,,<801;1311;2031>,,,{7=10%;8=10%},
42014,八代御三家,,<4181;4191>,,,{14=500},
43011,飞龙在天,,<751;1891;3141>,,,{7=10%;8=10%},
43012,酸性毒液,,<1;161;391;3771>,,,{1=12%},
43013,贪吃鬼,,<711;4091;281>,,,{7=10%;8=10%},
43014,草系家族,,<441;2471;3181;3841>,,,{14=500},
43911,邪恶演绎,,<2821;1171;3141>,,,{7=10%;8=10%},
43912,妖精嬉闹,,<561;3961;151>,,,{1=12%},
43913,给糖也捣蛋,,<971;1801;1481>,,,{7=10%;8=10%},
43914,偷盗高手,,<1081>,,,{14=500},
44311,要害击中,,<341>,,,{7=10%;8=10%},
44312,格斗达人,,<3251;3831;2021>,,,{1=12%},
