变量名,markID,level,addType,addScene,natureType,desc,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,__version
108013,1081,500,1,,,%s,24,500,,,,,,,,,,,
111001,1111,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
111002,1111,40,1,,,%s,1,3%,,,,,,,,,,,
111003,1111,60,1,,,%s,14,300,15,300,,,,,,,,,
111004,1111,80,2,,6,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
111005,1111,100,1,,,%s,7,3%,8,3%,,,,,,,,,
111006,1111,150,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
111007,1111,200,1,,,%s,17,300,19,300,,,,,,,,,
111008,1111,250,1,,,%s,9,3%,10,3%,,,,,,,,,
111009,1111,300,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
111010,1111,350,1,,,%s,11,300,12,300,,,,,,,,,
111011,1111,400,1,,,%s,22,300,23,300,,,,,,,,,
111012,1111,450,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
111013,1111,500,1,,,%s,24,500,,,,,,,,,,,
114001,1141,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
114002,1141,40,1,,,%s,1,3%,,,,,,,,,,,
114003,1141,60,1,,,%s,14,300,15,300,,,,,,,,,
114004,1141,80,2,,6,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
114005,1141,100,1,,,%s,7,3%,8,3%,,,,,,,,,
114006,1141,150,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
114007,1141,200,1,,,%s,17,300,19,300,,,,,,,,,
114008,1141,250,1,,,%s,9,3%,10,3%,,,,,,,,,
114009,1141,300,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
114010,1141,350,1,,,%s,11,300,12,300,,,,,,,,,
114011,1141,400,1,,,%s,22,300,23,300,,,,,,,,,
114012,1141,450,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
114013,1141,500,1,,,%s,24,500,,,,,,,,,,,
117001,1171,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
117002,1171,40,1,,,%s,1,3%,,,,,,,,,,,
117003,1171,60,1,,,%s,14,300,15,300,,,,,,,,,
117004,1171,80,2,,16,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
117005,1171,100,1,,,%s,7,3%,8,3%,,,,,,,,,
117006,1171,150,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
117007,1171,200,1,,,%s,17,300,19,300,,,,,,,,,
117008,1171,250,1,,,%s,9,3%,10,3%,,,,,,,,,
117009,1171,300,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
117010,1171,350,1,,,%s,11,300,12,300,,,,,,,,,
117011,1171,400,1,,,%s,22,300,23,300,,,,,,,,,
117012,1171,450,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
117013,1171,500,1,,,%s,24,500,,,,,,,,,,,
122001,1221,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
122002,1221,40,1,,,%s,1,3%,,,,,,,,,,,
122003,1221,60,1,,,%s,14,300,15,300,,,,,,,,,
122004,1221,80,2,,5,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
122005,1221,100,1,,,%s,7,3%,8,3%,,,,,,,,,
122006,1221,150,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
122007,1221,200,1,,,%s,17,300,19,300,,,,,,,,,
122008,1221,250,1,,,%s,9,3%,10,3%,,,,,,,,,
122009,1221,300,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
122010,1221,350,1,,,%s,11,300,12,300,,,,,,,,,
122011,1221,400,1,,,%s,22,300,23,300,,,,,,,,,
122012,1221,450,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
122013,1221,500,1,,,%s,24,500,,,,,,,,,,,
123001,1231,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
123002,1231,40,1,,,%s,1,3%,,,,,,,,,,,
123003,1231,60,1,,,%s,14,300,15,300,,,,,,,,,
123004,1231,80,2,,2,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
123005,1231,100,1,,,%s,7,3%,8,3%,,,,,,,,,
123006,1231,150,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
123007,1231,200,1,,,%s,17,300,19,300,,,,,,,,,
123008,1231,250,1,,,%s,9,3%,10,3%,,,,,,,,,
123009,1231,300,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
123010,1231,350,1,,,%s,11,300,12,300,,,,,,,,,
123011,1231,400,1,,,%s,22,300,23,300,,,,,,,,,
123012,1231,450,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
123013,1231,500,1,,,%s,24,500,,,,,,,,,,,
124001,1241,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
124002,1241,40,1,,,%s,1,3%,,,,,,,,,,,
124003,1241,60,1,,,%s,14,300,15,300,,,,,,,,,
124004,1241,80,2,,3,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
124005,1241,100,1,,,%s,7,3%,8,3%,,,,,,,,,
124006,1241,150,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
124007,1241,200,1,,,%s,17,300,19,300,,,,,,,,,
124008,1241,250,1,,,%s,9,3%,10,3%,,,,,,,,,
124009,1241,300,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
124010,1241,350,1,,,%s,11,300,12,300,,,,,,,,,
124011,1241,400,1,,,%s,22,300,23,300,,,,,,,,,
124012,1241,450,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
124013,1241,500,1,,,%s,24,500,,,,,,,,,,,
125001,1251,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
125002,1251,40,1,,,%s,1,3%,,,,,,,,,,,
125003,1251,60,1,,,%s,14,300,15,300,,,,,,,,,
125004,1251,80,2,,13,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
125005,1251,100,1,,,%s,7,3%,8,3%,,,,,,,,,
125006,1251,150,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
125007,1251,200,1,,,%s,17,300,19,300,,,,,,,,,
125008,1251,250,1,,,%s,9,3%,10,3%,,,,,,,,,
125009,1251,300,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
125010,1251,350,1,,,%s,11,300,12,300,,,,,,,,,
125011,1251,400,1,,,%s,22,300,23,300,,,,,,,,,
125012,1251,450,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
125013,1251,500,1,,,%s,24,500,,,,,,,,,,,
126001,1261,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
126002,1261,40,1,,,%s,1,3%,,,,,,,,,,,
126003,1261,60,1,,,%s,14,300,15,300,,,,,,,,,
126004,1261,80,2,,11,第一属性%s精灵所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
126005,1261,100,1,,,%s,7,3%,8,3%,,,,,,,,,
126006,1261,150,3,,,所有精灵%s,7,1.00%,8,1.00%,,,,,,,,,
126007,1261,200,1,,,%s,17,300,19,300,,,,,,,,,
126008,1261,250,1,,,%s,9,3%,10,3%,,,,,,,,,
126009,1261,300,3,,,所有精灵%s,1,1%,,,,,,,,,,,
126010,1261,350,1,,,%s,11,300,12,300,,,,,,,,,
126011,1261,400,1,,,%s,22,300,23,300,,,,,,,,,
126012,1261,450,3,,,所有精灵%s,7,1.00%,8,1.00%,,,,,,,,,
126013,1261,500,1,,,%s,24,500,,,,,,,,,,,
127001,1271,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
127002,1271,40,1,,,%s,1,3%,,,,,,,,,,,
127003,1271,60,1,,,%s,14,300,15,300,,,,,,,,,
127004,1271,80,2,,2,第一属性%s精灵所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
127005,1271,100,1,,,%s,7,3%,8,3%,,,,,,,,,
127006,1271,150,3,,,所有精灵%s,7,1.00%,8,1.00%,,,,,,,,,
127007,1271,200,1,,,%s,17,300,19,300,,,,,,,,,
127008,1271,250,1,,,%s,9,3%,10,3%,,,,,,,,,
127009,1271,300,3,,,所有精灵%s,1,1%,,,,,,,,,,,
127010,1271,350,1,,,%s,11,300,12,300,,,,,,,,,
127011,1271,400,1,,,%s,22,300,23,300,,,,,,,,,
127012,1271,450,3,,,所有精灵%s,7,1.00%,8,1.00%,,,,,,,,,
127013,1271,500,1,,,%s,24,500,,,,,,,,,,,
128001,1281,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
128002,1281,40,1,,,%s,1,3%,,,,,,,,,,,
128003,1281,60,1,,,%s,14,300,15,300,,,,,,,,,
128004,1281,80,2,,11,第一属性%s精灵所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
128005,1281,100,1,,,%s,7,3%,8,3%,,,,,,,,,
128006,1281,150,3,,,所有精灵%s,7,1.00%,8,1.00%,,,,,,,,,
128007,1281,200,1,,,%s,17,300,19,300,,,,,,,,,
128008,1281,250,1,,,%s,9,3%,10,3%,,,,,,,,,
128009,1281,300,3,,,所有精灵%s,1,1%,,,,,,,,,,,
128010,1281,350,1,,,%s,11,300,12,300,,,,,,,,,
128011,1281,400,1,,,%s,22,300,23,300,,,,,,,,,
128012,1281,450,3,,,所有精灵%s,7,1.00%,8,1.00%,,,,,,,,,
128013,1281,500,1,,,%s,24,500,,,,,,,,,,,
129001,1291,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
129002,1291,40,1,,,%s,1,3%,,,,,,,,,,,
129003,1291,60,1,,,%s,14,300,15,300,,,,,,,,,
129004,1291,80,2,,4,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
129005,1291,100,1,,,%s,7,3%,8,3%,,,,,,,,,
129006,1291,150,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
129007,1291,200,1,,,%s,17,300,19,300,,,,,,,,,
129008,1291,250,1,,,%s,9,3%,10,3%,,,,,,,,,
129009,1291,300,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
129010,1291,350,1,,,%s,11,300,12,300,,,,,,,,,
129011,1291,400,1,,,%s,22,300,23,300,,,,,,,,,
129012,1291,450,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
129013,1291,500,1,,,%s,24,500,,,,,,,,,,,
130001,1301,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
130002,1301,40,1,,,%s,1,3%,,,,,,,,,,,
130003,1301,60,1,,,%s,14,300,15,300,,,,,,,,,
130004,1301,80,2,,2,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
130005,1301,100,1,,,%s,7,3%,8,3%,,,,,,,,,
130006,1301,150,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
130007,1301,200,1,,,%s,17,300,19,300,,,,,,,,,
130008,1301,250,1,,,%s,9,3%,10,3%,,,,,,,,,
130009,1301,300,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
130010,1301,350,1,,,%s,11,300,12,300,,,,,,,,,
130011,1301,400,1,,,%s,22,300,23,300,,,,,,,,,
130012,1301,450,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
130013,1301,500,1,,,%s,24,500,,,,,,,,,,,
131001,1311,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
131002,1311,40,1,,,%s,1,3%,,,,,,,,,,,
131003,1311,60,1,,,%s,14,300,15,300,,,,,,,,,
131004,1311,80,2,,3,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
131005,1311,100,1,,,%s,7,3%,8,3%,,,,,,,,,
131006,1311,150,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
131007,1311,200,1,,,%s,17,300,19,300,,,,,,,,,
131008,1311,250,1,,,%s,9,3%,10,3%,,,,,,,,,
131009,1311,300,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
131010,1311,350,1,,,%s,11,300,12,300,,,,,,,,,
131011,1311,400,1,,,%s,22,300,23,300,,,,,,,,,
131012,1311,450,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
131013,1311,500,1,,,%s,24,500,,,,,,,,,,,
135001,1351,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
135002,1351,40,1,,,%s,1,3%,,,,,,,,,,,
135003,1351,60,1,,,%s,14,300,15,300,,,,,,,,,
135004,1351,80,2,,3,第一属性%s精灵所有基础属性%s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%,
135005,1351,100,1,,,%s,7,3%,8,3%,,,,,,,,,
135006,1351,150,3,,,所有精灵%s,9,0.40%,10,0.40%,,,,,,,,,
135007,1351,200,1,,,%s,17,300,19,300,,,,,,,,,
135008,1351,250,1,,,%s,9,3%,10,3%,,,,,,,,,
135009,1351,300,3,,,所有精灵%s,7,0.40%,8,0.40%,,,,,,,,,
135010,1351,350,1,,,%s,11,300,12,300,,,,,,,,,
135011,1351,400,1,,,%s,22,300,23,300,,,,,,,,,
135012,1351,450,3,,,所有精灵%s,9,0.40%,10,0.40%,,,,,,,,,
135013,1351,500,1,,,%s,28,500,,,,,,,,,,,
139001,1391,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
139002,1391,40,1,,,%s,1,3%,,,,,,,,,,,
139003,1391,60,1,,,%s,14,300,15,300,,,,,,,,,
139004,1391,80,2,,11,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
139005,1391,100,1,,,%s,7,3%,8,3%,,,,,,,,,
139006,1391,150,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
139007,1391,200,1,,,%s,17,300,19,300,,,,,,,,,
139008,1391,250,1,,,%s,9,3%,10,3%,,,,,,,,,
139009,1391,300,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
139010,1391,350,1,,,%s,11,300,12,300,,,,,,,,,
139011,1391,400,1,,,%s,22,300,23,300,,,,,,,,,
139012,1391,450,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
139013,1391,500,1,,,%s,24,500,,,,,,,,,,,
141001,1411,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
141002,1411,40,1,,,%s,1,3%,,,,,,,,,,,
141003,1411,60,1,,,%s,14,300,15,300,,,,,,,,,
141004,1411,80,2,,4,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
141005,1411,100,1,,,%s,7,3%,8,3%,,,,,,,,,
141006,1411,150,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
141007,1411,200,1,,,%s,17,300,19,300,,,,,,,,,
141008,1411,250,1,,,%s,9,3%,10,3%,,,,,,,,,
141009,1411,300,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
141010,1411,350,1,,,%s,11,300,12,300,,,,,,,,,
141011,1411,400,1,,,%s,22,300,23,300,,,,,,,,,
141012,1411,450,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
141013,1411,500,1,,,%s,24,500,,,,,,,,,,,
142001,1421,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
142002,1421,40,1,,,%s,1,3%,,,,,,,,,,,
142003,1421,60,1,,,%s,14,300,15,300,,,,,,,,,
142004,1421,80,2,,1,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
142005,1421,100,1,,,%s,7,3%,8,3%,,,,,,,,,
142006,1421,150,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
142007,1421,200,1,,,%s,17,300,19,300,,,,,,,,,
142008,1421,250,1,,,%s,9,3%,10,3%,,,,,,,,,
142009,1421,300,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
142010,1421,350,1,,,%s,11,300,12,300,,,,,,,,,
142011,1421,400,1,,,%s,22,300,23,300,,,,,,,,,
142012,1421,450,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
142013,1421,500,1,,,%s,24,500,,,,,,,,,,,
144001,1441,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
144002,1441,40,1,,,%s,1,3%,,,,,,,,,,,
144003,1441,60,1,,,%s,14,300,15,300,,,,,,,,,
144004,1441,80,2,,1,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
144005,1441,100,1,,,%s,7,3%,8,3%,,,,,,,,,
144006,1441,150,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
144007,1441,200,1,,,%s,17,300,19,300,,,,,,,,,
144008,1441,250,1,,,%s,9,3%,10,3%,,,,,,,,,
144009,1441,300,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
144010,1441,350,1,,,%s,11,300,12,300,,,,,,,,,
144011,1441,400,1,,,%s,22,300,23,300,,,,,,,,,
144012,1441,450,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
144013,1441,500,1,,,%s,24,500,,,,,,,,,,,
148001,1481,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
148002,1481,40,1,,,%s,1,3%,,,,,,,,,,,
148003,1481,60,1,,,%s,14,300,15,300,,,,,,,,,
148004,1481,80,2,,16,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
148005,1481,100,1,,,%s,7,3%,8,3%,,,,,,,,,
148006,1481,150,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
148007,1481,200,1,,,%s,17,300,19,300,,,,,,,,,
148008,1481,250,1,,,%s,9,3%,10,3%,,,,,,,,,
148009,1481,300,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
148010,1481,350,1,,,%s,11,300,12,300,,,,,,,,,
148011,1481,400,1,,,%s,22,300,23,300,,,,,,,,,
148012,1481,450,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
148013,1481,500,1,,,%s,24,500,,,,,,,,,,,
150001,1501,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
150002,1501,40,1,,,%s,1,3%,,,,,,,,,,,
150003,1501,60,1,,,%s,14,300,15,300,,,,,,,,,
150004,1501,80,2,,17,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
150005,1501,100,1,,,%s,7,3%,8,3%,,,,,,,,,
150006,1501,150,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
150007,1501,200,1,,,%s,17,300,19,300,,,,,,,,,
150008,1501,250,1,,,%s,9,3%,10,3%,,,,,,,,,
150009,1501,300,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
150010,1501,350,1,,,%s,11,300,12,300,,,,,,,,,
150011,1501,400,1,,,%s,22,300,23,300,,,,,,,,,
150012,1501,450,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
150013,1501,500,1,,,%s,24,500,,,,,,,,,,,
151001,1511,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
151002,1511,40,1,,,%s,1,3%,,,,,,,,,,,
151003,1511,60,1,,,%s,14,300,15,300,,,,,,,,,
151004,1511,80,2,,7,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
151005,1511,100,1,,,%s,7,3%,8,3%,,,,,,,,,
151006,1511,150,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
151007,1511,200,1,,,%s,17,300,19,300,,,,,,,,,
151008,1511,250,1,,,%s,9,3%,10,3%,,,,,,,,,
151009,1511,300,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
151010,1511,350,1,,,%s,11,300,12,300,,,,,,,,,
151011,1511,400,1,,,%s,22,300,23,300,,,,,,,,,
151012,1511,450,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
151013,1511,500,1,,,%s,24,500,,,,,,,,,,,
161001,1611,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
161002,1611,40,1,,,%s,1,3%,,,,,,,,,,,
161003,1611,60,1,,,%s,14,300,15,300,,,,,,,,,
161004,1611,80,2,,2,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
161005,1611,100,1,,,%s,7,3%,8,3%,,,,,,,,,
161006,1611,150,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
161007,1611,200,1,,,%s,17,300,19,300,,,,,,,,,
161008,1611,250,1,,,%s,9,3%,10,3%,,,,,,,,,
161009,1611,300,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
161010,1611,350,1,,,%s,11,300,12,300,,,,,,,,,
161011,1611,400,1,,,%s,22,300,23,300,,,,,,,,,
161012,1611,450,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
161013,1611,500,1,,,%s,24,500,,,,,,,,,,,
164001,1641,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
164002,1641,40,1,,,%s,1,3%,,,,,,,,,,,
164003,1641,60,1,,,%s,14,300,15,300,,,,,,,,,
164004,1641,80,2,,1,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
164005,1641,100,1,,,%s,7,3%,8,3%,,,,,,,,,
164006,1641,150,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
164007,1641,200,1,,,%s,17,300,19,300,,,,,,,,,
164008,1641,250,1,,,%s,9,3%,10,3%,,,,,,,,,
164009,1641,300,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
164010,1641,350,1,,,%s,11,300,12,300,,,,,,,,,
164011,1641,400,1,,,%s,22,300,23,300,,,,,,,,,
164012,1641,450,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
164013,1641,500,1,,,%s,24,500,,,,,,,,,,,
165001,1651,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
165002,1651,40,1,,,%s,1,3%,,,,,,,,,,,
165003,1651,60,1,,,%s,14,300,15,300,,,,,,,,,
165004,1651,80,2,,9,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
165005,1651,100,1,,,%s,7,3%,8,3%,,,,,,,,,
165006,1651,150,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
165007,1651,200,1,,,%s,17,300,19,300,,,,,,,,,
165008,1651,250,1,,,%s,9,3%,10,3%,,,,,,,,,
165009,1651,300,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
165010,1651,350,1,,,%s,11,300,12,300,,,,,,,,,
165011,1651,400,1,,,%s,22,300,23,300,,,,,,,,,
165012,1651,450,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
165013,1651,500,1,,,%s,24,500,,,,,,,,,,,
167001,1671,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
167002,1671,40,1,,,%s,1,3%,,,,,,,,,,,
167003,1671,60,1,,,%s,14,300,15,300,,,,,,,,,
167004,1671,80,2,,1,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
167005,1671,100,1,,,%s,7,3%,8,3%,,,,,,,,,
167006,1671,150,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
167007,1671,200,1,,,%s,17,300,19,300,,,,,,,,,
167008,1671,250,1,,,%s,9,3%,10,3%,,,,,,,,,
167009,1671,300,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
167010,1671,350,1,,,%s,11,300,12,300,,,,,,,,,
167011,1671,400,1,,,%s,22,300,23,300,,,,,,,,,
167012,1671,450,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
167013,1671,500,1,,,%s,24,500,,,,,,,,,,,
177001,1771,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
177002,1771,40,1,,,%s,1,3%,,,,,,,,,,,
177003,1771,60,1,,,%s,14,300,15,300,,,,,,,,,
177004,1771,80,2,,3,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
177005,1771,100,1,,,%s,7,3%,8,3%,,,,,,,,,
177006,1771,150,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
177007,1771,200,1,,,%s,17,300,19,300,,,,,,,,,
177008,1771,250,1,,,%s,9,3%,10,3%,,,,,,,,,
177009,1771,300,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
177010,1771,350,1,,,%s,11,300,12,300,,,,,,,,,
177011,1771,400,1,,,%s,22,300,23,300,,,,,,,,,
177012,1771,450,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
177013,1771,500,1,,,%s,24,500,,,,,,,,,,,
180001,1801,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
180002,1801,40,1,,,%s,1,3%,,,,,,,,,,,
180003,1801,60,1,,,%s,14,300,15,300,,,,,,,,,
180004,1801,80,2,,14,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
180005,1801,100,1,,,%s,7,3%,8,3%,,,,,,,,,
180006,1801,150,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
180007,1801,200,1,,,%s,17,300,19,300,,,,,,,,,
180008,1801,250,1,,,%s,9,3%,10,3%,,,,,,,,,
180009,1801,300,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
180010,1801,350,1,,,%s,11,300,12,300,,,,,,,,,
180011,1801,400,1,,,%s,22,300,23,300,,,,,,,,,
180012,1801,450,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
180013,1801,500,1,,,%s,24,500,,,,,,,,,,,
181001,1811,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
181002,1811,40,1,,,%s,1,3%,,,,,,,,,,,
181003,1811,60,1,,,%s,14,300,15,300,,,,,,,,,
181004,1811,80,2,,14,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
181005,1811,100,1,,,%s,7,3%,8,3%,,,,,,,,,
