变量名,_name,_preBehaviour,preBehaviour,damageHit,nature,damageAdd,damageDeepen,dmgDelta,natureDelta,gateDelta,reduce,strikeBlock,extraAdd,fatal,behead,damageByHpRate,finalSkillAdd,ultimateAdd,skillPower,buffAdd,randFix,limit,calcInternalDamageFinish,ignoreRoundDamage,stealth,leave,immuneAllDamage,immuneDamage,immunePhysicalDamage,immuneSpecialDamage,keepHpUnChanged,groupShield,delayDamage,damageAllocate,damageLink,protection,shield,freeze,finalRate,lockHp,rebound,suckblood,result,reflexDamage,assimilateDamage,barrier,lockHpShield,block,strike,elementalDelta,extraAttrChange,fixDamageSub,invincible
3134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3135,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,,,,,,,,sum2,,,
3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5411,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7611,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(moreE(attacker:star(),6) and more(attacker:speed(),target:speed()),attacker:ignoreDamageSub()*10000+1000,attacker:ignoreDamageSub()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(moreE(attacker:star(),6) and more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+1500,attacker:specialDefenceIgnore()*10000 )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
7612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7621,,,"{reduce=<setValue(list(""defenceIgnore""),list(attacker:defenceIgnore()*10000+3000))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
7622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,jump,,,,,,,,,,,,,,,,,,,
7641,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+3000))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
7642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7647,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+3000))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,jump,,,,,,,,,,,multiply,multiply,,,,
7648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,,,,,,,,,,,,
8011,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(target:hasBuffGroup(1301,1311,1321),attacker:damageRateAdd()+0.3,attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
8012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9011,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,jump,,,,,,,multiply,multiply,,,,
9012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,,,,,multiply,,,,,,,,multiply|0.05,,,,,,,sum2,,,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+3500,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
10002,,,"{shield=<setValue(list(""shieldHp""),list(ifElse( more(attacker:star() , 10),0,target:shieldHp() )))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13011,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
13012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13041,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13043,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(c.zhuoshao_oc()),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000)))>;strike=<setValue(list(""strikeDamage""),list((target:hasBuffGroup(c.zhuoshao_oc()) and attacker:strikeDamage()*10000+8000 or attacker:strikeDamage()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
13044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13961,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
13962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19414,,,"{ultimateAdd=<setValue(list(""ultimateAdd""),list((attacker:ultimateAdd()+attacker:combineObj():ultimateAdd())*10000*0.8))>;damageAdd=<setValue(list(""damageAdd""),list((attacker:damageAdd()+attacker:combineObj():damageAdd())*10000*0.8))>;damageDeepen=<setValue(list(""damageReduce""),list((attacker:damageReduce()+attacker:combineObj():damageReduce())*10000*0.8))>;natureDelta=<setValue(list(""natureDeltaAdd""),list((natureDeltaAdd+attacker:combineObj():natureDeltaAdd(env.arg.natureType))*0.8))>;strike=<setValue(list(""strike"",""strikeDamage""),list((attacker:strike()+attacker:combineObj():strike())*10000*0.8,(attacker:strikeDamage()+attacker:combineObj():strikeDamage())*10000*0.8))>;reduce=<setValue(list(""defenceIgnore"",""specialDefenceIgnore""),list((attacker:defenceIgnore()+attacker:combineObj():defenceIgnore())*10000*0.8,(attacker:specialDefenceIgnore()+attacker:combineObj():specialDefenceIgnore())*10000*0.8))>;gateDelta=<setValue(list(""pvpDamageAdd""),list((attacker:pvpDamageAdd()+attacker:combineObj():pvpDamageAdd())*10000*0.8))>;dmgDelta=<setValue(list(""physicalDamageAdd"",""specialDamageAdd""),list((attacker:physicalDamageAdd()+attacker:combineObj():physicalDamageAdd())*10000*0.8,(attacker:specialDamageAdd()+attacker:combineObj():specialDamageAdd())*10000*0.8))>;block=<setValue(list(""breakBlock""),list((attacker:breakBlock()+attacker:combineObj():breakBlock())*10000*0.8))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
19415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,,,,,,,,
19611,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
19612,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(1961132),6) and 0.8*0.8*0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),5) and 0.8*0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),4) and 0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),3) and 0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),2) and 0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),1) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19621,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
19622,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(1961132),6) and 0.65*0.65*0.65*0.65*0.65 or (moreE(attacker:sumBuffOverlayByGroup(1961132),5) and 0.65*0.65*0.65*0.65 or (moreE(attacker:sumBuffOverlayByGroup(1961132),4) and 0.65*0.65*0.65 or (moreE(attacker:sumBuffOverlayByGroup(1961132),3) and 0.65*0.65 or (moreE(attacker:sumBuffOverlayByGroup(1961132),2) and 0.65 or (moreE(attacker:sumBuffOverlayByGroup(1961132),1) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19623,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,,,,,,,,,,,
19624,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
19625,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(1961132),6) and 0.8*0.8*0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),5) and 0.8*0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),4) and 0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),3) and 0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),2) and 0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),1) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19631,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19641,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19811,,,"{init=<setValue(list(""damageType""),list(ifElse(more(attacker:damage(),attacker:specialDamage()),0,1)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
19812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19821,,,"{init=<setValue(list(""damageType""),list(ifElse(more(attacker:damage(),attacker:specialDamage()),0,1)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
19822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19823,,,"{init=<setValue(list(""damageType""),list(ifElse(more(attacker:damage(),attacker:specialDamage()),0,1)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19911,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19917,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211,,,"{init=<setValue(list(""damageType""),list(ifElse(more(target:specialDefence(),target:defence()),0,1)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
20212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22411,,,"{buffAdd=<setValue(list(""damageRateAdd""),list((arg.natureFlag==""strong"" and attacker:damageRateAdd()+(0.2+(attacker:skillLv(22416,22426) or 0)*0.0015-0.0015) or attacker:damageRateAdd() )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
22412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22421,,,"{buffAdd=<setValue(list(""damageRateAdd""),list((arg.natureFlag==""strong"" and attacker:damageRateAdd()+(0.2+(attacker:skillLv(22416,22426) or 0)*0.0015-0.0015) or attacker:damageRateAdd() )))>;strike=<setValue(list(""strike""),list((arg.natureFlag==""strong"" and attacker:strike()*10000+2000 or attacker:strike()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
22422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23511,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:specialDefenceIgnore()*10000+300+attacker:level()*3-3,attacker:specialDefenceIgnore()*10000 )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23611,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
23612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,jump,,,,,,,,,,,,,,,,,
23811,,,,,multiply,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24421,,,"{damageAdd=<setValue(list(""damageSub""),list(ifElse(more(target:damageSub(),attacker:damageAdd()),target:damageSub()*10000-1000,target:damageSub()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+1000))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
24422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24811,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(target:hasBuffGroup(11),attacker:damageRateAdd()+0.3+(attacker:skillLv(24816,24826,24836) or 0)*0.002-0.002+ifElse(moreEqualThan(attacker:star(), 8),0.2,0),attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
24812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24911,,,"{init=<setValue(list(""damageType""),list(ifElse(less(target:damage(),target:specialDamage()),0,1)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
24912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29911,,,"{strike=<setValue(list(""strike""),list(ifElse(more(attacker:star(),11) and target:hasBuff(2991127),attacker:strike()*10000+2000,attacker:strike()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
29912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30111,,,"{strike=<setValue(list(""strike"",""strikeDamage""),list(ifElse(more(attacker:speed(),target:speed()),attacker:strike()*10000+(attacker:flagZ3() and 5000 or 3000),attacker:strike()*10000),ifElse(more(attacker:speed(),target:speed()),attacker:strikeDamage()*10000+3000,attacker:strikeDamage()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
30112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31111,,,"{damageAdd=<setValue(list(""damageAdd""),list(ifElse(target:hasBuffFlag(2039),attacker:damageAdd()*10000+2000,attacker:damageAdd()*10000)))>;reduce=<setValue(list(""defenceIgnore""),list(ifElse(target:hasBuffFlag(2039),attacker:defenceIgnore()*10000+5000,attacker:defenceIgnore()*10000)))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,,multiply,,,,
31112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31411,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
31412,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),12) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),10) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),8) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),6) and (1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),4) and (1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),2) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32214,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sum2,,,
32611,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+4000,attacker:ignoreDamageSub()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore"",""defenceIgnore""),list(ifElse(((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117)),attacker:specialDefenceIgnore()*10000+3000,attacker:specialDefenceIgnore()*10000) ,ifElse(((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117)),attacker:defenceIgnore()*10000+3000,attacker:defenceIgnore()*10000)) )>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
32612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32613,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+4000,attacker:ignoreDamageSub()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore"",""defenceIgnore""),list(ifElse(((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117)),attacker:specialDefenceIgnore()*10000+3000,attacker:specialDefenceIgnore()*10000) ,ifElse(((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117)),attacker:defenceIgnore()*10000+3000,attacker:defenceIgnore()*10000)) )>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
32614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32615,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuffGroup(36),attacker:damageRateAdd()+0.3,attacker:damageRateAdd())))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+4000,attacker:ignoreDamageSub()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore"",""defenceIgnore""),list(ifElse(((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117)),attacker:specialDefenceIgnore()*10000+3000,attacker:specialDefenceIgnore()*10000),ifElse(((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117)),attacker:defenceIgnore()*10000+3000,attacker:defenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
32616,,,"{suckblood=<setValue(list(""suckBlood""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuffGroup(36),attacker:suckBlood()+2500,attacker:suckBlood())))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32711,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(more(attacker:star(),11),attacker:ignoreDamageSub()*10000+1000,attacker:ignoreDamageSub()*10000)))>;strike=<setValue(list(""strike""),list(ifElse(more(attacker:star(),10),attacker:strike()*10000+500,attacker:strike()*10000)))>;reduce=<setValue(list(""damage"",""specialDamage""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:damage()*(1.1+0.0015*(attacker:skillLv(32716) or 0)-0.0015),attacker:damage()),ifElse(more(target:specialDefence(),target:defence()),attacker:specialDamage(),attacker:specialDamage()*(1.1+0.0015*(attacker:skillLv(32716) or 0)-0.0015))))>;init=<setValue(list(""damageType""),list(ifElse(more(target:specialDefence(),target:defence()),0,1)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,sum2,sum2,sum2,sum2,sum2,multiply,multiply,sum2,,10000,out,,,,,,,,,,,,,,,,,,,,,,,,,multiply,multiply,,,,
32712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
