变量名,_beizhu,cardID,canDevelop,canDevelop2,heightAndWeight,isOpen,languages,attrType1,attrValue1,attrType2,attrValue2,__version
3011,,3011,,,<0.5;8.5>,,,1,0.20%,,,
3012,,3012,,,<2.6;260>,,,1,0.20%,,,
3021,,3021,,,<1.1;148>,,,10,0.80%,,,
3051,,3051,,,<0.9;20>,,<cn;kr;en;en_us;en_eu;tw>,7,0.40%,,,
3052,,3052,,,<1.4;35.5>,,<cn;kr;en;en_us;en_eu;tw>,7,0.40%,,,
3141,,3141,,,<0.8;17.3>,,,8,0.27%,,,
3142,,3142,,,<1.4;50>,,,8,0.27%,,,
3143,,3143,,,<1.8;160>,,,8,0.27%,,,
3151,,3151,,,<1.1;28.8>,,<cn;kr;en;en_us;en_eu;tw>,7,0.40%,,,
3152,,3152,,,<1.6;46>,,<cn;kr;en;en_us;en_eu;tw>,7,0.40%,,,
3161,,3161,,,<2.1;250>,,<cn;kr;tw;en;en_us;en_eu>,9,0.80%,,,
3171,,3171,,,<1.9;260>,,<cn;kr;tw;en;en_us;en_eu>,7,0.80%,,,
3181,,3181,,,<2;200>,,<cn;kr;tw;en;en_us;en_eu>,10,0.80%,,,
3191,,3191,,,<1.5;63>,,<cn;kr;tw;en;en_us;en_eu>,13,0.80%,,,
3201,,3201,,,<1.5;65>,,<cn;kr;tw;en;en_us;en_eu>,8,0.80%,,,
3211,,3211,,,<3.2;330>,,<cn;kr;en;en_us;en_eu;tw>,8,1.00%,,,
3221,,3221,,,<2.9;345>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
3231,,3231,,,<1.5;68>,,<cn;kr;tw;en;en_us;en_eu>,7,0.80%,,,
3241,,3241,,,<3;325>,,<cn;kr;tw;en;en_us;en_eu>,1,0.70%,,,
3242,,3242,,,<3.6;325>,,<cn;kr;tw;en;en_us;en_eu>,1,0.70%,,,
3243,,3243,,,<3.3;325>,,<cn;kr;tw;en;en_us;en_eu>,1,0.70%,,,
3251,,3251,,,<1.4;48.5>,,<cn;kr;tw;en;en_us;en_eu>,13,0.80%,,,
3261,,3261,,,<0.6;6.5>,,<cn;kr;tw;en;en_us;en_eu>,10,1.00%,,,
3262,,3262,,,<0.6;6.5>,,<cn;kr;tw;en;en_us;en_eu>,10,1.00%,,,
3271,,3271,,,<1.5;82.5>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
3281,,3281,,,<0.4;9>,,,1,0.13%,,,
3282,,3282,,,<0.7;29>,,,1,0.13%,,,
3283,,3283,,,<1.6;90>,,,1,0.13%,,,
3291,,3291,,,<0.4;9.4>,,,8,0.20%,,,
3292,,3292,,,<1;14.5>,,,8,0.20%,,,
3293,,3293,,,<1.9;39>,,,8,0.20%,,,
3301,,3301,,,<0.3;7>,,,10,0.27%,,,
3302,,3302,,,<0.6;10.9>,,,10,0.27%,,,
3303,,3303,,,<1.5;40>,,,10,0.27%,,,
3341,,3341,,,<0.6;13.5>,,,10,0.30%,,,
3342,,3342,,,<1.5;81.5>,,,10,0.30%,,,
3351,,3351,,,<0.1;0.1>,,,1,0.18%,,,
3352,,3352,,,<0.2;0.9>,,,1,0.18%,,,
3353,,3353,,,<1.1;10>,,,1,0.18%,,,
3411,,3411,,,<0.8;2>,,,9,0.27%,,,
3412,,3412,,,<0.8;4.5>,,,9,0.27%,,,
3413,,3413,,,<1.7;53>,,,9,0.27%,,,
3431,,3431,,,<0.4;3.5>,,,10,0.30%,,,
3432,,3432,,,<0.8;5>,,,10,0.30%,,,
3471,,3471,,,<0.5;8.3>,,,8,0.30%,,,
3472,,3472,,,<1.3;35.3>,,,8,0.30%,,,
3501,,3501,,,<1.3;25.2>,,,10,0.30%,,,
3502,,3502,,,<2.7;225>,,,10,0.30%,,,
3511,,3511,,,<0.8;21.5>,,,7,0.60%,,,
3541,,3541,,,<0.3;2.8>,,,9,0.27%,,,
3542,,3542,,,<0.8;17.5>,,,9,0.27%,,,
3543,,3543,,,<2;150.5>,,,9,0.27%,,,
3561,,3561,,,<0.4;7>,,,10,0.20%,,,
3562,,3562,,,<1.5;71>,,,10,0.20%,,,
3571,,3571,,,<0.4;5>,,<cn>,9,0.40%,,,
3572,,3572,,,<0.9;12.5>,,<cn>,9,0.40%,,,
3591,,3591,,,<0.5;8>,,<cn;kr;en;en_us;en_eu;tw>,13,0.40%,,,
3592,,3592,,,<1.5;85>,,<cn;kr;en;en_us;en_eu;tw>,13,0.40%,,,
3601,,3601,,,<3;215>,,<cn;kr;en;en_us;en_eu;tw>,1,0.70%,,,
3611,,3611,,,<5.8;203>,,<cn;kr;en;en_us;en_eu;tw>,8,1.00%,,,
3621,,3621,,,<1.2;33.5>,,<cn;kr;en;en_us;en_eu;tw>,1,0.24%,,,
3622,,3622,,,<5;305>,,<cn;kr;en;en_us;en_eu;tw>,1,0.24%,,,
3623,,3623,,TRUE,<4.5;610>,,<cn;kr;en;en_us;en_eu;tw>,1,0.24%,,,
3631,,3631,,,<0.7;8.8>,,,1,0.70%,,,
3632,,3632,,,<1.1;27.8>,,<cn;kr;en;en_us;en_eu;tw>,1,0.70%,,,
3641,,3641,,,<0.5;9>,,<cn;kr;tw;en;en_us;en_eu>,1,0.35%,,,
3642,,3642,,,<6.5;490>,,<cn;kr;tw;en;en_us;en_eu>,1,0.35%,,,
3651,,3651,,,<1.7;195>,,<cn;kr;tw;en;en_us;en_eu>,8,1.00%,,,
3661,,3661,,,<0.3;1.5>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
3662,,3662,,,<0.7;16>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
3663,,3663,,,<1.6;36.6>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
3671,,3671,,,<0.4;4.3>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
3672,,3672,,,<0.7;25>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
3673,,3673,,,<1.8;83>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
3681,,3681,,,<0.4;7.5>,,<cn;kr;en;en_us;en_eu;tw>,8,0.27%,,,
3682,,3682,,,<0.6;17.5>,,<cn;kr;en;en_us;en_eu;tw>,8,0.27%,,,
3683,,3683,,,<1.8;44>,,<cn;kr;en;en_us;en_eu;tw>,8,0.27%,,,
3771,,3771,,,<0.4;8>,,<cn;kr;tw;en;en_us;en_eu>,9,0.40%,,,
3772,,3772,,,<0.7;14.5>,,<cn;kr;tw;en;en_us;en_eu>,9,0.40%,,,
3831,,3831,,,<0.5;6.8>,,<cn;kr;tw;en;en_us;en_eu>,7,0.40%,,,
3832,,3832,,,<2.1;135>,,<cn;kr;tw;en;en_us;en_eu>,7,0.40%,,,
3841,,3841,,,<0.3;3.2>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
3842,,3842,,,<0.7;8.2>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
3843,,3843,,,<1.2;21.4>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
3881,,3881,,,<0.5;12>,,<cn>,9,0.40%,,,
3882,,3882,,,<2;108>,,<cn>,9,0.40%,,,
3941,,3941,,,<2;212>,,<cn;kr;tw;en;en_us;en_eu>,9,0.80%,,,
3961,,3961,,,<0.2;0.7>,,<cn;kr;tw;en;en_us;en_eu>,10,0.80%,,,
3981,,3981,,,<3;185>,,<cn;kr;tw;en;en_us;en_eu>,8,0.80%,,,
4001,,4001,,,<0.6;29.7>,,<cn;tw;en_us;kr>,10,0.27%,,,
4002,,4002,,,<1.2;47>,,<cn;tw;en_us;kr>,10,0.27%,,,
4003,,4003,,,<1.6;78.2>,,<cn;tw;en_us;kr>,10,0.27%,,,
4011,,4011,,,<1.8;20.5>,,<cn;kr;tw;en_us>,7,0.80%,,,
4012,,4012,,,<1.2;18.6>,,<cn;kr;tw;en;en_us;en_eu>,8,0.80%,,,
4013,,4013,,,<1.9;45.5>,,<cn;kr;tw;en;en_us;en_eu>,7,0.80%,,,
4014,,4014,,,<1.3;21.2>,,<cn>,10,0.80%,,,
4023,,4023,,,<3.4;230>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
4024,,4024,,,<4;120>,,<cn;kr;tw;en;en_us;en_eu>,1,0.70%,,,
4031,,4031,,,<1.2;55.5>,,<cn;kr;tw;en;en_us;en_eu>,10,0.80%,,,
4041,,4041,,,<2.4;333.6>,,<cn;kr;tw;en;en_us;en_eu>,9,0.80%,,,
4051,,4051,,,<1.8;25>,,<cn;kr;tw;en;en_us;en_eu>,13,0.80%,,,
4061,,4061,,,<3.8;100>,,<cn;kr;tw;en;en_us;en_eu>,8,0.80%,,,
4071,,4071,,,<9.2;999.9>,,<cn;kr;tw;en;en_us;en_eu>,8,0.80%,,,
4081,,4081,,,<0.3;0.1>,,<cn;kr;tw;en;en_us;en_eu>,7,0.80%,,,
4091,,4091,,,<5.5;888>,,<cn;kr;tw;en;en_us;en_eu>,1,0.55%,,,
4101,,4101,,,<2.4;230>,,<cn;kr;tw;en;en_us;en_eu>,8,1.00%,,,
4103,,4103,,,<3.8;460>,,<cn;tw;en_us>,7,1.00%,,,
4104,,4104,,,<4.2;350>,,<cn>,7,1.00%,,,
4111,,4111,,,<1;80.5>,,<cn;kr;tw;en;en_us;en_eu>,8,1.00%,,,
4121,,4121,,,<0.7;22.2>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
4131,,4131,,,<0.6;1.8>,,<cn;kr;tw;en;en_us;en_eu>,8,0.40%,,,
4132,,4132,,,<3.6;150>,,<cn;kr;tw;en;en_us;en_eu>,8,0.40%,,,
4141,,4141,,,<5.5;820>,,<cn;kr;tw;en;en_us;en_eu>,9,0.80%,,,
4151,,4151,,,<1.8;13>,,<cn;kr;tw;en;en_us;en_eu>,8,0.80%,,,
4161,,4161,,,<1.5;44.5>,,<cn;kr;tw;en;en_us;en_eu>,13,1.00%,,,
4171,,4171,,,<0.2;8>,,<cn;kr;tw;en;en_us;en_eu>,9,0.50%,,,
4172,,4172,,,<2.5;800>,,<cn;kr;tw;en;en_us;en_eu>,9,0.50%,,,
4181,,4181,,,<0.3;5>,,<cn;kr;tw;en;en_us;en_eu>,1,0.18%,,,
4182,,4182,,,<0.7;14>,,<cn;kr;tw;en;en_us;en_eu>,1,0.18%,,,
4183,,4183,,,<2.1;90>,,<cn;kr;tw;en;en_us;en_eu>,1,0.18%,,,
4191,,4191,,,<0.3;4.5>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
4192,,4192,,,<0.6;9>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
4193,,4193,,,<1.4;33>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
4201,,4201,,,<0.3;4>,,<cn;kr;en;tw;en_us>,8,0.27%,,,
4202,,4202,,,<0.7;11.5>,,<cn;kr;en;tw;en_us>,8,0.27%,,,
4203,,4203,,,<1.9;45.2>,,<cn;kr;en;tw;en_us>,8,0.27%,,,
4301,,4301,,,<0.3;1>,,<cn;kr;tw;en_us>,7,0.80%,,,
4391,,4391,,,<0.4;5.5>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
4392,,4392,,,<0.8;12.5>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
4393,,4393,,,<1.5;61>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
4431,,4431,,,<0.8;117>,,<cn;kr;tw;en;en_us;en_eu>,8,0.80%,,,
4441,,4441,,,<1.5;58.2>,,<cn>,8,0.80%,,,
4521,,4521,,,<0.9;28>,,<cn>,8,0.80%,,,
4561,,4561,,,<2.3;215>,,<cn;kr;tw;en;en_us;en_eu>,7,0.80%,,,
4571,,4571,,,<1.8;40>,,<cn;tw;en_us>,9,0.40%,,,
4572,,4572,,,<2;60>,,<cn;tw;en_us>,9,0.40%,,,
4581,,4581,,,<0.5;2>,,<cn;kr;tw;en;en_us;en_eu>,13,0.27%,,,
4582,,4582,,,<1.4;11>,,<cn;kr;tw;en;en_us;en_eu>,13,0.27%,,,
4583,,4583,,,<3;50>,,<cn;kr;tw;en;en_us;en_eu>,13,0.27%,,,
4591,,4591,,,<2.8;110>,,<cn;kr;tw;en;en_us;en_eu>,13,1.00%,,,
4601,,4601,,,<2.9;210>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
4611,,4611,,,<20;950>,,<cn;kr;tw;en;en_us;en_eu>,1,0.70%,,,
4621,,4621,,,<0.6;12>,,<cn;kr;tw;en;en_us;en_eu>,7,0.40%,,,
4622,,4622,,,<1.9;105>,,<cn;kr;tw;en;en_us;en_eu>,7,0.40%,,,
4623,,4623,,,<1.9;105>,,<cn;kr;tw;en;en_us;en_eu>,7,0.80%,,,
4631,,4631,,,<1.8;70>,,<cn;kr;tw;en;en_us;en_eu>,1,0.70%,,,
4641,,4641,,,<1.2;145>,,<cn;kr;tw;en;en_us;en_eu>,13,0.80%,,,
4651,,4651,,,<2.1;200>,,<cn;en;tw;kr;en_us>,1,0.55%,,,
4661,,4661,,,<2.2;800>,,<cn;kr;tw;en;en_us;en_eu>,9,0.80%,,,
4671,,4671,,,<2;44.5>,,<cn;kr;tw;en;en_us;en_eu>,8,0.80%,,,
4682,,4682,,,<2.4;809.1>,,<cn;kr;tw;en;en_us;en_eu>,9,1.00%,,,
4683,,4683,,,<2.4;53.6>,,<cn;kr;tw;en;en_us;en_eu>,8,1.00%,,,
4701,,4701,,,<1.8;89>,,<cn;tw;en_us;kr>,7,0.80%,,,
4761,,4761,,,<0.4;4.1>,,<cn>,7,0.27%,,,
4762,,4762,,,<0.9;12.2>,,<cn>,7,0.27%,,,
4763,,4763,,,<1.5;31.2>,,<cn>,7,0.27%,,,
4771,,4771,,,<0.4;9.8>,,<cn;tw;en_us>,8,0.27%,,,
4772,,4772,,,<1;30.7>,,<cn;tw;en_us>,8,0.27%,,,
4773,,4773,,,<1.6;326.5>,,<cn;tw;en_us>,8,0.27%,,,
4851,,4851,,,<0.3;6.5>,,<cn;kr;tw;en;en_us;en_eu>,8,0.27%,,,
4852,,4852,,,<0.6;11.9>,,<cn;kr;tw;en;en_us;en_eu>,8,0.27%,,,
4853,,4853,,,<1.4;48.2>,,<cn;kr;tw;en;en_us;en_eu>,8,0.27%,,,
4991,,4991,,,<0.4;8.9>,,<cn>,1,0.18%,,,
4992,,4992,,,<0.7;59.1>,,<cn>,1,0.18%,,,
4993,,4993,,,<0.7;112.8>,,<cn>,1,0.18%,,,
5211,,5211,,,<1.4;4>,,<cn>,8,0.80%,,,
5221,,5221,,,<3.2;92>,,<cn>,7,0.80%,,,
5241,,5241,,,<0.9;240>,,<cn;kr;tw;en_us>,9,0.80%,,,
5331,,5331,,,<1.9;152.2>,,<cn>,7,0.80%,,,
5361,,5361,,,<2;380>,,<cn;kr;tw;en_us>,7,0.80%,,,
5381,,5381,,,<2.5;303>,,<cn;tw;en_us;kr>,7,1.00%,,,
5391,,5391,,,<3.5;240>,,<cn;kr;tw;en_us>,8,1.00%,,,
5401,,5401,,,<3.5;280>,,<cn>,8,0.80%,,,
5481,,5481,,,<1.2;39.8>,,<cn>,7,0.25%,,,
5482,,5482,,,<1.2;39.8>,,<cn>,7,0.25%,,,
5483,,5483,,,<1.2;39.8>,,<cn>,7,0.25%,,,
5484,,5484,,,<1.2;39.8>,,<cn>,7,0.25%,,,
5561,,5561,,,<0.3;0.3>,,<cn>,1,0.70%,,,
7001,,7001,,,<0.4;6>,,<cn;kr;tw;en;en_us;en_eu>,8,0.80%,,,
7011,,7011,,,<1.5;40>,,<cn;kr;tw;en;en_us;en_eu>,8,1.00%,,,
7021,,7021,,,<1.5;40.5>,,<cn;kr;tw;en;en_us;en_eu>,8,1.00%,,,
7031,,7031,,,<2.5;225>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
7041,,7041,,,<0.4;4>,,<cn;kr;tw;en;en_us;en_eu>,1,0.70%,,,
7051,,7051,,,<1.6;48.4>,,<cn;kr;tw;en;en_us;en_eu>,13,1.00%,,,
7061,,7061,,,<1.6;56.4>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
7071,,7071,,,<1.4;48.5>,,<cn;kr;tw;en;en_us;en_eu>,8,1.00%,,,
7081,,7081,,,<2.5;942.9>,,<cn;kr;tw;en;en_us;en_eu>,9,1.00%,,,
7091,,7091,,,<1.9;95>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
7101,,7101,,,<1.9;52>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
7111,,7111,,,<1.3;57.5>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
7121,,7121,,,<1.7;110.5>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
7131,,7131,,,<2.2;135.5>,,<cn;kr;tw;en;en_us;en_eu>,10,1.00%,,,
7141,,7141,,,<1.9;55.2>,,<cn;kr;tw;en;en_us;en_eu>,8,1.00%,,,
7151,,7151,,,<2;100>,,<cn;kr;tw;en;en_us;en_eu>,9,1.00%,,,
7161,,7161,,,<0.4;6>,,<cn;kr;tw;en;en_us;en_eu>,13,1.00%,,,
7171,,7171,,,<10.5;740>,,<cn;kr;tw;en_us>,9,1.00%,,,
7181,,7181,,,<1.8;112.6>,,<cn;kr;tw;en_us>,7,1.00%,,,
7191,,7191,,,<2;125>,,<cn;tw;en_us;kr>,7,1.00%,,,
7201,,7201,,,<1.5;54>,,<cn>,7,1.00%,,,
7211,,7211,,,<1.7;59>,,<cn>,7,1.00%,,,
7221,,7221,,,<2.1;79>,,<cn>,13,1.00%,,,
7231,,7231,,,<0.9;60>,,<cn>,7,1.00%,,,
7241,,7241,,,<2.6;29.6>,,<cn>,8,1.00%,,,
7251,,7251,,,<1.2;49>,,<cn>,7,1.00%,,,
9001,,9001,,,<0.3;4>,,,1,0.40%,,,
9002,,9002,,,<0.3;4>,,,1,0.55%,,,
9003,,9003,,,<0.3;4>,,,1,0.70%,,,
