变量名,type,_yyId,card,helditem,item,desc
82,6,,<3611;4161;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23611;24161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
83,6,,<3241;3641;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23241;23641;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
84,6,,<2441;1981;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22441;21981;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
85,6,,<2431;2351;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22431;22351;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
86,6,,<3241;3261;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23241;23261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
87,6,,<1981;2391;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;21981;22391;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
88,6,,<3211;3261;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23211;23261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
89,6,,<2461;1281;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22461;21281;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
90,6,,<4171;1991;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24171;21991;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
91,6,,<1991;3221;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;21991;23221;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
92,6,,<3641;2431;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23641;22431;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
93,6,,<3271;3623;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23271;23621;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
94,14,,,,<8301;8302;8303;8304;8305;8306;8307;8308;8309;8310;8311;8312;8313;8314;8315;8316;8317;8318;8319;8320;8321;8322;8323;8324;8325;8326;8327;8328;8329;8330;8331;8332;8333;8334;8335;8336;8337;8338;8339;8340;8341;8342;8343;8344;8401;8402;8403;8404;8405;8406;8407;8408;8409;8410;8411;8412;8413;8414;8415;8416;8417;8418;8419;8420;8421;8422;8423;8424;8425;8426;8427;8428;8429;8430;8431;8432;8433;8434;8435;8436;8437;8438;8439;8440;8501;8502;8503;8504;8505;8506;8507;8508;8509;8510;8511;8512;8513;8514;8601;8602;8603;8604;8605;8606;8607;8608;8609;8610;8611;8612;8613;8614>,<<rarityUnknow4;1.5>;<rarityUnknow3;4>;<rarityUnknow2;18.5>;<rarityUnknow1;36>;<normalItem;40>>
95,6,,<2361;3631;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22361;23631;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
96,6,,<4171;3241;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24171;23241;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
97,6,,<4121;3601;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24121;23601;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
98,6,,<3611;3261;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23611;23261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
99,6,,<2391;2351;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22391;22351;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
100,6,,<2421;4161;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22421;24161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
101,6,,<2361;2351;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22361;22351;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
102,6,,<1281;1991;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;21281;21991;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
103,6,,<1281;2381;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;21281;22381;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
104,6,,<3271;4171;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23271;24171;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
105,6,,<4023;2461;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24023;22461;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
106,6,,<3611;3601;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23611;23601;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
107,6,,<4111;3623;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24111;23621;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
108,6,,<1281;4161;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;21281;24161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
109,6,,<4121;3651;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24121;23651;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
110,6,,<2461;3271;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22461;23271;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
111,6,,<2421;4024;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22421;24024;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
112,6,,<3641;2441;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23641;22441;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
113,6,,<3601;3623;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23601;23621;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
114,6,,<3631;3211;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23631;23211;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
115,6,,<4023;7021;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24023;27021;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
116,6,,<4121;4161;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24121;24161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
117,6,,<7031;3651;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27031;23651;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
118,6,,<1961;1981;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;21961;21981;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
119,6,,<1991;3261;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;21991;23261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
120,6,,<2421;2461;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22421;22461;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
121,6,,<4101;4024;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24101;24024;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
122,6,,<4023;3623;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24023;23621;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
123,6,,<7041;7021;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27041;27021;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
124,6,,<4171;2391;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24171;22391;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
125,6,,<4023;4111;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24023;24111;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
126,6,,<4171;1281;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24171;21281;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
127,6,,<4111;4121;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24111;24121;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
128,6,,<7031;7051;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27031;27051;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
129,6,,<3651;2421;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23651;22421;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
130,6,,<4101;4601;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24101;24601;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
131,6,,<4121;2461;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24121;22461;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
132,6,,<2361;1281;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22361;21281;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
133,6,,<4023;4024;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24023;24024;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
134,6,,<7041;7061;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27041;27061;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
135,6,,<4101;3601;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24101;23601;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
136,6,,<4111;7021;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24111;27021;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
137,6,,<7021;7051;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27021;27051;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
138,6,,<4111;2421;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24111;22421;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
139,6,,<7031;4111;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27031;24111;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
140,6,,<7071;4601;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27071;24601;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
141,6,,<7041;4023;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27041;24023;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
142,6,,<3611;1281;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23611;21281;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
143,6,,<3261;2461;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23261;22461;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
144,6,,<2441;3271;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22441;23271;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
145,6,,<1991;3623;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;21991;23621;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
146,6,,<4591;7061;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24591;27061;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
147,6,,<1281;2381;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;21281;22381;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
148,6,,<7051;4631;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27051;24631;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
149,6,,<4171;3641;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24171;23641;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
150,6,,<3221;2461;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23221;22461;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
151,6,,<7071;7081;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27071;27081;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
152,6,,<4591;4683;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24591;24683;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
153,6,,<3623;2381;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23621;22381;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
154,6,,<1991;4121;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;21991;24121;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
155,6,,<3271;7061;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23271;27061;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
156,6,,<7091;4631;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27091;24631;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
157,8,,<9003>,,<6139;6140;6141;521;59003;526;501;6050;925;gold;502;stamina;59002;22381;22431;22441;23631;21261;21961;21971;21981;21991;23261;22351;22361;22391;23211;23221;23241;23641;23611;21281;23271;23201;23191;23231;23961;22411;24081;24071;22371;24151;24031;24141;24061;20991;24051;24041;24621;22491;20561;20321;20251;23831;24623;24012>,
158,6,,<7111;7081;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27111;27081;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
159,6,,<3241;3211;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23241;23211;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
160,6,,<7051;7041;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27051;27041;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
161,6,,<4682;4683;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24682;24683;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
162,6,,<3601;1991;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23601;21991;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
163,6,,<3601;1281;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23601;21281;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
164,6,,<3651;3623;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23651;23621;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
165,6,,<7091;7121;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27091;27121;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
166,6,,<4171;4631;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24171;24631;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
167,6,,<7071;4631;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27071;24631;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
168,6,,<7111;7131;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27111;27131;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
169,6,,<7051;7071;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27051;27071;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
170,6,,<4101;7081;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24101;27081;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
171,8,,<9003>,,<6139;6140;6147;521;59003;526;501;6050;925;gold;502;stamina;59002;22381;22431;22441;23631;21261;21961;21971;21981;21991;23261;22351;22361;22391;23211;23221;23241;23641;23611;21281;23271;23601;24161;22461;23621;24121;23201;23191;23231;23961;22411;24081;24071;22371;24151;24031;24141;24061;20991;24051;24041;24621;22491;20561;20321;20251;23831;24623;24012;24091;22331;24671;23051;24661;23941;24561;22131;24431;24181;20901>,
172,6,,<7031;7021;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27031;27021;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
173,6,,<4024;3641;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24024;23641;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
174,6,,<4023;7031;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24023;27031;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
175,6,,<4161;3623;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24161;23621;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
176,6,,<4682;4611;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24682;24611;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
177,6,,<4121;3611;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24121;23611;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
178,6,,<4591;4601;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24591;24601;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
179,6,,<7061;7031;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27061;27031;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
180,6,,<4101;4111;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24101;24111;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
181,5,,,,<91261;91221;502;142;59003;59002;2103;124;15;5000;870>,
182,6,,<4631;7061;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24631;27061;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
183,6,,<7141;7121;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27141;27121;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
184,6,,<4171;3211;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24171;23211;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
185,6,,<3241;3221;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23241;23221;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
186,6,,<4024;4161;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24024;24161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
187,6,,<4024;7041;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24024;27041;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
188,6,,<7151;7131;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27151;27131;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
189,6,,<7051;2461;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27051;22461;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
190,6,,<5391;4611;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;25391;24611;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
191,6,,<2461;3623;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22461;23621;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
192,6,,<7041;3271;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23271;27041;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
193,6,,<4161;3271;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23271;24161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
194,6,,<7141;7161;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27141;27161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
195,6,,<4631;7071;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24631;27071;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
196,6,,<7051;7071;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27051;27071;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
197,6,,<7021;3623;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27021;23621;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
198,6,,<7021;4024;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27021;24024;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
199,6,,<7061;4161;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27061;24161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
200,6,,<3611;3211;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23611;23211;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
201,5,,,,<15;14;gold;rmb;870;5000;902;603;604;502;8124>,
202,5,,,,<91261;91221;502;142;59003;59002;2103;124;15;5000;870;8125;8126>,
203,6,,<7151;7171;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27151;27171;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
204,6,,<2361;1261;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22361;21261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
205,6,,<7081;7061;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27081;27061;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
206,6,,<4111;3271;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23271;24111;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
207,6,,<5391;5381;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;25391;25381;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
208,6,,<4161;2351;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22351;24161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
209,6,,<4101;4023;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24101;24023;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
210,6,,<7081;7041;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27081;27041;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
211,6,,<4161;3601;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23601;24161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
212,6,,<4101;7041;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24101;27041;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
213,6,,<4161;2461;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22461;24161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
