变量名,title,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,conditionDesc,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,__version
1019,宝藏猎人,<cn;tw;kr;en>,pic,,,config/title/img_bzlr.png,,3,,,,2419,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1020,盛夏光年,<cn;tw;kr;en>,pic,,,config/title/img_sxgn@.png,,3,,,,2420,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1021,私奔到月球,<cn;tw;kr>,pic,,,config/title/img_sbdyq.png,,3,,,,2421,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1022,狂欢盛宴,<cn;tw;kr;en;en_us;en_eu>,pic,,,config/title/img_khsy.png,,3,,,,2422,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1023,你是什么鬼,<cn;tw;kr;en;en_us;en_eu>,pic,,,config/title/img_nssmg.png,,3,,,,2423,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1024,"""苹""安圣诞",<cn;tw;kr;en;en_us;en_eu>,pic,,,config/title/img_pasd.png,,3,,,,2424,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1025,幸福“元”满,<cn;tw;kr;en;en_us;en_eu>,pic,,,config/title/img_xfym.png,,3,,,,2425,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1026,万事大吉,<cn;tw;kr;en;en_us;en_eu>,pic,,,config/title/img_wsdj.png,,3,,,,2426,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1027,“宵”遥自在,<cn;tw>,pic,,,config/title/img_22yxj.png,,3,,,,2427,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1028,终成眷属,<cn;tw;kr;en;en_us;en_eu>,pic,,,config/title/img_zcjs.png,,3,,,,2428,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1029,狂热粉丝,<cn;en;tw;kr;en_us>,pic,,,config/title/img_2znznq.png,,3,,,,2429,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1030,呆呆传说,<cn;en;tw;kr;en_us>,pic,,,config/title/img_ddcs.png,,3,,,,2430,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1032,快乐的小骑手,<cn>,pic,,,config/title/img_ch_wyj.png,,3,,,,2432,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1033,永远是宝宝,<cn;tw>,spine,,,title/61chenghao.skel,<254;104>,3,,,,2433,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1034,粽行四海,<cn;tw>,pic,,,config/title/img_22dwj.png,,3,,,,2434,,,,,,,特殊活动获得,,,,,,,,,7,80,,8,80,,,,
1035,扇贝贝王,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_sbbw.png,,3,,,,2435,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1036,缤纷一夏,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_bfyx.png,,3,,,,2436,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1037,“玉兔”请签收,<cn;tw;kr>,pic,,,config/title/img_22zq.png,,3,,,,2437,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1038,盛宴之星,<cn;tw;kr;en;en_us;en_eu>,pic,,,config/title/img_syzx.png,,3,,,,2438,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1039,万圣节妖约,<cn;tw;kr;en;en_us;en_eu>,pic,,,config/title/img_22wsj.png,,3,,,,2439,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1040,铁杆球迷,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_22sjb.png,,3,,,,2440,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1041,元气满满,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_yqmm.png,,3,,,,2441,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1042,新年新气象,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_xnxqx.png,,3,,,,2442,,,,,,,特殊活动获得,,,,,,,,,7,80,,8,80,,,,
1043,闹元宵,<cn;tw>,pic,,,config/title/img_23nyx.png,,3,,,,2443,,,,,,,特殊活动获得,,,,,,,,,7,80,,8,80,,,,
1044,浓情蜜意,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_nqmy.png,,3,,,,2444,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1045,真爱粉,<cn;en;en_us;tw;kr>,pic,,,config/title/img_3zn.png,,3,,,,2445,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1046,剑道大师,<cn;en;tw;kr;en_us>,pic,,,config/title/img_jdds.png,,3,,,,2446,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1048,勇往直前,<cn;tw;en;en_eu;en_us;kr>,pic,,,config/title/img_ywzq.png,,3,,,,2448,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1049,童心飞扬,<cn;tw>,pic,,,config/title/img_61ch.png,,3,,,,2449,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1050,“龙粽”登场,<cn;tw>,pic,,,config/title/img_lzdc.png,,3,,,,2450,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1051,考古学家,<cn;tw;en;en_eu;en_us;kr>,pic,,,config/title/img_kgxj.png,,3,,,,2451,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1052,荷风香气,<cn;tw;en;en_eu;en_us;kr>,pic,,,config/title/img_hfxq.png,,3,,,,2452,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1053,美好相依,<cn;tw>,pic,,,config/title/img_mhxy.png,,3,,,,2453,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1054,月满乾坤,<cn;tw;kr>,pic,,,config/title/img_ymqk.png,,3,,,,2454,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1055,狂欢进行时,<cn;tw;en;en_eu;en_us;kr>,pic,,,config/title/img_khjxs.png,,3,,,,2455,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1056,“萌”鬼出没,<cn;tw;en;en_eu;en_us;kr>,pic,,,config/title/img_mgcm.png,,3,,,,2456,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1057,美好“诞”生,<cn;tw;en;en_eu;en_us;kr>,pic,,,config/title/img_23sd.png,,3,,,,2457,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1058,岁岁年年,<cn;tw;en;en_eu;en_us;kr>,pic,,,config/title/img_24yd.png,,3,,,,2458,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1059,其乐“龙龙”,<cn;kr;tw;en;en_us>,pic,,,config/title/img_qlll.png,,3,,,,2459,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1060,喜乐良宵,<cn;tw>,pic,,,config/title/img_xllx.png,,3,,,,2460,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1061,超喜欢你,<cn;tw;en;en_eu;en_us;kr>,pic,,,config/title/img_cxhn.png,,3,,,,2461,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1062,古老传说,<cn;en;tw;kr;en_us>,pic,,,config/title/img_glcs.png,,3,,,,2462,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1063,资深玩家,<cn;en;tw;kr>,pic,,,config/title/img_4zn.png,,3,,,,2463,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1064,勇气大爆发,<cn;tw;en;en_eu;en_us;kr>,pic,,,config/title/img_yqdbf.png,,3,,,,2464,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1065,童心筑梦,<cn;tw;en;en_eu;en_us;kr>,pic,,,config/title/img_2461.png,,3,,,,2465,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1066,龙舟竞渡,<cn;tw>,pic,,,config/title/img_24dw.png,,3,,,,2466,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1067,万众瞩目,<cn;kr;tw;en;en_us>,pic,,,config/title/img_wzzm.png,,3,,,,2467,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1068,夏日限定,<cn;tw;en;en_eu;en_us;kr>,pic,,,config/title/img_24xrj.png,,3,,,,2468,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1070,双星良夜,<cn;tw>,pic,,,config/title/img_24qx.png,,3,,,,2470,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1071,漫步月球,<cn;tw;en_us>,pic,,,config/title/img_24zqj.png,,3,,,,2601,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1072,玩乐派,<cn;tw;en;en_eu;en_us>,pic,,,config/title/img_24gqj.png,,3,,,,2602,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1073,捣蛋鬼驾到！,<cn;tw;en_us>,pic,,,config/title/img_24wsj.png,,3,,,,2603,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1074,圣诞夜之星,<cn;tw;en_us;kr>,pic,,,config/title/img_24sd.png,,3,,,,2604,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1075,崭新登场,<cn;tw;en_us;kr>,pic,,,config/title/img_25yd.png,,3,,,,2605,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1076,巳巳如意,<cn;kr;tw;en_us>,pic,,,config/title/img_25cj.png,,3,,,,2606,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1077,一口一个大汤圆,<cn;tw>,pic,,,config/title/img_25yx.png,,3,,,,2607,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1078,心动同频,<cn;kr;tw;en_us>,pic,,,config/title/img_25qrj.png,,3,,,,2608,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1079,图鉴活字典,<cn>,pic,,,config/title/img_5znq.png,,3,,,,2609,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1080,试炼之人,<cn>,pic,,,config/title/img_slzr.png,,3,,,,2532,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1081,劳动小能手,<cn>,pic,,,config/title/img_25wy.png,,3,,,,2610,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1082,可甜可咸,<cn>,pic,,,config/title/img_25dw.png,,3,,,,2611,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1083,我最可爱,<cn>,pic,,,config/title/img_2561.png,,3,,,,2612,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1084,岛屿守护者,<cn>,pic,,,config/title/img_dyshz.png,,3,,,,2533,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1085,躺平浪人,<cn;tw;en;en_us>,pic,,,config/title/img_25xr.png,,3,,,,2613,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1086,萤火星河,<cn;tw>,pic,,,config/title/img_25qx.png,,3,,,,2614,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1087,音浪狂想,<cn>,pic,,,config/title/img_25gqj.png,,3,,,,2615,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1088,举杯邀月,<cn>,pic,,,config/title/img_25zqj.png,,3,,,,2616,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1089,可爱鬼出现,<cn>,pic,,,config/title/img_25wsj.png,,3,,,,2617,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1090,雪夜星语者,<cn>,pic,,,config/title/img_25sd.png,,3,,,,2618,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1091,岁始焕新颜,<cn>,pic,,,config/title/img_26yd.png,,3,,,,2619,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1092,人间理想型,<cn;kr>,pic,,,config/title/img_26qrj.png,,3,,,,2620,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1093,马上行大运,<cn;kr>,pic,,,config/title/img_26cj.png,,3,,,,2621,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1094,花灯映长宵,<cn>,pic,,,config/title/img_26yx.png,,3,,,,2622,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1101,通行证S2,<cn;kr;en;tw>,pic,,,config/title/imag_ch_txzs2.png,,3,,,,2471,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1102,通行证S3,<cn;kr;en;tw>,pic,,,config/title/img_txzs3.png,,3,,,,2472,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1103,通行证S4,<cn;kr;en;tw>,pic,,,config/title/img_txzs4.png,,3,,,,2473,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1104,通行证S5,<cn;kr;en;tw>,pic,,,config/title/img_txzs5.png,,3,,,,2474,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1105,通行证S6,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_txzs6.png,,3,,,,2475,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1106,通行证S7,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_txzs7.png,,3,,,,2476,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1107,通行证S8,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_txzs8.png,,3,,,,2477,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1108,通行证S9,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_txzs9.png,,3,,,,2478,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1109,通行证S10,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_txzs10.png,,3,,,,2479,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1110,通行证S11,<cn;kr;en;tw;en_eu;en_us>,pic,,,config/title/img_txzs11.png,,3,,,,2480,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1111,通行证S12,<cn;kr;en;tw;en_eu;en_us>,pic,,,config/title/img_txzs12.png,,3,,,,2481,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1112,通行证S13,<cn;kr;en;tw;en_eu;en_us>,pic,,,config/title/img_txzs13.png,,3,,,,2482,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1113,通行证S14,<cn;kr;en;tw;en_eu;en_us>,pic,,,config/title/img_txzs14.png,,3,,,,2483,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1114,通行证S15,<cn;kr;en;tw;en_eu;en_us>,pic,,,config/title/img_txzs15.png,,3,,,,2484,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1115,通行证S16,<cn;kr;en;tw;en_us>,pic,,,config/title/img_txzs16.png,,3,,,,2485,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1116,通行证S17,<cn;kr;en;tw;en_us>,pic,,,config/title/img_txzs17.png,,3,,,,2486,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1117,通行证S18,<cn;kr;en;tw;en_us>,pic,,,config/title/img_txzs18.png,,3,,,,2487,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1118,通行证S19,<cn;kr;en;tw;en_us>,pic,,,config/title/img_txzs19.png,,3,,,,2488,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1119,通行证S20,<cn;kr;en;tw;en_us>,pic,,,config/title/img_txzs20.png,,3,,,,2489,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1120,通行证S21,<cn;kr;en;tw;en_us>,pic,,,config/title/img_txzs21.png,,3,,,,2490,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1121,通行证S22,<cn;kr;en;tw;en_us>,pic,,,config/title/img_txzs22.png,,3,,,,2491,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1122,通行证S23,<cn;kr;tw;en_us>,pic,,,config/title/img_txzs23.png,,3,,,,2492,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1123,通行证S24,<cn;kr;tw;en_us>,pic,,,config/title/img_txzs24.png,,3,,,,2493,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1124,通行证S25,<cn;tw;en_us>,pic,,,config/title/img_txzs25.png,,3,,,,2494,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1125,通行证S26,<cn>,pic,,,config/title/img_txzs26.png,,3,,,,2495,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1126,通行证S27,<cn>,pic,,,config/title/img_txzs27.png,,3,,,,2496,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1127,通行证S28,<cn>,pic,,,config/title/img_txzs28.png,,3,,,,2497,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1128,通行证S29,<cn>,pic,,,config/title/img_txzs29.png,,3,,,,2498,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1129,通行证S30,<cn>,pic,,,config/title/img_txzs30.png,,3,,,,2499,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1130,通行证S31,<cn>,pic,,,config/title/img_txzs31.png,,3,,,,2500,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
2001,天赋异禀,,spine,,,title/chenghao_tfyb.skel,<254;104>,4,,,,2501,,,,,,,成就系统内获得,,,,,,,,,1,1%,,,,,,,
2002,星路迢迢,,pic,,config/title/img_red@.png,config/title/xltt.png,,4,,,,2502,,,,,,,成就系统内获得,,,,,,,,,1,1000,,,,,,,
2003,星级达人,,pic,,config/title/img_red@.png,config/title/xjdr.png,,4,,,,2503,,,,,,,成就系统内获得,,,,,,,,,9,80,,10,80,,,,
2004,升星狂人,,spine,,,title/chenghao_sxkr.skel,<254;104>,4,,,,2504,,,,,,,成就系统内获得,,,,,,,,,13,1%,,,,,,,
2005,完美觉醒,,pic,,config/title/img_red@.png,config/title/wmjx.png,,4,,,,2505,,,,,,,成就系统内获得,,,,,,,,,9,120,,10,120,,,,
2006,稀有宝物,,pic,,config/title/img_red@.png,config/title/xybw.png,,4,,,,2506,,,,,,,成就系统内获得,,,,,,,,,7,120,,8,120,,,,
2007,不可能任务,,pic,,config/title/img_red@.png,config/title/bknrw.png,,4,,,,2507,,,,,,,成就系统内获得,,,,,,,,,7,150,,8,150,,,,
2008,只是传说,,spine,,,title/chenhao_zscs.skel,<254;104>,4,,,,2508,,,,,,,成就系统内获得,,,,,,,,,9,1%,,10,1%,,,,
2009,斯巴达勇士,,pic,,config/title/img_red@.png,config/title/sbdys.png,,4,,,,2509,,,,,,,成就系统内获得,,,,,,,,,7,120,,8,120,,,,
2010,送人玫瑰,,pic,,config/title/img_red@.png,config/title/srmg.png,,4,,,,2510,,,,,,,成就系统内获得,,,,,,,,,1,1200,,13,30,,,,
2011,大力出奇迹,,spine,,,title/chenhao_dlcqj.skel,<254;104>,4,,,,2511,,,,,,,成就系统内获得,,,,,,,,,7,1%,,8,1%,,,,
2012,双黄蛋,,spine,,,title/shd.skel,<254;104>,4,,,,2512,,,,,,,成就系统内获得,,,,,,,,,7,600,,8,600,,,,
2013,帽子戏法,,spine,,,title/mzxf.skel,<254;104>,4,,,,2513,,,,,,,成就系统内获得,,,,,,,,,7,800,,8,800,,,,
2014,家里有矿,,spine,,,title/jlyk.skel,<254;104>,4,,,,2514,,,,,,,成就系统内获得,,,,,,,,,9,320,,10,320,,,,
2015,龙王喷水,,spine,,,title/lwps.skel,<254;104>,4,,,,2515,,,,,,,成就系统内获得,,,,,,,,,1,2000,,,,,,,
2016,不可思议の,,spine,,,title/ch_bksyd.skel,<254;104>,4,,,,2516,,,,,,,成就系统内获得,,,,,,,,,7,580,,8,580,,,,
2017,征服者,,spine,,,title/ch_zfz.skel,<254;104>,4,,,,2517,,,,,,,成就系统内获得,,,,,,,,,9,340,,10,340,,,,
2018,渔 夫,<cn;kr;tw;en;en_us;en_eu>,txt,<61;138;153>,config/title/img_blue@.png,,,4,,,,2518,,,,,,,成就系统内获得,,,,,,,,,9,20,,10,20,,,,
2019,垂钓高手,<cn;kr;tw;en;en_us;en_eu>,txt,<61;138;153>,config/title/img_blue@.png,,,4,,,,2519,,,,,,,成就系统内获得,,,,,,,,,9,80,,10,80,,,,
2020,垂钓达人,<cn;kr;tw;en;en_us;en_eu>,txt,<138;92;153>,config/title/img_purple@.png,,,4,,,,2520,,,,,,,成就系统内获得,,,,,,,,,9,120,,10,120,,,,
2021,垂钓宗师,<cn;kr;tw;en;en_us;en_eu>,txt,<228;94;76>,config/title/img_red@.png,,,4,,,,2521,,,,,,,成就系统内获得,,,,,,,,,9,180,,10,180,,,,
2022,老人与海,<cn;kr;tw;en;en_us;en_eu>,txt,<138;92;153>,config/title/img_purple@.png,,,4,,,,2522,,,,,,,成就系统内获得,,,,,,,,,7,80,,8,80,,,,
2023,道馆挑战者,<cn;kr;tw;en;en_us;en_eu>,txt,<228;94;76>,config/title/img_red@.png,,,4,,,,2523,,,,,,,成就系统内获得,,,,,,,,,17,100,,,,,,,
2024,主角光环,<cn;kr;tw;en;en_us;en_eu>,spine,,config/title/img_zjgh.png,title/zhujueguanghuan.skel,<254;104>,4,,,,2524,,,,,,,成就系统内获得,,,,,,,,,16,100,,,,,,,
2025,冒险王子,<cn;kr;tw;en;en_us;en_eu>,spine,,config/title/img_mxwz.png,title/maoxianwangzi.skel,<254;104>,4,,,,2525,,,,,,,成就系统内获得,,,,,,,,,1,1%,,,,,,,
2026,深渊启明者,<cn;kr;tw;en;en_us;en_eu>,spine,,,title/sy_qimingzhe.skel,<254;104>,4,,,,2529,,,,,,,成就系统内获得,,,,,,,,,9,1%,,10,1%,,,,
2027,深渊破界者,<cn;kr;tw;en;en_us;en_eu>,spine,,,title/sy_pojiezhe.skel,<254;104>,4,,,,2530,,,,,,,成就系统内获得,,,,,,,,,7,1%,,8,1%,,,,
3001,明星公会,<cn;kr;tw;en;en_us;en_eu>,pic,,,config/title/txt_mxgh.png,,,,2,,2523,unionQAUnion,<1;1>,,,7,,所在公会在精灵问答排名结算时累计总积分第1名时获得（离开公会后将失效）,,,,,,,,,7,1%,,8,1%,,,,
4001,620佛系三结义,<cn>,spine,,,title/dingzhi/sanjieyi.skel,<254;104>,5,,,,2590,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4002,从小就很冷,<cn>,spine,,,title/dingzhi/cxjhl.skel,<254;104>,5,,,,2591,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4003,天帝踏光阴,<cn>,spine,,,title/dingzhi/tdtgy.skel,<254;104>,5,,,,2592,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4004,斗系专精囤猫,<cn>,spine,,,title/dingzhi/dxzjtm.skel,<254;104>,5,,,,2593,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4005,逆风飞扬,<cn>,spine,,,title/dingzhi/nffy.skel,<254;104>,5,,,,2594,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4006,火鸡味锅巴,<cn>,spine,,,title/dingzhi/hjwgb.skel,<254;104>,5,,,,2595,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4007,月曜四海八荒,<cn>,spine,,,title/dingzhi/yyshbh.skel,<254;104>,5,,,,2596,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4008,战旗TV集团,<cn>,spine,,,title/dingzhi/zqtvjt.skel,<254;104>,5,,,,2597,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4009,皮卡皮卡丘,<cn>,spine,,,title/dingzhi/pika.skel,<254;104>,5,,,,2598,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4010,尚武之魂,<cn>,spine,,,title/dingzhi/swzh.skel,<254;104>,5,,,,2599,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4011,口袋西装狂徒,<cn>,spine,,,title/dingzhi/kdxzkt.skel,<254;104>,5,,,,2600,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4012,山之巅傲世间,<cn>,spine,,,title/dingzhi/szdasj.skel,<254;104>,5,,,,2701,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4013,嘻嘻哈哈,<cn>,spine,,,title/dingzhi/xxhh.skel,<254;104>,5,,,,2702,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4014,恶系天王,<cn>,spine,,,title/dingzhi/extw.skel,<254;104>,5,,,,2703,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4015,无敌凯西战神,<cn>,spine,,,title/dingzhi/wdkxzs.skel,<254;104>,5,,,,2704,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4016,黑牛骑青帝,<cn>,spine,,,title/dingzhi/hnqqd.skel,<254;104>,5,,,,2705,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4017,神罚天坠震狱,<cn>,spine,,,title/dingzhi/sftzzy.skel,<254;104>,5,,,,2706,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4018,魅力大叔,<cn>,spine,,,title/dingzhi/mlds.skel,<254;104>,5,,,,2707,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4019,创世之神,<cn>,spine,,,title/dingzhi/cszs.skel,<254;104>,5,,,,2708,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4020,超级无敌星云,<cn>,spine,,,title/dingzhi/cjwdxy.skel,<254;104>,5,,,,2709,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4021,阿旺旺旺旺仔,<cn>,spine,,,title/dingzhi/awwwwz.skel,<254;104>,5,,,,2710,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4022,生命中一缕光,<cn>,spine,,,title/dingzhi/smzylg.skel,<254;104>,5,,,,2711,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4023,龙珠BOSS,<cn>,spine,,,title/dingzhi/lzbs.skel,<254;104>,5,,,,2712,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4024,O破碎虚空O,<cn>,spine,,,title/dingzhi/psxk.skel,<254;104>,5,,,,2713,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4025,百鬼夜行,<cn>,spine,,,title/dingzhi/bgyx.skel,<254;104>,5,,,,2714,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4026,无敌飞龙至尊,<cn>,spine,,,title/dingzhi/wdflzz.skel,<254;104>,5,,,,2715,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4027,精灵掌门人,<cn>,spine,,,title/dingzhi/jlzmr.skel,<254;104>,5,,,,2716,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4028,上帝不掷骰子,<cn>,spine,,,title/dingzhi/sdbzsz.skel,<254;104>,5,,,,2717,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
4029,兜兜大王,<cn>,spine,,,title/dingzhi/dddw.skel,<254;104>,5,,,,2718,,,,,,,为训练家专属定制,,,,,,,,,,,,,,,,,
