变量名,_mailType,tab,icon,sender,subject,content,attachs,special
136,完美口袋公益服,2,,完美口袋公益服,完美口袋公益服,亲爱的小伙伴:\n    欢迎您加入完美口袋公益服！拥有全网独家更新能力，更新快，不拖拉，福利拉满。\n    1 全精灵免费送\n    2 上线登录就送 1000 代金券\n    3 实际充值返利五倍  充1得5\n    转游说明：所有版本转游 1:5 【比如其他服充值100元 转游到 本服充值10元即可获得50绑币】,{8018=1;8036=1;8046=1;8158=1;8154=1;8150=1;8144=1;8134=1;8092=1;8084=1;8082=1;8090=1},
137,完美口袋公益服,2,,完美口袋公益服,完美口袋公益服,亲爱的小伙伴:\n    欢迎您加入完美口袋公益服！拥有全网独家更新能力，更新快，不拖拉，福利拉满。\n    1 全精灵免费送\n    2 上线登录就送 1000 代金券\n    3 实际充值返利五倍  充1得5\n    转游说明：所有版本转游 1:5 【比如其他服充值100元 转游到 本服充值10元即可获得50绑币】,{8016=1;8020=1;8024=1;8028=1;8032=1;8038=1;8042=1;8044=1;8048=1;8062=1;8070=1;8000=1;8002=1;8004=1;8006=1;8008=1;8010=1;8012=1;8014=1;8056=1;8052=1;8050=1;8040=1},
138,完美口袋公益服,2,,完美口袋公益服,完美口袋公益服,亲爱的小伙伴:\n    欢迎您加入完美口袋公益服！拥有全网独家更新能力，更新快，不拖拉，福利拉满。\n    1 全精灵免费送\n    2 上线登录就送 1000 代金券\n    3 实际充值返利五倍  充1得5\n    转游说明：所有版本转游 1:5 【比如其他服充值100元 转游到 本服充值10元即可获得50绑币】,{role_exp=188888;gold=1000000000;rmb=28888888;521=2888;502=5888;16=18888;503=666;519=666;526=666;531=666;537=666;500=888},
139,完美口袋公益服,2,,完美口袋公益服,完美口袋公益服,亲爱的小伙伴:\n    欢迎您加入完美口袋公益服！拥有全网独家更新能力，更新快，不拖拉，福利拉满。\n    1 全精灵免费送\n    2 上线登录就送 1000 代金券\n    3 实际充值返利五倍  充1得5\n    转游说明：所有版本转游 1:5 【比如其他服充值100元 转游到 本服充值10元即可获得50绑币】,{851=8888;850=18888;19=888;902=888;2103=1888;452=8888;451=18888;453=1888},
140,完美口袋公益服,2,,完美口袋公益服,完美口袋公益服,亲爱的小伙伴:\n    欢迎您加入完美口袋公益服！拥有全网独家更新能力，更新快，不拖拉，福利拉满。\n    1 全精灵免费送\n    2 上线登录就送 1000 代金券\n    3 实际充值返利五倍  充1得5\n    转游说明：所有版本转游 1:5 【比如其他服充值100元 转游到 本服充值10元即可获得50绑币】,{111=8888;112=2888;123=8888;124=2888;529=88888;161=8888;5000=18888;100=1888;coin11=18888;coin2=18888;coin1=18888;coin6=18888},
141,完美口袋公益服,2,,完美口袋公益服,完美口袋公益服,亲爱的小伙伴:\n    欢迎您加入完美口袋公益服！拥有全网独家更新能力，更新快，不拖拉，福利拉满。\n    1 全精灵免费送\n    2 上线登录就送 1000 代金券\n    3 实际充值返利五倍  充1得5\n    转游说明：所有版本转游 1:5 【比如其他服充值100元 转游到 本服充值10元即可获得50绑币】,{7371=10;7372=10;7373=10;7325=10;994=10;6104=5;945=10},
142,完美口袋公益服,2,,完美口袋公益服,完美口袋公益服,亲爱的小伙伴:\n    欢迎您加入完美口袋公益服！拥有全网独家更新能力，更新快，不拖拉，福利拉满。\n    1 全精灵免费送\n    2 上线登录就送 1000 代金券\n    3 实际充值返利五倍  充1得5\n    转游说明：所有版本转游 1:5 【比如其他服充值100元 转游到 本服充值10元即可获得50绑币】,{2153=10;2152=10;151=88888;152=1888;4000=88888;132=1888;133=888;121=888},
143,完美口袋公益服,2,,完美口袋公益服,完美口袋公益服,亲爱的小伙伴:\n    欢迎您加入完美口袋公益服！拥有全网独家更新能力，更新快，不拖拉，福利拉满。\n    1 全精灵免费送\n    2 上线登录就送 1000 代金券\n    3 实际充值返利五倍  充1得5\n    转游说明：所有版本转游 1:5 【比如其他服充值100元 转游到 本服充值10元即可获得50绑币】,{937=5;6102=20;6101=20;6100=30;6051=20;6052=20;6053=20;6054=20},
,,,,,,,,
144,,,,小秘书,疾影驰斗公会胜利奖励邮件,亲爱的小伙伴:\n    您所在的公会在疾影驰斗的对战中获得胜利！请收下胜者的奖励！。\n    祝您游戏愉快!,,
145,,,,小秘书,疾影驰斗公会失败奖励邮件,亲爱的小伙伴:\n    您所在的公会在疾影驰斗的对战中惜败，请领取奖励后越战越勇！。\n    祝您游戏愉快!,,
146,,,,小秘书,疾影驰斗公会平局奖励邮件,亲爱的小伙伴:\n    您所在的公会在疾影驰斗的对战中与对方势均力敌，请收下这来之不易的奖励！。\n    祝您游戏愉快!,,
147,,,,小秘书,疾影驰斗公会排名奖励邮件,亲爱的小伙伴:\n   您所在的公会在本赛季的激烈战斗中获得第%d名，排名奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
148,,,,小秘书,疾影驰斗角色排名奖励邮件,亲爱的小伙伴:\n   恭喜您在激烈的疾影驰斗战斗中获得第%d名的成绩，排名奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
149,,,,小秘书,契约栏位变更道具返还邮件,亲爱的小伙伴:\n   恭喜你获得了全新的%s！！Ta在契约中的装备栏位有%d个发生了变化，新栏位将需要重新进行解锁，之前旧栏位解锁消耗道具已随邮件补发，请及时查收。\n    祝您游戏愉快!,,
150,,,,小秘书,帷幕马戏团赛季结算奖励,优秀的团员:\n    你在本团的舞台上获得第%d的排名，请接受本团长的赠礼。\n    期待你的下次来访,,
151,,,,小秘书,帷幕马戏团挂机奖励未领取部分补发,优秀的团员:\n    本团要在下一个地方继续演出，请收好暂存在本团的物品，下次再会,,
152,,1,,小秘书,携带道具升级溢出返还,亲爱的训练师:\n    因携带道具增加等级而后又更新降低了等级消耗，因此会有部分经验溢出的情况，现溢出的部分已随邮件进行返还，还请及时查收。\n    祝您游戏愉快!,,
153,,1,,小秘书,,,,
154,,1,,小秘书,,,,
155,,1,,小秘书,,,,
156,,,,小秘书,卡牌对决赛季结束奖励,亲爱的小伙伴:\n    您在卡牌对决排行榜中获得第%d名，为您颁发如下奖励，请注意查收 \n    祝您游戏愉快!,,
157,,,,小秘书,众神禁地结算奖励,亲爱的小伙伴:\n    您在众神禁地中的表现精彩绝伦，截止到5：00，您的排名为第%d名，结算奖励已随邮件发送，请及时查收。\n    祝您勇攀高层!,,
158,,,,小秘书,幻海星途奖励补发,优秀的船长:\n    经过不断地探索与冒险获得的奖励值得被重视，请领取这份遗漏在开拓之旅上的奖励吧！,,
159,,,,小秘书,首充活动补充奖励补发,亲爱的小伙伴:\n    您之前充值了首充活动，本周该活动新增了奖励内容，特此为您补发如下，请及时查收。\n    感谢您的支持!,,
160,,,,小秘书,通行证补发奖励,亲爱的小伙伴:\n    您购买本期的通行证奖励内容有额外补充，特此为您补发如下奖励，请及时查收。\n    感谢您的支持!,,
161,,,,小秘书,极巨巅峰排名结算,尊敬的强者:\n    您在本次极巨巅峰的荣誉段位为--%s！请收下见证荣誉的段位奖励！。\n    祝您游戏愉快!,,
162,,,,小秘书,极巨竞猜币转化奖励,亲爱的小伙伴:\n    本期极巨巅峰全部完结，已将本次的极巨竞猜币全部转化为极巨荣誉币！感谢本次赛程的见证！。\n    祝您游戏愉快!,,
163,,,,小秘书,订阅精灵月卡额外奖励,,,
164,,,,小秘书,订阅大师月卡额外奖励,,,
165,,,,足球赛事联合会,狂热世界杯冠军预测奖励,亲爱的狂热球迷:\n    您在狂热世界杯活动-冠军预测活动中，选择了一支备受瞩目的球队，现排名已出，您选择的%s本次世界杯赛果：%s，以下是您的预测奖励，请及时查收。\n    祝您游戏愉快!,,
166,,,,对战庆典官方,对战庆典冠军竞猜奖励,亲爱的小伙伴:\n    本届对战庆典圆满结束啦！恭喜你所支持的队伍在本次庆典中取得%s的好成绩，以下是发放给你的竞猜奖励，下届对战庆典期待你的竞猜慧眼！,,
167,,,,以太管理员,以太乐园无尽版结算奖励,亲爱的小伙伴:\n    您在以太乐园无尽版中的表现精彩绝伦，截止到5：00，您的排名为第%d名，结算奖励已随邮件发送，请及时查收。\n    祝您勇攀高层!,,
168,,,,小秘书,以太乐园无尽版积分奖励未领补发,亲爱的小伙伴:\n    我们更新了积分奖励的内容，之前你有达成但却未领取的奖励查收附件如下，希望能在以太乐园无尽版中再看到你矫健的身姿！\n    祝您游戏愉快!,,
169,,1,,精灵联盟,探险器(独角爬行器)进阶消耗下调补偿,亲爱的训练师:\n    感谢在游戏中发现了探险器（独角爬行器）进阶消耗偏高的问题，特此在更新调整后为您送回之前多消耗掉的那部分材料，希望能在今后的探险旅途中帮助到你。\n    祝您游戏愉快!,{},
170,,1,,精灵联盟,石英银质徽章转换,亲爱的训练师:\n    您好，因石英货币优化，您原有的 %d 石英银质徽章，已自动被系统被转化为 %d 石英金质徽章。\n    祝您游戏愉快!,{},
171,,1,,精灵联盟,跨服石英银币转换,亲爱的训练师:\n    您好，因货币优化，您原有的 %d 跨服石英银币，已自动被系统被转化为 %d 跨服石英金币。\n    祝您游戏愉快!,{},
172,,1,,精灵联盟,重聚活动时间通知,亲爱的训练师:\n    您好，因与您绑定的回归玩家上线不积极等原因，影响了您的活动体验，因此在短暂的%d天CD之后，可快速再次以老玩家的身份参与重聚活动,,
173,,1,,小秘书,Z觉醒修复,亲爱的训练师:\n    %s多分支的精灵Z觉醒修复完毕，重复消耗的材料已随邮件返还,,
174,,1,,小秘书,Z觉醒材料返还,亲爱的训练师:\n    %s因部分超进化精灵的Z觉醒材料消耗改动，消耗材料根据差值已随邮件返还,,
175,,1,,小秘书,饰品刻印材料返还,亲爱的训练师:\n    因部分饰品刻印材料消耗改动，消耗材料根据差值已随邮件返还,,
176,,1,,精灵联盟,潜能修复,亲爱的训练师:\n    %s潜能消耗修复完毕，消耗的材料已随邮件返还,,
177,,1,,精灵联盟,芯片经验调整返还,亲爱的训练师:\n    芯片经验调整完毕，多余的材料已随邮件返还,,
178,,1,,小秘书,限时订阅送优惠券,Hi，亲爱的训练家：\n\n《口袋觉醒》华为限时订阅活动来啦！\n活动期间，订阅自动续费商品，最高送价值299元优惠券。活动详细内容见具体活动公告！\n\n活动持续时间：4月22日-5月21日,{gold=88888},
