变量名,name,suitID,suitNo,icon,quality,gemDescribe,heapLimit,decomposeReturn,strengthMax,strengthCostSeq,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,desc,effect
40521,盾甲,5,1,config/item/gem/icon_7_lv_1.png,2,防御向符石,9999,{529=20},,2,1,<1008;1023;1038;1053;1068;1084;1099;1114;1129;1144;1169;1185;1202;1218;1234;1250;1266;1282;1298;1314;1351;1368;1385;1402;1419;1436;1454;1471;1488;1505;1552;1570;1589;1607;1625;1643;1661;1679;1697;1716;1814;1835;1855;1875;1895;1915;1935;1956;1976;1996;2117;2139;2161;2183;2206;2228;2250;2272;2294;2316;2460;2484;2508;2532;2556;2580;2605;2629;2653;2677;2843;2869;2895;2921;2947;2974;3000;3026;3052;3078;3266;3294;3322;3351;3379;3407;3435;3463;3492;3520;3730;3760;3790;3820;3851;3881;3911;3941;3972;4002;4234;4266;4298;4330;4363;4395;4427;4459;4492;4524;4778;4812;4846;4881;4915;4949;4984;5018;5052;5086>,9,<140;142;144;146;148;151;153;155;157;159;162;165;167;169;171;174;176;178;180;183;188;190;192;195;197;200;202;204;207;209;216;218;221;223;226;228;231;233;236;238;252;255;258;260;263;266;269;272;274;277;294;297;300;303;306;309;312;316;319;322;342;345;348;352;355;358;362;365;368;372;395;398;402;406;409;413;417;420;424;428;454;458;461;465;469;473;477;481;485;489;518;522;526;531;535;539;543;547;552;556;588;592;597;601;606;610;615;619;624;628;664;668;673;678;683;687;692;697;702;706>,17,<27;27;27;27;27;30;30;30;30;30;33;33;33;33;33;36;36;36;36;36;38;38;38;38;38;41;41;41;41;41;44;44;44;44;44;47;47;47;47;47;50;50;50;50;50;53;53;53;53;53;56;56;56;56;56;59;59;59;59;59;61;61;61;61;61;64;64;64;64;64;67;67;67;67;67;70;70;70;70;70;73;73;73;73;73;76;76;76;76;76;79;79;79;79;79;82;82;82;82;82;84;84;84;84;84;87;87;87;87;87;90;90;90;90;90;93;93;93;93;93>,,,,,,
40522,盾甲,5,2,config/item/gem/icon_7_lv_2.png,2,防御向符石,9999,{529=20},,2,1,<1008;1023;1038;1053;1068;1084;1099;1114;1129;1144;1169;1185;1202;1218;1234;1250;1266;1282;1298;1314;1351;1368;1385;1402;1419;1436;1454;1471;1488;1505;1552;1570;1589;1607;1625;1643;1661;1679;1697;1716;1814;1835;1855;1875;1895;1915;1935;1956;1976;1996;2117;2139;2161;2183;2206;2228;2250;2272;2294;2316;2460;2484;2508;2532;2556;2580;2605;2629;2653;2677;2843;2869;2895;2921;2947;2974;3000;3026;3052;3078;3266;3294;3322;3351;3379;3407;3435;3463;3492;3520;3730;3760;3790;3820;3851;3881;3911;3941;3972;4002;4234;4266;4298;4330;4363;4395;4427;4459;4492;4524;4778;4812;4846;4881;4915;4949;4984;5018;5052;5086>,10,<140;142;144;146;148;151;153;155;157;159;162;165;167;169;171;174;176;178;180;183;188;190;192;195;197;200;202;204;207;209;216;218;221;223;226;228;231;233;236;238;252;255;258;260;263;266;269;272;274;277;294;297;300;303;306;309;312;316;319;322;342;345;348;352;355;358;362;365;368;372;395;398;402;406;409;413;417;420;424;428;454;458;461;465;469;473;477;481;485;489;518;522;526;531;535;539;543;547;552;556;588;592;597;601;606;610;615;619;624;628;664;668;673;678;683;687;692;697;702;706>,19,<27;27;27;27;27;30;30;30;30;30;33;33;33;33;33;36;36;36;36;36;38;38;38;38;38;41;41;41;41;41;44;44;44;44;44;47;47;47;47;47;50;50;50;50;50;53;53;53;53;53;56;56;56;56;56;59;59;59;59;59;61;61;61;61;61;64;64;64;64;64;67;67;67;67;67;70;70;70;70;70;73;73;73;73;73;76;76;76;76;76;79;79;79;79;79;82;82;82;82;82;84;84;84;84;84;87;87;87;87;87;90;90;90;90;90;93;93;93;93;93>,,,,,,
40523,盾甲,5,3,config/item/gem/icon_7_lv_3.png,2,防御向符石,9999,{529=20},,2,9,<140;142;144;146;148;151;153;155;157;159;162;165;167;169;171;174;176;178;180;183;188;190;192;195;197;200;202;204;207;209;216;218;221;223;226;228;231;233;236;238;252;255;258;260;263;266;269;272;274;277;294;297;300;303;306;309;312;316;319;322;342;345;348;352;355;358;362;365;368;372;395;398;402;406;409;413;417;420;424;428;454;458;461;465;469;473;477;481;485;489;518;522;526;531;535;539;543;547;552;556;588;592;597;601;606;610;615;619;624;628;664;668;673;678;683;687;692;697;702;706>,10,<140;142;144;146;148;151;153;155;157;159;162;165;167;169;171;174;176;178;180;183;188;190;192;195;197;200;202;204;207;209;216;218;221;223;226;228;231;233;236;238;252;255;258;260;263;266;269;272;274;277;294;297;300;303;306;309;312;316;319;322;342;345;348;352;355;358;362;365;368;372;395;398;402;406;409;413;417;420;424;428;454;458;461;465;469;473;477;481;485;489;518;522;526;531;535;539;543;547;552;556;588;592;597;601;606;610;615;619;624;628;664;668;673;678;683;687;692;697;702;706>,22,<13;13;13;13;13;15;15;15;15;15;16;16;16;16;16;18;18;18;18;18;19;19;19;19;19;21;21;21;21;21;22;22;22;22;22;24;24;24;24;24;25;25;25;25;25;26;26;26;26;26;28;28;28;28;28;29;29;29;29;29;31;31;31;31;31;32;32;32;32;32;34;34;34;34;34;35;35;35;35;35;36;36;36;36;36;38;38;38;38;38;39;39;39;39;39;41;41;41;41;41;42;42;42;42;42;44;44;44;44;44;45;45;45;45;45;47;47;47;47;47>,,,,,,
40524,盾甲,5,4,config/item/gem/icon_7_lv_4.png,2,防御向符石,9999,{529=20},,2,9,<140;142;144;146;148;151;153;155;157;159;162;165;167;169;171;174;176;178;180;183;188;190;192;195;197;200;202;204;207;209;216;218;221;223;226;228;231;233;236;238;252;255;258;260;263;266;269;272;274;277;294;297;300;303;306;309;312;316;319;322;342;345;348;352;355;358;362;365;368;372;395;398;402;406;409;413;417;420;424;428;454;458;461;465;469;473;477;481;485;489;518;522;526;531;535;539;543;547;552;556;588;592;597;601;606;610;615;619;624;628;664;668;673;678;683;687;692;697;702;706>,10,<140;142;144;146;148;151;153;155;157;159;162;165;167;169;171;174;176;178;180;183;188;190;192;195;197;200;202;204;207;209;216;218;221;223;226;228;231;233;236;238;252;255;258;260;263;266;269;272;274;277;294;297;300;303;306;309;312;316;319;322;342;345;348;352;355;358;362;365;368;372;395;398;402;406;409;413;417;420;424;428;454;458;461;465;469;473;477;481;485;489;518;522;526;531;535;539;543;547;552;556;588;592;597;601;606;610;615;619;624;628;664;668;673;678;683;687;692;697;702;706>,23,<13;13;13;13;13;15;15;15;15;15;16;16;16;16;16;18;18;18;18;18;19;19;19;19;19;21;21;21;21;21;22;22;22;22;22;24;24;24;24;24;25;25;25;25;25;26;26;26;26;26;28;28;28;28;28;29;29;29;29;29;31;31;31;31;31;32;32;32;32;32;34;34;34;34;34;35;35;35;35;35;36;36;36;36;36;38;38;38;38;38;39;39;39;39;39;41;41;41;41;41;42;42;42;42;42;44;44;44;44;44;45;45;45;45;45;47;47;47;47;47>,,,,,,
40525,盾甲,5,5,config/item/gem/icon_7_lv_5.png,2,防御向符石,9999,{529=20},,2,1,<1008;1023;1038;1053;1068;1084;1099;1114;1129;1144;1169;1185;1202;1218;1234;1250;1266;1282;1298;1314;1351;1368;1385;1402;1419;1436;1454;1471;1488;1505;1552;1570;1589;1607;1625;1643;1661;1679;1697;1716;1814;1835;1855;1875;1895;1915;1935;1956;1976;1996;2117;2139;2161;2183;2206;2228;2250;2272;2294;2316;2460;2484;2508;2532;2556;2580;2605;2629;2653;2677;2843;2869;2895;2921;2947;2974;3000;3026;3052;3078;3266;3294;3322;3351;3379;3407;3435;3463;3492;3520;3730;3760;3790;3820;3851;3881;3911;3941;3972;4002;4234;4266;4298;4330;4363;4395;4427;4459;4492;4524;4778;4812;4846;4881;4915;4949;4984;5018;5052;5086>,7,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,8,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,91,<27;27;27;27;27;30;30;30;30;30;33;33;33;33;33;36;36;36;36;36;38;38;38;38;38;41;41;41;41;41;44;44;44;44;44;47;47;47;47;47;50;50;50;50;50;53;53;53;53;53;56;56;56;56;56;59;59;59;59;59;61;61;61;61;61;64;64;64;64;64;67;67;67;67;67;70;70;70;70;70;73;73;73;73;73;76;76;76;76;76;79;79;79;79;79;82;82;82;82;82;84;84;84;84;84;87;87;87;87;87;90;90;90;90;90;93;93;93;93;93>,,,,
40526,盾甲,5,6,config/item/gem/icon_7_lv_6.png,2,防御向符石,9999,{529=20},,2,1,<1008;1023;1038;1053;1068;1084;1099;1114;1129;1144;1169;1185;1202;1218;1234;1250;1266;1282;1298;1314;1351;1368;1385;1402;1419;1436;1454;1471;1488;1505;1552;1570;1589;1607;1625;1643;1661;1679;1697;1716;1814;1835;1855;1875;1895;1915;1935;1956;1976;1996;2117;2139;2161;2183;2206;2228;2250;2272;2294;2316;2460;2484;2508;2532;2556;2580;2605;2629;2653;2677;2843;2869;2895;2921;2947;2974;3000;3026;3052;3078;3266;3294;3322;3351;3379;3407;3435;3463;3492;3520;3730;3760;3790;3820;3851;3881;3911;3941;3972;4002;4234;4266;4298;4330;4363;4395;4427;4459;4492;4524;4778;4812;4846;4881;4915;4949;4984;5018;5052;5086>,7,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,8,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,16,<22;22;22;22;22;25;25;25;25;25;27;27;27;27;27;30;30;30;30;30;32;32;32;32;32;34;34;34;34;34;37;37;37;37;37;39;39;39;39;39;42;42;42;42;42;44;44;44;44;44;46;46;46;46;46;49;49;49;49;49;51;51;51;51;51;54;54;54;54;54;56;56;56;56;56;58;58;58;58;58;61;61;61;61;61;63;63;63;63;63;66;66;66;66;66;68;68;68;68;68;70;70;70;70;70;73;73;73;73;73;75;75;75;75;75;78;78;78;78;78>,,,,
40531,盾甲,5,1,config/item/gem/icon_7_l_1.png,3,防御向符石,9999,{529=40},,3,1,<1512;1535;1557;1580;1603;1625;1648;1671;1693;1716;1754;1778;1802;1826;1851;1875;1899;1923;1947;1972;2026;2052;2077;2103;2129;2155;2180;2206;2232;2257;2328;2356;2383;2410;2437;2465;2492;2519;2546;2573;2722;2752;2782;2812;2843;2873;2903;2933;2964;2994;3175;3208;3242;3275;3308;3342;3375;3408;3441;3475;3689;3726;3762;3798;3834;3871;3907;3943;3980;4016;4264;4303;4342;4382;4421;4460;4500;4539;4578;4618;4899;4941;4984;5026;5068;5111;5153;5195;5238;5280;5594;5640;5685;5730;5776;5821;5867;5912;5957;6003;6350;6399;6447;6496;6544;6592;6641;6689;6737;6786;7167;7218;7270;7321;7373;7424;7475;7527;7578;7630>,9,<210;213;216;219;223;226;229;232;235;238;244;247;250;254;257;260;264;267;270;274;281;285;289;292;296;299;303;306;310;314;323;327;331;335;339;342;346;350;354;357;378;382;386;391;395;399;403;407;412;416;441;446;450;455;459;464;469;473;478;483;512;517;522;528;533;538;543;548;553;558;592;598;603;609;614;620;625;630;636;641;680;686;692;698;704;710;716;722;727;733;777;783;790;796;802;809;815;821;827;834;882;889;895;902;909;916;922;929;936;942;995;1003;1010;1017;1024;1031;1038;1045;1053;1060>,17,<40;40;40;40;40;45;45;45;45;45;49;49;49;49;49;53;53;53;53;53;58;58;58;58;58;62;62;62;62;62;66;66;66;66;66;71;71;71;71;71;75;75;75;75;75;79;79;79;79;79;84;84;84;84;84;88;88;88;88;88;92;92;92;92;92;96;96;96;96;96;101;101;101;101;101;105;105;105;105;105;109;109;109;109;109;114;114;114;114;114;118;118;118;118;118;122;122;122;122;122;127;127;127;127;127;131;131;131;131;131;135;135;135;135;135;140;140;140;140;140>,,,,,,
40532,盾甲,5,2,config/item/gem/icon_7_l_2.png,3,防御向符石,9999,{529=40},,3,1,<1512;1535;1557;1580;1603;1625;1648;1671;1693;1716;1754;1778;1802;1826;1851;1875;1899;1923;1947;1972;2026;2052;2077;2103;2129;2155;2180;2206;2232;2257;2328;2356;2383;2410;2437;2465;2492;2519;2546;2573;2722;2752;2782;2812;2843;2873;2903;2933;2964;2994;3175;3208;3242;3275;3308;3342;3375;3408;3441;3475;3689;3726;3762;3798;3834;3871;3907;3943;3980;4016;4264;4303;4342;4382;4421;4460;4500;4539;4578;4618;4899;4941;4984;5026;5068;5111;5153;5195;5238;5280;5594;5640;5685;5730;5776;5821;5867;5912;5957;6003;6350;6399;6447;6496;6544;6592;6641;6689;6737;6786;7167;7218;7270;7321;7373;7424;7475;7527;7578;7630>,10,<210;213;216;219;223;226;229;232;235;238;244;247;250;254;257;260;264;267;270;274;281;285;289;292;296;299;303;306;310;314;323;327;331;335;339;342;346;350;354;357;378;382;386;391;395;399;403;407;412;416;441;446;450;455;459;464;469;473;478;483;512;517;522;528;533;538;543;548;553;558;592;598;603;609;614;620;625;630;636;641;680;686;692;698;704;710;716;722;727;733;777;783;790;796;802;809;815;821;827;834;882;889;895;902;909;916;922;929;936;942;995;1003;1010;1017;1024;1031;1038;1045;1053;1060>,19,<40;40;40;40;40;45;45;45;45;45;49;49;49;49;49;53;53;53;53;53;58;58;58;58;58;62;62;62;62;62;66;66;66;66;66;71;71;71;71;71;75;75;75;75;75;79;79;79;79;79;84;84;84;84;84;88;88;88;88;88;92;92;92;92;92;96;96;96;96;96;101;101;101;101;101;105;105;105;105;105;109;109;109;109;109;114;114;114;114;114;118;118;118;118;118;122;122;122;122;122;127;127;127;127;127;131;131;131;131;131;135;135;135;135;135;140;140;140;140;140>,,,,,,
40533,盾甲,5,3,config/item/gem/icon_7_l_3.png,3,防御向符石,9999,{529=40},,3,9,<210;213;216;219;223;226;229;232;235;238;244;247;250;254;257;260;264;267;270;274;281;285;289;292;296;299;303;306;310;314;323;327;331;335;339;342;346;350;354;357;378;382;386;391;395;399;403;407;412;416;441;446;450;455;459;464;469;473;478;483;512;517;522;528;533;538;543;548;553;558;592;598;603;609;614;620;625;630;636;641;680;686;692;698;704;710;716;722;727;733;777;783;790;796;802;809;815;821;827;834;882;889;895;902;909;916;922;929;936;942;995;1003;1010;1017;1024;1031;1038;1045;1053;1060>,10,<210;213;216;219;223;226;229;232;235;238;244;247;250;254;257;260;264;267;270;274;281;285;289;292;296;299;303;306;310;314;323;327;331;335;339;342;346;350;354;357;378;382;386;391;395;399;403;407;412;416;441;446;450;455;459;464;469;473;478;483;512;517;522;528;533;538;543;548;553;558;592;598;603;609;614;620;625;630;636;641;680;686;692;698;704;710;716;722;727;733;777;783;790;796;802;809;815;821;827;834;882;889;895;902;909;916;922;929;936;942;995;1003;1010;1017;1024;1031;1038;1045;1053;1060>,22,<20;20;20;20;20;22;22;22;22;22;24;24;24;24;24;27;27;27;27;27;29;29;29;29;29;31;31;31;31;31;33;33;33;33;33;35;35;35;35;35;37;37;37;37;37;40;40;40;40;40;42;42;42;42;42;44;44;44;44;44;46;46;46;46;46;48;48;48;48;48;50;50;50;50;50;53;53;53;53;53;55;55;55;55;55;57;57;57;57;57;59;59;59;59;59;61;61;61;61;61;63;63;63;63;63;66;66;66;66;66;68;68;68;68;68;70;70;70;70;70>,,,,,,
40534,盾甲,5,4,config/item/gem/icon_7_l_4.png,3,防御向符石,9999,{529=40},,3,9,<210;213;216;219;223;226;229;232;235;238;244;247;250;254;257;260;264;267;270;274;281;285;289;292;296;299;303;306;310;314;323;327;331;335;339;342;346;350;354;357;378;382;386;391;395;399;403;407;412;416;441;446;450;455;459;464;469;473;478;483;512;517;522;528;533;538;543;548;553;558;592;598;603;609;614;620;625;630;636;641;680;686;692;698;704;710;716;722;727;733;777;783;790;796;802;809;815;821;827;834;882;889;895;902;909;916;922;929;936;942;995;1003;1010;1017;1024;1031;1038;1045;1053;1060>,10,<210;213;216;219;223;226;229;232;235;238;244;247;250;254;257;260;264;267;270;274;281;285;289;292;296;299;303;306;310;314;323;327;331;335;339;342;346;350;354;357;378;382;386;391;395;399;403;407;412;416;441;446;450;455;459;464;469;473;478;483;512;517;522;528;533;538;543;548;553;558;592;598;603;609;614;620;625;630;636;641;680;686;692;698;704;710;716;722;727;733;777;783;790;796;802;809;815;821;827;834;882;889;895;902;909;916;922;929;936;942;995;1003;1010;1017;1024;1031;1038;1045;1053;1060>,23,<20;20;20;20;20;22;22;22;22;22;24;24;24;24;24;27;27;27;27;27;29;29;29;29;29;31;31;31;31;31;33;33;33;33;33;35;35;35;35;35;37;37;37;37;37;40;40;40;40;40;42;42;42;42;42;44;44;44;44;44;46;46;46;46;46;48;48;48;48;48;50;50;50;50;50;53;53;53;53;53;55;55;55;55;55;57;57;57;57;57;59;59;59;59;59;61;61;61;61;61;63;63;63;63;63;66;66;66;66;66;68;68;68;68;68;70;70;70;70;70>,,,,,,
40535,盾甲,5,5,config/item/gem/icon_7_l_5.png,3,防御向符石,9999,{529=40},,3,1,<1512;1535;1557;1580;1603;1625;1648;1671;1693;1716;1754;1778;1802;1826;1851;1875;1899;1923;1947;1972;2026;2052;2077;2103;2129;2155;2180;2206;2232;2257;2328;2356;2383;2410;2437;2465;2492;2519;2546;2573;2722;2752;2782;2812;2843;2873;2903;2933;2964;2994;3175;3208;3242;3275;3308;3342;3375;3408;3441;3475;3689;3726;3762;3798;3834;3871;3907;3943;3980;4016;4264;4303;4342;4382;4421;4460;4500;4539;4578;4618;4899;4941;4984;5026;5068;5111;5153;5195;5238;5280;5594;5640;5685;5730;5776;5821;5867;5912;5957;6003;6350;6399;6447;6496;6544;6592;6641;6689;6737;6786;7167;7218;7270;7321;7373;7424;7475;7527;7578;7630>,7,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,8,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,91,<40;40;40;40;40;45;45;45;45;45;49;49;49;49;49;53;53;53;53;53;58;58;58;58;58;62;62;62;62;62;66;66;66;66;66;71;71;71;71;71;75;75;75;75;75;79;79;79;79;79;84;84;84;84;84;88;88;88;88;88;92;92;92;92;92;96;96;96;96;96;101;101;101;101;101;105;105;105;105;105;109;109;109;109;109;114;114;114;114;114;118;118;118;118;118;122;122;122;122;122;127;127;127;127;127;131;131;131;131;131;135;135;135;135;135;140;140;140;140;140>,,,,
40536,盾甲,5,6,config/item/gem/icon_7_l_6.png,3,防御向符石,9999,{529=40},,3,1,<1512;1535;1557;1580;1603;1625;1648;1671;1693;1716;1754;1778;1802;1826;1851;1875;1899;1923;1947;1972;2026;2052;2077;2103;2129;2155;2180;2206;2232;2257;2328;2356;2383;2410;2437;2465;2492;2519;2546;2573;2722;2752;2782;2812;2843;2873;2903;2933;2964;2994;3175;3208;3242;3275;3308;3342;3375;3408;3441;3475;3689;3726;3762;3798;3834;3871;3907;3943;3980;4016;4264;4303;4342;4382;4421;4460;4500;4539;4578;4618;4899;4941;4984;5026;5068;5111;5153;5195;5238;5280;5594;5640;5685;5730;5776;5821;5867;5912;5957;6003;6350;6399;6447;6496;6544;6592;6641;6689;6737;6786;7167;7218;7270;7321;7373;7424;7475;7527;7578;7630>,7,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,8,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,16,<34;34;34;34;34;37;37;37;37;37;41;41;41;41;41;44;44;44;44;44;48;48;48;48;48;52;52;52;52;52;55;55;55;55;55;59;59;59;59;59;62;62;62;62;62;66;66;66;66;66;70;70;70;70;70;73;73;73;73;73;77;77;77;77;77;80;80;80;80;80;84;84;84;84;84;88;88;88;88;88;91;91;91;91;91;95;95;95;95;95;98;98;98;98;98;102;102;102;102;102;106;106;106;106;106;109;109;109;109;109;113;113;113;113;113;116;116;116;116;116>,,,,
40541,盾甲,5,1,config/item/gem/icon_7_z_1.png,4,防御向符石,9999,{529=80},,4,1,<2218;2251;2285;2318;2351;2384;2418;2451;2484;2517;2573;2608;2644;2679;2715;2750;2786;2821;2857;2892;2972;3010;3048;3085;3123;3161;3198;3236;3274;3311;3416;3456;3496;3535;3575;3615;3655;3695;3735;3775;3992;4037;4081;4125;4170;4214;4259;4303;4347;4392;4658;4707;4755;4804;4853;4902;4951;4999;5048;5097;5412;5465;5518;5572;5625;5678;5731;5785;5838;5891;6255;6312;6370;6428;6485;6543;6601;6658;6716;6774;7186;7248;7311;7373;7435;7497;7559;7621;7683;7745;8207;8273;8340;8406;8473;8539;8606;8672;8739;8805;9316;9387;9458;9529;9600;9670;9741;9812;9883;9954;10513;10589;10664;10740;10815;10890;10966;11041;11117;11192>,9,<308;313;317;322;326;331;336;340;345;350;357;362;367;372;377;382;387;392;397;402;413;418;423;428;434;439;444;449;455;460;474;480;485;491;496;502;508;513;519;524;554;561;567;573;579;585;591;598;604;610;647;654;660;667;674;681;687;694;701;708;752;759;766;774;781;788;796;803;811;818;869;877;885;893;901;909;917;925;933;941;998;1007;1015;1024;1032;1041;1050;1058;1067;1076;1140;1149;1158;1167;1177;1186;1195;1204;1214;1223;1294;1303;1313;1323;1333;1343;1353;1363;1372;1382;1460;1470;1481;1491;1502;1512;1523;1533;1544;1554>,17,<59;59;59;59;59;65;65;65;65;65;72;72;72;72;72;78;78;78;78;78;84;84;84;84;84;91;91;91;91;91;97;97;97;97;97;103;103;103;103;103;110;110;110;110;110;116;116;116;116;116;122;122;122;122;122;129;129;129;129;129;135;135;135;135;135;142;142;142;142;142;148;148;148;148;148;154;154;154;154;154;161;161;161;161;161;167;167;167;167;167;173;173;173;173;173;180;180;180;180;180;186;186;186;186;186;192;192;192;192;192;199;199;199;199;199;205;205;205;205;205>,,,,,,{drawcard=zi_effect_loop}
40542,盾甲,5,2,config/item/gem/icon_7_z_2.png,4,防御向符石,9999,{529=80},,4,1,<2218;2251;2285;2318;2351;2384;2418;2451;2484;2517;2573;2608;2644;2679;2715;2750;2786;2821;2857;2892;2972;3010;3048;3085;3123;3161;3198;3236;3274;3311;3416;3456;3496;3535;3575;3615;3655;3695;3735;3775;3992;4037;4081;4125;4170;4214;4259;4303;4347;4392;4658;4707;4755;4804;4853;4902;4951;4999;5048;5097;5412;5465;5518;5572;5625;5678;5731;5785;5838;5891;6255;6312;6370;6428;6485;6543;6601;6658;6716;6774;7186;7248;7311;7373;7435;7497;7559;7621;7683;7745;8207;8273;8340;8406;8473;8539;8606;8672;8739;8805;9316;9387;9458;9529;9600;9670;9741;9812;9883;9954;10513;10589;10664;10740;10815;10890;10966;11041;11117;11192>,10,<308;313;317;322;326;331;336;340;345;350;357;362;367;372;377;382;387;392;397;402;413;418;423;428;434;439;444;449;455;460;474;480;485;491;496;502;508;513;519;524;554;561;567;573;579;585;591;598;604;610;647;654;660;667;674;681;687;694;701;708;752;759;766;774;781;788;796;803;811;818;869;877;885;893;901;909;917;925;933;941;998;1007;1015;1024;1032;1041;1050;1058;1067;1076;1140;1149;1158;1167;1177;1186;1195;1204;1214;1223;1294;1303;1313;1323;1333;1343;1353;1363;1372;1382;1460;1470;1481;1491;1502;1512;1523;1533;1544;1554>,19,<59;59;59;59;59;65;65;65;65;65;72;72;72;72;72;78;78;78;78;78;84;84;84;84;84;91;91;91;91;91;97;97;97;97;97;103;103;103;103;103;110;110;110;110;110;116;116;116;116;116;122;122;122;122;122;129;129;129;129;129;135;135;135;135;135;142;142;142;142;142;148;148;148;148;148;154;154;154;154;154;161;161;161;161;161;167;167;167;167;167;173;173;173;173;173;180;180;180;180;180;186;186;186;186;186;192;192;192;192;192;199;199;199;199;199;205;205;205;205;205>,,,,,,{drawcard=zi_effect_loop}
