变量名,变量名,name,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs,buffFlag,iconShowType,roundInherit,spineEffect,skinEffect,extraOverlayLimit,pointEffect,effectViewArgs,delRefreshMode,rayEffect,__version
1005711,,,,,,stealth,,,,9101,,,,,,1,1,,,battle/buff_icon/logo_ys.png,,,,,,,,,,,,,,,,,,,{args={value=1};typ=opacity},battle/txt/txt_ys1.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1005811,,,,,,damageDodge,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1005911,,,,,,specialDefence,,,,,,,,,,1,1,,,battle/buff_icon/logo_tf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tfjd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1005912,,,,,,defence,,,,,,,,,,1,1,,,battle/buff_icon/logo_wf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wfjd.png,,,,,,,,,2,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1005913,,,,,,,,,,,,,,,,1,1,,,,,buff/guanqia_buff/qingchu.skel,<qingchu_loop>,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=12;effectFuncs=<castBuff>;funcArgs=<<{value=0;holder=13;caster=2;cfgId=1005914;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1005914,,,,,,,,,,,,,,<1005911;1005912>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006011,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=10;effectFuncs=<castBuff>;funcArgs=<<{value=3000;caster=2;holder=11;cfgId=1006012;prob=target2:hasBuff(1006013) and 1 or 0;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006012,,,,,,damageAdd,,,,,,,,,,2,10,,,battle/buff_icon/logo_shjc_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006013,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=10;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=target:hpMax()*0.1;caster=2;holder=13;cfgId=1006014;prob=target2:hasBuff(1006011) and 1 or 0;lifeRound=1}>;<{value=3000;caster=2;holder=13;cfgId=1006015;prob=target2:hasBuff(1006011) and 1 or 0;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006014,,,,,,addHP,,,,,,,,,,1,1,,,,,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,<2031>,<1;10>,,,,,,,,,
1006015,,,,,,damageSub,,,,,,,,,,2,10,,,battle/buff_icon/logo_shjm_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjmtg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006111,,,,,,otherBuffEnhance,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006112,,,,,,,,,,,,,,,,1,1,,,,,buff/guanqia_buff/qingchu.skel,<qingchu_loop>,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=12;effectFuncs=<castBuff>;funcArgs=<<{value=0;holder=13;caster=2;cfgId=1006113;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006113,,,,,,,,,,,,,,<1006111>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006211,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=8;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=-target2:damage()*0.1;holder=8;caster=8;cfgId=1006212;lifeRound=99}>;<{value=-target2:specialDamage()*0.1;holder=8;caster=8;cfgId=1006213;lifeRound=1}>>};2={extraAttackTrigger=3;triggerPoint=8;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=-target2:damage()*0.1;holder=8;caster=8;cfgId=1006212;lifeRound=99}>;<{value=-target2:specialDamage()*0.1;holder=8;caster=8;cfgId=1006213;lifeRound=1}>>}},,,,,,,,,,,,,,,,,,,,,,,,,
1006212,,,,,,damage,,,,10001,,,,,,2,99,,,battle/buff_icon/logo_wg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgjd.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006213,,,,,,specialDamage,,,,10002,,,,,,2,99,,,battle/buff_icon/logo_tg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgjd.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006311,,,,,,rebound,,,2,,,,,,,1,1,,,battle/buff_icon/logo_fs.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006312,,,,,,,,,,,,,,,,1,1,,,,,buff/guanqia_buff/qingchu.skel,<qingchu_loop>,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=12;effectFuncs=<castBuff>;funcArgs=<<{value=0;holder=5;caster=2;cfgId=1006313;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006313,,,,,,,,,,,,,,<1006311>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006411,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=3;effectFuncs=<castBuff>;funcArgs=<<{value=500;caster=2;holder=11;cfgId=1006412;prob=target:cardID() == 2381 and 1 or 0;lifeRound=1}>>}},,,,,,,,,,,,,,,,,,,,,,,,,
1006412,,,,,,addMp1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006511,,,,,,buff1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{1={triggerPoint=13;effectFuncs=<castBuff>;funcArgs=<<{value=target2:hpMax()*0.08;holder={input=enemyForce|nodead;process=buffDifferExclude('group',{c.fly_notbuff_oc()})|random(1)};caster=2;cfgId=1006512;lifeRound=1}>>}}",,,,,,,,1,,,,,,,,<1;10>,,,,,,,,,
1006512,,,,,,buffDamage,,,,2003,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=2003;damageType=1}>,"<{input=enemyForce|nodead;process=buffDifferExclude('group',{c.fly_notbuff_oc()})|random(12)}>",,,,,,,,,,,,,,,,,,<4021>,<1;10>,,,,,,,,,
1006513,,,,,,,,,,,,,,,,1,1,,,,,buff/guanqia_buff/qingchu.skel,<qingchu_loop>,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=12;effectFuncs=<castBuff>;funcArgs=<<{value=0;holder=5;caster=2;cfgId=1006514;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006514,,,,,,,,,,,,,,<1006511>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006611,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{1={triggerPoint=8;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=max(self2:specialDamage(),self2:damage())*0.2;caster=2;holder=8;cfgId=1006612;prob=1;lifeRound=8}>;<{value=max(self2:specialDamage(),self2:damage())*0.3;caster=2;holder=8;cfgId=1006613;prob=1;lifeRound=1}>>}}",,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006612,,,,,,buffDamage,,,2,10181,,,,,,2,5,,,battle/buff_icon/logo_zd.png,,buff/zhongdu/zhongdu.skel,<zhongdu_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_zd.png,,,<{processId=3008;damageType=2;natureType=8}>,,,,{0={triggerPoint=5}},,,,,,,,,,,,,,,<4008;4027>,,,,,,,,,,
1006613,,,,,,buffDamage,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=15;damageType=2}>,,,,,,,,,,,,,,,,,,,<4021>,,,,,,,,,,
1006614,,,,,,,,,,,,,,,,1,1,,,,,buff/guanqia_buff/qingchu.skel,<qingchu_loop>,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=12;effectFuncs=<castBuff>;funcArgs=<<{value=0;holder=5;caster=2;cfgId=1006615;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006615,,,,,,,,,,,,,,<1006611>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006711,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=3;effectFuncs=<castBuff>;funcArgs=<<{value=target:hpMax()*0.35;caster=2;holder={input=enemyForce|nodead;process=random(3)};cfgId=1006712;prob=0.6;lifeRound=2}>>}},,,,,,,,,,,,,,,,,,,,,,,,,
1006712,,,,,,freeze,,,,102,,,,,,1,1,,,battle/buff_icon/logo_bd.png,,buff/bingdong/bingdong.skel,<bingdong_loop>,,,,,,,,,,,,,,,{pos=0;aniName=bingdong_end;res=buff/bingdong/bingdong.skel},{typ=pause},battle/txt/txt_bd.png,11,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
1006713,,,,,,,,,,,,,,,,1,1,,,,,buff/guanqia_buff/qingchu.skel,<qingchu_loop>,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=12;effectFuncs=<castBuff>;funcArgs=<<{value=0;holder=5;caster=2;cfgId=1006714;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006714,,,,,,,,,,,,,,<1006711>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006811,,,,,,strike,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006812,,,,,,strikeDamage,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjsh_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006813,,,,,,,,,,,,,,,,1,1,,,,,buff/guanqia_buff/qingchu.skel,<qingchu_loop>,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=12;effectFuncs=<castBuff>;funcArgs=<<{value=0;holder=5;caster=2;cfgId=1006814;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006814,,,,,,,,,,,,,,<1006811;1006812>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006911,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=4;effectFuncs=<castBuff>;funcArgs=<<{value=300;holder=1;caster=2;cfgId=1006912;lifeRound=1}>>}},,,,,,,,,,,,,,,,,,,,,,,,,
1006912,,,,,,addMp1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006913,,,,,,,,,,,,,,,,1,1,,,,,buff/guanqia_buff/qingchu.skel,<qingchu_loop>,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=12;effectFuncs=<castBuff>;funcArgs=<<{value=0;holder=5;caster=2;cfgId=1006914;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1006914,,,,,,,,,,,,,,<1006911>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1007011,,,,,,mp1Recover,,,,,,,,,,1,1,,,battle/buff_icon/logo_nqhf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqhfjd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1007012,,,,,,,,,,,,,,,,1,1,,,,,buff/guanqia_buff/qingchu.skel,<qingchu_loop>,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=12;effectFuncs=<castBuff>;funcArgs=<<{value=0;holder=13;caster=2;cfgId=1007013;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1007013,,,,,,,,,,,,,,<1007011>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1007111,,,,,,,,,,,,,,,,1,1,,,,,buff/guanqia_buff/qingchu.skel,<qingchu_loop>,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=13;effectFuncs=<castBuff>;funcArgs=<<{value=0;holder=2;caster=2;cfgId=1007112;lifeRound=99}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1007112,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,{1={triggerPoint=5;effectFuncs=<castBuff>;funcArgs=<<{value=1000;holder=1;caster=2;cfgId=1007113;lifeRound=99}>>}},,,,,,,,1,,,,,,,,<1;10>,,,,,,,,,
1007113,,,,,,addMp1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007211,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,{1={triggerPoint=3;effectFuncs=<castBuff>;funcArgs=<<{value=self:damage()*0.4;holder=13;caster=2;cfgId=1271211;lifeRound=99}>>}},,,,,,,,1,,,,,,,,<1;10>,,,,,,,,,
1007311,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,"{1={triggerPoint=3;effectFuncs=<castBuff>;funcArgs=<<{value=0;caster=2;holder={input=enemyForce|nodead;process=buffDifferExclude('group',{22})|random(2)};cfgId=1007312;prob=0.5;lifeRound=1}>>}}",,,,,,,,1,,,,,,,,<1;10>,,,,,,,,,
1007312,,,,,,sleepy,,,,111,,,,,,1,1,,,battle/buff_icon/logo_sm1.png,,buff/shuimian/shuimian.skel,<shuimian_loop>,,,1,,{x=0;y=-300},,,,,,,,,,,,battle/txt/txt_sdsm.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007411,,,,,,comboAttack,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{0={triggerPoint=7;buffValueUpdatePoint=7}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1007412,,,,,,speed,,,,1081,102,,,,,1,1,,,battle/buff_icon/logo_sd_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdtg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007611,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,{1={triggerPoint=8;effectFuncs=<castBuff>;onSkillType=2;funcArgs=<<{lifeRound=1;holder=1;value=<0;1;1>;caster=2;cfgId=1007612}>>};2={triggerPoint=37;onSomeFlag=<trigger.obj.followMark==-1>;effectFuncs=<castBuff>;funcArgs=<<{value=1;holder=1;caster=2;cfgId=1007613;lifeRound=1}>>}},,,,,,,,1,,,,,,,,<1;10>,,,,,,,,,
1007612,,,,,,stealth,,,2,9101,,,,,,1,1,,,battle/buff_icon/logo_ys.png,,,,,,,,,,,,,,,,,,,{args={value=0.4};typ=opacity},battle/txt/txt_ys1.png,,,,,1,<1>,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1007613,,,,,,updSkillSpellRoundOnce,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1007711,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,{1={triggerPoint=10;effectFuncs=<castBuff;castBuff>;funcArgs=<<{lifeRound=1;holder=2;value=<0>;caster=2;cfgId=1007712}>;<{value=1;holder=2;caster=2;cfgId=2361144;lifeRound=1}>>}},,,,,,,,1,,,,,,,,<1;10>,,,,,,,,,
1007712,,,,,,leave,,,,4201,,,,,,,1,,,,,,,,,,,,,koudai_paluqiya/hero_paluqiya.skel,yinni,,,,,,,,{args={value=0.6};typ=opacity},battle/txt/txt_yn1.png,,,,,1,<1>,{0={triggerPoint=1};1={triggerPoint=1;onSomeFlag=<self:hasBuffGroup(c.dot_oc()) and (not self:hasBuff(761225))>;effectFuncs=<castBuff;castBuff;castBuff>;funcArgs=<<{value=1;holder=2;caster=2;cfgId=2361144;lifeRound=1}>;<{value=2000;caster=2;holder=2;cfgId=2361135;prob=1;lifeRound=1}>;<{value=0;holder=2;caster=2;cfgId=2361182;lifeRound=1}>>};2={triggerPoint=2;onSomeFlag=<not self:hasBuffGroup(c.dot_oc())>;effectFuncs=<castBuff;castBuff;castBuff>;funcArgs=<<{value=1;holder=2;caster=2;cfgId=2361144;lifeRound=1}>;<{value=2000;caster=2;holder=2;cfgId=2361135;prob=1;lifeRound=1}>;<{value=0;holder=2;caster=2;cfgId=2361182;lifeRound=1}>>};3={triggerPoint=2;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=0;caster=2;holder=2;cfgId=2361163;prob=1;lifeRound=1}>;<{value=1;caster=2;holder=2;cfgId=2361152;prob=1;lifeRound=99}>>}},,,0,,,,,,,,,,,,,,{gameEnd=0;wave=0},{action={standby=standby_loop2};unitRes=<koudai_paluqiya/hero_paluqiya.skel>},,,,,,,
1007811,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,{1={triggerPoint=10;effectFuncs=<castBuff>;funcArgs=<<{value=1;holder=7;caster=2;cfgId=3211011;lifeRound=2}>>}},,,,,,,,1,,,,,,,,,,,,,,,,,
1007911,,,,,,stealth,,,2,9101,,,,,,1,1,,,battle/buff_icon/logo_ys.png,,,,,,,,,,,,,,,,,,,{args={value=0.4};typ=opacity},battle/txt/txt_ys1.png,,,,,1,<1>,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1008011,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,{1={triggerPoint=13;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=self:specialDefence()*0.15;holder=2;caster=2;cfgId=1008012;lifeRound=99}>;<{value=1500;holder=2;caster=2;cfgId=1008013;lifeRound=99}>>}},,,,,,,,1,,,,,,,,<1;10>,,,,,,,,,
1008012,,,,,,specialDefence,,,,,,,,,,2,99,,,battle/buff_icon/logo_tf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tftg.png,,,,,1,<1>,,,,,,,,,1,,,,,,,,<1;10>,,,,,,,,,
1008013,,,,,,specialDamageSub,,,,,,,,,,2,99,,,battle/buff_icon/logo_tf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tsjmtg.png,,,,,1,<1>,,,,,,,,,1,,,,,,,,<1;10>,,,,,,,,,
1008611,,,,,,,,,,,,,,,,,,,,battle/buff_icon/logo_sd_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdtg.png,,,,,,,{1={triggerPoint=1;trueCall=<3>;effectFuncs=<addAttrNode;addHP>;funcArgs=<{val=5000;attr=damage};50000>};2={funcArgs=<<{value=2000;holder=2;caster=2;cfgId=1008612;lifeRound=2}>>;triggerPoint=2;effectFuncs=<castBuff>;delSelfWhenTriggered=2;conditionExpr=conditionT.c1 and (conditionT.c2 or conditionT.c3)};3={triggerPoint=0;effectFuncs=<addAttr>;funcArgs=<{val=-5000;attr=damage}>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1008612,,,,,,defence,,,,,,,,,,,,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wftg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1008613,,,,,,,,,,,,,,,,,,,,battle/buff_icon/logo_zd.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgtg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1008614,,,,,,damage,,,,,,,,,,,,,,battle/buff_icon/logo_wg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgtg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1008615,,,,,,specialDamage,,,,,,,,,,,,,,battle/buff_icon/logo_tg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgtg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1008616,,,,,,damageHit,,,,,,,,,,,,,,battle/buff_icon/logo_mz_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgjd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,,
1010000,,,,,,addMp1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,{0={triggerPoint=8}},,,,,,,,,,,,,,,,,,,,,,,,,
1010001,,,,,,addMp1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010002,,,,,,immuneControlAdd,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010003,,,,,,immuneControlAdd,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010004,,,,,,addMp1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,{0={triggerPoint=11}},,,,,,,,,,,,,,,,,,,,,,,,,
1010005,,,,,,immuneDamage,,,,,,,,,,1,1,,,battle/buff_icon/logo_mysh.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2010>,,,,,,,,,,
1010006,,,,,,reborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{0={triggerPoint=12};1={triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{value=0;cfgId=1020002;caster=2;holder=1;bond=1;lifeRound=999}>>}},,,0,,,,<{type=1;limit=1}>,1,,,,,,,,,,,,,,,,,
1010007,,,,,,speed,,,,,,,,,,1,1,,,battle/buff_icon/logo_sd_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdtg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010008,,,,,,addMp1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,{0={triggerPoint=5}},,,,,,,,,,,,,,,,,,,,,,,,,
1010009,,,,,,controlPerVal,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010010,,,,,,block,,,,,,,,,,1,1,,,battle/buff_icon/logo_dyl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010011,,,,,,mp1Recover,,,,,,,,,,1,1,,,battle/buff_icon/logo_nqhf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqhftg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010012,,,,,,ultimateSub,,,,,,,,,,1,1,,,battle/buff_icon/logo_bskx_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bskxtg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010013,,,,,,lockMp1Add,,,,,,,,,,1,1,,,battle/buff_icon/logo_fn.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_fn.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010014,,,,,,reborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{0={triggerPoint=12};1={triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{value=0;cfgId=1020002;caster=2;holder=1;bond=1;lifeRound=999}>>}},,,0,,,,<{type=1;limit=1}>,1,,,,,,,,,,,,,,,,,
1010015,,,,,,damage,,,,,,,,,,1,1,,,battle/buff_icon/logo_wg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgtg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010016,,,,,,specialDamage,,,,,,,,,,1,1,,,battle/buff_icon/logo_tg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgtg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010017,,,,,,beHealAdd,,,,,,,,,,1,1,,,battle/buff_icon/logo_zlxg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_zlxgtg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010018,,,,,,healAdd,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010019,,,,,,cure,,,,,,,,,,1,1,,,battle/buff_icon/logo_zll_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_zlltg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010020,,,,,,otherBuffEnhance,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010021,,,,,,changeBuffLifeRound,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010022,,,,,,immuneControlVal,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010023,,,,,,addHP,,,,,,,,,,1,1,,,,,,,,,,,,,,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,<2031>,,,,,,,,,,
