变量名,_beizhu,type,needFrags,needSpecialFrags,costItemFrag,needCards,needSpecialCards,costItemCard,cardConvertNum,roriFrags,roriCards,__version
57011,,2,,<<27011;1>;<521;1>>,{gold=20000},,<7011;9003>,{gold=1600000},80,,,
57021,,2,,<<27021;1>;<521;1>>,{gold=20000},,<7021;9003>,{gold=1600000},80,,,
57031,,2,,<<27031;1>;<521;1>>,{gold=20000},,<7031;9003>,{gold=1600000},80,,,
57041,,2,,<<27041;1>;<521;1>>,{gold=20000},,<7041;9003>,{gold=1600000},80,,,
57051,,2,,<<27051;1>;<521;1>>,{gold=20000},,<7051;9003>,{gold=1600000},80,,,
57061,,2,,<<27061;1>;<521;1>>,{gold=20000},,<7061;9003>,{gold=1600000},80,,,
57071,,2,,<<27071;1>;<521;1>>,{gold=20000},,<7071;9003>,{gold=1600000},80,,,
57081,,2,,<<27081;1>;<521;1>>,{gold=20000},,<7081;9003>,{gold=1600000},80,,,
57091,,2,,<<27091;1>;<521;1>>,{gold=20000},,<7091;9003>,{gold=1600000},80,,,
57101,,2,,<<27101;1>;<521;1>>,{gold=20000},,<7101;9003>,{gold=1600000},80,,,
57111,,2,,<<27111;1>;<521;1>>,{gold=20000},,<7111;9003>,{gold=1600000},80,,,
57121,,2,,<<27121;1>;<521;1>>,{gold=20000},,<7121;9003>,{gold=1600000},80,,,
57131,,2,,<<27131;1>;<521;1>>,{gold=20000},,<7131;9003>,{gold=1600000},80,,,
57141,,2,,<<27141;1>;<521;1>>,{gold=20000},,<7141;9003>,{gold=1600000},80,,,
57151,,2,,<<27151;1>;<521;1>>,{gold=20000},,<7151;9003>,{gold=1600000},80,,,
57161,,2,,<<27161;1>;<521;1>>,{gold=20000},,<7161;9003>,{gold=1600000},80,,,
57171,,2,,<<27171;1>;<521;1>>,{gold=20000},,<7171;9003>,{gold=1600000},80,,,
57181,,2,,<<27181;1>;<521;1>>,{gold=20000},,<7181;9003>,{gold=1600000},80,,,
57191,,2,,<<27191;1>;<521;1>>,{gold=20000},,<7191;9003>,{gold=1600000},80,,,
57201,,2,,<<27201;1>;<521;1>>,{gold=20000},,<7201;9003>,{gold=1600000},80,,,
57211,,2,,<<27211;1>;<521;1>>,{gold=20000},,<7211;9003>,{gold=1600000},80,,,
57221,,2,,<<27221;1>;<521;1>>,{gold=20000},,<7221;9003>,{gold=1600000},80,,,
57231,,2,,<<27231;1>;<521;1>>,{gold=20000},,<7231;9003>,{gold=1600000},80,,,
57241,,2,,<<27241;1>;<521;1>>,{gold=20000},,<7241;9003>,{gold=1600000},80,,,
57251,,2,,<<27251;1>;<521;1>>,{gold=20000},,<7251;9003>,{gold=1600000},80,,,
57261,,2,,<<27261;1>;<521;1>>,{gold=20000},,<7261;9003>,{gold=1600000},80,,,
59001,,1,<<4;-1;1>>,<<29001;1>>,{gold=10000},<<2;-1>>,<9001>,{gold=300000},30,,,
59002,,1,<<5;-1;1>>,<<29002;1>>,{gold=15000},<<3;-1>>,<9002>,{gold=750000},50,,,
59003,,1,<<6;-1;1>>,<<29003;1>>,{gold=20000},<<4;-1>>,<9003>,{gold=1600000},80,<27011;27101>,<7011;7101>,
