变量名,zawakeID,_beizhu,awakeSeqID,pos,scale,awakeDes1,isOpen,unlockType1,unlockLimit1,unlockType2,unlockLimit2,__version
98204,882,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
98205,882,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
98206,882,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
98207,882,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
98208,882,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
99101,891,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
99102,891,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
99103,891,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
99104,891,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
99105,891,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
99106,891,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
99107,891,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
99108,891,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
107101,971,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
107102,971,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
107103,971,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
107104,971,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
107105,971,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
107106,971,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
107107,971,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
107108,971,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
109101,991,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
109102,991,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
109103,991,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
109104,991,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
109105,991,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
109106,991,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
109107,991,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
109108,991,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
113101,1031,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
113102,1031,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
113103,1031,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
113104,1031,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
113105,1031,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
113106,1031,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
113107,1031,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
113108,1031,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
117101,1071,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
117102,1071,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
117103,1071,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
117104,1071,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
117105,1071,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
117106,1071,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
117107,1071,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
117108,1071,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
117201,1072,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
117202,1072,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
117203,1072,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
117204,1072,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
117205,1072,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
117206,1072,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
117207,1072,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
117208,1072,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
118101,1081,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
118102,1081,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
118103,1081,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
118104,1081,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
118105,1081,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
118106,1081,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
118107,1081,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
118108,1081,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
121101,1111,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
121102,1111,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
121103,1111,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
121104,1111,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
121105,1111,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
121106,1111,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
121107,1111,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
121108,1111,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
124101,1141,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
124102,1141,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
124103,1141,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
124104,1141,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
124105,1141,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
124106,1141,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
124107,1141,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
124108,1141,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
127101,1171,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
127102,1171,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
127103,1171,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
127104,1171,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
127105,1171,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
127106,1171,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
127107,1171,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
127108,1171,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
127201,1172,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
127202,1172,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
127203,1172,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
127204,1172,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
127205,1172,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
127206,1172,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
127207,1172,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
127208,1172,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
132101,1221,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
132102,1221,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
132103,1221,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
132104,1221,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
132105,1221,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
132106,1221,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
132107,1221,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
132108,1221,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
133101,1231,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
133102,1231,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
133103,1231,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
133104,1231,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
133105,1231,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
133106,1231,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
133107,1231,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
133108,1231,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
134101,1241,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
134102,1241,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
134103,1241,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
134104,1241,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
134105,1241,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
134106,1241,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
134107,1241,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
134108,1241,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
135101,1251,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
135102,1251,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
135103,1251,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
135104,1251,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
135105,1251,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
135106,1251,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
135107,1251,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
135108,1251,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
135201,1252,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
135202,1252,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
135203,1252,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
135204,1252,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
135205,1252,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
135206,1252,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
135207,1252,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
135208,1252,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
136101,1261,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
136102,1261,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
136103,1261,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=180;star=9;zawakeStage=208},,,
136104,1261,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=308},,,
136105,1261,,5,,,属性获得增强,,,{advance=17;goodFeel=260;star=10;zawakeStage=408},,,
136106,1261,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=6;equipStarSum=18;zawakeStage=508},,,
136107,1261,,7,,,属性获得增强,,,{advance=19;goodFeel=350;star=11;zawakeStage=608},,,
136108,1261,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=20;nvalueSum=170;zawakeStage=708},,,
137101,1271,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
137102,1271,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
137103,1271,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=180;star=9;zawakeStage=208},,,
137104,1271,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=308},,,
137105,1271,,5,,,属性获得增强,,,{advance=17;goodFeel=260;star=10;zawakeStage=408},,,
137106,1271,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=6;equipStarSum=18;zawakeStage=508},,,
137107,1271,,7,,,属性获得增强,,,{advance=19;goodFeel=350;star=11;zawakeStage=608},,,
137108,1271,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=20;nvalueSum=170;zawakeStage=708},,,
138101,1281,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
138102,1281,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
138103,1281,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=180;star=9;zawakeStage=208},,,
138104,1281,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=308},,,
138105,1281,,5,,,属性获得增强,,,{advance=17;goodFeel=260;star=10;zawakeStage=408},,,
138106,1281,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=6;equipStarSum=18;zawakeStage=508},,,
138107,1281,,7,,,属性获得增强,,,{advance=19;goodFeel=350;star=11;zawakeStage=608},,,
138108,1281,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=20;nvalueSum=170;zawakeStage=708},,,
139101,1291,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
139102,1291,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
139103,1291,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
139104,1291,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
139105,1291,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
139106,1291,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
139107,1291,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
139108,1291,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
139201,1292,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
139202,1292,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
139203,1292,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
139204,1292,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
139205,1292,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
139206,1292,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
139207,1292,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
139208,1292,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
140101,1301,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
140102,1301,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
140103,1301,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
140104,1301,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
140105,1301,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
140106,1301,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
140107,1301,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
140108,1301,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
140201,1302,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
140202,1302,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
140203,1302,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
140204,1302,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
140205,1302,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
140206,1302,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
140207,1302,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
140208,1302,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
141101,1311,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
141102,1311,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
141103,1311,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
141104,1311,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
141105,1311,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
141106,1311,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
141107,1311,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
141108,1311,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
141201,1312,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
141202,1312,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
141203,1312,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
141204,1312,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
141205,1312,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
141206,1312,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
141207,1312,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
141208,1312,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
145101,1351,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
145102,1351,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
145103,1351,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
145104,1351,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
145105,1351,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
145106,1351,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
145107,1351,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
145108,1351,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
149101,1391,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
149102,1391,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
149103,1391,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
149104,1391,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
149105,1391,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
149106,1391,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
149107,1391,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
149108,1391,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
149201,1392,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
149202,1392,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
149203,1392,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
149204,1392,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
149205,1392,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
149206,1392,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
149207,1392,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
149208,1392,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
149301,1393,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
149302,1393,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
149303,1393,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
149304,1393,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
149305,1393,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
149306,1393,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
149307,1393,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
149308,1393,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
149401,1394,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
149402,1394,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
149403,1394,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
149404,1394,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
149405,1394,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
149406,1394,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
149407,1394,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
149408,1394,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
151101,1411,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
151102,1411,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
151103,1411,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
151104,1411,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
151105,1411,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
151106,1411,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
